Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CME,2020-12,134.90M,1.734B,215.60M,574.20M,0,1.18,1.18,32.84B,1.540B,882.90M,2020-12,424.00M,-41.70M,-41.70M,579.20M,5.607B,3.444B,515.00M,69.30M,535.00M,110.20M,1.098B,161.50M,26.32B,124.66B,3.60M,89.28B,88.20B,98.31B,35.38B,10.11B,367.90M,69.30M,461.30M
CME,2020-09,43.70M,1.424B,216.40M,0,0,1.15,1.15,32.82B,1.479B,864.30M,2020-09,411.70M,-41.70M,-41.70M,547.20M,5.621B,3.442B,525.00M,99.50M,536.50M,125.00M,1.081B,154.20M,26.98B,125.76B,3.60M,90.35B,88.63B,98.75B,35.41B,10.12B,339.30M,99.50M,490.90M
CME,2020-06,-13.10M,1.494B,217.00M,0,0,1.41,1.4,32.85B,1.433B,965.30M,2020-06,503.30M,-41.90M,-41.90M,538.60M,5.607B,3.441B,637.50M,88.00M,661.30M,158.00M,1.182B,155.70M,26.81B,117.21B,3.60M,81.79B,80.20B,90.38B,35.43B,10.17B,327.80M,88.00M,532.10M
CME,2020-03,-26.20M,929.20M,207.50M,0,0,2.14,2.14,32.92B,1.424B,1.315B,2020-03,766.20M,-40.90M,-40.90M,538.40M,5.622B,3.540B,959.90M,74.30M,989.30M,222.50M,1.522B,163.30M,26.57B,137.93B,3.60M,102.42B,101.05B,111.33B,35.52B,10.28B,354.70M,74.30M,799.70M
CME,2019-12,3.40M,1.635B,217.60M,0,0,1.31,1.31,33.04B,1.412B,920.80M,2019-12,469.50M,-42.00M,-42.00M,544.00M,5.635B,3.743B,573.00M,61.90M,624.10M,155.10M,1.138B,144.20M,26.13B,75.22B,3.60M,39.57B,38.52B,49.06B,35.65B,10.53B,347.80M,61.90M,491.80M
CME,2019-09,-32.20M,1.290B,223.50M,0,0,1.78,1.78,33.11B,1.355B,1.054B,2019-09,636.30M,-42.80M,-42.80M,517.30M,5.614B,3.873B,685.20M,61.50M,723.20M,86.90M,1.277B,141.50M,26.78B,79.42B,3.70M,43.69B,41.91B,52.60B,35.73B,10.69B,368.60M,61.50M,545.70M
CME,2019-06,5.60M,1.020B,227.30M,0,0,1.44,1.43,33.28B,1.344B,1.045B,2019-06,513.80M,-45.10M,-45.10M,500.40M,5.645B,4.073B,698.60M,51.60M,702.10M,187.50M,1.273B,135.10M,26.46B,70.35B,3.60M,34.46B,32.93B,43.86B,35.89B,10.93B,346.80M,51.60M,593.70M
CME,2019-03,0.80M,1.080B,230.30M,0,0,1.39,1.39,33.41B,1.258B,949.30M,2019-03,496.90M,-48.10M,-48.10M,467.70M,5.663B,4.292B,631.00M,65.30M,640.20M,144.30M,1.180B,127.00M,26.16B,71.61B,3.60M,35.61B,34.27B,45.43B,36.01B,11.16B,318.30M,65.30M,559.50M
CME,2018-12,5.30M,1.447B,223.80M,0,0,1.1,1.09,33.48B,1.210B,1.013B,2018-12,385.50M,-49.50M,-49.50M,448.70M,5.666B,3.827B,649.90M,116.00M,670.50M,283.50M,1.237B,149.90M,25.92B,77.48B,3.60M,41.89B,41.27B,51.51B,35.59B,10.24B,362.90M,116.00M,553.30M
CME,2018-09,18.70M,1.489B,144.90M,0,0,1.21,1.21,27.01B,1.100B,759.30M,2018-09,411.80M,-45.00M,-45.00M,362.70M,4.883B,3.420B,549.90M,53.90M,561.80M,150.00M,904.20M,89.40M,23.30B,70.36B,3.40M,41.51B,38.15B,47.07B,28.85B,8.914B,209.40M,53.90M,386.30M
