Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CMS,2020-12,-86.00M,168.00M,1.07B,1.506B,0,0.55,0.55,0,28.99B,728.00M,2020-12,576.00M,158.00M,-139.00M,-139.00M,21.04B,1.978B,13.69B,352.00M,1.261B,197.00M,35.00M,1.798B,5.496B,29.67B,3.00M,2.404B,3.074B,23.59B,27.26B,20.52B,376.00M,1.135B,1.157B
CMS,2020-09,-79.00M,519.00M,903.00M,1.799B,0,0.76,0.76,0,28.48B,672.00M,2020-09,639.00M,218.00M,-142.00M,-142.00M,20.63B,1.937B,13.34B,369.00M,931.00M,254.00M,44.00M,1.575B,5.32B,29.28B,3.00M,2.494B,2.992B,23.38B,26.79B,20.39B,303.00M,795.00M,941.00M
CMS,2020-06,-76.00M,1.587B,872.00M,1.744B,0,0.48,0.48,0,27.13B,571.00M,2020-06,506.00M,136.00M,-140.00M,-140.00M,19.44B,1.881B,13.48B,273.00M,1.114B,164.00M,27.00M,1.443B,5.214B,28.58B,3.00M,3.532B,3.123B,23.33B,25.05B,20.21B,298.00M,961.00M,1.021B
CMS,2020-03,-76.00M,834.00M,1.066B,1.721B,0,0.86,0.85,0,26.71B,798.00M,2020-03,434.00M,243.00M,-129.00M,-129.00M,19.14B,1.841B,12.62B,368.00M,969.00M,270.00M,27.00M,1.864B,5.185B,27.45B,3.00M,2.817B,2.94B,22.22B,24.63B,19.28B,430.00M,827.00M,1.151B
CMS,2019-12,-73.00M,140.00M,1.135B,1.22B,0,0.59,0.58,0,26.29B,660.00M,2019-12,605.00M,167.00M,-132.00M,-132.00M,18.93B,1.775B,12.03B,311.00M,1.211B,205.00M,37.00M,1.795B,5.018B,26.84B,3.00M,2.331B,2.704B,21.78B,24.51B,19.08B,349.00M,1.072B,1.145B
CMS,2019-09,-67.00M,403.00M,910.00M,1.074B,0,0.73,0.73,0,25.79B,636.00M,2019-09,699.00M,207.00M,-131.00M,-131.00M,18.52B,1.704B,12.12B,351.00M,849.00M,249.00M,42.00M,1.546B,4.957B,26.01B,3.00M,2.305B,2.165B,21.02B,23.70B,18.85B,285.00M,732.00M,897.00M
CMS,2019-06,-67.00M,312.00M,940.00M,1.077B,0,0.33,0.33,0,25.24B,505.00M,2019-06,552.00M,93.00M,-129.00M,-129.00M,18.11B,1.665B,11.32B,218.00M,1.06B,114.00M,20.00M,1.445B,4.851B,25.29B,3.00M,2.254B,2.386B,20.40B,23.04B,18.02B,287.00M,931.00M,1.023B
CMS,2019-03,-66.00M,234.00M,1.296B,872.00M,0,0.75,0.75,0,25.55B,763.00M,2019-03,442.00M,213.00M,-120.00M,-120.00M,18.32B,1.642B,11.20B,359.00M,979.00M,261.00M,48.00M,2.059B,4.858B,24.79B,3.00M,2.376B,2.106B,19.90B,22.42B,17.79B,404.00M,845.00M,1.279B
CMS,2018-12,-65.00M,153.00M,1.254B,1.093B,0,0.38,0.38,0,25.16B,575.00M,2018-12,650.00M,108.00M,-118.00M,-118.00M,18.13B,1.586B,10.68B,250.00M,1.229B,126.00M,17.00M,1.829B,4.755B,24.53B,3.00M,2.468B,2.624B,19.74B,22.06B,17.11B,325.00M,1.131B,1.227B
CMS,2018-09,-59.00M,323.00M,1.032B,2.25B,0,0.6,0.59,0,24.70B,567.00M,2018-09,741.00M,169.00M,-112.00M,-112.00M,17.79B,1.483B,8.944B,294.00M,893.00M,202.00M,33.00M,1.599B,4.749B,23.91B,3.00M,2.374B,3.442B,19.13B,21.54B,15.68B,273.00M,796.00M,962.00M
CMS,2018-06,-61.00M,477.00M,965.00M,1.216B,0,0.49,0.49,0,24.04B,527.00M,2018-06,570.00M,139.00M,-108.00M,-108.00M,17.24B,1.446B,9.353B,255.00M,1.043B,165.00M,25.00M,1.492B,4.672B,23.31B,3.00M,2.286B,2.535B,18.60B,21.03B,16.07B,272.00M,896.00M,928.00M
CMS,2018-03,-61.00M,195.00M,1.224B,1.286B,0,0.86,0.86,0,23.59B,729.00M,2018-03,445.00M,241.00M,-109.00M,-109.00M,16.90B,1.412B,9.082B,363.00M,928.00M,281.00M,40.00M,1.953B,4.596B,22.87B,3.00M,2.207B,2.482B,18.24B,20.66B,15.75B,366.00M,805.00M,1.216B
CMS,2017-12,-50.00M,182.00M,1.095B,1.273B,0,-0.01,-0.01,0,23.27B,683.00M,2017-12,672.00M,-3.00M,-108.00M,-108.00M,16.76B,1.356B,9.214B,379.00M,1.236B,222.00M,224.00M,1.778B,4.441B,23.05B,3.00M,2.475B,2.784B,18.57B,20.58B,15.79B,304.00M,1.10B,1.242B
CMS,2017-09,-47.00M,142.00M,942.00M,1.21B,0,0.61,0.61,0,22.85B,585.00M,2017-09,787.00M,172.00M,-108.00M,-108.00M,16.44B,2.589B,9.121B,330.00M,836.00M,229.00M,57.00M,1.527B,4.535B,22.12B,3.00M,2.121B,2.261B,17.55B,20.00B,15.29B,255.00M,722.00M,840.00M
CMS,2017-06,-48.00M,418.00M,945.00M,840.00M,0,0.33,0.33,0,22.43B,504.00M,2017-06,582.00M,92.00M,-108.00M,-108.00M,16.12B,2.511B,9.19B,241.00M,1.045B,140.00M,47.00M,1.449B,4.449B,21.87B,3.00M,2.211B,2.115B,17.38B,19.66B,15.27B,263.00M,864.00M,871.00M
CMS,2017-03,-49.00M,433.00M,1.098B,812.00M,0,0.71,0.71,0,22.06B,731.00M,2017-03,425.00M,199.00M,-102.00M,-102.00M,15.86B,2.462B,9.233B,388.00M,894.00M,295.00M,96.00M,1.829B,4.37B,21.62B,3.00M,2.215B,1.926B,17.22B,19.41B,15.29B,343.00M,748.00M,973.00M
