Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CNC,2020-12,337.00M,12.38B,24.98B,301.00M,523.00M,-0.02,-0.02,27.04B,5.562B,3.304B,2020-12,-12.00M,-177.00M,-177.00M,4.085B,1.534B,18.02B,15.00M,8.323B,-74.00M,-55.00M,28.29B,3.097B,25.77B,68.72B,1.00M,23.39B,21.58B,42.83B,45.33B,21.25B,3.289B,8.323B,9.696B
CNC,2020-09,293.00M,13.70B,25.18B,287.00M,582.00M,0.98,0.97,26.09B,3.757B,3.908B,2020-09,568.00M,-184.00M,-184.00M,3.757B,189.00M,17.78B,861.00M,8.027B,772.00M,207.00M,29.09B,2.883B,25.72B,68.36B,0,27.28B,21.80B,42.52B,41.09B,20.73B,3.047B,8.027B,11.67B
CNC,2020-06,245.00M,14.36B,22.86B,106.00M,448.00M,2.08,2.05,26.14B,2.544B,4.849B,2020-06,1.206B,-187.00M,-187.00M,2.544B,0,16.71B,2.018B,9.946B,1.944B,742.00M,27.71B,2.634B,25.06B,68.35B,0,26.82B,21.92B,43.18B,41.52B,21.26B,2.831B,9.946B,10.34B
CNC,2020-03,-5.00M,10.69B,22.87B,129.00M,526.00M,0.08,0.08,26.32B,2.439B,3.155B,2020-03,46.00M,-180.00M,-180.00M,2.439B,0,17.15B,260.00M,9.583B,131.00M,85.00M,26.02B,2.729B,23.55B,66.43B,0,24.70B,21.65B,42.78B,41.74B,21.12B,2.895B,9.583B,11.30B
CNC,2019-12,134.00M,12.99B,16.79B,249.00M,383.00M,0.5,0.49,8.926B,3.884B,2.074B,2019-12,209.00M,-113.00M,-113.00M,2.782B,0,14.26B,277.00M,4.827B,260.00M,58.00M,18.86B,1.733B,12.55B,40.99B,0,20.32B,12.93B,28.34B,20.67B,15.40B,1.797B,4.827B,6.247B
CNC,2019-09,145.00M,7.019B,16.85B,66.00M,381.00M,0.23,0.23,8.958B,1.993B,2.129B,2019-09,95.00M,-99.00M,-99.00M,1.993B,0,6.975B,447.00M,4.858B,175.00M,79.00M,18.98B,1.617B,12.31B,34.25B,0,13.46B,13.28B,21.85B,20.80B,8.567B,1.682B,4.858B,5.606B
CNC,2019-06,119.00M,7.64B,16.08B,87.00M,253.00M,1.2,1.18,9.289B,1.878B,2.281B,2019-06,495.00M,-101.00M,-101.00M,1.878B,0,7.047B,643.00M,4.866B,662.00M,170.00M,18.36B,1.574B,12.15B,34.37B,0,13.60B,12.65B,22.12B,20.77B,9.467B,1.638B,4.866B,5.194B
CNC,2019-03,38.00M,7.042B,16.08B,40.00M,363.00M,1.26,1.24,9.189B,1.80B,2.359B,2019-03,522.00M,-99.00M,-99.00M,1.80B,0,6.775B,685.00M,5.359B,685.00M,166.00M,18.44B,1.609B,11.54B,33.57B,0,13.62B,13.14B,21.94B,19.95B,8.792B,1.674B,5.359B,5.819B
CNC,2018-12,-56.00M,6.064B,14.38B,38.00M,385.00M,0.585,0.575,9.254B,2.506B,2.183B,2018-12,241.00M,-98.00M,-98.00M,1.706B,0,6.648B,388.00M,4.717B,357.00M,116.00M,16.56B,1.733B,10.92B,30.90B,0,12.00B,11.97B,19.89B,18.90B,7.917B,1.795B,4.717B,5.15B
CNC,2018-09,-79.00M,7.441B,13.96B,4.00M,286.00M,0.05,0.05,9.226B,1.584B,2.218B,2018-09,19.00M,-97.00M,-97.00M,1.584B,0,6.379B,41.00M,5.468B,24.00M,8.00M,16.18B,2.112B,10.65B,31.16B,0,13.09B,12.74B,20.41B,18.07B,7.666B,2.177B,5.468B,4.647B
