Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CNP,2020-12,-90.00M,1.018B,1.336B,1.919B,119.00M,0.28,0.27,4.697B,32.51B,718.00M,2020-12,500.00M,200.00M,-118.00M,-118.00M,22.36B,3.603B,11.52B,285.00M,1.399B,254.00M,54.00M,2.054B,8.348B,33.47B,2.369B,2.92B,4.825B,25.12B,30.55B,20.30B,433.00M,1.254B,1.263B
CNP,2020-09,-82.00M,1.021B,892.00M,1.375B,120.00M,0.13,0.13,4.749B,31.82B,730.00M,2020-09,534.00M,121.00M,-127.00M,-127.00M,21.74B,3.575B,11.95B,302.00M,987.00M,117.00M,-10.00M,1.622B,8.388B,32.70B,2.461B,2.785B,3.83B,24.32B,29.92B,20.49B,428.00M,870.00M,1.117B
CNP,2020-06,-84.00M,921.00M,914.00M,1.949B,124.00M,0.11,0.11,4.697B,31.35B,661.00M,2020-06,462.00M,105.00M,-134.00M,-134.00M,21.35B,3.491B,10.94B,235.00M,1.07B,164.00M,29.00M,1.575B,8.392B,32.15B,2.446B,2.501B,4.309B,23.76B,29.65B,19.45B,426.00M,911.00M,1.01B
CNP,2020-03,-100.00M,898.00M,1.347B,1.426B,124.00M,-2.44,-2.44,4.753B,30.83B,820.00M,2020-03,375.00M,-1.199B,-146.00M,-146.00M,20.98B,3.562B,13.83B,402.00M,1.042B,-1.40B,-347.00M,2.167B,6.97B,33.40B,1.745B,4.164B,4.042B,26.42B,29.23B,22.38B,418.00M,916.00M,1.124B
CNP,2019-12,-98.00M,1.063B,1.336B,868.00M,124.00M,0.25,0.25,4.882B,30.32B,683.00M,2019-12,472.00M,157.00M,-145.00M,-145.00M,20.62B,3.928B,14.24B,274.00M,1.281B,154.00M,17.00M,2.019B,8.359B,35.53B,1.745B,3.937B,3.978B,27.17B,31.59B,23.19B,409.00M,1.123B,1.277B
CNP,2019-09,-107.00M,1.005B,872.00M,868.00M,122.00M,0.48,0.47,5.535B,30.07B,786.00M,2019-09,572.00M,270.00M,-139.00M,-139.00M,20.33B,3.851B,14.01B,357.00M,1.202B,297.00M,46.00M,1.658B,8.346B,34.64B,1.745B,3.416B,3.434B,26.30B,31.23B,22.86B,429.00M,1.081B,1.563B
CNP,2019-06,-105.00M,958.00M,994.00M,488.00M,126.00M,0.33,0.33,5.549B,29.55B,664.00M,2019-06,479.00M,195.00M,-142.00M,-142.00M,19.93B,3.805B,14.12B,229.00M,1.251B,166.00M,15.00M,1.658B,8.257B,34.19B,1.745B,3.326B,2.996B,25.93B,30.86B,22.94B,435.00M,1.094B,1.607B
CNP,2019-03,-107.00M,878.00M,1.592B,402.00M,142.00M,0.28,0.28,5.651B,29.01B,637.00M,2019-03,371.00M,169.00M,-119.00M,-119.00M,19.51B,3.824B,13.76B,211.00M,1.522B,157.00M,14.00M,2.229B,8.216B,33.90B,1.745B,3.419B,3.139B,25.69B,30.48B,22.55B,426.00M,1.395B,1.866B
CNP,2018-12,-108.00M,4.771B,-1.825B,482.00M,86.00M,0.18,0.18,932.00M,20.27B,549.00M,2018-12,394.00M,120.00M,-87.00M,-87.00M,14.04B,3.239B,8.682B,204.00M,1.752B,218.00M,70.00M,-1.276B,8.058B,27.01B,1.745B,7.025B,3.302B,18.95B,19.98B,15.65B,345.00M,1.631B,1.568B
CNP,2018-09,-58.00M,920.00M,1.565B,531.00M,0,0.35,0.35,934.00M,19.86B,647.00M,2018-09,405.00M,158.00M,-106.00M,-106.00M,13.65B,3.22B,7.252B,226.00M,940.00M,209.00M,51.00M,2.212B,5.508B,22.23B,794.00M,2.726B,2.581B,16.72B,19.50B,14.14B,421.00M,860.00M,1.168B
