Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
COF,2020-12,3.494B,140.95B,0,5.36,5.35,15.11B,8.993B,2020-12,2.566B,238.77B,4.287B,39.87B,352.00M,3.064B,496.00M,7.212B,2.613B,60.20B,421.60B,7.00M,142.42B,1.02B,361.40B,379.36B,345.31B,2.566B,352.00M,1.471B
COF,2020-09,3.833B,143.96B,0,5.07,5.06,15.07B,9.188B,2020-09,2.406B,235.53B,4.333B,42.09B,332.00M,3.502B,1.096B,7.238B,2.312B,58.42B,421.88B,7.00M,145.51B,1.034B,363.46B,375.33B,347.82B,2.27B,332.00M,1.551B
COF,2020-06,3.981B,143.68B,0,-2.21,-2.21,15.11B,8.727B,2020-06,-918.00M,235.39B,4.324B,44.33B,380.00M,-1.46B,-543.00M,6.414B,2.285B,56.04B,421.30B,7.00M,145.25B,953.00M,365.25B,363.16B,348.56B,2.23B,380.00M,1.574B
COF,2020-03,3.679B,106.36B,0,-3.1,-3.1,15.11B,0,2020-03,-1.34B,249.97B,4.336B,55.28B,359.00M,-1.903B,-563.00M,7.069B,2.42B,56.83B,396.88B,7.00M,108.05B,758.00M,340.05B,369.89B,324.97B,2.363B,359.00M,1.687B
COF,2019-12,1.156B,92.62B,0,2.26,2.25,15.13B,0,2019-12,1.176B,259.00B,4.378B,55.38B,439.00M,1.448B,270.00M,7.229B,2.708B,58.01B,390.36B,7.00M,94.38B,753.00M,332.35B,374.86B,318.08B,2.654B,439.00M,1.758B
COF,2019-09,453.00M,63.29B,0,2.71,2.69,15.10B,0,2019-09,1.333B,243.56B,4.311B,49.68B,370.00M,1.704B,375.00M,6.759B,2.418B,58.24B,378.81B,7.00M,64.92B,834.00M,320.58B,359.65B,306.83B,2.342B,370.00M,1.627B
COF,2019-06,170.00M,60.77B,0,3.26,3.24,15.02B,0,2019-06,1.625B,239.16B,4.243B,48.87B,437.00M,2.003B,387.00M,6.942B,2.433B,55.77B,373.62B,7.00M,62.31B,796.00M,317.85B,356.25B,303.41B,2.365B,437.00M,1.544B
COF,2019-03,-660.00M,63.36B,0,2.87,2.86,15.05B,0,2019-03,1.412B,233.86B,4.205B,50.02B,382.00M,1.719B,309.00M,6.901B,2.393B,53.48B,373.19B,7.00M,64.97B,717.00M,319.71B,352.14B,305.13B,2.32B,382.00M,1.615B
COF,2018-12,-1.263B,59.34B,0,2.49,2.48,15.07B,0,2018-12,1.261B,239.87B,4.191B,58.55B,458.00M,1.243B,-21.00M,6.808B,2.502B,51.67B,372.54B,7.00M,60.95B,810.00M,320.87B,357.44B,308.32B,2.455B,458.00M,1.614B
COF,2018-09,-1.877B,58.27B,0,3.01,2.99,14.51B,0,2018-09,1.502B,232.94B,4.149B,51.82B,391.00M,1.921B,420.00M,6.71B,2.247B,50.64B,362.91B,7.00M,59.78B,775.00M,312.27B,349.76B,299.02B,2.203B,391.00M,1.518B
COF,2018-06,-1.793B,62.96B,0,3.74,3.71,14.53B,8.264B,2018-06,1.906B,230.24B,4.095B,52.76B,450.00M,2.492B,575.00M,7.023B,2.172B,49.93B,363.99B,7.00M,64.46B,1.003B,314.06B,349.20B,300.98B,2.126B,450.00M,1.493B
COF,2018-03,-1.599B,61.16B,0,2.64,2.62,14.54B,7.487B,2018-03,1.346B,242.19B,4.055B,50.04B,353.00M,1.662B,319.00M,6.632B,2.24B,49.20B,362.86B,7.00M,62.66B,1.009B,313.65B,347.04B,300.88B,2.187B,353.00M,1.496B
COF,2017-12,-926.00M,51.70B,0,-2.17,-2.17,14.53B,0,2017-12,-971.00M,247.94B,4.033B,59.70B,413.00M,1.308B,2.17B,6.727B,2.287B,48.73B,365.69B,7.00M,53.23B,989.00M,316.96B,349.80B,303.41B,2.259B,413.00M,1.536B
COF,2017-09,-622.00M,48.23B,0,2.16,2.14,14.53B,0,2017-09,1.107B,246.57B,3.955B,58.69B,301.00M,1.585B,448.00M,6.736B,2.197B,50.15B,361.40B,7.00M,49.65B,1.068B,311.25B,351.19B,297.75B,2.169B,301.00M,1.426B
COF,2017-06,-683.00M,47.84B,0,1.96,1.94,14.52B,0,2017-06,1.036B,237.91B,3.825B,49.00B,376.00M,1.49B,443.00M,6.47B,2.107B,49.14B,350.59B,7.00M,49.18B,1.334B,301.46B,342.23B,288.76B,2.09B,376.00M,1.346B
COF,2017-03,-934.00M,50.58B,0,1.56,1.54,14.52B,0,2017-03,810.00M,234.34B,3.727B,47.39B,260.00M,1.109B,314.00M,6.314B,2.155B,48.04B,348.55B,7.00M,51.94B,1.306B,300.51B,337.38B,288.58B,2.139B,260.00M,1.368B
COF,2016-12,-949.00M,50.71B,0,1.47,1.45,14.52B,0,2016-12,791.00M,240.13B,3.675B,59.47B,327.00M,1.135B,342.00M,6.346B,2.207B,47.51B,357.03B,7.00M,52.06B,1.319B,309.52B,343.19B,296.24B,2.233B,327.00M,1.351B
COF,2016-09,121.00M,50.60B,0,1.92,1.9,14.49B,0,2016-09,1.005B,232.76B,3.561B,58.74B,237.00M,1.512B,496.00M,6.222B,2.001B,48.21B,345.06B,7.00M,51.86B,1.316B,296.85B,334.43B,284.72B,2.013B,237.00M,1.251B
COF,2016-06,241.00M,47.05B,0,1.7,1.69,14.50B,0,2016-06,942.00M,229.94B,3.556B,58.18B,301.00M,1.367B,424.00M,6.048B,1.996B,48.11B,339.12B,7.00M,48.34B,1.30B,291.01B,330.47B,279.24B,2.002B,301.00M,1.236B
COF,2016-03,-41.00M,45.24B,0,1.85,1.84,14.49B,0,2016-03,1.013B,223.45B,3.542B,49.58B,217.00M,1.47B,452.00M,6.032B,1.978B,47.71B,330.35B,7.00M,46.55B,1.134B,282.64B,322.93B,271.36B,1.989B,217.00M,1.221B
COF,2015-12,-616.00M,47.08B,0,1.6,1.58,14.48B,6.999B,2015-12,920.00M,225.62B,3.584B,58.13B,299.00M,1.334B,426.00M,6.007B,2.198B,47.28B,334.05B,6.00M,48.27B,1.28B,286.76B,323.82B,275.86B,2.202B,299.00M,1.189B
