Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
COG,2020-12,2.419M,140.11M,260.58M,191.99M,0,0.33,0.33,7.245B,196.20M,2020-12,15.27M,131.21M,-10.98M,-10.98M,4.078B,804.78M,975.55M,163.24M,183.96M,151.85M,20.65M,456.78M,24.53M,2.216B,4.524B,47.78M,415.72M,390.23M,2.308B,4.108B,1.918B,32.96M,75.00M,220.90M
COG,2020-09,0.929M,0.17M,266.83M,192.03M,0,-0.04,-0.04,7.185B,24.21M,2020-09,14.93M,-14.96M,-14.39M,-14.39M,4.069B,776.98M,1.004B,-7.564M,162.45M,-21.98M,-7.018M,291.04M,24.26M,2.118B,4.419B,47.75M,322.55M,385.93M,2.301B,4.097B,1.915B,31.78M,76.06M,293.55M
COG,2020-06,1.073M,117.16M,247.29M,178.66M,0,0.08,0.08,7.055B,85.05M,2020-06,17.95M,30.37M,-14.54M,-14.54M,4.037B,781.16M,1.077B,53.96M,186.27M,39.12M,8.751M,332.35M,23.17M,2.166B,4.528B,47.75M,463.93M,381.39M,2.362B,4.064B,1.981B,31.10M,70.06M,273.26M
COG,2020-03,1.224M,202.84M,260.71M,178.44M,0,0.14,0.13,6.889B,125.75M,2020-03,18.25M,53.91M,-14.21M,-14.21M,3.956B,770.41M,1.077B,86.39M,195.56M,72.12M,18.21M,386.46M,33.43M,2.168B,4.522B,47.75M,541.79M,387.18M,2.354B,3.980B,1.967B,39.36M,83.39M,292.25M
COG,2019-12,1.36M,200.23M,277.76M,90.12M,0,0.36,0.36,6.783B,183.60M,2019-12,13.93M,146.94M,-14.65M,-14.65M,3.892B,729.12M,1.166B,152.90M,215.18M,207.42M,60.48M,461.37M,22.50M,2.151B,4.487B,47.69M,568.25M,328.03M,2.336B,3.919B,2.008B,30.70M,97.74M,338.82M
COG,2019-09,4.027M,82.32M,275.75M,91.28M,0,0.22,0.22,6.643B,153.36M,2019-09,18.20M,90.36M,-13.55M,-13.55M,3.825B,673.26M,1.166B,125.88M,184.59M,116.08M,25.72M,429.11M,18.39M,2.214B,4.443B,47.69M,421.68M,294.78M,2.229B,4.021B,1.934B,27.48M,80.95M,292.27M
COG,2019-06,4.164M,241.39M,255.93M,5.782M,0,0.43,0.43,6.455B,278.19M,2019-06,19.38M,181.01M,-14.57M,-14.57M,3.739B,639.51M,1.253B,247.16M,209.37M,236.10M,55.09M,534.12M,22.89M,2.345B,4.564B,47.69M,631.33M,234.03M,2.219B,3.932B,1.985B,31.03M,92.88M,305.24M
COG,2019-03,4.30M,314.89M,247.92M,7.517M,0,0.62,0.62,6.243B,393.76M,2019-03,18.28M,262.76M,-12.18M,-12.18M,3.617B,576.32M,1.254B,350.78M,216.32M,340.63M,77.87M,641.68M,31.09M,2.321B,4.482B,47.68M,680.19M,240.32M,2.161B,3.801B,1.920B,42.98M,107.06M,332.04M
COG,2018-12,4.437M,2.287M,292.80M,0,0,0.64,0.64,6.006B,423.50M,2018-12,11.08M,275.04M,-15.62M,-15.62M,3.464B,484.38M,1.226B,340.01M,265.50M,324.94M,49.89M,716.30M,30.63M,2.088B,4.199B,47.61M,544.54M,287.26M,2.111B,3.654B,1.823B,83.49M,149.66M,471.65M
COG,2018-09,2.112M,316.08M,361.14M,67.00M,0,0.28,0.28,5.778B,184.03M,2018-09,12.48M,122.34M,-14.19M,-14.19M,3.366B,386.54M,1.219B,150.41M,274.21M,161.74M,39.41M,545.17M,20.72M,2.094B,4.179B,47.61M,619.86M,366.10M,2.085B,3.559B,1.719B,33.62M,184.25M,288.62M
