Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
COO,2021-01,-381.30M,119.10M,229.80M,435.40M,42.77,42.31,3.912B,2.826B,450.70M,2021-01,570.50M,2.101B,-6.40M,-6.40M,1.575B,21.60M,1.660B,133.40M,137.40M,139.50M,-1.962B,21.40M,680.50M,261.20M,5.990B,8.922B,5.30M,1.297B,961.30M,2.932B,7.624B,1.971B,317.30M,137.40M,461.20M
COO,2020-10,-472.00M,115.90M,257.60M,442.60M,1.654,1.64,3.736B,2.735B,424.00M,2020-10,570.40M,81.20M,-6.70M,-6.70M,1.542B,25.80M,1.621B,100.10M,176.00M,93.70M,12.50M,25.50M,681.60M,264.20M,3.825B,6.738B,5.30M,1.274B,1.004B,2.913B,5.463B,1.908B,323.90M,176.00M,435.40M
COO,2020-07,-444.70M,127.40M,217.40M,584.90M,1.13,1.12,3.756B,2.661B,360.80M,2020-07,594.90M,55.20M,-5.70M,-5.70M,1.497B,28.50M,1.564B,72.00M,180.20M,66.40M,11.20M,21.80M,578.20M,232.80M,3.760B,6.748B,5.30M,1.321B,1.129B,2.988B,5.427B,1.859B,288.80M,180.20M,450.50M
COO,2020-04,-512.80M,79.80M,201.40M,586.00M,0.23,0.23,3.738B,2.565B,323.50M,2020-04,568.20M,11.50M,-12.80M,-12.80M,1.452B,26.80M,1.578B,28.60M,128.70M,9.00M,-2.50M,23.80M,524.90M,237.20M,3.627B,6.51B,5.30M,1.166B,1.025B,2.882B,5.344B,1.857B,294.90M,128.70M,368.80M
COO,2020-01,-430.40M,76.80M,219.70M,574.50M,1.84,1.82,3.820B,2.531B,426.50M,2020-01,526.50M,90.50M,-11.60M,-11.60M,1.432B,27.60M,1.475B,111.10M,141.70M,97.40M,6.90M,22.20M,646.20M,258.30M,3.731B,6.548B,5.30M,1.150B,1.068B,2.818B,5.399B,1.749B,315.40M,141.70M,408.00M
COO,2019-10,-447.10M,89.00M,236.60M,563.70M,2.464,2.42,3.834B,2.194B,455.00M,2019-10,506.90M,121.00M,-14.70M,-14.70M,1.132B,28.00M,1.263B,147.00M,150.10M,128.50M,7.50M,23.30M,691.60M,249.60M,3.628B,6.274B,5.30M,1.163B,1.111B,2.646B,5.111B,1.535B,308.00M,150.10M,435.30M
COO,2019-07,-481.80M,112.70M,228.70M,390.00M,2.43,2.4,3.83B,2.087B,450.70M,2019-07,502.10M,120.10M,-16.70M,-16.70M,1.065B,31.50M,1.423B,142.20M,141.50M,127.00M,6.90M,21.50M,679.40M,249.80M,3.615B,6.173B,5.30M,1.151B,889.40M,2.557B,5.022B,1.668B,308.50M,141.50M,404.70M
COO,2019-04,-416.60M,104.60M,221.70M,454.60M,2.48,2.45,3.913B,2.038B,432.60M,2019-04,493.10M,122.40M,-18.50M,-18.50M,1.033B,33.30M,1.472B,127.90M,129.20M,128.10M,5.70M,21.00M,654.30M,246.80M,3.542B,6.203B,5.30M,1.137B,940.90M,2.661B,5.067B,1.720B,304.70M,129.20M,396.20M
COO,2019-01,-398.00M,146.60M,209.60M,445.50M,2.09,2.07,3.963B,2.009B,418.50M,2019-01,486.20M,103.20M,-18.20M,-18.20M,1.024B,34.60M,1.687B,110.90M,129.60M,93.80M,-9.40M,21.00M,628.10M,250.00M,3.425B,6.299B,5.30M,1.193B,938.60M,2.873B,5.106B,1.934B,307.60M,129.60M,389.70M
COO,2018-10,-430.70M,77.70M,221.40M,37.10M,2.045,2.02,3.913B,1.930B,430.10M,2018-10,468.80M,100.70M,-22.80M,-22.80M,976.00M,31.00M,1.986B,122.70M,146.40M,112.70M,12.00M,22.60M,651.50M,248.60M,3.308B,6.113B,5.30M,1.091B,536.50M,2.805B,5.022B,2.268B,307.40M,146.40M,374.70M
