Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
COST,2021-02,-961.00M,9.254B,39.08B,95.00M,2.048B,2.15,2.14,0,25.42B,5.691B,2021-02,13.86B,951.00M,-29.00M,-29.00M,25.42B,0,10.17B,1.34B,20.06B,1.319B,348.00M,44.77B,4.342B,15.65B,54.92B,4.00M,26.31B,26.56B,38.79B,28.61B,12.22B,4.351B,14.38B,1.934B
COST,2020-11,-1.101B,14.42B,37.46B,96.00M,1.985B,2.63,2.62,0,25.07B,5.75B,2020-11,14.90B,1.166B,-29.00M,-29.00M,25.07B,0,10.10B,1.43B,22.05B,1.42B,239.00M,43.21B,4.298B,14.86B,60.22B,4.00M,32.10B,32.67B,44.91B,28.12B,12.24B,4.32B,17.01B,1.646B
COST,2020-08,-1.297B,13.30B,46.40B,95.00M,1.851B,3.14,3.13,0,37.49B,6.982B,2020-08,12.24B,1.389B,-34.00M,-34.00M,24.60B,0,10.07B,1.929B,19.17B,1.869B,465.00M,53.38B,5.027B,18.28B,55.56B,4.00M,28.12B,24.84B,36.85B,27.44B,12.01B,5.053B,14.17B,1.55B
COST,2020-05,-1.678B,11.77B,32.25B,1.497B,1.832B,1.9,1.89,0,36.86B,5.017B,2020-05,11.01B,838.00M,-27.00M,-27.00M,24.28B,0,10.13B,1.179B,15.39B,1.163B,311.00M,37.27B,3.83B,16.80B,51.73B,4.00M,25.25B,22.78B,34.53B,26.48B,11.75B,3.838B,10.81B,1.507B
COST,2020-02,-1.28B,8.715B,34.06B,500.00M,1.865B,2.1,2.1,0,36.46B,5.016B,2020-02,11.85B,931.00M,-4.00M,-4.00M,24.08B,0,7.545B,1.266B,15.73B,1.277B,330.00M,39.07B,3.743B,16.61B,48.78B,4.00M,23.70B,22.70B,31.78B,25.08B,9.088B,3.75B,11.07B,1.988B
COST,2019-11,-1.321B,10.02B,32.23B,1.70B,1.817B,1.91,1.9,0,35.91B,4.807B,2019-11,13.82B,844.00M,-6.00M,-6.00M,23.83B,0,7.549B,1.061B,18.79B,1.058B,202.00M,37.04B,3.732B,15.86B,51.43B,4.00M,26.64B,26.26B,35.21B,24.79B,8.942B,3.746B,14.44B,1.711B
COST,2019-08,-1.436B,9.444B,41.31B,1.699B,1.711B,2.49,2.47,0,32.63B,6.188B,2019-08,11.40B,1.097B,0,0,20.89B,0,5.124B,1.463B,16.04B,1.492B,382.00M,47.50B,4.684B,15.24B,45.40B,4.00M,23.48B,23.24B,29.82B,21.92B,6.579B,4.725B,11.68B,1.535B
COST,2019-05,-1.321B,8.167B,30.23B,1.699B,1.761B,2.06,2.05,0,32.22B,4.507B,2019-05,11.30B,906.00M,-8.00M,-8.00M,20.48B,0,4.799B,1.122B,15.38B,1.123B,207.00M,34.74B,3.371B,14.49B,43.75B,4.00M,22.28B,22.83B,28.93B,21.47B,6.10B,3.385B,11.33B,1.704B
COST,2019-02,-1.28B,7.122B,30.72B,1.698B,1.735B,2.02,2.01,0,31.70B,4.676B,2019-02,11.36B,889.00M,-1.00M,-1.00M,20.14B,0,4.794B,1.203B,15.01B,1.215B,314.00M,35.40B,3.464B,13.86B,42.80B,4.00M,21.65B,22.45B,28.62B,21.15B,6.166B,3.473B,10.71B,1.995B
COST,2018-11,-1.331B,7.953B,30.62B,0,1.695B,1.75,1.73,0,31.14B,4.446B,2018-11,12.20B,767.00M,-15.00M,-15.00M,19.88B,0,6.48B,949.00M,17.19B,935.00M,158.00M,35.07B,3.475B,13.17B,43.81B,4.00M,22.95B,22.47B,30.34B,20.86B,7.862B,3.497B,13.13B,1.795B
