Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CPRT,2021-01,-106.72M,616.40M,309.53M,23.80M,14.43M,0.82,0.81,391.24M,2.964B,307.50M,2021-01,30.20M,193.44M,-4.849M,-4.849M,2.283B,81.32M,488.01M,258.22M,332.78M,252.45M,59.01M,617.03M,49.28M,2.943B,3.934B,0.024M,1.225B,371.02M,991.85M,2.709B,620.83M,49.28M,332.78M,468.90M
CPRT,2020-10,-128.49M,605.73M,296.17M,25.60M,9.476M,0.85,0.83,388.44M,2.833B,296.77M,2020-10,28.24M,200.28M,-5.032M,-5.032M,2.184B,77.83M,500.34M,248.59M,372.46M,246.82M,46.53M,592.94M,48.18M,2.711B,3.741B,0.024M,1.138B,407.54M,1.030B,2.603B,622.82M,48.18M,372.46M,408.81M
CPRT,2020-07,-121.09M,477.72M,275.23M,25.57M,97.25M,0.7,0.69,391.39M,2.685B,250.43M,2020-07,20.08M,165.53M,-4.803M,-4.803M,2.060B,71.69M,492.62M,205.72M,191.17M,201.88M,36.35M,525.66M,44.72M,2.490B,3.455B,0.024M,963.76M,356.04M,965.74M,2.492B,609.70M,44.72M,153.66M,376.95M
CPRT,2020-04,-138.92M,306.39M,307.75M,26.94M,7.884M,0.63,0.62,386.71M,2.544B,242.61M,2020-04,19.81M,147.49M,-5.578M,-5.578M,1.945B,57.72M,489.35M,195.10M,251.75M,191.80M,44.31M,550.36M,47.51M,2.281B,3.162B,0.023M,794.15M,286.57M,880.57M,2.367B,594.00M,47.51M,251.75M,377.82M
CPRT,2020-01,-119.87M,93.51M,315.25M,37.53M,7.603M,0.73,0.71,388.55M,2.473B,259.89M,2020-01,18.52M,168.71M,-4.464M,-4.464M,1.894B,55.50M,481.75M,209.89M,297.70M,205.07M,36.37M,575.14M,50.00M,2.125B,3.049B,0.023M,731.96M,342.84M,923.88M,2.317B,581.04M,50.00M,297.70M,514.38M
CPRT,2019-10,-119.29M,181.10M,299.56M,27.64M,5.113M,0.94,0.91,389.80M,1.682B,254.87M,2019-10,19.48M,218.18M,-4.026M,-4.026M,1.682B,53.68M,513.24M,205.39M,290.56M,202.08M,-16.10M,554.42M,49.48M,1.927B,2.856B,0.023M,744.08M,323.32M,929.34M,2.112B,606.02M,49.48M,290.56M,442.68M
CPRT,2019-07,-132.53M,186.32M,299.96M,1.138M,79.89M,0.67,0.64,388.48M,1.965B,242.62M,2019-07,20.94M,153.50M,-4.255M,-4.255M,1.428B,48.68M,400.09M,192.80M,159.58M,187.07M,33.57M,542.58M,49.82M,1.778B,2.548B,0.023M,687.17M,282.00M,769.24M,1.860B,487.23M,49.82M,121.31M,386.79M
CPRT,2019-04,-113.19M,102.83M,301.54M,7.556M,7.988M,0.85,0.81,395.35M,0,251.58M,2019-04,22.31M,192.74M,-5.084M,-5.084M,1.341B,40.16M,398.84M,207.49M,281.36M,204.13M,11.39M,553.12M,44.08M,1.619B,2.392B,0.023M,613.58M,296.91M,772.91M,1.778B,476.00M,44.08M,281.36M,395.47M
CPRT,2019-01,-107.22M,108.17M,276.67M,94.12M,7.344M,0.57,0.55,398.31M,0,208.23M,2019-01,28.32M,131.37M,-4.555M,-4.555M,1.237B,32.31M,398.74M,164.74M,270.57M,164.97M,33.59M,484.90M,43.49M,1.460B,2.297B,0.023M,628.47M,372.03M,836.95M,1.668B,464.92M,43.49M,270.57M,393.59M
CPRT,2018-10,-115.65M,320.31M,265.45M,0.999M,4.934M,0.49,0.47,398.02M,0,195.92M,2018-10,19.73M,114.08M,-3.691M,-3.691M,1.188B,23.82M,398.64M,151.44M,248.88M,148.79M,34.70M,461.37M,44.48M,1.672B,2.382B,0.023M,763.22M,254.81M,710.03M,1.619B,455.22M,44.48M,248.88M,336.03M
CPRT,2018-07,-107.93M,274.52M,260.80M,1.151M,66.93M,0.47,0.45,402.13M,1.654B,188.42M,2018-07,16.73M,109.75M,-3.982M,-3.982M,1.163B,19.73M,398.75M,135.97M,171.96M,132.73M,22.99M,449.22M,52.46M,1.581B,2.308B,0.023M,709.12M,277.26M,726.60M,1.599B,449.34M,52.46M,134.39M,366.91M
CPRT,2018-04,-90.41M,204.28M,259.13M,1.151M,5.906M,0.55,0.52,411.84M,1.396B,219.07M,2018-04,17.03M,127.35M,-4.134M,-4.134M,1.088B,3.927M,398.91M,174.62M,263.52M,171.22M,43.81M,478.20M,44.45M,1.460B,2.165B,0.023M,630.90M,270.58M,704.38M,1.534B,433.80M,44.45M,263.52M,357.49M
