Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CSCO,2021-01,-218.00M,30.59B,4.176B,5.00B,11.55B,0.6,0.6,36.20B,11.07B,7.784B,2021-01,1.436B,2.545B,48.00M,48.00M,2.386B,9.294B,9.554B,3.457B,2.63B,3.255B,710.00M,1.527B,11.96B,2.761B,39.12B,95.60B,41.69B,43.91B,27.27B,56.48B,51.69B,29.21B,4.327B,2.63B,9.334B
CSCO,2020-10,-447.00M,30.01B,4.348B,5.002B,11.27B,0.51,0.51,36.12B,11.02B,7.581B,2020-10,1.303B,2.174B,62.00M,62.00M,2.412B,9.202B,9.564B,3.172B,3.104B,2.681B,507.00M,1.612B,11.93B,2.761B,38.16B,95.00B,41.36B,42.99B,26.99B,56.85B,52.01B,29.86B,4.409B,3.104B,9.085B
CSCO,2020-07,-519.00M,29.42B,4.47B,3.005B,11.41B,0.62,0.62,35.38B,11.01B,7.684B,2020-07,1.282B,2.636B,68.00M,68.00M,2.453B,9.04B,11.58B,3.374B,3.057B,3.306B,670.00M,1.565B,12.15B,2.712B,37.92B,94.85B,41.20B,43.57B,25.33B,56.93B,51.28B,31.60B,4.31B,3.057B,10.52B
CSCO,2020-04,-1.109B,28.57B,4.212B,4.506B,10.71B,0.66,0.65,35.20B,11.14B,7.771B,2020-04,1.212B,2.774B,88.00M,88.00M,2.535B,7.938B,11.58B,3.542B,3.44B,3.444B,670.00M,1.546B,11.98B,2.649B,35.71B,91.39B,40.69B,41.31B,25.94B,55.69B,50.09B,29.75B,4.229B,3.44B,9.272B
CSCO,2020-01,-700.00M,27.06B,4.241B,1.499B,10.64B,0.68,0.68,35.52B,11.34B,7.764B,2020-01,1.353B,2.878B,84.00M,84.00M,2.621B,8.048B,14.49B,3.422B,2.754B,3.534B,656.00M,1.57B,12.00B,2.734B,35.53B,90.43B,40.62B,40.05B,22.09B,54.89B,50.37B,32.80B,4.342B,2.754B,9.157B
CSCO,2019-10,-815.00M,28.04B,4.695B,4.00B,10.65B,0.69,0.68,35.68B,11.81B,8.464B,2019-10,1.344B,2.926B,95.00M,95.00M,2.669B,7.956B,14.50B,3.763B,2.81B,3.686B,760.00M,1.666B,13.16B,2.999B,34.42B,92.49B,40.32B,41.72B,24.60B,58.07B,50.78B,33.47B,4.701B,2.81B,9.904B
CSCO,2019-07,-792.00M,33.41B,4.854B,10.19B,10.67B,0.52,0.51,35.73B,12.04B,8.574B,2019-07,1.383B,2.206B,101.00M,101.00M,2.789B,7.799B,14.48B,3.73B,3.208B,3.704B,1.498B,1.753B,13.43B,3.053B,33.57B,97.79B,40.27B,47.76B,31.71B,64.22B,50.04B,32.51B,4.844B,3.208B,10.59B
CSCO,2019-04,-896.00M,34.64B,4.785B,7.777B,10.12B,0.7,0.69,35.94B,12.12B,8.173B,2019-04,1.513B,3.044B,120.00M,120.00M,2.834B,7.339B,15.92B,3.531B,2.975B,3.615B,571.00M,1.659B,12.96B,2.944B,36.80B,97.29B,40.58B,47.31B,27.91B,60.48B,49.98B,32.57B,4.642B,2.975B,8.824B
CSCO,2019-01,-1.11B,40.38B,4.673B,9.737B,9.976B,0.63,0.63,35.56B,12.21B,7.773B,2019-01,1.701B,2.822B,105.00M,105.00M,2.931B,7.285B,15.89B,3.397B,2.765B,3.343B,521.00M,1.557B,12.45B,2.78B,40.79B,102.46B,41.36B,53.12B,29.48B,61.67B,49.34B,32.19B,4.376B,2.765B,8.802B
CSCO,2018-10,-1.218B,42.59B,4.926B,7.241B,9.637B,0.78,0.77,36.10B,12.29B,8.146B,2018-10,1.572B,3.549B,123.00M,123.00M,2.956B,7.177B,18.32B,3.883B,2.889B,3.909B,360.00M,1.608B,13.07B,2.621B,43.85B,105.43B,41.90B,55.69B,26.41B,61.58B,49.74B,35.17B,4.263B,2.889B,9.387B
CSCO,2018-07,-849.00M,46.55B,4.922B,5.238B,11.49B,0.81,0.81,34.26B,12.24B,7.922B,2018-07,1.846B,3.803B,129.00M,129.00M,3.006B,8.195B,20.33B,3.372B,2.908B,3.592B,-211.00M,1.626B,12.84B,2.891B,43.20B,108.78B,42.82B,61.84B,27.04B,65.58B,46.95B,38.54B,4.55B,2.908B,10.50B
CSCO,2018-04,-604.00M,54.43B,4.704B,7.736B,11.30B,0.56,0.56,34.34B,12.33B,7.759B,2018-04,1.90B,2.691B,143.00M,143.00M,3.082B,7.652B,20.34B,3.216B,2.514B,3.253B,562.00M,1.59B,12.46B,2.886B,46.66B,114.01B,43.56B,67.14B,28.64B,67.35B,46.87B,38.70B,4.543B,2.514B,9.142B
CSCO,2018-01,83.00M,73.68B,4.389B,13.74B,11.10B,-1.78,-1.78,32.86B,12.44B,7.498B,2018-01,1.896B,-8.778B,149.00M,149.00M,3.113B,7.686B,25.62B,3.171B,3.264B,3.232B,12.01B,1.549B,11.89B,2.718B,51.98B,131.51B,44.54B,86.05B,35.36B,79.53B,45.46B,44.16B,4.327B,3.264B,8.888B
CSCO,2017-10,31.00M,71.59B,4.709B,10.24B,10.92B,0.48,0.48,32.91B,12.53B,7.427B,2017-10,1.693B,2.394B,144.00M,144.00M,3.202B,7.645B,25.68B,2.908B,1.241B,2.962B,568.00M,1.567B,12.14B,2.891B,65.55B,130.52B,44.87B,84.08B,29.28B,64.97B,46.44B,35.69B,4.519B,1.241B,9.244B
CSCO,2017-07,46.00M,70.49B,4.587B,7.992B,10.82B,0.49,0.48,32.30B,12.82B,7.546B,2017-07,1.616B,2.424B,138.00M,138.00M,3.322B,7.673B,25.72B,3.176B,1.483B,3.18B,756.00M,1.499B,12.13B,2.813B,66.14B,129.82B,45.25B,83.70B,27.58B,63.68B,46.12B,36.10B,4.37B,1.483B,10.00B
CSCO,2017-04,-342.00M,67.97B,4.422B,4.248B,10.34B,0.5,0.5,32.22B,12.70B,7.518B,2017-04,1.366B,2.515B,135.00M,135.00M,3.395B,6.978B,28.22B,3.239B,1.239B,3.191B,676.00M,1.507B,11.94B,2.713B,65.38B,125.95B,45.00B,79.96B,22.72B,60.57B,45.99B,37.85B,4.279B,1.239B,9.274B
CSCO,2017-01,-801.00M,71.84B,4.304B,4.451B,10.24B,0.47,0.47,28.94B,12.64B,7.276B,2017-01,1.264B,2.348B,107.00M,107.00M,3.422B,6.843B,30.47B,3.026B,1.014B,2.963B,615.00M,1.508B,11.58B,2.678B,63.81B,126.25B,44.58B,83.39B,22.71B,62.43B,42.86B,39.72B,4.25B,1.014B,8.954B
CSCO,2016-10,-524.00M,70.97B,4.468B,4.155B,10.22B,0.46,0.46,29.12B,12.67B,7.884B,2016-10,1.176B,2.322B,97.00M,97.00M,3.499B,6.736B,30.63B,3.288B,1.028B,2.953B,631.00M,1.545B,12.35B,2.973B,63.41B,126.29B,44.24B,83.14B,23.22B,62.87B,43.15B,39.66B,4.596B,1.028B,9.346B
CSCO,2016-07,-326.00M,65.76B,4.663B,4.16B,10.16B,0.56,0.56,29.13B,12.56B,7.975B,2016-07,1.217B,2.813B,93.00M,93.00M,3.506B,6.317B,24.48B,3.316B,1.573B,3.394B,581.00M,1.601B,12.64B,2.976B,63.59B,121.65B,44.52B,78.72B,24.91B,58.07B,42.93B,33.16B,4.659B,1.573B,10.12B
CSCO,2016-04,-227.00M,63.51B,4.279B,4.164B,9.662B,0.47,0.46,29.51B,12.64B,7.721B,2016-04,1.343B,2.349B,95.00M,95.00M,3.529B,5.61B,24.43B,3.001B,1.159B,3.083B,734.00M,1.626B,12.00B,3.013B,62.36B,118.65B,44.14B,78.57B,24.00B,56.30B,40.08B,32.29B,4.72B,1.159B,8.763B
CSCO,2016-01,-807.00M,60.38B,4.495B,3.008B,9.796B,0.62,0.62,27.28B,12.38B,7.432B,2016-01,1.362B,3.147B,75.00M,75.00M,3.386B,5.389B,21.59B,3.39B,1.332B,3.306B,159.00M,1.509B,11.93B,2.462B,60.87B,112.64B,43.86B,75.00B,22.80B,51.76B,37.64B,28.96B,4.042B,1.332B,8.816B
