Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CTSH,2020-12,110.00M,2.724B,2.662B,249.00M,383.00M,0.59,0.59,6.077B,4.586B,1.522B,2020-12,316.00M,11.00M,11.00M,2.264B,242.00M,1.509B,503.00M,1.30B,467.00M,152.00M,4.184B,874.00M,10.84B,16.92B,5.00M,6.851B,3.54B,6.087B,10.07B,2.547B,1.019B,423.00M,3.087B
CTSH,2020-09,-40.00M,4.575B,2.647B,251.00M,285.00M,0.64,0.64,6.018B,2.317B,1.596B,2020-09,348.00M,21.00M,21.00M,2.317B,342.00M,3.232B,654.00M,1.355B,624.00M,276.00M,4.243B,804.00M,11.14B,18.79B,5.00M,8.619B,3.296B,7.647B,10.17B,4.351B,942.00M,542.00M,3.118B
CTSH,2020-06,-188.00M,4.582B,2.615B,244.00M,319.00M,0.67,0.67,5.417B,2.347B,1.385B,2020-06,361.00M,28.00M,28.00M,2.347B,74.00M,3.223B,538.00M,1.508B,495.00M,134.00M,4.00B,711.00M,10.97B,18.22B,5.00M,8.531B,3.212B,7.244B,9.685B,4.032B,847.00M,689.00M,3.208B
CTSH,2020-03,-264.00M,4.282B,2.747B,235.00M,354.00M,0.67,0.67,5.019B,2.249B,1.478B,2020-03,367.00M,35.00M,35.00M,2.249B,73.00M,3.164B,634.00M,1.289B,510.00M,142.00M,4.225B,711.00M,10.61B,17.43B,5.00M,8.325B,2.872B,6.816B,9.104B,3.944B,844.00M,486.00M,3.22B
CTSH,2019-12,-38.00M,3.424B,2.749B,240.00M,313.00M,0.72,0.72,5.02B,4.277B,1.535B,2019-12,395.00M,34.00M,34.00M,2.235B,58.00M,1.445B,727.00M,1.183B,626.00M,174.00M,4.284B,676.00M,11.02B,16.20B,5.00M,7.611B,2.983B,5.182B,8.593B,2.199B,808.00M,391.00M,3.256B
CTSH,2019-09,-159.00M,3.077B,2.681B,233.00M,265.00M,0.9,0.9,4.886B,2.223B,1.567B,2019-09,497.00M,36.00M,36.00M,2.223B,128.00M,1.443B,734.00M,1.247B,658.00M,160.00M,4.248B,706.00M,10.70B,15.84B,6.00M,7.391B,2.919B,5.142B,8.453B,2.223B,833.00M,357.00M,3.438B
CTSH,2019-06,-70.00M,3.003B,2.629B,229.00M,285.00M,0.9,0.9,4.812B,2.184B,1.512B,2019-06,509.00M,39.00M,39.00M,2.184B,107.00M,1.397B,668.00M,1.232B,676.00M,167.00M,4.141B,719.00M,10.56B,15.52B,6.00M,7.206B,2.824B,4.96B,8.311B,2.136B,844.00M,362.00M,3.386B
CTSH,2019-03,-74.00M,3.668B,2.575B,203.00M,340.00M,0.77,0.77,4.823B,2.123B,1.535B,2019-03,441.00M,41.00M,41.00M,2.123B,241.00M,1.378B,541.00M,1.23B,583.00M,142.00M,4.11B,871.00M,11.14B,16.10B,6.00M,7.883B,2.72B,4.96B,8.213B,2.24B,994.00M,392.00M,3.377B
CTSH,2018-12,-114.00M,4.511B,2.54B,9.00M,286.00M,1.12,1.12,4.631B,3.184B,1.589B,2018-12,648.00M,41.00M,41.00M,1.394B,245.00M,736.00M,712.00M,1.174B,815.00M,168.00M,4.129B,757.00M,11.42B,15.85B,6.00M,8.61B,2.71B,4.422B,7.236B,1.712B,877.00M,377.00M,3.19B
CTSH,2018-09,-188.00M,4.763B,2.48B,100.00M,244.00M,0.82,0.82,4.058B,0,1.598B,2018-09,477.00M,41.00M,41.00M,1.362B,229.00M,624.00M,745.00M,1.229B,662.00M,185.00M,4.078B,734.00M,10.98B,15.27B,6.00M,8.727B,2.693B,4.296B,6.547B,1.603B,853.00M,381.00M,3.187B
CTSH,2018-06,-94.00M,4.247B,2.417B,100.00M,308.00M,0.78,0.78,4.096B,2.84B,1.589B,2018-06,456.00M,33.00M,33.00M,1.345B,222.00M,649.00M,670.00M,1.183B,623.00M,168.00M,4.006B,805.00M,10.65B,14.81B,6.00M,8.303B,2.537B,4.158B,6.503B,1.621B,919.00M,391.00M,3.204B
CTSH,2018-03,63.00M,4.83B,2.401B,100.00M,360.00M,0.89,0.88,3.668B,2.624B,1.511B,2018-03,520.00M,35.00M,35.00M,1.333B,183.00M,673.00M,693.00M,1.159B,697.00M,177.00M,3.912B,711.00M,10.99B,15.04B,6.00M,8.99B,2.469B,4.057B,6.055B,1.588B,818.00M,367.00M,3.145B
CTSH,2017-12,70.00M,5.056B,2.36B,175.00M,383.00M,-0.03,-0.03,3.685B,2.579B,1.468B,2017-12,-18.00M,31.00M,31.00M,1.324B,250.00M,698.00M,729.00M,1.004B,713.00M,732.00M,3.828B,628.00M,10.67B,15.22B,6.00M,9.111B,2.839B,4.552B,6.11B,1.713B,739.00M,258.00M,3.222B
CTSH,2017-09,44.00M,4.713B,2.337B,100.00M,333.00M,0.84,0.84,3.565B,2.479B,1.429B,2017-09,495.00M,28.00M,28.00M,1.304B,119.00M,723.00M,648.00M,903.00M,658.00M,164.00M,3.766B,674.00M,10.98B,14.58B,6.00M,8.557B,2.60B,3.601B,6.023B,1.001B,781.00M,209.00M,3.292B
CTSH,2017-06,33.00M,4.378B,2.261B,244.00M,337.00M,0.8,0.8,3.47B,2.406B,1.409B,2017-06,470.00M,25.00M,25.00M,1.284B,138.00M,747.00M,606.00M,802.00M,635.00M,165.00M,3.67B,709.00M,10.48B,13.94B,6.00M,8.099B,2.415B,3.455B,5.839B,1.04B,803.00M,194.00M,3.089B
CTSH,2017-03,-17.00M,4.274B,2.194B,437.00M,397.00M,0.92,0.92,3.486B,0,1.352B,2017-03,557.00M,26.00M,26.00M,1.306B,134.00M,772.00M,570.00M,881.00M,649.00M,92.00M,3.546B,686.00M,9.983B,13.63B,6.00M,7.842B,2.585B,3.646B,5.787B,1.061B,782.00M,201.00M,3.039B
