Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CTXS,2020-12,-3.649M,877.01M,133.44M,1.163B,1.510B,0.91,0.9,1.880B,1.258B,676.21M,2020-12,20.09M,112.09M,-15.94M,-15.94M,395.94M,392.36M,1.928B,135.28M,449.84M,119.15M,7.057M,132.52M,809.66M,407.71M,112.14M,4.890B,0.322M,1.991B,2.152B,4.778B,2.899B,2.626B,540.93M,135.03M,858.01M
CTXS,2020-09,-4.327M,924.78M,127.29M,1.155B,1.314B,0.8,0.78,1.886B,399.88M,639.88M,2020-09,15.89M,98.23M,-16.15M,-16.15M,399.88M,378.42M,1.927B,128.30M,606.94M,116.00M,17.77M,130.63M,767.17M,380.25M,68.80M,4.609B,0.322M,1.739B,1.921B,4.540B,2.870B,2.619B,511.58M,202.71M,564.78M
CTXS,2020-06,-6.465M,867.67M,122.24M,1.416B,1.378B,0.91,0.9,1.892B,412.44M,676.69M,2020-06,17.77M,112.91M,-16.49M,-16.49M,412.44M,409.61M,1.930B,153.20M,614.51M,129.10M,16.19M,140.48M,798.93M,382.32M,-93.60M,4.548B,0.321M,1.686B,1.993B,4.642B,2.862B,2.649B,523.49M,234.36M,614.15M
CTXS,2020-03,-7.81M,550.52M,115.58M,0,1.340B,1.45,1.42,1.900B,430.07M,745.37M,2020-03,17.32M,181.22M,-13.01M,-13.01M,430.07M,414.35M,1.932B,204.00M,533.59M,190.64M,9.417M,134.46M,860.94M,406.21M,-218.93M,4.331B,0.32M,1.461B,1.874B,4.550B,2.870B,2.676B,541.37M,171.21M,700.03M
CTXS,2019-12,-5.127M,588.82M,119.18M,0,1.352B,1.59,1.56,1.907B,1.244B,690.65M,2019-12,15.90M,207.11M,-6.743M,-6.743M,438.05M,443.46M,952.31M,191.59M,336.49M,175.96M,-31.15M,128.16M,809.82M,366.68M,837.66M,4.389B,0.319M,1.513B,1.829B,3.551B,2.876B,1.723B,499.06M,144.57M,720.36M
CTXS,2019-09,-6.482M,549.21M,126.92M,0,1.200B,2.08,2.04,1.917B,455.41M,605.98M,2019-09,18.52M,270.86M,-6.173M,-6.173M,455.41M,415.08M,963.74M,119.71M,413.19M,108.11M,-162.74M,126.42M,732.90M,354.92M,712.91M,4.031B,0.318M,1.194B,1.614B,3.318B,2.837B,1.704B,486.27M,118.27M,426.84M
CTXS,2019-06,-4.61M,563.14M,110.48M,0,1.289B,0.71,0.7,1.945B,436.40M,638.22M,2019-06,22.89M,93.50M,-6.419M,-6.419M,436.40M,455.80M,942.57M,121.39M,392.62M,107.24M,13.75M,134.03M,748.70M,379.59M,508.02M,3.935B,0.317M,1.272B,1.682B,3.427B,2.663B,1.746B,516.82M,108.23M,530.10M
CTXS,2019-03,-5.483M,1.786B,107.47M,0,1.303B,0.84,0.78,1.958B,435.08M,611.67M,2019-03,23.14M,110.35M,-8.359M,-8.359M,435.08M,453.51M,945.68M,125.68M,376.36M,118.18M,7.836M,130.26M,719.14M,352.20M,556.04M,5.167B,0.312M,2.453B,2.843B,4.611B,2.714B,1.769B,485.99M,83.70M,482.65M
CTXS,2018-12,-8.154M,1.202B,112.85M,0,1.345B,1.24,1.15,1.970B,984.98M,689.02M,2018-12,21.90M,165.72M,-8.321M,-8.321M,243.40M,489.33M,741.82M,206.06M,213.60M,187.62M,21.91M,116.93M,801.87M,361.92M,559.63M,5.136B,0.31M,2.087B,2.911B,4.576B,3.049B,1.665B,482.96M,119.96M,688.42M
CTXS,2018-09,-18.29M,1.834B,103.92M,0,1.212B,1.18,1.08,1.790B,0,628.56M,2018-09,21.39M,158.86M,-9.066M,-9.066M,247.54M,467.72M,741.55M,164.29M,394.91M,159.42M,0.558M,111.56M,732.48M,348.65M,772.51M,5.437B,0.308M,2.498B,3.023B,4.664B,2.939B,1.641B,464.27M,101.03M,413.51M
