Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CVS,2020-12,1.414B,10.85B,57.60B,7.078B,0.74,0.74,110.69B,52.04B,11.96B,2020-12,18.50B,973.00M,-678.00M,-678.00M,33.34B,6.794B,77.96B,2.524B,49.11B,1.225B,241.00M,69.55B,0,69.39B,230.72B,46.51B,56.37B,62.02B,161.01B,174.35B,99.00B,9.433B,34.87B,21.74B
CVS,2020-09,1.255B,12.09B,55.34B,7.232B,0.93,0.93,111.28B,32.83B,11.72B,2020-09,17.48B,1.224B,-731.00M,-731.00M,32.83B,7.253B,80.04B,3.249B,49.32B,1.806B,587.00M,67.06B,0,68.81B,232.90B,46.39B,59.21B,62.04B,163.79B,173.69B,101.74B,8.471B,34.99B,23.82B
CVS,2020-06,1.213B,17.46B,51.99B,9.958B,2.27,2.26,112.28B,32.79B,13.35B,2020-06,16.52B,2.975B,-765.00M,-765.00M,32.79B,7.136B,82.09B,4.68B,48.46B,3.96B,974.00M,65.34B,0,68.02B,235.50B,46.28B,62.51B,63.69B,167.14B,172.99B,103.45B,8.668B,32.82B,22.52B
CVS,2020-03,687.00M,12.71B,54.73B,7.845B,1.54,1.53,112.72B,32.82B,12.02B,2020-03,16.98B,2.007B,-733.00M,-733.00M,32.82B,7.121B,84.47B,3.458B,46.83B,2.779B,767.00M,66.76B,0,65.14B,230.64B,46.18B,58.96B,59.56B,165.16B,171.68B,105.60B,8.563B,33.26B,23.04B
CVS,2019-12,1.019B,8.056B,55.20B,5.377B,1.34,1.33,112.87B,49.79B,11.69B,2019-12,17.52B,1.747B,-734.00M,-734.00M,32.90B,7.294B,83.62B,3.037B,43.10B,2.334B,590.00M,66.89B,0,63.86B,222.45B,45.97B,50.30B,53.30B,158.28B,172.15B,104.98B,8.654B,30.97B,19.62B
CVS,2019-09,950.00M,7.527B,53.29B,6.646B,1.17,1.17,113.20B,32.41B,11.52B,2019-09,16.03B,1.53B,-747.00M,-747.00M,32.41B,7.279B,83.03B,2.928B,41.17B,2.133B,604.00M,64.81B,0,62.61B,220.11B,45.85B,48.18B,52.54B,157.18B,171.93B,104.64B,8.595B,29.56B,19.79B
CVS,2019-06,684.00M,8.525B,52.06B,6.133B,1.49,1.49,113.65B,32.35B,11.37B,2019-06,15.51B,1.936B,-772.00M,-772.00M,32.35B,7.375B,85.79B,3.332B,38.55B,2.591B,660.00M,63.43B,0,61.28B,218.90B,45.72B,46.90B,49.38B,157.30B,172.00B,107.93B,8.042B,27.99B,18.17B
CVS,2019-03,433.00M,8.322B,50.71B,8.701B,1.09,1.09,114.22B,32.34B,10.94B,2019-03,15.45B,1.421B,-782.00M,-782.00M,32.34B,7.54B,86.85B,2.69B,37.26B,1.939B,512.00M,61.65B,0,59.69B,219.77B,45.62B,47.86B,50.63B,159.76B,171.91B,109.13B,8.25B,26.82B,19.51B
CVS,2018-12,102.00M,6.581B,44.76B,1.985B,-0.37,-0.37,115.20B,26.87B,9.665B,2018-12,16.45B,-419.00M,-733.00M,-733.00M,11.35B,7.677B,71.44B,3.052B,37.15B,102.00M,524.00M,54.42B,0,58.22B,196.46B,45.44B,45.24B,44.01B,137.91B,151.21B,93.90B,6.613B,26.44B,17.63B
CVS,2018-09,129.00M,41.69B,39.94B,2.139B,1.36,1.36,47.38B,0,7.549B,2018-09,14.82B,1.39B,-674.00M,-674.00M,10.42B,3.052B,60.75B,2.574B,27.32B,1.899B,509.00M,47.49B,0,36.62B,131.51B,17.00M,71.98B,29.46B,94.88B,59.52B,65.42B,4.975B,21.16B,14.84B
