Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
D,2020-12,-1.717B,172.00M,1.795B,3.057B,0,0.8462,0.82,8.146B,82.96B,1.726B,2020-12,1.55B,682.00M,-241.00M,-241.00M,57.85B,5.953B,33.08B,937.00M,2.077B,1.021B,206.00M,3.521B,26.12B,95.90B,23.64B,6.886B,10.84B,69.44B,89.02B,58.60B,789.00M,944.00M,2.507B
D,2020-09,-2.016B,413.00M,1.631B,5.253B,0,0.41,0.41,7.395B,81.73B,1.976B,2020-09,1.565B,356.00M,-306.00M,-306.00M,56.79B,5.812B,32.26B,1.178B,1.884B,2.00M,-110.00M,3.607B,26.34B,104.54B,24.32B,19.83B,17.56B,76.47B,84.71B,58.91B,798.00M,738.00M,2.176B
D,2020-06,-1.98B,675.00M,1.585B,3.41B,0,-1.41,-1.41,8.946B,96.53B,2.00B,2020-06,1.735B,-1.169B,-449.00M,-449.00M,67.98B,5.921B,37.15B,1.071B,1.808B,-1.688B,-556.00M,3.585B,28.87B,103.73B,26.37B,6.124B,9.537B,72.84B,97.60B,63.31B,929.00M,797.00M,2.273B
D,2020-03,-2.018B,1.192B,2.14B,5.109B,0,-0.34,-0.34,8.946B,95.34B,2.356B,2020-03,1.677B,-270.00M,-490.00M,-490.00M,67.40B,6.158B,34.62B,1.399B,1.931B,-258.00M,-19.00M,4.496B,30.73B,104.13B,26.29B,6.536B,10.45B,71.37B,97.59B,60.93B,957.00M,842.00M,2.425B
D,2019-12,-1.793B,135.00M,2.055B,3.311B,0,1.311,1.311,8.08B,82.04B,1.84B,2019-12,1.616B,1.009B,-353.00M,-353.00M,57.20B,6.277B,28.90B,1.085B,2.307B,868.00M,48.00M,3.895B,31.99B,103.82B,26.21B,6.096B,9.94B,69.79B,97.73B,59.85B,755.00M,1.023B,2.425B
D,2019-09,-1.777B,378.00M,1.805B,7.244B,0,1.19,1.17,9.759B,96.58B,1.977B,2019-09,1.80B,975.00M,-370.00M,-370.00M,68.43B,6.198B,34.03B,1.189B,2.054B,863.00M,-84.00M,3.782B,29.29B,102.36B,23.73B,6.269B,12.19B,72.40B,96.09B,60.21B,788.00M,791.00M,2.335B
D,2019-06,-1.683B,382.00M,2.252B,4.911B,0,0.07,0.05,9.863B,95.34B,1.718B,2019-06,1.724B,54.00M,-452.00M,-452.00M,67.61B,6.185B,37.05B,773.00M,1.91B,101.00M,43.00M,3.97B,27.70B,100.82B,22.26B,5.727B,9.503B,72.44B,95.10B,62.94B,945.00M,787.00M,2.096B
D,2019-03,-1.731B,422.00M,2.562B,5.492B,0,-0.86,-0.86,9.847B,93.97B,1.296B,2019-03,1.657B,-680.00M,-469.00M,-469.00M,67.05B,6.108B,37.28B,353.00M,1.877B,-563.00M,114.00M,3.858B,26.91B,100.05B,20.83B,5.975B,9.776B,72.46B,94.08B,62.68B,943.00M,920.00M,2.439B
D,2018-12,-1.70B,268.00M,1.137B,4.031B,0,0.9413,0.9413,7.08B,76.58B,57.00M,2018-12,1.418B,641.00M,-226.00M,-226.00M,54.56B,5.116B,31.14B,-154.00M,1.75B,247.00M,37.00M,1.194B,20.11B,77.91B,12.59B,5.161B,7.647B,55.87B,72.75B,48.22B,211.00M,914.00M,2.08B
D,2018-09,-1.52B,310.00M,1.586B,6.036B,0,1.31,1.3,6.41B,76.19B,1.865B,2018-09,1.455B,854.00M,-378.00M,-378.00M,54.18B,5.079B,32.19B,1.162B,587.00M,1.145B,262.00M,3.451B,18.47B,79.08B,10.86B,5.702B,9.212B,58.66B,73.38B,49.44B,703.00M,587.00M,1.671B
D,2018-06,-1.538B,190.00M,1.583B,5.695B,0,0.69,0.69,6.405B,76.46B,1.505B,2018-06,1.429B,449.00M,-361.00M,-361.00M,54.60B,4.844B,32.12B,876.00M,660.00M,566.00M,88.00M,3.088B,18.06B,78.08B,10.78B,4.61B,8.918B,58.04B,73.46B,49.12B,629.00M,660.00M,1.643B
D,2018-03,-1.551B,189.00M,1.893B,6.316B,0,0.77,0.77,6.405B,75.63B,1.573B,2018-03,1.367B,503.00M,-314.00M,-314.00M,54.13B,4.719B,31.12B,876.00M,702.00M,661.00M,135.00M,3.466B,17.69B,77.35B,10.32B,4.281B,9.339B,57.31B,73.07B,47.97B,697.00M,702.00M,1.751B
D,2017-12,-659.00M,120.00M,1.756B,6.376B,0,2.247,2.247,7.09B,74.82B,1.454B,2017-12,1.477B,1.312B,-300.00M,-300.00M,53.76B,4.523B,30.95B,821.00M,1.723B,620.00M,-713.00M,3.21B,17.14B,76.58B,9.865B,4.334B,9.636B,57.22B,72.25B,47.58B,633.00M,875.00M,1.786B
D,2017-09,-628.00M,227.00M,1.38B,5.848B,0,1.03,1.03,6.405B,73.61B,1.799B,2017-09,1.527B,665.00M,-305.00M,-305.00M,52.81B,9.379B,30.89B,1.152B,1.60B,968.00M,272.00M,3.179B,16.28B,75.39B,9.789B,3.994B,8.559B,56.89B,71.40B,48.33B,647.00M,757.00M,1.504B
D,2017-06,-682.00M,260.00M,1.425B,6.883B,0,0.62,0.62,6.399B,72.16B,1.388B,2017-06,1.469B,390.00M,-308.00M,-308.00M,51.75B,9.099B,30.16B,753.00M,1.42B,553.00M,136.00M,2.813B,14.97B,73.90B,8.717B,3.911B,9.502B,56.70B,69.99B,47.20B,635.00M,695.00M,1.395B
