Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DAL,2021-03,-8.96B,14.04B,6.346B,3.636B,7.544B,-1.85,-1.85,15.76B,50.36B,-2.196B,2021-03,828.00M,-1.177B,-361.00M,-361.00M,32.44B,5.096B,31.63B,-1.442B,8.408B,-1.515B,-338.00M,4.15B,110.00M,482.00M,73.08B,0,17.85B,20.69B,72.60B,55.23B,51.91B,-754.00M,3.432B,1.837B
DAL,2020-12,-9.038B,14.10B,5.458B,2.41B,5.821B,-1.19,-1.19,15.76B,49.77B,-1.485B,2020-12,732.00M,-755.00M,-365.00M,-365.00M,32.26B,5.905B,33.14B,-437.00M,6.596B,-1.108B,-353.00M,3.973B,84.00M,1.534B,72.00B,0,17.40B,15.93B,70.46B,54.59B,54.54B,-1.048B,2.84B,1.396B
DAL,2020-09,-7.939B,21.52B,5.086B,5.759B,5.663B,-8.47,-8.47,15.77B,50.76B,-2.024B,2020-09,746.00M,-5.379B,-291.00M,-291.00M,32.48B,6.044B,35.68B,-1.041B,7.203B,-6.859B,-1.48B,3.062B,94.00M,3.357B,79.08B,0,25.03B,19.72B,75.72B,54.05B,55.99B,-983.00M,2.403B,1.503B
DAL,2020-06,-7.937B,15.67B,4.868B,5.962B,5.881B,-9.01,-9.01,15.77B,51.39B,-3.40B,2020-06,847.00M,-5.717B,-194.00M,-194.00M,34.12B,6.548B,24.78B,-2.361B,7.468B,-7.014B,-1.297B,1.468B,45.00M,8.69B,72.26B,0,18.92B,20.15B,63.57B,53.35B,43.42B,-1.039B,2.332B,1.375B
DAL,2020-03,-7.898B,5.967B,8.071B,5.105B,6.697B,-0.84,-0.84,15.77B,54.64B,521.00M,2020-03,974.00M,-534.00M,-79.00M,-79.00M,37.13B,7.22B,17.87B,-410.00M,6.49B,-607.00M,-73.00M,8.592B,398.00M,14.31B,68.74B,0,10.28B,19.39B,54.43B,58.46B,35.04B,931.00M,3.337B,2.28B
DAL,2019-12,-7.989B,2.882B,9.098B,3.088B,8.335B,1.71,1.71,14.94B,53.96B,2.341B,2019-12,1.251B,1.098B,-73.00M,-73.00M,36.94B,4.965B,14.17B,1.399B,8.045B,1.398B,300.00M,11.44B,488.00M,15.36B,64.53B,0,8.249B,20.20B,49.17B,56.28B,28.97B,942.00M,3.266B,2.854B
DAL,2019-09,-7.645B,1.899B,9.474B,3.04B,8.962B,2.32,2.31,14.60B,53.82B,3.086B,2019-09,1.072B,1.495B,-70.00M,-70.00M,36.61B,4.741B,13.36B,2.071B,7.77B,1.947B,452.00M,12.56B,539.00M,15.07B,63.22B,0,6.944B,20.21B,48.15B,56.28B,27.94B,1.015B,3.47B,2.836B
DAL,2019-06,-7.694B,2.009B,9.457B,3.122B,9.664B,2.22,2.21,14.60B,53.08B,3.079B,2019-06,1.083B,1.443B,-75.00M,-75.00M,36.07B,3.606B,13.25B,2.128B,7.311B,1.907B,464.00M,12.54B,538.00M,13.96B,62.52B,0,7.134B,21.16B,48.56B,55.38B,27.40B,951.00M,3.359B,2.844B
DAL,2019-03,-7.766B,1.91B,8.596B,3.996B,9.613B,1.1,1.09,14.61B,51.58B,1.876B,2019-03,1.071B,730.00M,-83.00M,-83.00M,35.18B,3.611B,13.52B,1.02B,6.648B,946.00M,216.00M,10.47B,427.00M,12.91B,61.84B,0,7.196B,21.32B,48.93B,54.64B,27.61B,856.00M,3.214B,3.154B
DAL,2018-12,-7.825B,1.565B,8.765B,2.473B,7.65B,1.5,1.49,14.61B,50.15B,1.977B,2018-12,1.055B,1.019B,-67.00M,-67.00M,34.33B,3.815B,14.05B,1.091B,7.38B,1.345B,326.00M,10.74B,468.00M,13.69B,60.27B,0,6.34B,18.58B,46.58B,53.93B,28.00B,886.00M,2.976B,2.314B
