Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DD,2020-12,44.00M,2.544B,3.521B,5.00M,0,0.3,0.3,41.39B,15.98B,1.731B,2020-12,3.726B,222.00M,-191.00M,-191.00M,9.985B,2.905B,21.81B,450.00M,4.554B,156.00M,-123.00M,216.00M,5.252B,537.00M,38.50B,70.90B,7.00M,10.88B,4.699B,31.83B,60.03B,27.14B,1.281B,3.169B,3.551B
DD,2020-09,-859.00M,4.008B,3.392B,2.394B,0,-0.11,-0.11,41.22B,15.44B,1.704B,2020-09,3.902B,-79.00M,-194.00M,-194.00M,9.686B,3.011B,21.80B,451.00M,4.463B,20.00M,92.00M,199.00M,5.096B,524.00M,37.56B,72.14B,7.00M,12.61B,6.984B,34.02B,59.54B,27.04B,1.253B,3.099B,3.623B
DD,2020-06,-1.465B,3.737B,3.291B,3.559B,0,-3.37,-3.37,42.37B,15.38B,1.537B,2020-06,4.307B,-2.478B,-191.00M,-191.00M,9.909B,3.174B,15.61B,259.00M,4.451B,-2.507B,-36.00M,209.00M,4.828B,541.00M,37.00B,66.75B,7.00M,11.99B,8.01B,29.18B,54.77B,21.17B,1.278B,2.955B,3.615B
DD,2020-03,-1.81B,1.748B,3.318B,4.068B,0,-0.83,-0.83,45.15B,15.69B,1.903B,2020-03,4.41B,-616.00M,-181.00M,-181.00M,10.50B,3.314B,14.06B,501.00M,4.477B,-566.00M,44.00M,236.00M,5.221B,633.00M,39.55B,67.99B,7.00M,10.39B,8.545B,27.87B,57.60B,19.32B,1.402B,3.186B,3.869B
DD,2019-12,-1.416B,1.54B,3.408B,3.83B,0,0.24,0.24,46.74B,15.11B,1.796B,2019-12,4.319B,176.00M,-170.00M,-170.00M,10.14B,3.467B,13.62B,620.00M,4.516B,189.00M,-2.00M,231.00M,5.204B,650.00M,40.99B,69.35B,7.00M,9.999B,8.346B,27.79B,59.35B,19.45B,1.176B,3.174B,3.802B
DD,2019-09,-1.529B,2.113B,3.531B,2.136B,0,0.5,0.5,46.70B,15.12B,1.895B,2019-09,4.306B,372.00M,-176.00M,-176.00M,10.30B,3.474B,16.05B,778.00M,4.479B,450.00M,78.00M,225.00M,5.426B,645.00M,41.34B,70.12B,7.00M,10.69B,6.616B,28.21B,59.43B,21.59B,1.117B,3.092B,3.962B
DD,2019-06,-831.00M,1.669B,3.496B,1.765B,0,-0.76,-0.76,47.48B,15.01B,1.972B,2019-06,4.39B,-571.00M,-156.00M,-156.00M,10.34B,3.662B,16.00B,846.00M,4.692B,-948.00M,155.00M,232.00M,5.468B,642.00M,42.01B,70.84B,7.00M,10.62B,6.457B,28.27B,60.22B,21.81B,1.126B,3.184B,4.214B
DD,2019-03,-12.36B,11.66B,3.621B,7.694B,0,0.69,0.69,89.42B,79.24B,1.793B,2019-03,16.60B,521.00M,-111.00M,-111.00M,38.86B,5.229B,37.59B,544.00M,20.89B,-165.00M,-91.00M,267.00M,5.414B,726.00M,92.44B,189.78B,24.00M,49.25B,28.58B,95.69B,140.54B,67.11B,1.249B,12.90B,18.75B
DD,2018-12,-12.39B,8.577B,3.642B,15.00M,0,0.63,0.63,49.15B,14.12B,1.815B,2018-12,4.107B,482.00M,-45.00M,-45.00M,9.917B,3.912B,12.62B,569.00M,3.863B,310.00M,-6.00M,262.00M,5.457B,727.00M,94.29B,187.86B,8.00M,126.66B,73.31B,91.96B,61.20B,18.64B,1.246B,2.734B,3.391B
DD,2018-09,-10.57B,7.309B,3.77B,7.875B,0,0.65,0.65,90.87B,74.30B,1.913B,2018-09,16.44B,501.00M,8.00M,8.00M,35.23B,5.908B,27.29B,662.00M,19.80B,168.00M,37.00M,264.00M,5.683B,731.00M,98.09B,184.45B,24.00M,45.40B,27.68B,84.71B,139.05B,57.03B,1.251B,13.65B,19.55B
