Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DE,2021-01,-5.078B,7.629B,6.076B,13.19B,1.647B,3.9,3.87,4.536B,12.77B,3.036B,2021-01,5.956B,1.224B,12.77B,532.00M,32.77B,1.528B,9.404B,1.528B,308.00M,366.00M,9.112B,769.00M,14.08B,75.48B,4.942B,51.99B,22.60B,61.39B,23.49B,38.80B,1.508B,3.76B,38.41B
DE,2020-10,-5.539B,7.707B,6.937B,13.56B,1.635B,2.41,2.39,4.408B,22.94B,2.513B,2020-10,4.999B,758.00M,13.12B,519.00M,32.73B,1.09B,7.022B,1.116B,330.00M,443.00M,9.45B,1.21B,12.94B,75.09B,4.895B,51.33B,23.38B,62.15B,23.76B,38.77B,1.423B,3.585B,38.62B
DE,2020-07,-5.319B,8.83B,6.125B,14.44B,1.55B,2.59,2.57,4.285B,14.93B,2.80B,2020-07,5.65B,811.00M,12.91B,479.00M,34.04B,1.27B,9.565B,1.27B,457.00M,370.00M,8.925B,752.00M,12.89B,77.26B,4.75B,53.24B,24.00B,64.37B,24.03B,40.37B,1.53B,4.197B,38.76B
DE,2020-04,-5.715B,9.526B,6.636B,15.82B,0,2.13,2.11,4.228B,14.86B,2.617B,2020-04,6.171B,666.00M,12.93B,475.00M,34.32B,928.00M,9.072B,928.00M,245.00M,406.00M,9.253B,906.00M,11.86B,77.33B,4.713B,53.62B,24.89B,65.46B,23.70B,40.57B,1.689B,0,37.93B
DE,2020-01,-5.329B,4.211B,5.413B,14.42B,0,1.65,1.63,4.294B,13.40B,2.218B,2020-01,6.482B,517.00M,13.40B,491.00M,30.48B,569.00M,8.63B,569.00M,50.00M,425.00M,7.631B,809.00M,11.93B,71.82B,4.675B,47.82B,23.05B,59.89B,24.00B,36.84B,1.649B,0,37.13B
DE,2019-10,-5.607B,4.438B,7.352B,15.10B,0,2.3,2.27,4.297B,22.82B,2.227B,2019-10,5.975B,721.00M,13.54B,495.00M,30.23B,800.00M,6.959B,825.00M,104.00M,488.00M,9.579B,1.087B,11.41B,73.01B,4.642B,49.22B,24.76B,61.59B,23.79B,36.83B,1.427B,0,38.81B
DE,2019-07,-4.581B,3.948B,7.244B,16.19B,0,2.84,2.81,4.457B,13.07B,2.792B,2019-07,6.747B,899.00M,13.07B,507.00M,29.24B,1.113B,9.39B,1.113B,221.00M,431.00M,10.04B,896.00M,12.27B,73.53B,4.599B,49.70B,25.58B,61.26B,23.83B,35.68B,1.679B,0,39.01B
DE,2019-04,-4.610B,4.029B,8.106B,16.46B,0,3.57,3.52,4.501B,12.80B,3.236B,2019-04,7.161B,1.135B,12.80B,513.50M,28.26B,1.473B,9.626B,1.473B,343.00M,457.00M,11.34B,947.00M,11.92B,72.73B,4.559B,49.39B,26.09B,60.81B,23.34B,34.72B,1.763B,0,38.20B
DE,2019-01,-4.578B,4.149B,5.785B,15.20B,0,1.56,1.54,4.556B,12.69B,2.199B,2019-01,7.402B,498.00M,12.69B,525.40M,27.86B,677.00M,9.086B,677.00M,184.00M,407.00M,7.984B,764.00M,11.33B,69.92B,4.512B,46.76B,24.29B,58.59B,23.16B,34.30B,1.522B,0,35.21B
DE,2018-10,-4.427B,4.394B,6.915B,15.02B,0,2.45,2.42,4.663B,20.19B,2.165B,2018-10,6.149B,784.00M,13.03B,556.00M,27.24B,965.00M,7.46B,979.00M,203.00M,470.00M,9.08B,1.088B,11.29B,70.11B,4.474B,46.62B,25.13B,58.82B,23.48B,33.69B,1.20B,0,36.08B
