Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DFS,2021-03,45.00M,30.11B,0,5.04,5.04,350.00M,2.737B,2021-03,1.593B,79.00B,1.021B,21.01B,3.961B,2.079B,486.00M,2.795B,660.00M,12.15B,113.87B,1.062B,30.11B,3.961B,101.72B,83.76B,97.76B,660.00M,0,944.00M
DFS,2020-12,93.00M,16.22B,10.70B,2.59,2.59,350.00M,2.668B,2020-12,799.00M,82.22B,1.027B,21.24B,3.86B,1.015B,216.00M,2.824B,663.00M,10.88B,112.89B,1.062B,17.17B,3.86B,102.00B,98.36B,98.14B,663.00M,0,961.00M
DFS,2020-09,122.00M,11.41B,0,2.45,2.45,350.00M,2.398B,2020-09,771.00M,80.43B,1.121B,21.84B,3.541B,959.00M,188.00M,2.714B,611.00M,10.25B,124.35B,1.062B,12.37B,14.24B,114.10B,113.30B,99.86B,611.00M,0,927.00M
DFS,2020-06,134.00M,19.08B,0,-1.2,-1.2,351.00M,0,2020-06,-368.00M,80.74B,1.115B,23.19B,3.591B,-461.00M,-93.00M,2.662B,581.00M,9.643B,113.79B,569.00M,20.00B,3.591B,104.15B,97.70B,100.56B,581.00M,0,978.00M
DFS,2020-03,-119.00M,11.16B,0,-0.25,-0.25,410.00M,0,2020-03,-61.00M,86.05B,1.07B,26.10B,3.476B,-78.00M,-17.00M,2.888B,698.00M,9.665B,112.66B,569.00M,12.14B,3.476B,102.99B,100.47B,99.52B,698.00M,0,989.00M
DFS,2019-12,-74.00M,6.924B,0,2.25,2.25,410.00M,0,2019-12,708.00M,92.51B,1.057B,25.70B,3.69B,924.00M,216.00M,2.944B,681.00M,11.86B,114.00B,569.00M,7.913B,3.69B,102.14B,106.04B,98.45B,681.00M,0,0
DFS,2019-09,-83.00M,7.699B,0,2.36,2.36,414.00M,0,2019-09,770.00M,89.19B,1.028B,24.45B,3.594B,994.00M,224.00M,2.90B,669.00M,11.72B,110.79B,569.00M,7.699B,3.594B,99.07B,103.67B,95.48B,669.00M,0,0
DFS,2019-06,-136.00M,11.69B,0,2.32,2.32,415.00M,0,2019-06,753.00M,87.03B,1.008B,25.16B,4.317B,987.00M,234.00M,2.852B,651.00M,11.49B,110.71B,569.00M,11.69B,4.317B,99.21B,98.35B,94.90B,651.00M,0,0
DFS,2019-03,-156.00M,16.29B,0,2.15,2.15,415.00M,0,2019-03,726.00M,85.61B,980.00M,26.28B,4.269B,930.00M,204.00M,2.763B,620.00M,11.26B,110.72B,569.00M,16.29B,4.269B,99.46B,94.51B,95.19B,620.00M,0,0
DFS,2018-12,0,13.30B,0,2.04,2.03,416.00M,0,2018-12,687.00M,87.47B,936.00M,27.23B,3.436B,897.00M,210.00M,2.807B,644.00M,11.13B,109.55B,0,13.30B,3.436B,98.42B,94.41B,94.99B,644.00M,0,0
