Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DG,2021-01,-2.163M,1.377B,5.678B,1.074B,0,2.64,2.62,5.538B,16.74B,2.737B,2021-01,5.247B,642.74M,-40.27M,-40.27M,13.37B,710.55M,12.52B,872.22M,4.257B,831.96M,189.21M,8.415B,1.864B,6.661B,25.86B,210.69M,6.914B,5.711B,19.20B,18.95B,13.49B,1.864B,3.949B,90.76M
DG,2020-10,-2.406M,2.199B,5.631B,1.044B,0,2.32,2.31,5.538B,13.05B,2.568B,2020-10,5.026B,574.26M,-40.30M,-40.30M,13.05B,686.69M,12.42B,773.13M,4.842B,732.83M,158.57M,8.200B,1.795B,6.986B,26.15B,214.38M,7.533B,5.886B,19.17B,18.62B,13.28B,1.795B,3.781B,111.14M
DG,2020-07,-2.649M,2.960B,5.866B,1.016B,0,3.15,3.12,5.539B,12.68B,2.818B,2020-07,4.391B,787.60M,-39.33M,-39.33M,12.68B,689.89M,12.21B,1.043B,4.395B,1.003B,215.70M,8.684B,1.776B,7.356B,25.85B,217.91M,7.597B,5.411B,18.49B,18.25B,13.08B,1.776B,3.417B,36.18M
DG,2020-04,-2.892M,2.674B,5.853B,991.63M,0,2.58,2.56,5.539B,12.28B,2.596B,2020-04,4.107B,650.45M,-30.49M,-30.49M,12.28B,700.10M,11.92B,866.78M,3.852B,836.29M,185.84M,8.448B,1.729B,7.209B,24.85B,220.26M,6.992B,4.843B,17.64B,17.86B,12.80B,1.729B,3.060B,17.19M
DG,2020-01,-3.135M,240.32M,4.885B,964.80M,0,2.11,2.1,5.539B,14.89B,2.273B,2020-01,4.677B,535.44M,-25.57M,-25.57M,12.07B,675.23M,10.73B,720.88M,3.333B,695.31M,159.87M,7.158B,1.552B,6.702B,22.83B,220.44M,5.178B,4.543B,16.12B,17.65B,11.58B,1.552B,3.062B,76.54M
DG,2019-10,-3.378M,276.08M,4.926B,941.06M,0,1.43,1.42,5.539B,11.77B,2.065B,2019-10,4.496B,365.55M,-24.26M,-24.26M,11.77B,634.04M,10.45B,491.42M,3.565B,467.15M,101.60M,6.991B,1.574B,6.648B,22.41B,222.78M,5.069B,4.506B,15.76B,17.34B,11.26B,1.574B,2.848B,103.19M
DG,2019-07,-3.621M,259.57M,4.833B,915.63M,0,1.65,1.65,5.539B,11.43B,2.149B,2019-07,4.420B,426.56M,-24.81M,-24.81M,11.43B,627.76M,10.05B,577.78M,3.397B,552.96M,126.41M,6.982B,1.571B,6.749B,21.92B,224.94M,4.919B,4.312B,15.17B,17.00B,10.86B,1.571B,2.730B,61.69M
DG,2019-04,-3.864M,271.11M,4.621B,895.02M,0,1.49,1.48,5.539B,11.15B,2.002B,2019-04,4.110B,385.01M,-25.93M,-25.93M,11.15B,629.86M,9.971B,512.24M,3.062B,486.30M,101.29M,6.623B,1.490B,6.573B,21.30B,226.03M,4.584B,3.957B,14.73B,16.72B,10.77B,1.490B,2.502B,25.16M
DG,2019-01,-3.207M,235.49M,4.578B,1.95M,0,1.85,1.84,5.539B,5.519B,2.072B,2019-01,4.097B,483.24M,-25.06M,-25.06M,2.971B,720.13M,2.863B,638.50M,2.785B,613.44M,130.20M,6.650B,1.433B,6.417B,13.20B,227.07M,4.663B,3.016B,6.787B,8.541B,3.771B,1.433B,2.579B,57.80M
DG,2018-10,-3.451M,260.69M,4.522B,1.929M,0,1.26,1.26,5.539B,0,1.895B,2018-10,3.979B,334.14M,-24.59M,-24.59M,2.922B,583.07M,2.902B,442.14M,2.980B,417.56M,83.42M,6.417B,1.453B,6.356B,13.12B,230.02M,4.630B,2.982B,6.765B,8.491B,3.783B,1.453B,2.342B,114.65M
