Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DGX,2021-03,-31.00M,1.23B,1.626B,148.00M,3.52,3.46,8.011B,2.224B,1.094B,2021-03,223.00M,469.00M,-38.00M,-38.00M,2.224B,0,4.513B,660.00M,1.559B,626.00M,153.00M,2.72B,407.00M,6.745B,13.93B,2.00M,2.999B,1.707B,7.141B,10.93B,5.434B,434.00M,565.00M,1.382B
DGX,2020-12,-21.00M,1.158B,1.733B,296.00M,4.28,4.21,8.04B,5.223B,1.269B,2020-12,223.00M,579.00M,-39.00M,-39.00M,2.231B,0,4.512B,795.00M,1.48B,758.00M,191.00M,3.002B,447.00M,6.759B,14.03B,2.00M,3.058B,1.776B,7.217B,10.97B,5.441B,474.00M,368.00M,1.52B
DGX,2020-09,-42.00M,1.605B,1.58B,703.00M,4.2,4.14,8.072B,2.079B,1.206B,2020-09,205.00M,568.00M,-42.00M,-42.00M,2.079B,0,4.446B,718.00M,1.686B,753.00M,177.00M,2.786B,396.00M,6.40B,14.14B,2.00M,3.348B,2.389B,7.697B,10.80B,5.308B,488.00M,324.00M,1.421B
DGX,2020-06,-55.00M,988.00M,1.221B,701.00M,1.38,1.36,7.93B,2.027B,606.00M,2020-06,154.00M,185.00M,-41.00M,-41.00M,2.027B,0,4.436B,283.00M,1.142B,255.00M,66.00M,1.827B,360.00M,5.831B,12.99B,2.00M,2.38B,1.843B,7.109B,10.61B,5.266B,323.00M,0,1.126B
DGX,2020-03,-58.00M,342.00M,1.27B,148.00M,0.74,0.73,7.832B,1.973B,552.00M,2020-03,126.00M,99.00M,-41.00M,-41.00M,1.973B,0,4.442B,175.00M,981.00M,118.00M,26.00M,1.822B,347.00M,5.657B,12.05B,2.00M,1.56B,1.129B,6.346B,10.49B,5.217B,377.00M,0,972.00M
DGX,2019-12,-39.00M,1.192B,1.264B,1.037B,1.88,1.86,7.74B,4.747B,662.00M,2019-12,123.00M,253.00M,-42.00M,-42.00M,1.971B,0,4.379B,363.00M,953.00M,328.00M,72.00M,1.926B,349.00M,5.641B,12.84B,2.00M,2.49B,1.99B,7.156B,10.35B,5.166B,299.00M,0,1.063B
DGX,2019-09,-55.00M,434.00M,1.264B,952.00M,1.59,1.56,7.755B,1.859B,692.00M,2019-09,112.00M,215.00M,-44.00M,-44.00M,1.859B,0,3.593B,313.00M,1.059B,270.00M,62.00M,1.956B,362.00M,5.605B,12.02B,2.00M,1.779B,2.011B,6.365B,10.24B,4.354B,379.00M,0,1.117B
DGX,2019-06,-58.00M,273.00M,1.265B,953.00M,1.67,1.66,7.777B,1.818B,688.00M,2019-06,105.00M,226.00M,-45.00M,-45.00M,1.818B,0,3.582B,307.00M,951.00M,265.00M,63.00M,1.953B,362.00M,5.459B,11.76B,2.00M,1.566B,1.904B,6.251B,10.19B,4.347B,381.00M,0,1.088B
DGX,2019-03,-55.00M,464.00M,1.244B,1.253B,1.22,1.2,7.805B,1.774B,647.00M,2019-03,98.00M,164.00M,-44.00M,-44.00M,1.774B,0,3.524B,248.00M,1.029B,213.00M,50.00M,1.891B,384.00M,5.29B,11.94B,2.00M,1.778B,2.282B,6.596B,10.16B,4.314B,399.00M,0,1.079B
DGX,2018-12,-59.00M,135.00M,1.235B,562.00M,0.93,0.92,7.77B,3.97B,604.00M,2018-12,99.00M,127.00M,-43.00M,-43.00M,1.288B,0,3.429B,220.00M,923.00M,167.00M,40.00M,1.839B,356.00M,5.216B,11.00B,2.00M,1.39B,1.485B,5.736B,9.613B,4.251B,384.00M,0,1.012B
DGX,2018-09,-58.00M,263.00M,1.222B,304.00M,1.56,1.53,7.615B,3.671B,667.00M,2018-09,95.00M,213.00M,-41.00M,-41.00M,1.194B,0,3.394B,304.00M,1.085B,266.00M,48.00M,1.889B,354.00M,5.317B,10.99B,2.00M,1.603B,1.389B,5.621B,9.383B,4.232B,363.00M,301.00M,1.097B
DGX,2018-06,-57.00M,132.00M,1.243B,305.00M,1.6,1.57,7.58B,3.429B,676.00M,2018-06,91.00M,219.00M,-42.00M,-42.00M,1.168B,0,3.408B,305.00M,957.00M,264.00M,42.00M,1.919B,351.00M,5.223B,10.75B,2.00M,1.415B,1.262B,5.484B,9.332B,4.222B,371.00M,298.00M,1.055B
DGX,2018-03,-41.00M,124.00M,1.226B,141.00M,1.3,1.27,7.566B,0,658.00M,2018-03,94.00M,177.00M,-41.00M,-41.00M,1.156B,0,3.718B,272.00M,976.00M,229.00M,52.00M,1.884B,363.00M,5.03B,10.70B,2.00M,1.371B,1.117B,5.629B,9.324B,4.512B,386.00M,0,1.026B
DGX,2017-12,-48.00M,137.00M,1.194B,107.00M,1.86,1.82,7.454B,0,671.00M,2017-12,95.00M,254.00M,-39.00M,-39.00M,1.145B,0,3.748B,269.00M,950.00M,234.00M,-23.00M,1.865B,382.00M,4.921B,10.50B,2.00M,1.306B,1.057B,5.548B,9.197B,4.491B,402.00M,0,924.00M
DGX,2017-09,-48.00M,350.00M,1.19B,5.00M,1.18,1.15,7.193B,0,666.00M,2017-09,100.00M,161.00M,-38.00M,-38.00M,1.097B,0,3.759B,298.00M,1.047B,258.00M,92.00M,1.856B,348.00M,4.794B,10.44B,2.00M,1.544B,1.052B,5.611B,8.895B,4.559B,368.00M,0,960.00M
DGX,2017-06,-60.00M,314.00M,1.17B,5.00M,1.4,1.37,7.029B,0,694.00M,2017-06,83.00M,193.00M,-38.00M,-38.00M,1.045B,0,3.732B,319.00M,912.00M,292.00M,94.00M,1.864B,358.00M,4.697B,10.17B,2.00M,1.50B,917.00M,5.438B,8.671B,4.521B,375.00M,0,947.00M
