Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DHR,2021-03,-1.322B,6.33B,2.605B,10.00M,1.212B,2.33,2.29,55.27B,6.478B,4.253B,2021-03,2.424B,1.702B,-54.00M,-54.00M,3.266B,205.00M,20.27B,1.997B,6.814B,2.083B,381.00M,380.00M,6.858B,1.876B,40.42B,75.43B,3.277B,14.01B,6.824B,35.00B,61.41B,28.17B,2.256B,1.989B,3.949B
DHR,2020-12,-368.00M,6.035B,2.806B,200.00M,688.00M,1.69,1.66,56.70B,6.444B,3.954B,2020-12,2.292B,1.240B,-69.00M,-69.00M,3.262B,118.00M,21.98B,1.601B,3.706B,1.542B,301.40M,395.80M,6.760B,1.957B,39.77B,76.16B,3.277B,13.80B,7.402B,36.38B,62.36B,28.98B,2.353B,2.601B,4.045B
DHR,2020-09,-1.021B,5.688B,2.658B,19.70M,626.80M,1.18,1.16,55.12B,6.091B,3.226B,2020-09,2.422B,883.50M,-72.50M,-72.50M,3.052B,109.80M,21.81B,1.088B,6.019B,1.022B,138.00M,342.60M,5.883B,1.795B,37.96B,72.89B,3.276B,12.54B,6.038B,34.92B,60.35B,28.88B,2.138B,1.678B,3.496B
DHR,2020-06,-1.863B,5.539B,2.445B,17.20M,0,1.27,1.24,53.67B,5.854B,2.853B,2020-06,2.593B,927.30M,-77.60M,-77.60M,2.973B,0,22.37B,844.60M,5.583B,1.221B,293.60M,322.60M,5.297B,1.685B,36.26B,71.27B,3.276B,12.34B,5.600B,35.00B,58.92B,29.40B,2.008B,1.599B,3.378B
DHR,2020-03,-2.791B,4.368B,1.90B,3.234B,0,0.83,0.81,52.24B,5.728B,2.443B,2020-03,2.575B,595.00M,15.00M,15.00M,2.988B,0,22.74B,698.00M,5.231B,711.00M,116.00M,287.00M,4.343B,1.458B,31.06B,68.93B,1.608B,11.14B,8.466B,37.86B,57.79B,29.40B,1.745B,1.748B,3.433B
DHR,2019-12,-3.068B,19.91B,2.164B,370.00M,0,1.75,1.73,32.46B,5.063B,2.704B,2019-12,1.628B,1.275B,23.20M,23.20M,2.302B,0,22.16B,961.30M,2.565B,975.20M,182.60M,293.80M,4.868B,1.449B,30.27B,62.08B,1.608B,25.60B,4.932B,31.80B,36.49B,26.87B,1.743B,1.871B,3.191B
DHR,2019-09,-3.088B,14.25B,1.937B,1.069B,0,0.9,0.89,36.87B,5.543B,2.441B,2019-09,2.024B,668.00M,6.10M,6.10M,2.520B,0,16.54B,776.30M,4.865B,786.60M,155.90M,282.60M,4.378B,1.382B,32.50B,61.53B,1.608B,20.35B,5.934B,28.34B,41.18B,22.40B,1.665B,1.607B,3.467B
DHR,2019-06,-2.844B,5.434B,1.961B,153.70M,0,0.99,0.97,37.50B,5.541B,2.484B,2019-06,2.056B,731.30M,6.50M,6.50M,2.542B,0,10.14B,811.70M,4.854B,823.20M,146.80M,282.10M,4.444B,1.39B,32.20B,53.32B,1.608B,11.60B,5.008B,21.11B,41.72B,16.10B,1.672B,1.664B,3.482B
DHR,2019-03,-2.796B,3.91B,1.865B,36.60M,0,0.46,0.46,37.54B,5.410B,2.355B,2019-03,2.028B,333.80M,-4.80M,-4.80M,2.504B,0,9.458B,719.70M,4.596B,720.00M,387.70M,267.50M,4.220B,1.368B,31.56B,51.77B,1.608B,10.08B,4.633B,20.21B,41.69B,15.57B,1.635B,1.676B,3.409B
DHR,2018-12,-2.791B,787.80M,1.166B,51.80M,0,1.06,1.05,32.86B,4.703B,1.354B,2018-12,1.631B,746.90M,-11.10M,-11.10M,2.250B,0,9.688B,613.80M,2.474B,612.50M,110.60M,147.40M,2.520B,592.60M,28.21B,47.83B,8.20M,7.094B,4.842B,19.61B,40.74B,14.76B,740.00M,1.781B,3.030B
