Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DISCA,2020-12,-651.00M,2.091B,1.129B,335.00M,557.00M,0.42,0.42,24.15B,2.569B,1.757B,2020-12,271.00M,-159.00M,-159.00M,1.206B,1.534B,15.07B,590.00M,2.19B,416.00M,98.00M,2.886B,809.00M,10.46B,34.09B,7.00M,6.13B,3.082B,22.09B,27.96B,19.00B,1.167B,925.00M,2.537B
DISCA,2020-09,-898.00M,1.893B,1.003B,336.00M,435.00M,0.44,0.44,24.19B,2.099B,1.558B,2020-09,300.00M,-160.00M,-160.00M,1.125B,1.503B,14.98B,584.00M,1.985B,319.00M,-11.00M,2.561B,633.00M,10.09B,33.44B,7.00M,5.478B,2.756B,21.84B,27.96B,19.08B,974.00M,403.00M,2.444B
DISCA,2020-06,-1.021B,1.683B,810.00M,339.00M,263.00M,0.4,0.4,24.62B,1.993B,1.731B,2020-06,271.00M,-160.00M,-160.00M,1.088B,1.463B,14.94B,762.00M,1.974B,456.00M,156.00M,2.541B,635.00M,9.867B,33.09B,7.00M,4.717B,2.576B,21.73B,28.37B,19.16B,969.00M,367.00M,2.473B
DISCA,2020-03,-1.122B,1.453B,918.00M,607.00M,376.00M,0.55,0.55,25.05B,0,1.765B,2020-03,377.00M,-163.00M,-163.00M,1.04B,1.55B,15.27B,794.00M,1.892B,537.00M,130.00M,2.683B,645.00M,9.47B,33.39B,7.00M,4.626B,2.875B,22.43B,28.76B,19.55B,971.00M,421.00M,2.564B
DISCA,2019-12,-822.00M,1.552B,1.037B,609.00M,489.00M,0.68,0.67,24.85B,0,1.837B,2019-12,476.00M,-158.00M,-158.00M,951.00M,1.691B,14.81B,711.00M,2.141B,563.00M,52.00M,2.874B,793.00M,9.891B,33.74B,7.00M,5.217B,3.239B,22.21B,28.52B,18.97B,1.126B,919.00M,2.633B
DISCA,2019-09,-1.029B,813.00M,914.00M,611.00M,384.00M,0.35,0.35,24.95B,0,1.764B,2019-09,262.00M,-154.00M,-154.00M,856.00M,1.624B,14.76B,782.00M,1.842B,444.00M,147.00M,2.678B,660.00M,9.518B,32.82B,7.00M,4.313B,2.837B,21.69B,28.51B,18.86B,982.00M,380.00M,2.695B
DISCA,2019-06,-913.00M,1.321B,938.00M,1.686B,293.00M,1.33,1.33,25.65B,0,1.947B,2019-06,947.00M,-161.00M,-161.00M,828.00M,1.656B,14.82B,918.00M,1.895B,716.00M,-271.00M,2.885B,709.00M,9.621B,33.84B,7.00M,4.932B,3.874B,22.62B,28.91B,18.75B,1.029B,325.00M,2.854B
DISCA,2019-03,-895.00M,745.00M,930.00M,1.387B,236.00M,0.53,0.53,25.50B,0,1.777B,2019-03,384.00M,-182.00M,-182.00M,802.00M,1.70B,14.96B,779.00M,1.852B,571.00M,153.00M,2.707B,626.00M,8.708B,32.44B,7.00M,4.025B,3.475B,22.14B,28.42B,18.67B,998.00M,314.00M,2.625B
DISCA,2018-12,-785.00M,986.00M,946.00M,1.819B,249.00M,0.38,0.38,25.75B,0,1.863B,2018-12,269.00M,-171.00M,-171.00M,800.00M,1.811B,14.97B,809.00M,1.929B,494.00M,195.00M,2.809B,657.00M,8.386B,32.55B,7.00M,4.231B,3.997B,22.45B,28.32B,18.45B,1.054B,709.00M,2.62B
DISCA,2018-09,-764.00M,531.00M,934.00M,1.653B,304.00M,0.16,0.16,26.29B,0,1.658B,2018-09,117.00M,-185.00M,-185.00M,810.00M,1.901B,15.83B,593.00M,1.864B,178.00M,43.00M,2.592B,667.00M,8.116B,32.91B,6.00M,3.914B,3.86B,23.09B,29.00B,19.23B,1.065B,751.00M,2.791B
DISCA,2018-06,-790.00M,392.00M,995.00M,646.00M,277.00M,0.3,0.3,26.74B,1.901B,1.85B,2018-06,216.00M,-196.00M,-196.00M,784.00M,1.968B,17.68B,753.00M,1.745B,367.00M,123.00M,2.845B,687.00M,7.936B,33.49B,6.00M,3.906B,2.696B,23.87B,29.59B,21.17B,1.097B,642.00M,2.747B
DISCA,2018-03,-613.00M,812.00M,1.06B,153.00M,299.00M,-0.01,-0.01,27.25B,1.614B,1.247B,2018-03,-8.00M,-162.00M,-162.00M,928.00M,1.994B,19.21B,445.00M,1.995B,-17.00M,-20.00M,2.307B,609.00M,7.889B,34.66B,6.00M,4.521B,2.465B,25.06B,30.14B,22.60B,802.00M,692.00M,2.654B
DISCA,2017-12,-585.00M,7.309B,745.00M,30.00M,255.00M,-1.99,-1.99,11.06B,0,1.119B,2017-12,-1.144B,-136.00M,-136.00M,597.00M,319.00M,14.76B,522.00M,1.586B,-1.05B,87.00M,1.864B,507.00M,4.61B,22.56B,5.00M,9.991B,1.871B,17.94B,12.56B,16.07B,597.00M,496.00M,1.838B
DISCA,2017-09,-586.00M,6.994B,670.00M,32.00M,238.00M,0.38,0.38,11.88B,0,981.00M,2017-09,218.00M,-136.00M,-136.00M,523.00M,306.00M,14.68B,444.00M,1.333B,164.00M,-59.00M,1.651B,457.00M,5.74B,23.14B,5.00M,9.477B,1.615B,17.40B,13.67B,15.79B,537.00M,511.00M,1.652B
DISCA,2017-06,-617.00M,206.00M,634.00M,105.00M,193.00M,0.65,0.64,11.67B,0,1.111B,2017-06,374.00M,-91.00M,-91.00M,514.00M,370.00M,8.158B,642.00M,1.152B,473.00M,93.00M,1.745B,389.00M,5.526B,16.15B,7.00M,2.77B,1.466B,10.62B,13.38B,9.157B,469.00M,441.00M,1.758B
DISCA,2017-03,-704.00M,267.00M,607.00M,132.00M,194.00M,0.37,0.37,11.60B,0,1.006B,2017-03,215.00M,-91.00M,-91.00M,504.00M,429.00M,7.97B,511.00M,1.188B,276.00M,55.00M,1.613B,415.00M,5.335B,15.86B,7.00M,2.591B,1.534B,10.53B,13.27B,8.993B,495.00M,415.00M,1.56B
