Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DISH,2020-12,-0.855M,3.733B,2.942B,2.086B,855.72M,1.4,1.25,27.66B,7.070B,1.615B,2020-12,380.35M,732.63M,8.642M,8.642M,2.287B,4.344B,13.68B,989.64M,3.143B,989.71M,228.41M,4.557B,429.26M,13.78B,38.24B,5.261M,7.022B,6.085B,24.46B,31.22B,18.37B,625.79M,395.40M,1.104B
DISH,2020-09,-1.583M,2.795B,3.005B,2.093B,861.84M,0.96,0.86,27.47B,7.062B,1.527B,2020-09,516.22M,504.60M,8.425M,8.425M,2.339B,4.182B,12.06B,811.25M,3.576B,806.47M,273.51M,4.532B,516.65M,12.69B,36.10B,5.259M,5.005B,6.530B,23.41B,31.09B,16.88B,715.73M,747.53M,1.144B
DISH,2020-06,-2.664M,2.630B,2.185B,2.073B,659.50M,0.86,0.78,26.43B,7.046B,1.002B,2020-06,315.37M,452.34M,-5.916M,-5.916M,2.385B,3.888B,11.06B,637.65M,3.047B,631.75M,151.34M,3.187B,212.12M,12.16B,33.50B,5.246M,4.109B,5.780B,21.34B,29.39B,15.56B,364.25M,372.27M,531.83M
DISH,2020-03,0.198M,3.388B,2.331B,1.172B,683.06M,0.14,0.13,26.01B,7.029B,886.29M,2020-03,329.39M,73.10M,-1.39M,-1.39M,2.436B,3.743B,13.06B,500.50M,2.776B,144.28M,45.01M,3.217B,218.97M,11.66B,33.67B,5.233M,4.642B,4.631B,22.01B,29.03B,17.38B,385.79M,356.56M,544.11M
DISH,2019-12,-0.018M,2.860B,2.068B,1.171B,681.48M,0.78,0.69,25.92B,7.405B,1.173B,2019-12,322.90M,389.40M,5.181M,5.181M,2.851B,3.566B,13.05B,522.95M,2.643B,529.53M,115.99M,3.241B,476.18M,11.56B,33.23B,5.23M,4.015B,4.496B,21.67B,29.22B,17.17B,649.73M,280.64M,588.36M
DISH,2019-09,-0.252M,1.594B,2.097B,1.173B,690.32M,0.74,0.66,25.54B,7.414B,1.071B,2019-09,314.62M,353.30M,26.27M,26.27M,2.910B,3.454B,13.05B,468.89M,2.703B,493.37M,116.21M,3.168B,447.96M,10.17B,31.77B,4.93M,2.731B,4.567B,21.60B,29.04B,17.04B,602.14M,317.69M,577.80M
DISH,2019-06,0.149M,2.732B,2.428B,2.416B,667.19M,0.68,0.6,25.24B,6.052B,783.19M,2019-06,331.14M,317.04M,12.83M,12.83M,2.575B,3.050B,13.20B,430.73M,3.112B,446.39M,105.82M,3.211B,202.76M,9.332B,32.28B,4.699M,3.918B,6.196B,22.95B,28.37B,16.76B,352.46M,361.05M,584.12M
DISH,2019-03,-0.057M,2.393B,2.379B,1.316B,646.38M,0.73,0.65,24.98B,6.034B,808.35M,2019-03,309.25M,339.76M,9.246M,9.246M,2.589B,2.981B,14.32B,456.30M,2.992B,474.63M,113.34M,3.187B,198.91M,8.953B,31.69B,4.681M,3.592B,4.955B,22.74B,28.09B,17.78B,352.05M,277.37M,581.68M
DISH,2018-12,-0.874M,2.069B,1.745B,1.342B,655.31M,0.7304,0.6592,24.75B,5.689B,1.561B,2018-12,290.73M,337.08M,10.53M,10.53M,1.928B,2.946B,13.81B,482.75M,2.779B,492.98M,135.70M,3.307B,907.58M,8.596B,30.59B,4.679M,3.289B,4.776B,21.99B,27.30B,17.22B,1.079B,233.75M,639.86M
DISH,2018-09,-0.537M,1.865B,2.488B,1.367B,685.68M,0.9164,0.8168,24.49B,5.736B,907.29M,2018-09,304.94M,431.73M,5.112M,5.112M,1.990B,2.786B,13.79B,562.70M,2.825B,593.29M,140.69M,3.395B,169.30M,8.245B,30.14B,4.676M,3.039B,4.878B,21.89B,27.10B,17.02B,344.58M,269.52M,670.83M
