Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DLTR,2021-01,-35.20M,1.417B,4.615B,1.348B,0,2.14,2.13,5.084B,15.21B,2.153B,2021-01,3.427B,502.80M,-34.20M,-34.20M,10.44B,1.014B,8.292B,681.60M,1.944B,647.40M,144.60M,6.768B,1.471B,7.285B,20.70B,2.30M,5.051B,3.730B,13.41B,15.65B,9.680B,1.471B,1.872B,100.90M
DLTR,2020-10,-40.60M,1.118B,4.253B,1.596B,0,1.39,1.39,5.083B,14.90B,1.924B,2020-10,3.792B,330.00M,-38.10M,-38.10M,10.28B,1.043B,8.187B,465.50M,1.587B,427.30M,97.30M,6.177B,1.459B,6.961B,20.65B,2.40M,5.171B,4.042B,13.69B,15.48B,9.649B,1.459B,1.587B,0
DLTR,2020-07,-41.20M,1.750B,4.361B,2.085B,0,1.1,1.1,5.083B,14.72B,1.916B,2020-07,3.276B,261.50M,-34.80M,-34.80M,10.24B,1.008B,8.206B,374.90M,1.483B,339.90M,78.40M,6.278B,1.541B,6.814B,20.67B,2.40M,5.232B,4.279B,13.86B,15.44B,9.579B,1.541B,1.483B,0
DLTR,2020-04,-47.80M,1.755B,4.492B,2.315B,0,1.05,1.04,5.081B,14.44B,1.795B,2020-04,3.198B,247.60M,-40.20M,-40.20M,10.11B,1.038B,8.108B,365.90M,1.421B,325.20M,77.60M,6.287B,1.429B,6.521B,20.47B,2.40M,5.165B,4.504B,13.95B,15.31B,9.447B,1.429B,1.421B,0
DLTR,2020-01,-39.80M,539.20M,4.355B,1.529B,0,0.52,0.52,5.083B,14.30B,1.960B,2020-01,3.522B,123.00M,-39.20M,-39.20M,10.11B,984.70M,8.502B,562.40M,1.656B,209.50M,86.50M,6.315B,1.398B,6.255B,19.57B,2.40M,4.269B,3.546B,13.32B,15.31B,9.773B,1.398B,1.582B,0
DLTR,2019-10,-39.20M,433.70M,4.042B,1.953B,0,1.08,1.08,5.396B,13.73B,1.704B,2019-10,3.883B,255.80M,-41.40M,-41.40M,9.675B,1.002B,8.156B,358.40M,1.473B,316.90M,61.10M,5.746B,1.346B,6.121B,19.74B,2.40M,4.572B,4.180B,13.62B,15.17B,9.441B,1.346B,1.473B,0
DLTR,2019-07,-39.60M,623.40M,4.092B,1.965B,0,0.76,0.76,5.396B,13.61B,1.648B,2019-07,3.471B,180.30M,-40.10M,-40.10M,9.680B,960.20M,8.286B,268.90M,1.455B,228.40M,48.10M,5.741B,1.380B,5.866B,19.49B,2.40M,4.341B,4.094B,13.63B,15.15B,9.534B,1.380B,1.455B,0
DLTR,2019-04,-41.10M,725.80M,4.082B,1.966B,0,1.13,1.12,5.396B,13.46B,1.727B,2019-04,3.326B,267.90M,-41.40M,-41.40M,9.636B,954.20M,8.366B,385.50M,1.312B,343.90M,76.00M,5.809B,1.342B,5.756B,19.35B,2.40M,4.246B,3.979B,13.60B,15.11B,9.619B,1.342B,1.312B,0
DLTR,2019-01,-38.30M,422.10M,4.293B,0,0,-9.69,-9.69,5.685B,7.136B,1.912B,2019-01,3.536B,-2.307B,-46.30M,-46.30M,3.445B,973.20M,4.335B,579.60M,1.679B,-2.194B,112.90M,6.205B,1.332B,5.643B,13.50B,2.40M,4.293B,2.096B,7.858B,9.208B,5.763B,1.332B,1.636B,0
DLTR,2018-10,0,708.30M,3.867B,0,0,1.18,1.18,8.443B,6.978B,1.672B,2018-10,3.716B,281.80M,-47.60M,-47.60M,3.406B,999.20M,5.044B,387.80M,1.366B,340.00M,58.20M,5.539B,1.284B,7.943B,16.65B,0,4.750B,2.136B,8.706B,11.90B,6.570B,1.284B,1.366B,0
DLTR,2018-07,-32.30M,647.30M,3.862B,915.90M,0,1.15,1.15,8.463B,6.764B,1.664B,2018-07,3.288B,273.90M,-46.10M,-46.10M,3.316B,976.00M,5.042B,382.50M,1.256B,337.70M,63.80M,5.526B,1.281B,7.648B,16.10B,2.40M,4.273B,1.907B,8.456B,11.83B,6.549B,1.281B,1.256B,90.40M
DLTR,2018-04,-37.60M,475.20M,3.854B,165.90M,0,0.68,0.67,8.484B,6.572B,1.700B,2018-04,3.248B,160.50M,-230.00M,-230.00M,3.250B,976.20M,5.040B,437.60M,1.263B,207.40M,46.90M,5.554B,1.262B,7.356B,15.83B,2.40M,4.042B,1.917B,8.471B,11.79B,6.554B,1.262B,1.263B,137.90M
DLTR,2018-01,0,1.098B,4.260B,152.10M,0,4.38,4.37,8.500B,6.393B,2.101B,2018-01,3.169B,1.040B,-81.60M,-81.60M,3.201B,1.122B,4.762B,730.60M,1.543B,691.50M,-348.60M,6.361B,1.370B,7.182B,16.33B,0,4.576B,2.859B,9.150B,11.76B,6.291B,1.370B,1.383B,0
DLTR,2017-10,0,400.10M,3.651B,0,0,1.01,1.01,8.527B,6.239B,1.666B,2017-10,3.398B,239.90M,-69.70M,-69.70M,3.179B,1.472B,5.557B,425.20M,1.181B,355.10M,115.20M,5.317B,1.241B,6.116B,15.73B,0,3.973B,2.040B,9.614B,11.76B,7.574B,1.241B,1.181B,0
DLTR,2017-07,0,697.30M,3.653B,0,0,0.99,0.98,5.025B,5.810B,1.628B,2017-07,2.928B,233.80M,-75.80M,-75.80M,3.116B,1.582B,6.170B,422.10M,1.196B,343.60M,109.80M,5.281B,1.206B,5.860B,15.53B,0,3.815B,2.085B,9.672B,11.72B,7.587B,1.206B,1.196B,0
DLTR,2017-04,0,1.159B,3.66B,0,0,0.85,0.85,5.022B,0,1.627B,2017-04,2.878B,200.50M,-74.70M,-74.70M,0,0,0,439.70M,1.445B,313.80M,113.30M,5.287B,1.187B,5.609B,15.99B,0,4.278B,2.241B,10.39B,11.72B,8.145B,1.187B,1.445B,0
