Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DOV,2021-03,-160.73M,536.51M,1.146B,48.83M,195.20M,1.62,1.61,5.087B,2.398B,721.55M,2021-03,900.61M,232.77M,-26.14M,-26.14M,881.13M,314.16M,3.063B,312.55M,1.378B,289.25M,56.48M,1.868B,409.00M,3.499B,9.271B,259.34M,2.815B,1.775B,5.772B,6.456B,3.996B,409.00M,940.51M,1.241B
DOV,2020-12,-153.25M,513.08M,1.129B,90.50M,184.84M,1.27,1.25,5.156B,2.403B,651.45M,2020-12,835.80M,182.11M,-27.53M,-27.53M,897.33M,410.94M,3.243B,245.93M,1.220B,220.41M,38.30M,1.780B,405.52M,3.386B,9.152B,258.98M,2.619B,1.916B,5.766B,6.533B,3.850B,405.52M,924.44M,1.137B
DOV,2020-09,-232.72M,427.50M,1.090B,505.00M,104.90M,1.39,1.38,5.033B,2.341B,658.73M,2020-09,838.54M,200.30M,-26.76M,-26.76M,879.62M,304.69M,3.047B,276.90M,1.452B,251.00M,50.70M,1.748B,381.83M,3.246B,8.986B,258.89M,2.605B,1.766B,5.740B,6.381B,3.973B,381.83M,911.01M,1.203B
DOV,2020-06,-263.63M,649.03M,947.58M,500.00M,36.46M,0.87,0.86,5.005B,2.287B,551.60M,2020-06,885.97M,124.77M,-27.98M,-27.98M,858.27M,319.40M,3.001B,184.86M,1.432B,156.83M,32.06M,1.499B,366.74M,3.090B,9.114B,258.77M,2.799B,2.114B,6.025B,6.315B,3.911B,366.74M,948.25M,1.143B
DOV,2020-03,-311.58M,508.91M,1.044B,126.54M,0,1.22,1.21,4.957B,2.239B,612.24M,2020-03,852.08M,176.28M,-26.08M,-26.08M,841.81M,338.59M,2.963B,225.30M,1.419B,213.50M,37.22M,1.656B,386.94M,2.981B,8.944B,258.74M,2.706B,2.094B,5.964B,6.238B,3.869B,386.94M,963.30M,1.222B
DOV,2019-12,-216.03M,397.25M,1.124B,182.70M,0,1.16,1.15,4.838B,2.232B,651.32M,2019-12,806.14M,168.12M,-29.42M,-29.42M,842.32M,411.33M,3.107B,248.09M,1.247B,197.02M,28.90M,1.776B,403.22M,3.033B,8.669B,258.55M,2.548B,1.913B,5.637B,6.121B,3.724B,403.22M,972.76M,1.217B
DOV,2019-09,-257.19M,340.53M,1.152B,357.70M,0,1.42,1.4,4.841B,2.197B,673.49M,2019-09,816.56M,206.01M,-30.15M,-30.15M,820.58M,333.89M,2.909B,282.71M,1.417B,257.93M,51.92M,1.825B,390.78M,3.018B,8.669B,258.43M,2.586B,1.825B,5.652B,6.083B,3.826B,390.78M,976.88M,1.269B
DOV,2019-06,-208.11M,321.33M,1.138B,346.26M,0,1.36,1.35,4.925B,2.180B,672.59M,2019-06,849.27M,198.08M,-30.81M,-30.81M,815.00M,336.99M,2.946B,275.96M,1.413B,249.74M,51.65M,1.811B,396.63M,2.955B,8.776B,258.32M,2.623B,1.955B,5.821B,6.153B,3.866B,396.63M,981.37M,1.289B
DOV,2019-03,-190.95M,243.01M,1.101B,220.32M,0,0.73,0.72,4.926B,2.158B,623.54M,2019-03,828.30M,105.70M,-30.92M,-30.92M,797.68M,349.43M,2.941B,215.08M,1.403B,138.32M,32.61M,1.725B,408.47M,2.837B,8.658B,258.21M,2.529B,1.947B,5.820B,6.128B,3.874B,408.47M,966.73M,1.272B
DOV,2018-12,-243.10M,396.22M,1.164B,0,0,0.97,0.96,4.812B,2.139B,644.97M,2018-12,748.80M,141.57M,-29.81M,-29.81M,806.50M,430.04M,2.944B,218.77M,1.315B,186.68M,28.70M,1.809B,426.20M,2.769B,8.366B,257.82M,2.504B,1.995B,5.597B,5.862B,3.602B,426.20M,1.018B,1.232B
