Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DPZ,2020-12,-2.424M,168.82M,821.30M,38.72M,3.855,3.85,96.37M,808.26M,535.26M,2020-12,66.68M,151.90M,-54.48M,-54.48M,525.63M,6.099M,4.318B,244.04M,206.03M,189.56M,37.67M,1.357B,291.22M,-3.300B,1.567B,0.389M,869.38M,470.82M,4.868B,697.78M,4.397B,291.22M,94.50M,244.56M
DPZ,2020-09,-3.422M,330.72M,605.74M,80.17M,2.53,2.49,93.69M,765.91M,361.98M,2020-09,65.50M,99.13M,-38.41M,-38.41M,491.92M,0,4.264B,162.18M,246.19M,123.77M,24.64M,967.72M,199.80M,-3.212B,1.621B,0.394M,956.52M,488.52M,4.832B,664.43M,4.344B,199.80M,119.45M,229.40M
DPZ,2020-06,-4.535M,247.95M,562.93M,79.88M,3.04,2.99,92.35M,751.99M,357.09M,2020-06,66.85M,118.67M,-39.09M,-39.09M,484.50M,0,4.327B,163.58M,247.63M,124.50M,5.828M,920.02M,193.51M,-3.283B,1.582B,0.393M,927.11M,459.87M,4.865B,654.58M,4.405B,193.51M,134.24M,232.11M
DPZ,2020-03,-6.068M,200.80M,532.94M,80.30M,3.14,3.07,89.26M,728.79M,340.16M,2020-03,49.01M,121.60M,-38.54M,-38.54M,469.66M,0,4.261B,155.83M,241.58M,117.30M,-4.306M,873.10M,184.32M,-3.392B,1.390B,0.39M,794.37M,452.17M,4.782B,595.50M,4.330B,184.32M,125.49M,219.20M
DPZ,2019-12,-3.742M,190.62M,703.06M,76.71M,3.322,3.12,88.23M,724.11M,447.29M,2019-12,52.96M,129.33M,-46.68M,-46.68M,471.67M,0,4.274B,203.95M,205.25M,157.27M,27.94M,1.150B,243.34M,-3.416B,1.382B,0.389M,787.62M,453.83M,4.798B,594.48M,4.344B,243.34M,111.10M,210.26M
DPZ,2019-09,-3.938M,66.71M,504.56M,68.14M,2.11,2.05,84.60M,698.37M,316.25M,2019-09,51.01M,86.37M,-32.78M,-32.78M,443.70M,0,3.609B,143.03M,225.82M,110.24M,23.87M,820.81M,173.22M,-2.936B,1.160B,0.409M,605.34M,421.24M,4.096B,554.93M,3.675B,173.22M,122.66M,185.40M
DPZ,2019-06,-4.208M,108.26M,494.98M,66.08M,2.25,2.19,83.17M,674.52M,316.67M,2019-06,44.28M,92.36M,-32.94M,-32.94M,425.34M,0,3.603B,138.92M,211.34M,105.98M,13.62M,811.65M,177.75M,-2.904B,1.177B,0.412M,643.45M,412.91M,4.081B,533.72M,3.669B,177.75M,109.81M,182.90M
DPZ,2019-03,-4.192M,83.11M,513.67M,67.66M,2.27,2.2,81.08M,710.12M,322.29M,2019-03,45.67M,92.65M,-34.36M,-34.36M,449.87M,0,3.646B,143.50M,229.28M,109.14M,16.49M,835.96M,178.78M,-2.975B,1.148B,0.411M,590.54M,412.01M,4.123B,557.73M,3.711B,178.78M,112.04M,194.06M
DPZ,2018-12,-4.429M,25.44M,668.18M,35.89M,2.724,2.62,78.73M,487.12M,413.96M,2018-12,45.98M,111.64M,-45.07M,-45.07M,234.94M,0,3.496B,179.64M,173.53M,134.56M,22.92M,1.082B,234.32M,-3.040B,907.38M,0.41M,566.95M,379.74M,3.947B,340.43M,3.568B,234.32M,92.55M,190.09M
DPZ,2018-09,-3.523M,84.60M,490.69M,35.85M,2.02,1.95,74.76M,454.16M,295.28M,2018-09,41.42M,84.10M,-33.18M,-33.18M,207.00M,0,3.438B,132.43M,206.50M,99.25M,15.15M,785.96M,162.85M,-2.974B,912.11M,0.416M,605.65M,376.43M,3.886B,306.46M,3.509B,162.85M,110.77M,170.24M
DPZ,2018-06,-3.439M,157.79M,485.82M,35.60M,1.84,1.78,74.24M,425.55M,293.58M,2018-06,40.16M,77.41M,-34.95M,-34.95M,177.19M,0,3.437B,126.14M,203.16M,91.20M,13.79M,779.40M,167.44M,-2.929B,954.56M,0.418M,682.91M,377.42M,3.884B,271.65M,3.506B,167.44M,102.98M,182.82M
DPZ,2018-03,-2.836M,44.61M,485.51M,32.34M,2.07,2,71.40M,412.77M,299.86M,2018-03,41.23M,88.83M,-29.81M,-29.81M,169.52M,0,3.117B,133.48M,225.13M,103.67M,14.84M,785.37M,166.39M,-2.771B,798.30M,0.426M,536.42M,384.77M,3.569B,261.88M,3.184B,166.39M,112.98M,174.42M
DPZ,2017-12,-2.03M,35.77M,610.66M,32.32M,2.176,2.09,68.25M,406.86M,280.85M,2017-12,39.96M,93.33M,-38.70M,-38.70M,169.59M,0,3.121B,175.25M,187.57M,136.56M,43.23M,891.51M,105.60M,-2.735B,836.75M,0.429M,579.78M,398.28M,3.572B,256.97M,3.174B,105.60M,106.89M,173.68M
DPZ,2017-09,-1.422M,61.36M,445.16M,32.31M,1.22,1.18,64.28M,375.76M,198.48M,2017-09,37.09M,56.37M,-32.53M,-32.53M,139.68M,0,3.128B,117.08M,222.59M,84.55M,28.18M,643.64M,81.40M,-2.765B,816.24M,0.437M,592.59M,398.53M,3.582B,223.65M,3.183B,81.40M,130.19M,154.48M
DPZ,2017-06,-2.828M,52.24M,435.77M,0.305M,1.37,1.32,61.58M,368.60M,192.84M,2017-06,37.66M,65.74M,-24.34M,-24.34M,137.79M,0,2.181B,112.87M,218.07M,88.53M,22.79M,628.61M,79.98M,-1.803B,781.80M,0.482M,560.90M,351.51M,2.585B,220.89M,2.233B,79.98M,127.27M,151.64M
DPZ,2017-03,-3.043M,52.09M,430.40M,0.30M,1.31,1.26,57.29M,363.17M,193.82M,2017-03,38.33M,62.47M,-25.52M,-25.52M,137.82M,0,2.179B,116.03M,246.85M,90.51M,28.04M,624.22M,77.78M,-1.854B,742.46M,0.481M,528.64M,369.44M,2.596B,213.83M,2.227B,77.78M,132.73M,150.93M
DPZ,2016-12,-3.11M,42.82M,564.70M,38.89M,1.509,1.48,56.31M,359.50M,254.73M,2016-12,40.18M,72.73M,-33.41M,-33.41M,138.53M,0,2.149B,150.72M,187.60M,117.31M,44.58M,819.44M,104.02M,-1.883B,716.30M,0.481M,495.87M,403.70M,2.599B,220.42M,2.196B,104.02M,111.51M,150.37M
DPZ,2016-09,-2.588M,29.98M,392.77M,73.88M,0.98,0.96,52.12M,349.51M,173.90M,2016-09,38.83M,47.23M,-25.10M,-25.10M,132.60M,0,2.157B,100.91M,203.04M,75.81M,28.58M,566.68M,72.99M,-1.936B,676.61M,0.481M,472.59M,410.52M,2.613B,204.02M,2.202B,72.99M,122.54M,138.11M
DPZ,2016-06,-2.575M,22.30M,375.50M,48.87M,1,0.98,50.52M,345.74M,171.84M,2016-06,36.47M,49.26M,-25.01M,-25.01M,131.97M,0,2.165B,103.70M,180.34M,78.69M,29.43M,547.34M,68.14M,-1.915B,652.28M,0.483M,450.45M,356.73M,2.567B,201.83M,2.210B,68.14M,103.72M,132.53M
DPZ,2016-03,-2.963M,178.25M,371.96M,41.59M,0.91,0.89,46.08M,340.13M,167.22M,2016-03,39.11M,45.45M,-25.87M,-25.87M,131.06M,0,2.173B,98.71M,183.29M,72.84M,27.39M,539.18M,68.50M,-1.730B,820.76M,0.501M,626.49M,333.73M,2.551B,194.27M,2.217B,68.50M,105.54M,130.52M
DPZ,2015-12,-3.548M,133.45M,509.74M,59.33M,1.148,1.148,44.60M,336.17M,231.44M,2015-12,36.86M,62.76M,-40.28M,-40.28M,131.89M,4.523M,2.181B,138.41M,166.90M,98.13M,35.37M,741.18M,93.03M,-1.800B,799.84M,0.498M,602.64M,375.98M,2.600B,197.21M,2.224B,93.03M,106.93M,131.58M
DPZ,2015-09,-3.481M,32.51M,342.74M,0.256M,0.69,0.67,40.31M,325.82M,141.95M,2015-09,39.83M,37.83M,-19.92M,-19.92M,119.45M,3.457M,1.528B,80.54M,166.45M,60.63M,22.80M,484.70M,61.41M,-1.256B,603.20M,0.546M,404.43M,279.29M,1.859B,198.76M,1.580B,61.41M,103.74M,112.40M
DPZ,2015-06,-2.929M,25.89M,335.95M,0.237M,0.84,0.81,38.29M,320.68M,152.67M,2015-06,36.28M,45.91M,-18.95M,-18.95M,117.20M,3.201M,1.527B,92.23M,163.78M,73.28M,27.37M,488.62M,60.44M,-1.246B,597.90M,0.548M,404.50M,269.21M,1.844B,193.40M,1.574B,60.44M,94.45M,113.33M
DPZ,2015-03,-3.09M,74.99M,344.96M,0.234M,0.84,0.81,37.10M,314.54M,157.07M,2015-03,37.90M,46.29M,-20.07M,-20.07M,114.74M,5.588M,1.527B,94.25M,188.22M,74.18M,27.89M,502.03M,62.81M,-1.214B,636.98M,0.554M,446.04M,275.31M,1.851B,190.94M,1.575B,62.81M,105.90M,118.08M
DPZ,2014-12,-2.661M,30.86M,453.38M,0.565M,0.8646,0.85,36.86M,310.22M,189.56M,2014-12,37.94M,48.03M,-26.67M,-26.67M,114.05M,5.455M,1.501B,102.88M,154.90M,76.22M,28.18M,642.95M,86.68M,-1.219B,596.33M,0.556M,428.36M,265.61M,1.816B,167.97M,1.550B,86.68M,100.90M,118.40M
DPZ,2014-09,-2.334M,30.94M,313.05M,0.549M,0.65,0.63,34.81M,307.90M,133.51M,2014-09,35.21M,35.62M,-19.95M,-19.95M,100.49M,3.84M,1.524B,76.94M,145.85M,56.99M,21.37M,446.57M,56.57M,-1.282B,510.88M,0.549M,333.32M,220.39M,1.793B,177.56M,1.572B,56.57M,88.05M,103.54M
DPZ,2014-06,-2.358M,15.30M,315.82M,0.538M,0.7,0.67,33.33M,302.58M,134.64M,2014-06,33.54M,38.46M,-19.82M,-19.82M,98.06M,4.572M,1.524B,81.36M,150.07M,61.54M,23.08M,450.46M,53.28M,-1.290B,495.67M,0.551M,320.98M,216.01M,1.785B,174.69M,1.569B,53.28M,87.62M,105.97M
DPZ,2014-03,-2.568M,38.38M,316.81M,24.16M,0.73,0.71,30.85M,296.56M,137.04M,2014-03,33.58M,40.47M,-20.30M,-20.30M,95.72M,7.827M,1.506B,84.18M,152.22M,63.88M,23.41M,453.85M,52.87M,-1.269B,524.31M,0.558M,353.88M,240.40M,1.793B,170.43M,1.553B,52.87M,87.67M,103.88M
DPZ,2013-12,-1.984M,14.38M,394.00M,24.14M,0.8009,0.78,31.06M,297.50M,172.55M,2013-12,30.32M,44.66M,-27.09M,-27.09M,97.58M,6.74M,1.512B,97.67M,143.86M,70.58M,25.92M,566.55M,74.88M,-1.290B,525.26M,0.558M,351.54M,254.61M,1.815B,173.72M,1.561B,74.88M,95.26M,107.60M
DPZ,2013-09,-2.267M,32.08M,283.42M,24.14M,0.56,0.53,29.68M,288.47M,120.63M,2013-09,30.28M,30.63M,-20.32M,-20.32M,89.33M,0,1.518B,66.78M,133.51M,46.45M,15.82M,404.05M,53.86M,-1.322B,468.52M,0.557M,302.41M,225.48M,1.791B,166.11M,1.565B,53.86M,74.70M,92.76M
DPZ,2013-06,-2.393M,40.84M,288.02M,24.15M,0.6,0.57,29.10M,284.58M,125.99M,2013-06,28.00M,33.27M,-20.40M,-20.40M,88.55M,4.291M,1.524B,73.84M,142.66M,53.44M,20.18M,414.01M,52.15M,-1.329B,468.80M,0.558M,302.54M,228.81M,1.798B,166.26M,1.569B,52.15M,76.09M,93.99M
DPZ,2013-03,-2.437M,75.08M,287.81M,24.21M,0.62,0.59,27.99M,284.09M,129.81M,2013-03,29.92M,34.42M,-20.90M,-20.90M,89.78M,4.158M,1.530B,75.52M,152.35M,54.62M,20.20M,417.62M,54.28M,-1.323B,476.56M,0.563M,308.56M,223.58M,1.800B,168.00M,1.576B,54.28M,81.63M,90.16M
DPZ,2012-12,-2.386M,54.81M,378.98M,24.35M,0.67,0.65,27.98M,283.16M,160.68M,2012-12,31.06M,37.58M,-27.73M,-27.73M,91.44M,7.001M,1.536B,88.04M,127.40M,60.31M,22.73M,539.65M,72.64M,-1.336B,478.20M,0.563M,306.27M,229.50M,1.814B,171.93M,1.584B,72.64M,78.92M,95.96M
DPZ,2012-09,-2.425M,34.55M,266.67M,24.44M,0.46,0.44,26.91M,280.12M,111.41M,2012-09,26.76M,25.98M,-20.65M,-20.65M,86.54M,7.589M,1.543B,61.62M,123.25M,40.97M,14.99M,378.08M,49.79M,-1.346B,440.95M,0.568M,272.13M,198.15M,1.786B,168.82M,1.588B,49.79M,61.88M,86.76M
DPZ,2012-06,-2.403M,46.34M,261.52M,60.12M,0.5,0.47,25.47M,282.83M,114.61M,2012-06,26.58M,28.10M,-20.66M,-20.66M,87.78M,6.719M,1.549B,65.78M,141.47M,45.11M,17.02M,376.12M,48.83M,-1.369B,424.62M,0.568M,254.50M,201.60M,1.794B,170.12M,1.592B,48.83M,59.22M,85.52M
DPZ,2012-03,-2.313M,245.38M,269.94M,55.16M,0.36,0.35,25.23M,280.87M,114.65M,2012-03,26.77M,20.74M,-32.10M,-32.10M,89.66M,6.331M,1.555B,66.90M,313.92M,34.80M,14.06M,384.59M,47.75M,-1.366B,601.28M,0.579M,427.89M,369.09M,1.967B,173.39M,1.598B,47.75M,249.02M,80.07M
DPZ,2011-12,-2.401M,50.29M,356.89M,0.904M,0.54,0.52,24.82M,281.01M,144.86M,2011-12,30.70M,30.91M,-28.07M,-28.07M,92.40M,5.021M,1.450B,76.13M,115.21M,48.07M,17.16M,501.75M,68.72M,-1.210B,480.54M,0.577M,326.84M,197.18M,1.690B,153.70M,1.493B,68.72M,69.71M,88.14M
DPZ,2011-09,-2.523M,32.08M,272.97M,0.894M,0.37,0.36,24.08M,277.23M,103.36M,2011-09,25.73M,22.09M,-20.92M,-20.92M,89.59M,0,1.451B,55.85M,121.39M,34.93M,12.84M,376.33M,47.50M,-1.221B,438.22M,0.582M,288.76M,170.58M,1.659B,149.47M,1.489B,47.50M,54.22M,82.10M
DPZ,2011-06,-2.623M,110.49M,274.24M,32.68M,0.42,0.4,25.26M,282.54M,110.69M,2011-06,28.65M,25.25M,-20.97M,-20.97M,92.32M,0,1.451B,62.05M,139.67M,41.08M,15.83M,384.93M,48.65M,-1.171B,486.99M,0.607M,340.23M,172.35M,1.658B,146.76M,1.486B,48.65M,58.69M,85.59M
DPZ,2011-03,-2.654M,119.85M,277.58M,28.10M,0.46,0.43,24.70M,282.02M,111.61M,2011-03,29.64M,27.11M,-21.38M,-21.38M,93.96M,0,1.451B,65.11M,143.05M,43.74M,16.62M,389.19M,46.49M,-1.168B,487.43M,0.617M,339.04M,171.15M,1.655B,148.39M,1.484B,46.49M,63.30M,85.19M
