Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DRE,2020-12,-31.57M,6.309M,75.18M,0.46,0.45,90.88M,0,191.11M,2020-12,168.82M,-23.97M,-23.97M,0,3.385B,77.70M,157.20M,166.42M,-3.946M,266.29M,15.60M,5.163B,9.111B,3.733M,577.05M,164.94M,3.877B,8.534B,3.712B,113.40M,138.83M,199.73M
DRE,2020-09,-32.46M,6.748M,81.86M,0.19,0.19,96.58M,0,180.17M,2020-09,71.82M,-23.03M,-23.03M,0,3.146B,74.30M,211.39M,71.52M,-0.956M,262.03M,11.44M,5.018B,8.743B,3.715M,480.83M,211.39M,3.654B,8.262B,3.443B,105.86M,184.89M,205.03M
DRE,2020-06,-33.35M,29.87M,64.73M,0.11,0.11,107.72M,0,173.78M,2020-06,39.82M,-22.62M,-22.62M,0,3.075B,67.90M,206.50M,40.05M,-0.15M,238.51M,13.61M,4.988B,8.567B,3.704M,480.77M,206.50M,3.510B,8.086B,3.303B,105.89M,191.05M,208.89M
DRE,2020-03,-34.24M,187.56M,62.14M,0.05,0.05,0,0,164.23M,2020-03,19.46M,-22.10M,-22.10M,0,3.147B,53.47M,186.18M,19.55M,-0.06M,226.37M,21.76M,4.960B,8.574B,3.684M,596.43M,186.18M,3.547B,7.978B,3.361B,110.76M,157.06M,179.96M
DRE,2019-12,-35.04M,110.89M,63.28M,0.23,0.23,0,0,167.20M,2019-12,86.80M,-18.95M,-18.95M,0,2.915B,64.65M,152.06M,89.66M,2.221M,230.48M,11.77M,5.018B,8.421B,3.68M,648.66M,152.95M,3.340B,7.772B,3.187B,102.55M,137.88M,285.30M
DRE,2019-09,-42.10M,121.23M,74.54M,0.62,0.62,0,0,166.79M,2019-09,226.57M,-20.52M,-20.52M,0,2.768B,67.15M,184.67M,227.88M,-0.536M,241.33M,13.72M,4.958B,8.263B,3.663M,794.91M,187.19M,3.242B,7.468B,3.054B,99.64M,155.99M,295.87M
DRE,2019-06,-28.72M,8.664M,73.16M,0.2,0.2,0,0,163.86M,2019-06,71.05M,-20.98M,-20.98M,0,2.839B,62.48M,165.42M,78.18M,6.616M,237.03M,13.42M,4.641B,8.014B,3.606M,549.44M,166.06M,3.312B,7.465B,3.146B,101.39M,143.15M,306.38M
DRE,2019-03,-14.02M,15.30M,105.70M,0.12,0.12,0,0,159.23M,2019-03,44.55M,-19.37M,-19.37M,0,2.827B,56.98M,170.77M,45.15M,0.385M,264.93M,21.98M,4.622B,7.962B,3.594M,627.08M,170.81M,3.281B,7.335B,3.110B,102.25M,143.84M,391.35M
DRE,2018-12,-4.676M,17.90M,113.81M,0.18,0.18,0,0,157.05M,2018-12,63.90M,-18.95M,-18.95M,0,2.659B,62.94M,181.80M,63.12M,-0.667M,270.86M,12.78M,4.658B,7.804B,3.589M,637.28M,181.80M,3.091B,7.167B,2.909B,94.11M,165.65M,437.35M
DRE,2018-09,0,133.40M,82.51M,0.15,0.15,0,0,149.38M,2018-09,53.02M,-17.33M,-17.33M,0,2.634B,60.47M,217.46M,52.40M,-0.897M,231.90M,8.959M,4.672B,7.825B,3.583M,933.20M,218.06M,3.100B,6.892B,2.882B,88.92M,189.99M,432.42M
DRE,2018-06,0,86.34M,62.83M,0.54,0.54,88.65M,0,147.73M,2018-06,193.84M,-15.95M,-15.95M,0,2.417B,56.91M,187.06M,192.81M,0.063M,210.56M,13.46M,4.660B,7.503B,3.572M,823.68M,187.06M,2.794B,6.679B,2.607B,90.82M,169.28M,406.68M
DRE,2018-03,0,160.86M,91.47M,0.2,0.2,78.59M,0,143.09M,2018-03,72.96M,-15.54M,-15.54M,0,2.496B,43.27M,151.74M,83.85M,10.33M,234.56M,21.02M,4.534B,7.428B,3.57M,937.76M,153.07M,2.846B,6.490B,2.693B,99.82M,124.57M,522.69M
DRE,2017-12,0,67.56M,78.73M,0.52,0.52,0,0,136.89M,2017-12,188.42M,-16.08M,-16.08M,0,2.423B,44.59M,139.83M,54.42M,-8.275M,215.62M,13.78M,4.533B,7.388B,3.564M,940.97M,140.99M,2.814B,6.447B,2.673B,92.30M,121.92M,552.57M
DRE,2017-09,0.426M,27.32M,68.46M,0.46,0.46,0,0,126.37M,2017-09,165.27M,-14.43M,-14.43M,0,2.132B,47.53M,178.13M,42.37M,0.359M,194.83M,10.08M,4.710B,7.297B,3.561M,1.341B,180.78M,2.544B,5.956B,2.363B,78.84M,153.58M,548.67M
DRE,2017-06,0.682M,76.33M,63.78M,3.4,3.38,0,0,125.63M,2017-06,1.211B,-19.42M,-19.42M,0,2.280B,46.04M,153.24M,124.62M,5.426M,189.41M,11.86M,4.614B,7.318B,3.557M,1.885B,162.33M,2.654B,5.433B,2.492B,79.59M,139.30M,543.62M
DRE,2017-03,0.938M,13.39M,50.37M,0.2,0.2,0,0,130.70M,2017-03,70.20M,-23.63M,-23.63M,0,3.080B,48.71M,165.69M,67.55M,2.132M,181.08M,19.23M,3.467B,6.959B,3.556M,501.84M,168.40M,3.461B,6.457B,3.292B,81.99M,136.83M,140.17M
DRE,2016-12,1.216M,12.64M,63.03M,0.14,0.13,0,0,118.12M,2016-12,47.76M,-25.06M,-25.06M,0,2.908B,44.51M,127.00M,40.45M,-0.416M,181.15M,13.17M,3.466B,6.772B,3.548M,1.673B,183.29M,3.279B,5.099B,3.095B,73.61M,103.36M,130.01M
