Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DRI,2021-02,0.70M,993.90M,1.396B,436.30M,493.80M,0.99,0.98,1.844B,9.441B,337.40M,2021-02,188.20M,128.70M,-15.20M,-15.20M,6.656B,40.40M,5.086B,151.10M,454.50M,132.30M,3.10M,1.733B,98.10M,2.576B,10.10B,2.272B,1.300B,1.646B,7.521B,8.796B,5.874B,186.30M,292.30M,44.00M
DRI,2020-11,-7.10M,777.30M,1.341B,2.90M,439.90M,0.74,0.73,1.844B,9.405B,315.40M,2020-11,203.00M,96.00M,-14.60M,-14.60M,6.686B,45.10M,5.152B,120.70M,419.30M,105.70M,8.80M,1.656B,108.70M,2.455B,9.928B,2.239B,1.110B,1.546B,7.472B,8.818B,5.926B,194.70M,289.30M,46.20M
DRI,2020-08,-12.50M,654.60M,1.226B,45.00M,448.50M,0.28,0.28,1.844B,9.350B,301.30M,2020-08,190.10M,36.10M,-16.60M,-16.60M,6.691B,43.30M,5.193B,56.60M,435.90M,32.50M,-4.80M,1.527B,157.10M,2.375B,9.790B,2.221B,971.00M,1.544B,7.414B,8.818B,5.871B,244.70M,307.00M,47.20M
DRI,2020-05,-17.60M,763.30M,1.260B,0,467.90M,-3.86,-3.86,1.843B,9.367B,10.50M,2020-05,206.90M,-480.00M,-19.90M,-19.90M,6.726B,56.10M,5.205B,-202.10M,509.10M,-610.30M,-130.60M,1.270B,118.20M,2.331B,9.946B,2.205B,1.101B,1.793B,7.615B,8.845B,5.822B,212.60M,349.40M,49.80M
DRI,2020-02,-0.40M,321.70M,1.808B,0,475.70M,1.92,1.89,2.156B,9.441B,538.00M,2020-02,229.60M,232.30M,-13.20M,-13.20M,6.825B,188.50M,5.246B,278.40M,572.90M,265.10M,31.80M,2.346B,171.90M,2.341B,9.973B,1.693B,686.00M,1.683B,7.632B,9.287B,5.949B,259.60M,417.70M,51.20M
DRI,2019-11,-0.50M,157.30M,1.651B,0,390.30M,0.2,0.2,2.150B,9.325B,405.50M,2019-11,212.20M,24.70M,-13.10M,-13.10M,6.760B,182.10M,5.234B,160.20M,549.10M,-6.20M,-31.60M,2.056B,157.70M,2.274B,9.743B,1.69B,535.50M,1.558B,7.469B,9.207B,5.912B,245.30M,412.00M,56.80M
DRI,2019-08,-101.00M,350.80M,1.680B,0,388.80M,1.39,1.37,2.150B,9.123B,454.40M,2019-08,199.00M,170.60M,-11.10M,-11.10M,6.608B,165.50M,5.194B,201.50M,561.50M,190.40M,18.60M,2.134B,166.70M,2.381B,9.720B,1.693B,670.30M,1.549B,7.338B,9.049B,5.790B,252.90M,425.20M,51.10M
DRI,2019-05,-98.20M,457.30M,1.725B,0,428.50M,1.69,1.67,2.134B,5.035B,503.80M,2019-05,207.30M,208.00M,-11.90M,-11.90M,2.553B,511.30M,927.70M,244.40M,652.20M,217.90M,9.20M,2.229B,171.50M,2.393B,5.893B,1.685B,892.60M,1.474B,3.500B,5.000B,2.026B,259.40M,468.40M,88.30M
DRI,2019-02,-81.00M,302.90M,1.729B,0,471.70M,1.81,1.79,2.134B,4.954B,517.60M,2019-02,209.50M,223.60M,-12.40M,-12.40M,2.540B,477.20M,927.40M,267.10M,524.30M,253.10M,28.00M,2.246B,165.20M,2.316B,5.698B,1.677B,687.20M,1.443B,3.382B,5.011B,1.939B,250.50M,361.00M,73.90M
DRI,2018-11,-78.70M,139.70M,1.587B,0,388.60M,0.93,0.92,2.134B,4.880B,386.70M,2018-11,209.40M,115.60M,-12.80M,-12.80M,2.521B,464.30M,927.10M,150.80M,502.40M,135.30M,19.40M,1.973B,153.10M,2.250B,5.549B,1.676B,561.20M,1.385B,3.299B,4.988B,1.914B,235.90M,362.60M,80.50M
