Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DTE,2020-12,-137.00M,514.00M,2.339B,540.00M,0,1.42,1.42,4.805B,38.15B,949.00M,2020-12,716.00M,275.00M,-181.00M,-181.00M,28.12B,2.822B,19.11B,486.00M,1.397B,324.00M,49.00M,3.288B,12.42B,45.50B,5.406B,3.498B,2.691B,32.91B,42.00B,30.22B,463.00M,1.239B,1.792B
DTE,2020-09,-138.00M,945.00M,2.223B,1.487B,0,2.47,2.46,4.823B,37.41B,1.061B,2020-09,815.00M,476.00M,-163.00M,-163.00M,27.32B,2.736B,18.34B,602.00M,1.327B,540.00M,63.00M,3.284B,12.32B,44.44B,5.369B,3.821B,3.417B,31.95B,40.62B,28.53B,459.00M,1.16B,1.559B
DTE,2020-06,-141.00M,579.00M,1.727B,1.616B,384.00M,1.44,1.44,4.845B,36.84B,856.00M,2020-06,785.00M,277.00M,-173.00M,-173.00M,26.88B,2.65B,17.46B,429.00M,1.574B,283.00M,6.00M,2.583B,11.72B,43.74B,5.247B,3.497B,4.196B,31.85B,40.24B,27.65B,427.00M,1.415B,1.746B
DTE,2020-03,-145.00M,552.00M,2.014B,1.55B,382.00M,1.77,1.76,4.868B,36.31B,1.008B,2020-03,707.00M,340.00M,-165.00M,-165.00M,26.40B,2.553B,17.15B,542.00M,1.392B,391.00M,49.00M,3.022B,11.82B,43.23B,5.235B,3.526B,3.972B,31.24B,39.71B,27.27B,466.00M,1.223B,1.742B
DTE,2019-12,-148.00M,93.00M,2.289B,1.548B,379.00M,1.39,1.39,4.857B,35.24B,859.00M,2019-12,759.00M,267.00M,-167.00M,-167.00M,25.49B,2.315B,16.06B,440.00M,1.418B,298.00M,30.00M,3.148B,11.67B,42.27B,5.233B,3.086B,3.997B,30.43B,39.18B,26.44B,419.00M,1.271B,1.887B
DTE,2019-09,-146.00M,76.00M,2.245B,1.964B,0,1.74,1.73,3.233B,33.62B,874.00M,2019-09,806.00M,319.00M,-158.00M,-158.00M,23.90B,2.257B,13.96B,451.00M,1.359B,364.00M,47.00M,3.119B,10.74B,38.34B,4.37B,2.985B,3.865B,27.44B,35.36B,23.58B,423.00M,1.206B,1.717B
DTE,2019-06,-146.00M,62.00M,2.178B,1.535B,0,0.99,0.99,3.13B,32.98B,710.00M,2019-06,765.00M,182.00M,-151.00M,-151.00M,22.44B,2.063B,13.67B,319.00M,1.538B,200.00M,21.00M,2.888B,10.40B,36.85B,4.344B,2.726B,3.654B,26.28B,34.12B,22.63B,391.00M,1.397B,1.529B
DTE,2019-03,-143.00M,56.00M,2.558B,1.688B,0,2.2,2.19,3.139B,32.35B,956.00M,2019-03,604.00M,401.00M,-148.00M,-148.00M,22.00B,2.029B,12.87B,549.00M,1.303B,462.00M,54.00M,3.514B,10.54B,36.43B,4.324B,2.84B,3.647B,25.41B,33.59B,21.77B,407.00M,1.154B,1.755B
DTE,2018-12,-120.00M,71.00M,3.003B,2.108B,0,1.05,1.04,3.142B,31.81B,747.00M,2018-12,811.00M,191.00M,-144.00M,-144.00M,21.65B,1.975B,12.13B,359.00M,1.628B,173.00M,-23.00M,3.75B,10.24B,36.29B,4.245B,3.26B,4.438B,25.57B,33.03B,21.13B,388.00M,1.501B,1.897B
DTE,2018-09,-118.00M,84.00M,2.739B,78.00M,0,1.84,1.84,3.157B,32.60B,811.00M,2018-09,767.00M,334.00M,-139.00M,-139.00M,21.61B,1.974B,13.62B,446.00M,1.464B,369.00M,34.00M,3.55B,10.21B,35.29B,4.232B,3.103B,2.117B,24.60B,32.19B,22.48B,365.00M,1.321B,1.773B
