Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DVA,2020-12,-66.15M,345.06M,2.057B,538.04M,1.56,1.5,7.086B,10.87B,848.44M,2020-12,111.62M,173.77M,-60.47M,-60.47M,6.385B,809.60M,10.66B,382.44M,565.60M,327.37M,73.37M,2.905B,304.52M,1.384B,16.99B,0.11M,3.149B,2.476B,15.42B,13.84B,12.95B,466.00M,481.10M,2.439B
DVA,2020-09,-122.53M,729.87M,1.972B,528.98M,1.31,1.28,6.986B,10.62B,952.35M,2020-09,106.25M,158.67M,-73.66M,-73.66M,6.252B,765.69M,10.58B,432.17M,388.50M,283.33M,65.79M,2.924B,363.28M,1.575B,17.05B,0.126M,3.430B,2.499B,15.29B,13.62B,12.79B,520.17M,388.50M,2.428B
DVA,2020-06,-135.11M,3.083B,1.985B,2.267B,1.65,1.62,6.904B,10.47B,895.42M,2020-06,97.90M,201.60M,-81.38M,-81.38M,6.245B,706.41M,10.60B,421.83M,418.88M,338.08M,83.21M,2.880B,316.21M,2.154B,19.31B,0.126M,5.780B,4.275B,16.97B,13.53B,12.70B,473.58M,418.88M,2.429B
DVA,2020-03,-140.52M,1.391B,1.975B,502.35M,1.92,1.89,6.896B,10.39B,865.79M,2020-03,95.68M,239.59M,-91.55M,-91.55M,6.293B,675.73M,11.18B,447.53M,363.61M,369.48M,91.56M,2.841B,263.58M,1.948B,17.60B,0.126M,4.024B,2.221B,15.46B,13.57B,13.24B,418.26M,363.61M,2.371B
DVA,2019-12,-47.50M,1.114B,2.001B,474.62M,1.89,1.88,6.923B,10.27B,897.96M,2019-12,97.95M,244.87M,-92.05M,-92.05M,6.303B,577.54M,10.70B,461.07M,596.38M,382.02M,81.69M,2.899B,278.42M,2.133B,17.31B,0.126M,3.690B,2.372B,14.99B,13.62B,12.62B,436.89M,482.54M,2.305B
DVA,2019-09,-77.60M,1.354B,1.991B,495.66M,0.95,0.95,6.883B,9.993B,912.91M,2019-09,98.64M,143.27M,-88.59M,-88.59M,6.201B,604.92M,10.70B,458.26M,332.14M,273.78M,65.25M,2.904B,298.74M,2.319B,17.45B,0.167M,3.999B,2.207B,14.94B,13.45B,12.73B,454.65M,332.14M,2.392B
DVA,2019-06,-33.61M,3.581B,1.958B,3.964B,1.64,1.64,6.986B,9.846B,884.95M,2019-06,96.82M,273.55M,-131.67M,-131.67M,6.196B,593.56M,8.067B,457.37M,388.96M,323.70M,75.94M,2.843B,275.34M,4.049B,19.93B,0.167M,6.391B,5.707B,15.69B,13.54B,9.981B,427.58M,388.96M,2.552B
DVA,2019-03,-47.55M,463.28M,1.965B,5.044B,0.9,0.9,6.918B,9.668B,778.18M,2019-03,104.24M,149.29M,-131.52M,-131.52M,6.129B,588.80M,8.413B,378.84M,365.19M,215.93M,56.75M,2.743B,250.81M,3.875B,22.61B,0.166M,9.225B,8.231B,18.52B,13.38B,10.29B,399.34M,365.19M,2.486B
DVA,2018-12,-34.92M,325.97M,2.027B,1.929B,-0.9,-0.9,6.961B,6.918B,794.06M,2018-12,107.38M,-149.77M,-128.30M,-128.30M,3.394B,562.54M,8.173B,370.37M,633.33M,259.11M,51.75M,2.821B,268.53M,3.703B,19.11B,0.166M,8.424B,4.891B,15.20B,10.69B,10.31B,423.69M,491.93M,2.397B
DVA,2018-09,-29.11M,452.94M,2.064B,1.784B,-0.82,-0.82,6.800B,6.730B,783.56M,2018-09,91.10M,-136.80M,-125.93M,-125.93M,3.276B,515.89M,8.441B,300.46M,458.93M,167.12M,52.05M,2.847B,336.30M,3.825B,19.36B,0.183M,8.930B,4.855B,15.33B,10.43B,10.47B,483.10M,458.93M,2.257B
DVA,2018-06,-21.92M,393.79M,2.069B,1.769B,1.56,1.53,6.779B,6.557B,817.86M,2018-06,112.73M,267.28M,-119.69M,-119.69M,3.229B,526.42M,8.176B,408.79M,542.27M,320.49M,83.87M,2.887B,264.09M,4.279B,19.44B,0.183M,9.085B,4.784B,14.95B,10.35B,10.17B,409.07M,542.27M,2.337B
DVA,2018-03,27.34M,363.48M,2.036B,184.14M,1,0.98,6.752B,6.416B,813.86M,2018-03,125.56M,178.69M,-113.52M,-113.52M,3.185B,507.23M,9.280B,410.53M,437.73M,301.75M,70.74M,2.849B,266.53M,4.581B,18.94B,0.183M,8.674B,2.948B,14.16B,10.27B,11.21B,403.33M,437.73M,2.265B
DVA,2017-12,13.24M,541.06M,1.942B,178.21M,1.66,1.64,6.724B,6.253B,839.23M,2017-12,181.80M,303.40M,-109.00M,-109.00M,3.149B,486.25M,9.158B,435.09M,685.72M,46.82M,-150.27M,2.781B,265.42M,4.690B,18.97B,0.182M,8.771B,3.068B,14.09B,10.20B,11.02B,404.14M,537.43M,2.163B
