Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DXC,2020-12,-407.00M,3.919B,3.333B,1.245B,1.102B,4.32,4.29,4.755B,9.075B,955.00M,2020-12,1.098B,-54.00M,-54.00M,4.78B,666.00M,6.557B,-37.00M,5.923B,1.978B,875.00M,4.288B,517.00M,5.655B,23.63B,3.00M,9.105B,8.27B,17.64B,14.53B,9.369B,992.00M,1.897B,4.13B
DXC,2020-09,-562.00M,3.079B,3.563B,2.083B,974.00M,-0.96,-0.96,4.871B,9.17B,991.00M,2020-09,-244.00M,-71.00M,-71.00M,4.972B,697.00M,9.238B,-73.00M,5.415B,-306.00M,-60.00M,4.554B,539.00M,4.401B,25.67B,3.00M,8.337B,8.656B,20.92B,17.33B,12.26B,1.064B,1.456B,4.194B
DXC,2020-06,-599.00M,5.509B,3.629B,2.17B,1.03B,-0.81,-0.81,7.597B,9.177B,873.00M,2020-06,-205.00M,-83.00M,-83.00M,5.105B,733.00M,11.54B,-158.00M,5.125B,-225.00M,-26.00M,4.502B,539.00M,4.593B,27.89B,3.00M,10.71B,8.325B,22.95B,17.19B,14.63B,1.031B,1.603B,4.271B
DXC,2020-03,-603.00M,3.679B,3.773B,1.758B,1.021B,-13.79,-13.79,7.748B,8.793B,1.042B,2020-03,-3.495B,-60.00M,-60.00M,4.975B,735.00M,9.735B,-20.00M,5.116B,-3.562B,-61.00M,4.815B,536.00M,4.785B,26.01B,3.00M,8.987B,7.895B,20.88B,17.02B,12.98B,1.062B,1.685B,4.392B
DXC,2019-12,-176.00M,2.56B,3.827B,2.079B,1.069B,0.32,0.32,12.14B,9.432B,1.194B,2019-12,82.00M,-60.00M,-60.00M,5.115B,747.00M,8.412B,197.00M,5.636B,127.00M,37.00M,5.021B,518.00M,8.749B,29.60B,3.00M,8.183B,8.784B,20.50B,21.42B,11.71B,997.00M,1.819B,4.619B
DXC,2019-09,-428.00M,2.88B,3.679B,1.96B,1.784B,-8.19,-8.19,12.08B,9.219B,1.172B,2019-09,-2.119B,-37.00M,-37.00M,5.037B,234.00M,8.837B,216.00M,5.23B,-1.999B,116.00M,4.851B,489.00M,8.55B,29.52B,3.00M,8.49B,8.974B,20.65B,21.03B,11.67B,956.00M,1.603B,4.611B
DXC,2019-06,-351.00M,1.868B,3.622B,2.097B,1.795B,0.61,0.61,15.27B,9.369B,1.268B,2019-06,163.00M,-61.00M,-61.00M,5.219B,309.00M,9.022B,291.00M,5.446B,206.00M,38.00M,4.89B,507.00M,10.91B,32.58B,3.00M,8.19B,9.338B,21.36B,24.39B,12.02B,977.00M,1.517B,5.234B
DXC,2019-03,-244.00M,2.899B,3.836B,1.942B,1.63B,1.02,1.01,13.54B,7.137B,1.444B,2019-03,274.00M,-49.00M,-49.00M,3.179B,256.00M,5.47B,480.00M,5.881B,354.00M,83.00M,5.28B,459.00M,11.40B,29.57B,3.00M,9.066B,9.453B,17.85B,20.51B,8.396B,964.00M,1.874B,5.181B
DXC,2018-12,-464.00M,2.475B,3.725B,1.58B,1.664B,1.68,1.66,14.36B,6.84B,1.453B,2018-12,462.00M,-54.00M,-54.00M,3.186B,273.00M,5.98B,454.00M,5.278B,469.00M,3.00M,5.178B,491.00M,11.02B,28.87B,3.00M,8.522B,8.522B,17.52B,20.35B,8.993B,999.00M,1.345B,5.096B
DXC,2018-09,-382.00M,2.78B,3.518B,1.618B,1.536B,0.93,0.92,14.02B,6.896B,1.495B,2018-09,262.00M,-50.00M,-50.00M,3.281B,301.00M,5.409B,442.00M,5.36B,332.00M,73.00M,5.013B,569.00M,11.50B,28.88B,3.00M,8.815B,8.514B,17.04B,20.07B,8.531B,1.053B,1.358B,4.928B
DXC,2018-06,-312.00M,2.579B,3.867B,2.307B,1.638B,0.91,0.9,14.35B,6.894B,1.415B,2018-06,259.00M,-53.00M,-53.00M,3.349B,351.00M,4.747B,504.00M,5.369B,360.00M,129.00M,5.282B,440.00M,11.47B,29.13B,3.00M,8.816B,9.314B,17.31B,20.31B,7.998B,911.00M,1.326B,5.271B
DXC,2018-03,58.00M,2.593B,4.087B,1.918B,1.768B,1.96,1.93,14.00B,7.049B,1.497B,2018-03,560.00M,-70.00M,-70.00M,3.363B,795.00M,6.092B,560.00M,5.377B,588.00M,61.00M,5.584B,406.00M,13.49B,33.92B,3.00M,9.62B,9.852B,20.08B,24.30B,10.23B,937.00M,1.513B,5.481B
DXC,2017-12,-118.00M,2.926B,4.051B,2.173B,1.739B,2.72,2.68,17.25B,7.471B,1.409B,2017-12,776.00M,-46.00M,-46.00M,3.812B,856.00M,6.367B,522.00M,5.726B,341.00M,-365.00M,5.46B,447.00M,12.84B,33.58B,3.00M,9.521B,9.638B,20.38B,24.06B,10.74B,887.00M,1.51B,5.611B
DXC,2017-09,-70.00M,2.671B,3.87B,2.20B,1.511B,0.9,0.88,17.16B,7.242B,1.583B,2017-09,256.00M,-57.00M,-57.00M,3.745B,806.00M,6.325B,457.00M,5.726B,284.00M,79.00M,5.453B,644.00M,12.14B,33.18B,3.00M,9.44B,9.437B,20.67B,23.74B,11.23B,1.126B,1.666B,5.676B
DXC,2017-06,7.00M,2.517B,4.309B,1.203B,1.29B,0.56,0.55,15.62B,6.543B,927.00M,2017-06,159.00M,-58.00M,-58.00M,3.334B,641.00M,6.249B,192.00M,5.598B,91.00M,-17.00M,5.236B,393.00M,12.00B,31.22B,3.00M,9.575B,8.091B,18.87B,21.64B,10.78B,735.00M,1.961B,5.776B
DXC,2017-03,-162.00M,1.263B,1.418B,738.00M,556.00M,-1.05,-1.05,3.649B,3.719B,471.00M,2017-03,-148.00M,-21.00M,-21.00M,903.00M,286.00M,2.225B,-33.00M,1.656B,-187.00M,-49.00M,1.889B,351.00M,1.888B,8.663B,1.00M,3.247B,2.95B,6.497B,5.416B,3.547B,504.00M,410.00M,1.643B
DXC,2016-12,-286.00M,1.111B,1.347B,706.00M,469.00M,0.22,0.21,3.564B,3.759B,570.00M,2016-12,31.00M,-25.00M,-25.00M,917.00M,491.00M,2.217B,76.00M,1.481B,50.00M,13.00M,1.917B,333.00M,1.906B,8.302B,152.00M,3.048B,2.656B,6.108B,5.254B,3.452B,494.00M,367.00M,1.627B
DXC,2016-09,-115.00M,1.054B,1.363B,794.00M,554.00M,0.11,0.1,3.725B,3.96B,508.00M,2016-09,15.00M,-21.00M,-21.00M,984.00M,534.00M,2.506B,48.00M,1.353B,-1.00M,-22.00M,1.871B,293.00M,2.041B,8.819B,151.00M,3.326B,2.701B,6.494B,5.493B,3.793B,460.00M,281.00M,1.893B
DXC,2016-06,-169.00M,1.00B,1.421B,700.00M,586.00M,-0.15,-0.15,3.002B,3.942B,509.00M,2016-06,-21.00M,-15.00M,-15.00M,1.012B,566.00M,2.543B,38.00M,1.477B,-36.00M,-16.00M,1.93B,305.00M,1.968B,8.857B,151.00M,3.404B,2.763B,6.628B,5.453B,3.865B,471.00M,368.00M,1.983B
DXC,2016-03,-111.00M,1.178B,1.46B,710.00M,549.00M,-0.91,-0.91,2.605B,3.919B,347.00M,2016-03,-133.00M,-19.00M,-19.00M,1.025B,348.00M,1.934B,-68.00M,1.349B,-187.00M,-79.00M,1.807B,260.00M,2.025B,7.736B,149.00M,3.412B,2.608B,5.704B,4.324B,3.096B,415.00M,341.00M,1.831B
DXC,2015-12,-106.00M,1.83B,1.216B,760.00M,510.00M,0.36,0.35,2.09B,3.856B,534.00M,2015-12,50.00M,-25.00M,-25.00M,1.028B,354.00M,1.909B,114.00M,1.316B,78.00M,56.00M,1.75B,259.00M,2.216B,7.989B,149.00M,3.861B,2.586B,5.766B,4.128B,3.18B,420.00M,211.00M,1.67B
DXC,2015-09,-61.00M,1.818B,1.237B,894.00M,642.00M,1.24,1.21,2.954B,5.086B,508.00M,2015-09,171.00M,-22.00M,-22.00M,1.519B,0,1.716B,71.00M,1.841B,47.00M,-46.00M,1.745B,269.00M,3.017B,10.01B,148.00M,4.445B,3.377B,6.967B,5.568B,3.59B,437.00M,436.00M,2.127B
DXC,2015-06,75.00M,2.199B,1.272B,911.00M,700.00M,1.18,1.15,2.75B,5.157B,532.00M,2015-06,163.00M,-19.00M,-19.00M,1.558B,0,1.707B,87.00M,1.922B,72.00M,7.00M,1.804B,271.00M,2.99B,10.12B,148.00M,4.796B,3.533B,7.102B,5.32B,3.569B,445.00M,412.00M,2.123B
DXC,2015-03,21.00M,2.076B,1.618B,883.00M,482.00M,0.06,0.06,1.882B,3.85B,292.00M,2015-03,19.00M,-24.00M,-24.00M,1.11B,0,1.635B,-158.00M,1.508B,-428.00M,-307.00M,1.91B,268.00M,2.937B,10.22B,148.00M,4.856B,3.564B,7.256B,5.365B,3.692B,450.00M,295.00M,1.682B
DXC,2014-12,141.00M,2.393B,1.572B,554.00M,652.00M,-2.23,-2.23,2.775B,5.381B,377.00M,2014-12,-314.00M,-28.00M,-28.00M,1.692B,0,2.17B,-345.00M,1.984B,-386.00M,-192.00M,1.949B,517.00M,3.33B,10.65B,151.00M,5.186B,3.19B,7.298B,5.467B,4.108B,722.00M,339.00M,2.435B
DXC,2014-09,181.00M,1.923B,2.207B,569.00M,665.00M,1.05,1.04,2.838B,5.475B,873.00M,2014-09,151.00M,-31.00M,-31.00M,1.793B,0,2.214B,275.00M,1.786B,245.00M,68.00M,3.08B,346.00M,3.687B,10.57B,150.00M,5.076B,3.02B,6.854B,5.497B,3.834B,598.00M,380.00M,2.664B
DXC,2014-06,311.00M,2.44B,2.364B,685.00M,740.00M,1,0.98,2.882B,5.594B,873.00M,2014-06,146.00M,-34.00M,-34.00M,1.936B,0,2.194B,257.00M,1.986B,214.00M,55.00M,3.237B,344.00M,4.011B,11.42B,155.00M,5.649B,3.411B,7.382B,5.771B,3.971B,616.00M,378.00M,2.751B
DXC,2014-03,279.00M,2.443B,-983.00M,681.00M,701.00M,1.19,1.17,2.744B,5.651B,213.00M,2014-03,270.00M,-11.00M,-11.00M,2.031B,0,2.207B,-83.00M,2.08B,-137.00M,-53.00M,-770.00M,179.00M,3.912B,11.39B,155.00M,5.628B,3.462B,7.445B,5.761B,3.983B,296.00M,394.00M,2.759B
DXC,2013-12,-1.001B,2.284B,2.261B,637.00M,613.00M,1.85,1.81,2.752B,5.539B,967.00M,2013-12,271.00M,-34.00M,-34.00M,2.029B,0,2.184B,398.00M,2.132B,358.00M,77.00M,3.228B,318.00M,3.698B,11.23B,155.00M,5.408B,3.382B,7.501B,5.818B,4.119B,569.00M,304.00M,2.735B
DXC,2013-09,-1.397B,2.095B,2.317B,254.00M,611.00M,1.57,1.54,2.549B,5.607B,870.00M,2013-09,232.00M,-32.00M,-32.00M,2.086B,0,2.448B,308.00M,1.972B,239.00M,77.00M,3.187B,314.00M,3.27B,10.77B,157.00M,5.327B,2.837B,7.465B,5.446B,4.628B,562.00M,306.00M,2.823B
DXC,2013-06,-1.424B,1.929B,2.437B,243.00M,660.00M,1.16,1.14,2.542B,5.557B,817.00M,2013-06,174.00M,-35.00M,-35.00M,2.114B,540.00M,2.461B,275.00M,2.176B,234.00M,73.00M,3.254B,288.00M,3.093B,10.87B,157.00M,5.36B,3.079B,7.754B,5.506B,4.675B,542.00M,316.00M,2.88B
DXC,2013-03,108.00M,2.054B,2.846B,234.00M,664.00M,0.54,0.53,2.632B,5.651B,657.00M,2013-03,80.00M,-28.00M,-28.00M,2.184B,511.00M,2.498B,37.00M,2.451B,-111.00M,-157.00M,3.503B,351.00M,3.134B,11.25B,159.00M,5.673B,3.349B,8.091B,5.578B,4.742B,620.00M,373.00M,3.199B
DXC,2012-12,-1.112B,2.198B,2.767B,231.00M,746.00M,3.29,3.27,2.683B,5.913B,769.00M,2012-12,510.00M,-53.00M,-53.00M,2.264B,0,2.398B,230.00M,2.31B,144.00M,30.00M,3.536B,271.00M,3.297B,11.26B,162.00M,5.618B,3.287B,7.943B,5.642B,4.656B,539.00M,373.00M,2.939B
DXC,2012-09,-1.128B,1.85B,2.713B,988.00M,607.00M,0.84,0.83,2.941B,5.959B,815.00M,2012-09,130.00M,-41.00M,-41.00M,2.335B,0,2.399B,250.00M,1.708B,162.00M,46.00M,3.528B,294.00M,2.863B,11.65B,164.00M,5.468B,4.015B,8.764B,6.181B,4.749B,565.00M,432.00M,3.102B
DXC,2012-06,-1.207B,1.00B,2.977B,1.257B,610.00M,0.26,0.26,2.363B,6.021B,656.00M,2012-06,40.00M,-39.00M,-39.00M,2.359B,0,1.461B,113.00M,1.789B,35.00M,18.00M,3.633B,281.00M,2.678B,10.93B,164.00M,4.799B,4.409B,8.198B,6.127B,3.789B,543.00M,525.00M,3.252B
DXC,2012-03,-1.093B,1.093B,1.632B,1.254B,676.00M,22.38,22.38,2.963B,6.144B,1.514B,2012-03,3.468B,-36.00M,-36.00M,2.441B,0,1.486B,936.00M,2.606B,3.268B,-150.00M,3.146B,307.00M,2.779B,11.19B,164.00M,4.883B,4.536B,8.355B,6.306B,3.819B,578.00M,478.00M,3.257B
DXC,2011-12,-871.00M,898.00M,4.467B,259.00M,642.00M,-8.96,-8.96,2.986B,6.337B,-780.00M,2011-12,-1.39B,-34.00M,-34.00M,2.47B,0,2.47B,-1.353B,1.807B,-1.459B,-38.00M,3.687B,272.00M,3.19B,11.10B,164.00M,4.671B,3.392B,7.852B,6.427B,4.46B,573.00M,609.00M,3.296B
DXC,2011-09,-791.00M,978.00M,3.51B,787.00M,590.00M,-18.56,-18.56,3.094B,6.418B,456.00M,2011-09,-2.877B,-34.00M,-34.00M,2.523B,0,2.478B,-141.00M,1.925B,-2.854B,12.00M,3.966B,307.00M,4.679B,13.32B,164.00M,6.676B,4.074B,8.585B,6.645B,4.511B,597.00M,780.00M,3.965B
