Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
DXCM,2020-12,3.20M,2.708B,169.80M,16.50M,2.20M,3.75,3.63,19.30M,762.80M,399.10M,2020-12,234.70M,355.20M,-22.70M,-22.70M,608.60M,0,1.823B,104.00M,595.40M,81.30M,-273.90M,119.20M,568.90M,175.90M,1.826B,4.290B,0.10M,3.425B,614.10M,2.464B,865.70M,1.850B,295.10M,178.60M,428.50M
DXCM,2020-09,2.80M,2.604B,160.50M,15.80M,1.50M,0.75,0.73,19.00M,692.80M,340.40M,2020-09,200.70M,72.20M,-18.50M,-18.50M,556.10M,0,1.803B,94.10M,489.10M,75.10M,2.90M,87.70M,500.90M,158.60M,1.499B,3.833B,0.10M,3.237B,506.40M,2.334B,596.10M,1.828B,246.30M,167.80M,370.00M
DXCM,2020-06,3.50M,2.509B,167.70M,15.10M,1.70M,0.49,0.48,18.70M,577.20M,284.10M,2020-06,165.30M,46.30M,-16.20M,-16.20M,455.90M,0,1.746B,67.80M,383.30M,46.20M,-0.10M,79.90M,451.80M,136.40M,1.354B,3.522B,0.10M,3.033B,400.10M,2.168B,488.80M,1.768B,216.30M,129.80M,296.50M
DXCM,2020-03,3.70M,1.510B,148.60M,14.50M,1.80M,0.22,0.21,18.60M,526.90M,256.50M,2020-03,141.90M,19.90M,-11.20M,-11.20M,419.90M,9.40M,1.164B,33.60M,326.50M,22.40M,2.50M,73.10M,405.10M,149.80M,934.50M,2.448B,0.10M,1.996B,342.80M,1.513B,452.20M,1.171B,222.90M,124.00M,300.70M
DXCM,2019-12,2.30M,1.533B,153.50M,13.60M,1.70M,1.01,1,18.60M,497.80M,309.30M,2019-12,119.80M,92.70M,-7.20M,-7.20M,392.80M,7.50M,1.146B,101.50M,344.90M,94.30M,1.60M,78.80M,462.80M,129.00M,882.60M,2.395B,0.10M,1.969B,360.20M,1.512B,425.60M,1.152B,207.80M,116.30M,286.30M
DXCM,2019-09,1.00M,1.430B,149.40M,14.80M,4.30M,0.5,0.5,18.40M,437.20M,246.90M,2019-09,120.40M,45.80M,-10.20M,-10.20M,335.60M,0,1.096B,56.00M,302.60M,45.80M,0,66.70M,396.30M,124.20M,764.30M,2.186B,0.10M,1.816B,322.40M,1.421B,370.00M,1.099B,190.90M,121.70M,234.90M
DXCM,2019-06,2.00M,1.378B,129.90M,14.10M,3.50M,-0.12,-0.12,18.70M,388.00M,206.50M,2019-06,117.90M,-10.50M,-8.50M,-8.50M,289.00M,0,1.087B,-0.80M,268.80M,-9.30M,1.20M,69.00M,336.40M,138.30M,688.30M,2.066B,0.10M,1.744B,288.20M,1.378B,321.70M,1.089B,207.30M,113.70M,217.30M
DXCM,2019-03,1.60M,1.358B,111.70M,12.30M,2.70M,-0.3,-0.3,18.60M,337.50M,168.80M,2019-03,101.10M,-26.90M,-8.00M,-8.00M,249.10M,0,1.067B,-14.40M,219.30M,-26.60M,0.30M,59.00M,280.50M,124.20M,668.60M,1.974B,0.10M,1.691B,235.40M,1.305B,283.20M,1.07B,183.20M,102.60M,204.70M
DXCM,2018-12,1.50M,1.386B,115.20M,0,2.90M,-2.03,-2.03,18.70M,262.90M,222.80M,2018-12,70.70M,-179.70M,-7.40M,-7.40M,183.10M,0,1.018B,-164.60M,219.50M,-176.90M,2.80M,275.30M,338.00M,112.10M,663.30M,1.916B,0.10M,1.700B,222.40M,1.253B,216.50M,1.030B,387.40M,87.20M,226.70M
DXCM,2018-09,-0.30M,668.70M,98.10M,0,3.50M,0.53,0.52,18.40M,241.90M,168.60M,2018-09,55.20M,46.60M,-4.00M,-4.00M,169.60M,0,346.10M,13.90M,190.40M,44.80M,-1.80M,50.10M,266.70M,104.60M,562.20M,1.114B,0.10M,914.10M,193.90M,552.10M,200.20M,358.20M,154.70M,76.00M,169.80M
