Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EA,2020-12,-94.00M,6.71B,601.00M,686.00M,1.506B,0.73,0.72,1.933B,1.516B,1.072B,2020-12,0,211.00M,-11.00M,-11.00M,467.00M,1.00M,397.00M,251.00M,716.00M,245.00M,34.00M,451.00M,1.673B,365.00M,7.963B,12.42B,3.00M,7.721B,3.492B,4.457B,4.699B,965.00M,821.00M,89.00M,778.00M
EA,2020-09,-89.00M,6.031B,286.00M,685.00M,788.00M,0.64,0.63,1.933B,1.473B,865.00M,2020-09,0,185.00M,-11.00M,-11.00M,458.00M,1.00M,397.00M,149.00M,655.00M,139.00M,-46.00M,421.00M,1.151B,289.00M,8.075B,11.47B,3.00M,6.83B,2.485B,3.395B,4.64B,910.00M,716.00M,164.00M,423.00M
EA,2020-06,-52.00M,5.96B,288.00M,674.00M,992.00M,1.27,1.25,1.937B,1.433B,1.171B,2020-06,0,365.00M,-11.00M,-11.00M,450.00M,1.00M,397.00M,471.00M,550.00M,468.00M,103.00M,438.00M,1.459B,257.00M,7.782B,11.28B,3.00M,6.69B,2.568B,3.502B,4.594B,934.00M,700.00M,199.00M,507.00M
EA,2020-03,-50.00M,5.735B,269.00M,668.00M,1.049B,1.44,1.43,1.938B,1.391B,1.118B,2020-03,0,418.00M,88.00M,88.00M,449.00M,1.00M,397.00M,401.00M,512.00M,414.00M,-4.00M,402.00M,1.387B,309.00M,7.461B,11.11B,3.00M,6.517B,2.664B,3.651B,4.595B,987.00M,717.00M,68.00M,461.00M
EA,2019-12,-33.00M,5.602B,508.00M,75.00M,1.175B,1.18,1.18,1.954B,1.419B,1.085B,2019-12,0,346.00M,-10.00M,-10.00M,439.00M,2.00M,995.00M,363.00M,599.00M,374.00M,28.00M,389.00M,1.593B,328.00M,7.237B,11.16B,3.00M,6.629B,2.338B,3.924B,4.532B,1.586B,722.00M,61.00M,798.00M
EA,2019-09,-10.00M,4.883B,405.00M,75.00M,800.00M,2.89,2.89,1.962B,1.395B,943.00M,2019-09,0,854.00M,-11.00M,-11.00M,442.00M,2.00M,995.00M,270.00M,589.00M,284.00M,-570.00M,387.00M,1.348B,280.00M,7.158B,10.59B,3.00M,6.04B,1.818B,3.435B,4.553B,1.617B,673.00M,148.00M,856.00M
EA,2019-06,-17.00M,5.187B,187.00M,55.00M,763.00M,4.78,4.75,1.972B,1.385B,1.022B,2019-06,0,1.421B,-11.00M,-11.00M,446.00M,2.00M,995.00M,416.00M,399.00M,436.00M,-985.00M,381.00M,1.209B,220.00M,6.485B,9.749B,3.00M,5.80B,1.65B,3.264B,3.949B,1.614B,606.00M,56.00M,329.00M
EA,2019-03,-30.00M,5.445B,276.00M,0,1.194B,0.7,0.69,1.979B,1.359B,962.00M,2019-03,0,209.00M,76.00M,76.00M,448.00M,2.00M,994.00M,207.00M,547.00M,219.00M,10.00M,398.00M,1.238B,352.00M,5.331B,8.957B,3.00M,6.381B,2.265B,3.626B,2.576B,1.361B,755.00M,113.00M,623.00M
EA,2018-12,-17.00M,5.161B,413.00M,0,1.031B,0.87,0.86,1.984B,1.372B,876.00M,2018-12,0,262.00M,-11.00M,-11.00M,426.00M,1.00M,994.00M,243.00M,662.00M,265.00M,3.00M,334.00M,1.289B,293.00M,5.344B,8.857B,3.00M,6.247B,2.09B,3.513B,2.61B,1.423B,633.00M,70.00M,806.00M
EA,2018-09,-19.00M,4.545B,418.00M,0,687.00M,0.84,0.83,1.994B,1.376B,868.00M,2018-09,0,255.00M,-11.00M,-11.00M,440.00M,1.00M,993.00M,260.00M,682.00M,276.00M,21.00M,339.00M,1.286B,263.00M,5.317B,8.45B,3.00M,5.803B,1.649B,3.133B,2.647B,1.484B,608.00M,168.00M,966.00M
EA,2018-06,-26.00M,4.971B,215.00M,136.00M,665.00M,0.96,0.95,1.993B,1.373B,922.00M,2018-06,35.00M,293.00M,-11.00M,-11.00M,440.00M,1.00M,993.00M,300.00M,454.00M,319.00M,26.00M,362.00M,1.137B,254.00M,5.26B,8.247B,3.00M,5.624B,1.464B,2.987B,2.623B,1.523B,622.00M,47.00M,371.00M
EA,2018-03,-127.00M,5.331B,233.00M,163.00M,1.73B,1.98,1.95,1.954B,1.376B,1.349B,2018-03,50.00M,607.00M,38.00M,38.00M,453.00M,1.00M,992.00M,753.00M,479.00M,754.00M,147.00M,335.00M,1.582B,256.00M,4.595B,8.584B,3.00M,6.004B,2.491B,3.989B,2.58B,1.498B,596.00M,48.00M,385.00M
EA,2017-12,-95.00M,4.884B,501.00M,0,2.161B,-0.6,-0.6,1.96B,1.351B,659.00M,2017-12,26.00M,-186.00M,-10.00M,-10.00M,447.00M,2.00M,992.00M,-21.00M,697.00M,-16.00M,170.00M,329.00M,1.16B,350.00M,4.086B,8.642B,3.00M,5.966B,3.107B,4.556B,2.676B,1.449B,680.00M,91.00M,886.00M
EA,2017-09,-73.00M,4.355B,389.00M,0,1.342B,-0.07,-0.07,1.716B,1.336B,570.00M,2017-09,0,-22.00M,-11.00M,-11.00M,444.00M,1.00M,991.00M,-41.00M,744.00M,-38.00M,-16.00M,331.00M,959.00M,278.00M,4.388B,7.922B,3.00M,5.415B,2.272B,3.534B,2.507B,1.262B,611.00M,187.00M,812.00M
EA,2017-06,-71.00M,4.47B,154.00M,0,989.00M,2.08,2.06,1.715B,1.342B,1.295B,2017-06,0,644.00M,-11.00M,-11.00M,436.00M,1.00M,991.00M,743.00M,429.00M,749.00M,105.00M,325.00M,1.449B,226.00M,4.486B,7.375B,3.00M,4.902B,1.629B,2.889B,2.473B,1.26B,552.00M,38.00M,222.00M
EA,2017-03,-19.00M,4.532B,202.00M,0,1.686B,1.84,1.81,1.715B,1.315B,1.325B,2017-03,0,566.00M,14.00M,14.00M,434.00M,1.00M,990.00M,717.00M,462.00M,716.00M,150.00M,335.00M,1.527B,272.00M,4.06B,7.718B,3.00M,5.199B,2.415B,3.658B,2.519B,1.243B,608.00M,87.00M,359.00M
EA,2016-12,-1.00M,4.219B,516.00M,0,2.116B,-0.0033,-0.0033,1.713B,1.289B,633.00M,2016-12,0,-1.00M,-12.00M,-12.00M,424.00M,2.00M,990.00M,-4.00M,597.00M,-6.00M,-5.00M,285.00M,1.149B,350.00M,3.549B,7.719B,3.00M,5.101B,2.937B,4.17B,2.618B,1.233B,637.00M,65.00M,587.00M
EA,2016-09,-10.00M,3.266B,401.00M,0,1.218B,-0.13,-0.13,1.737B,1.298B,497.00M,2016-09,0,-38.00M,-11.00M,-11.00M,431.00M,2.00M,990.00M,-49.00M,657.00M,-52.00M,-14.00M,291.00M,898.00M,254.00M,3.608B,6.892B,3.00M,4.26B,2.05B,3.284B,2.632B,1.234B,546.00M,206.00M,723.00M
EA,2016-06,3.00M,3.427B,179.00M,0,944.00M,1.46,1.4,1.75B,1.289B,1.092B,2016-06,0,440.00M,-13.00M,-13.00M,435.00M,2.00M,989.00M,560.00M,374.00M,552.00M,112.00M,294.00M,1.271B,236.00M,3.716B,6.605B,3.00M,3.972B,1.65B,2.889B,2.633B,1.239B,532.00M,44.00M,246.00M
EA,2016-03,-16.00M,3.834B,226.00M,0,1.535B,2.93,2.79,1.767B,1.282B,1.082B,2016-03,0,899.00M,-4.00M,-4.00M,439.00M,2.00M,989.00M,536.00M,466.00M,526.00M,-373.00M,282.00M,1.308B,263.00M,3.396B,7.05B,3.00M,4.354B,2.42B,3.654B,2.696B,1.234B,546.00M,89.00M,233.00M
EA,2015-12,-57.00M,3.229B,546.00M,340.00M,1.942B,-0.14,-0.14,1.779B,1.237B,524.00M,2015-12,42.00M,-45.00M,-5.00M,-5.00M,415.00M,75.00M,591.00M,-31.00M,652.00M,-30.00M,15.00M,266.00M,1.07B,287.00M,3.012B,6.47B,3.00M,4.152B,3.152B,3.458B,2.318B,306.00M,555.00M,128.00M,621.00M
EA,2015-09,-44.00M,2.588B,409.00M,435.00M,1.277B,-0.45,-0.45,1.793B,1.237B,406.00M,2015-09,62.00M,-140.00M,-6.00M,-6.00M,430.00M,75.00M,586.00M,-119.00M,669.00M,-128.00M,12.00M,265.00M,815.00M,257.00M,3.146B,6.00B,3.00M,3.646B,2.538B,2.854B,2.354B,316.00M,525.00M,188.00M,737.00M
