Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EBAY,2020-12,616.00M,3.826B,742.00M,18.00M,110.00M,1.23,1.21,4.687B,6.716B,2.126B,2020-12,845.00M,-575.00M,-575.00M,1.867B,2.359B,8.125B,677.00M,2.884B,1.109B,328.00M,299.00M,2.868B,1.057B,3.561B,19.31B,2.00M,7.19B,4.002B,15.75B,12.12B,11.75B,1.449B,1.807B,1.351B
EBAY,2020-09,411.00M,3.66B,656.00M,17.00M,105.00M,0.95,0.94,4.556B,1.80B,1.95B,2020-09,664.00M,95.00M,95.00M,1.80B,2.28B,8.117B,679.00M,3.222B,774.00M,153.00M,287.00M,2.606B,918.00M,2.92B,18.42B,2.00M,6.739B,3.84B,15.50B,11.68B,11.66B,1.271B,686.00M,477.00M
EBAY,2020-06,321.00M,5.303B,598.00M,516.00M,103.00M,1.06,1.05,4.966B,1.90B,2.267B,2020-06,746.00M,182.00M,182.00M,1.90B,2.584B,8.572B,821.00M,4.044B,1.003B,263.00M,308.00M,2.865B,1.036B,2.902B,20.01B,2.00M,7.394B,4.692B,17.11B,12.62B,12.42B,1.446B,1.633B,845.00M
EBAY,2020-03,285.00M,4.43B,526.00M,1.015B,108.00M,4.53,4.51,4.90B,2.007B,1.848B,2020-03,3.412B,2.00M,2.00M,2.007B,2.619B,8.18B,629.00M,3.55B,631.00M,146.00M,267.00M,2.374B,841.00M,2.115B,18.93B,2.00M,6.248B,4.673B,16.81B,12.68B,12.14B,1.219B,1.375B,635.00M
EBAY,2019-12,384.00M,2.751B,556.00M,1.02B,129.00M,0.69,0.69,4.572B,6.724B,1.68B,2019-12,556.00M,-64.00M,-64.00M,2.043B,2.355B,7.199B,478.00M,2.075B,494.00M,25.00M,241.00M,2.236B,886.00M,2.87B,18.17B,2.00M,4.706B,4.066B,15.30B,13.47B,11.24B,1.202B,1.183B,1.18B
EBAY,2019-09,361.00M,3.086B,530.00M,680.00M,169.00M,0.37,0.37,5.176B,2.15B,1.553B,2019-09,310.00M,-142.00M,-142.00M,2.15B,2.62B,7.732B,408.00M,2.836B,266.00M,56.00M,243.00M,2.083B,827.00M,3.27B,18.71B,2.00M,5.209B,3.685B,15.44B,13.50B,11.76B,1.145B,491.00M,714.00M
EBAY,2019-06,464.00M,4.477B,553.00M,2.063B,178.00M,0.47,0.46,5.279B,2.243B,1.87B,2019-06,402.00M,-51.00M,-51.00M,2.243B,2.684B,7.762B,558.00M,2.968B,507.00M,107.00M,295.00M,2.423B,944.00M,4.106B,21.17B,2.00M,6.844B,5.209B,17.06B,14.32B,11.85B,1.312B,453.00M,797.00M
EBAY,2019-03,464.00M,4.441B,539.00M,1.55B,174.00M,0.58,0.57,5.316B,2.278B,1.874B,2019-03,518.00M,64.00M,64.00M,2.278B,2.893B,8.247B,593.00M,2.776B,657.00M,141.00M,272.00M,2.413B,931.00M,5.203B,22.33B,2.00M,6.665B,4.50B,17.13B,15.66B,12.63B,1.281B,358.00M,716.00M
EBAY,2018-12,498.00M,4.915B,259.00M,1.546B,170.00M,0.81,0.8,5.252B,6.344B,522.00M,2018-12,760.00M,-827.00M,-827.00M,1.597B,2.925B,7.685B,211.00M,2.328B,47.00M,-316.00M,58.00M,781.00M,223.00M,6.281B,22.82B,2.00M,7.126B,4.454B,16.54B,15.69B,12.08B,311.00M,1.313B,1.382B
EBAY,2018-09,550.00M,4.838B,608.00M,1.546B,163.00M,0.74,0.73,5.276B,0,2.041B,2018-09,721.00M,392.00M,392.00M,1.58B,3.316B,7.661B,556.00M,2.297B,948.00M,228.00M,307.00M,2.649B,1.10B,6.929B,23.65B,2.00M,6.963B,4.006B,16.72B,16.69B,12.72B,1.485B,308.00M,761.00M
