Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ECL,2020-12,-1.994B,1.260B,1.780B,142.90M,80.40M,1.05,1.04,8.984B,7.205B,1.285B,2020-12,1.285B,300.30M,-48.40M,-48.40M,3.549B,483.90M,6.970B,475.40M,1.597B,378.00M,73.10M,3.065B,809.60M,6.166B,18.13B,362.60M,5.117B,2.932B,11.92B,13.01B,8.992B,809.60M,1.546B,2.442B
ECL,2020-09,-1.946B,1.035B,1.770B,371.70M,84.60M,0.8626,0.8537,8.981B,7.306B,1.249B,2020-09,1.288B,246.20M,-134.80M,-134.80M,3.580B,580.60M,6.978B,446.40M,1.510B,291.70M,42.40M,3.019B,802.60M,6.015B,18.10B,362.10M,4.992B,3.106B,12.05B,13.11B,8.941B,802.60M,1.459B,2.506B
ECL,2020-06,-1.990B,1.369B,1.636B,657.70M,74.00M,-7.06,-7.06,8.779B,7.212B,1.05B,2020-06,1.229B,-2.035B,-58.70M,-58.70M,3.579B,577.20M,7.071B,261.40M,1.516B,148.40M,14.10M,2.686B,788.60M,5.855B,18.08B,362.00M,5.166B,3.228B,12.19B,12.92B,8.964B,788.60M,1.464B,2.380B
ECL,2020-03,-2.114B,1.662B,2.117B,1.191B,88.30M,0.98,0.97,10.82B,8.628B,1.465B,2020-03,1.530B,283.40M,-48.10M,-48.10M,4.479B,737.40M,7.151B,449.60M,1.754B,364.30M,74.10M,3.581B,1.015B,8.822B,22.34B,360.80M,6.437B,4.257B,13.48B,15.90B,9.222B,1.015B,1.685B,3.006B
ECL,2019-12,-2.090B,118.80M,1.809B,502.70M,76.70M,1.49,1.47,8.497B,7.134B,1.435B,2019-12,1.082B,429.60M,-46.10M,-46.10M,3.695B,537.30M,6.319B,549.60M,1.492B,486.20M,86.50M,3.244B,885.50M,8.685B,20.87B,359.60M,4.828B,3.631B,12.14B,16.04B,8.513B,885.50M,1.451B,2.489B
ECL,2019-09,-1.885B,135.90M,1.781B,930.80M,83.60M,1.611,1.585,10.95B,8.374B,1.443B,2019-09,1.587B,464.20M,-46.10M,-46.10M,4.432B,821.60M,6.386B,573.90M,1.649B,523.70M,83.40M,3.224B,869.20M,8.568B,20.84B,359.40M,4.870B,3.920B,12.22B,15.97B,8.304B,869.20M,1.583B,2.877B
ECL,2019-06,-1.836B,85.70M,1.780B,1.221B,83.20M,1.28,1.26,11.01B,8.248B,1.389B,2019-06,1.625B,368.60M,-49.20M,-49.20M,4.417B,791.20M,6.386B,488.80M,1.670B,436.10M,88.80M,3.169B,900.00M,8.225B,20.83B,358.90M,4.854B,4.128B,12.56B,15.97B,8.430B,900.00M,1.624B,2.905B
ECL,2019-03,-1.735B,79.00M,2.090B,1.291B,85.40M,1.03,1.01,11.20B,8.238B,1.416B,2019-03,1.646B,296.50M,-49.40M,-49.40M,4.450B,792.30M,6.420B,407.50M,1.638B,339.00M,38.60M,3.505B,1.008B,8.221B,20.93B,358.20M,4.751B,4.156B,12.66B,16.18B,8.505B,1.008B,1.567B,2.832B
ECL,2018-12,-1.762B,114.70M,466.20M,743.60M,75.80M,1.37,1.35,10.88B,7.440B,848.20M,2018-12,1.546B,395.10M,-52.70M,-52.70M,3.836B,764.60M,6.302B,362.20M,1.65B,330.40M,104.60M,1.314B,486.00M,8.003B,20.07B,357.00M,4.678B,3.686B,12.02B,15.40B,8.335B,486.00M,1.606B,2.807B
ECL,2018-09,-1.765B,203.60M,2.191B,769.40M,81.90M,1.51,1.48,10.90B,7.457B,1.556B,2018-09,1.588B,435.40M,-55.70M,-55.70M,3.778B,711.80M,6.335B,591.80M,1.538B,481.50M,43.20M,3.747B,964.70M,7.929B,19.96B,356.50M,4.822B,3.590B,11.98B,15.14B,8.390B,964.70M,1.466B,2.827B
