Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EFX,2021-03,-161.30M,765.90M,483.30M,1.101B,117.10M,1.66,1.64,6.45B,1.989B,729.70M,2021-03,201.60M,-37.20M,-37.20M,1.175B,380.70M,3.279B,306.60M,508.30M,268.50M,65.60M,1.213B,308.80M,3.318B,9.669B,236.60M,1.665B,2.342B,6.312B,8.004B,3.971B,423.10M,173.00M,708.80M
EFX,2020-12,-171.40M,1.685B,480.90M,1.101B,108.30M,0.61,0.61,5.588B,1.914B,637.50M,2020-12,87.40M,-36.90M,-36.90M,1.139B,332.30M,3.277B,169.40M,661.20M,111.60M,21.00M,1.118B,366.60M,3.168B,9.612B,236.60M,2.478B,2.483B,6.402B,7.134B,3.918B,468.10M,159.10M,630.60M
EFX,2020-09,-628.50M,1.536B,433.20M,1.102B,103.50M,1.84,1.82,5.462B,1.820B,635.10M,2020-09,224.20M,-37.40M,-37.40M,1.071B,339.90M,3.275B,204.40M,553.00M,300.40M,75.40M,1.068B,330.00M,2.929B,9.250B,236.60M,2.312B,2.391B,6.283B,6.938B,3.892B,430.70M,159.50M,605.90M
EFX,2020-06,-681.70M,1.347B,409.30M,503.70M,98.60M,0.79,0.78,5.430B,1.710B,573.50M,2020-06,95.90M,-36.60M,-36.60M,1.017B,287.90M,3.872B,166.80M,484.30M,122.70M,26.60M,982.80M,309.90M,2.694B,8.833B,236.60M,2.105B,1.656B,6.098B,6.728B,4.442B,406.70M,149.40M,592.50M
EFX,2020-03,-918.90M,369.90M,414.10M,3.10M,111.10M,0.96,0.95,5.253B,1.593B,543.80M,2020-03,116.90M,-30.70M,-30.70M,962.10M,263.40M,3.505B,135.90M,438.70M,156.30M,37.50M,957.90M,316.00M,2.386B,7.623B,236.60M,1.149B,1.144B,5.193B,6.474B,4.049B,407.90M,170.90M,605.50M
EFX,2019-12,-354.40M,401.30M,382.80M,3.10M,104.00M,0.08,0.07,5.448B,1.541B,523.00M,2019-12,23.90M,-29.40M,-29.40M,947.60M,248.00M,3.380B,47.10M,467.90M,43.10M,17.60M,905.80M,389.00M,2.579B,7.909B,236.60M,1.209B,1.359B,5.286B,6.700B,3.927B,475.90M,148.30M,532.10M
EFX,2019-09,-717.50M,167.50M,374.50M,372.00M,97.90M,0.67,0.66,5.374B,1.481B,501.20M,2019-09,81.10M,-28.00M,-28.00M,904.50M,250.30M,2.835B,121.60M,434.40M,96.50M,14.00M,875.70M,295.50M,2.516B,7.431B,236.60M,853.00M,1.492B,4.872B,6.578B,3.380B,379.60M,135.40M,516.60M
EFX,2019-06,-640.00M,135.80M,376.90M,32.30M,97.10M,0.55,0.55,5.482B,1.411B,503.10M,2019-06,66.80M,-27.60M,-27.60M,872.50M,249.90M,2.833B,113.80M,468.90M,89.00M,20.70M,880.00M,306.80M,2.543B,7.474B,236.60M,813.80M,1.498B,4.886B,6.660B,3.388B,389.30M,156.90M,502.60M
EFX,2019-03,-585.90M,133.20M,387.50M,69.70M,107.80M,-4.6,-4.6,5.349B,1.320B,458.60M,2019-03,-555.90M,-26.70M,-26.70M,818.10M,229.30M,2.657B,-617.90M,452.70M,-642.50M,-88.10M,846.10M,998.90M,2.562B,7.336B,236.60M,864.70M,1.523B,4.725B,6.471B,3.202B,1.076B,170.70M,514.00M
EFX,2018-12,-626.30M,223.60M,372.20M,4.90M,98.00M,0.3,0.3,5.324B,1.245B,463.10M,2018-12,36.30M,-26.50M,-26.50M,764.80M,316.20M,2.631B,46.10M,519.90M,39.10M,1.70M,835.30M,337.90M,3.108B,7.153B,236.60M,902.30M,826.80M,3.998B,6.251B,3.171B,417.00M,175.70M,469.10M
