Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EIX,2020-12,-69.00M,87.00M,1.843B,3.642B,243.00M,1.39,1.39,0,59.70B,1.314B,2020-12,405.00M,552.00M,-224.00M,-224.00M,48.93B,8.278B,20.50B,724.00M,1.98B,602.00M,50.00M,3.157B,109.00M,14.05B,69.37B,5.962B,5.061B,10.28B,53.42B,64.31B,43.15B,590.00M,1.98B,2.427B
EIX,2020-09,-63.00M,92.00M,3.065B,2.99B,259.00M,-0.76,-0.76,0,58.24B,1.579B,2020-09,387.00M,-242.00M,-220.00M,-220.00M,47.58B,8.07B,19.86B,-407.00M,1.691B,-517.00M,-275.00M,4.644B,1.382B,13.75B,68.56B,5.93B,5.855B,8.616B,52.91B,62.70B,44.29B,1.986B,1.691B,3.022B
EIX,2020-06,-65.00M,524.00M,1.83B,1.569B,281.00M,0.85,0.85,0,56.69B,1.157B,2020-06,382.00M,348.00M,-222.00M,-222.00M,46.22B,8.236B,19.84B,482.00M,1.969B,352.00M,4.00M,2.987B,83.00M,14.25B,67.05B,5.908B,4.796B,5.899B,50.60B,62.26B,44.71B,675.00M,1.657B,1.673B
EIX,2020-03,-67.00M,1.337B,1.809B,2.25B,298.00M,0.5,0.5,0,55.74B,981.00M,2020-03,363.00M,213.00M,-216.00M,-216.00M,45.50B,8.128B,19.73B,302.00M,1.454B,129.00M,-84.00M,2.79B,84.00M,13.35B,66.03B,5.085B,4.911B,6.248B,50.48B,61.12B,44.23B,679.00M,1.454B,1.335B
EIX,2019-12,-69.00M,68.00M,1.758B,1.109B,302.00M,0.4,0.4,0,55.02B,1.212B,2019-12,364.00M,173.00M,-214.00M,-214.00M,44.98B,8.23B,18.48B,305.00M,1.752B,107.00M,-66.00M,2.97B,340.00M,13.30B,64.38B,4.99B,3.56B,5.523B,48.89B,60.82B,43.36B,907.00M,1.752B,1.394B
EIX,2019-09,-55.00M,547.00M,2.482B,1.57B,302.00M,1.36,1.35,0,53.90B,1.259B,2019-09,348.00M,502.00M,-201.00M,-201.00M,43.94B,8.071B,17.68B,636.00M,1.663B,480.00M,-22.00M,3.741B,67.00M,13.16B,64.21B,4.746B,4.662B,6.003B,48.86B,59.55B,42.86B,623.00M,1.663B,1.865B
EIX,2019-06,-57.00M,257.00M,1.73B,1.80B,302.00M,1.2,1.2,0,52.98B,1.082B,2019-06,331.00M,422.00M,-204.00M,-204.00M,43.16B,7.192B,16.52B,670.00M,1.578B,344.00M,-78.00M,2.812B,0,10.72B,59.52B,2.555B,3.936B,5.665B,46.61B,55.58B,40.94B,412.00M,1.578B,1.484B
EIX,2019-03,-58.00M,328.00M,1.887B,1.168B,303.00M,0.85,0.85,0,52.45B,937.00M,2019-03,312.00M,308.00M,-185.00M,-185.00M,42.70B,7.115B,16.46B,352.00M,1.47B,196.00M,-112.00M,2.824B,0,10.53B,58.79B,2.55B,3.999B,5.375B,46.07B,54.79B,40.70B,585.00M,1.47B,1.367B
EIX,2018-12,-50.00M,144.00M,1.791B,799.00M,299.00M,-4.39,-4.39,0,51.00B,1.218B,2018-12,282.00M,-1.40B,-187.00M,-187.00M,41.35B,7.138B,14.63B,-2.023B,1.511B,-2.216B,-782.00M,3.009B,0,10.46B,56.72B,2.545B,3.359B,5.395B,44.06B,53.36B,38.67B,3.241B,1.511B,1.403B
EIX,2018-09,-42.00M,71.00M,2.98B,182.00M,297.00M,1.57,1.57,0,50.02B,1.289B,2018-09,261.00M,544.00M,-182.00M,-182.00M,40.41B,7.676B,14.63B,728.00M,1.39B,627.00M,83.00M,4.269B,0,12.10B,53.56B,2.541B,3.383B,4.719B,39.27B,50.18B,34.56B,561.00M,1.39B,1.716B
EIX,2018-06,-44.00M,99.00M,1.831B,779.00M,291.00M,0.85,0.84,0,49.28B,984.00M,2018-06,252.00M,306.00M,-175.00M,-175.00M,39.83B,7.634B,13.84B,425.00M,1.274B,289.00M,-9.00M,2.815B,0,11.78B,52.82B,2.537B,3.257B,4.922B,38.85B,49.56B,33.93B,559.00M,1.274B,1.552B
EIX,2018-03,-46.00M,105.00M,1.601B,549.00M,287.00M,0.67,0.67,0,48.56B,963.00M,2018-03,247.00M,248.00M,-166.00M,-166.00M,39.24B,7.57B,13.37B,396.00M,1.125B,211.00M,-31.00M,2.564B,0,11.70B,51.94B,2.531B,2.992B,4.647B,38.05B,48.95B,33.41B,567.00M,1.125B,1.271B
