Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EL,2020-12,-383.00M,5.545B,1.084B,857.00M,365.00M,2.4,2.37,3.825B,7.822B,3.769B,2020-12,2.116B,873.00M,-26.00M,-26.00M,4.467B,7.227B,1.179B,3.704B,1.03B,153.00M,4.853B,2.59B,5.421B,19.60B,6.00M,10.29B,5.42B,14.14B,9.304B,8.719B,2.59B,2.01B,1.972B
EL,2020-09,-594.00M,4.267B,825.00M,872.00M,353.00M,1.44,1.42,3.779B,7.61B,2.737B,2020-09,2.204B,523.00M,-31.00M,-31.00M,4.399B,7.222B,711.00M,3.114B,671.00M,146.00M,3.562B,2.026B,4.452B,17.90B,6.00M,8.795B,4.744B,13.42B,9.108B,8.678B,2.026B,1.724B,1.812B
EL,2020-06,-665.00M,5.022B,767.00M,1.597B,222.00M,-1.28,-1.28,3.739B,7.416B,1.663B,2020-06,2.062B,-462.00M,-42.00M,-42.00M,4.337B,7.192B,-221.00M,2.936B,-605.00M,-146.00M,2.43B,1.884B,3.935B,17.78B,6.00M,8.892B,5.179B,13.82B,8.889B,8.64B,1.884B,1.177B,1.194B
EL,2020-03,-712.00M,4.876B,836.00M,1.898B,306.00M,-0.02,-0.02,3.823B,7.488B,2.509B,2020-03,2.087B,-6.00M,-28.00M,-28.00M,4.538B,6.962B,479.00M,3.098B,80.00M,84.00M,3.345B,2.03B,4.329B,18.36B,6.00M,9.233B,5.681B,14.00B,9.13B,8.324B,2.03B,1.162B,1.846B
EL,2019-12,-569.00M,3.596B,1.041B,891.00M,378.00M,1.55,1.52,4.262B,7.559B,3.583B,2019-12,2.058B,557.00M,-25.00M,-25.00M,4.603B,6.98B,1.045B,3.247B,811.00M,250.00M,4.624B,2.538B,4.574B,17.94B,6.00M,8.348B,4.953B,13.34B,9.589B,8.383B,2.538B,1.462B,2.225B
EL,2019-09,-627.00M,2.259B,908.00M,866.00M,345.00M,1.65,1.61,3.059B,7.36B,2.987B,2019-09,2.055B,595.00M,-18.00M,-18.00M,4.534B,5.23B,802.00M,2.998B,760.00M,162.00M,3.895B,2.185B,4.53B,15.43B,6.00M,7.022B,4.59B,10.87B,8.409B,6.283B,2.185B,1.334B,2.294B
EL,2019-06,-563.00M,2.987B,835.00M,516.00M,314.00M,0.43,0.43,3.071B,4.831B,2.755B,2019-06,2.006B,157.00M,-16.00M,-16.00M,2.068B,2.896B,333.00M,3.201B,199.00M,41.00M,3.59B,2.422B,4.386B,13.16B,6.00M,7.212B,4.605B,8.745B,5.944B,4.14B,2.422B,1.49B,1.831B
EL,2019-03,-498.00M,2.902B,819.00M,516.00M,299.00M,1.53,1.51,3.08B,4.668B,2.925B,2019-03,1.814B,555.00M,-17.00M,-17.00M,1.891B,2.883B,755.00M,2.916B,727.00M,170.00M,3.744B,2.17B,4.588B,12.93B,6.00M,7.16B,4.231B,8.314B,5.771B,4.083B,2.17B,1.531B,2.036B
EL,2018-12,-430.00M,2.401B,910.00M,18.00M,425.00M,1.58,1.55,3.144B,4.629B,3.095B,2018-12,1.651B,573.00M,-23.00M,-23.00M,1.859B,3.373B,838.00M,2.917B,748.00M,171.00M,4.005B,2.257B,4.306B,12.68B,6.00M,6.44B,3.776B,8.343B,6.236B,4.567B,2.257B,1.533B,2.00B
EL,2018-09,-409.00M,1.993B,823.00M,183.00M,371.00M,1.36,1.34,3.193B,4.528B,2.701B,2018-09,1.681B,500.00M,-19.00M,-19.00M,1.838B,3.361B,693.00M,2.63B,633.00M,131.00M,3.524B,2.008B,4.406B,12.54B,6.00M,6.249B,3.563B,8.113B,6.294B,4.55B,2.008B,1.322B,2.214B
