Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EMN,2020-12,-273.00M,564.00M,1.66B,349.00M,0.23,0.23,6.257B,13.53B,526.00M,2020-12,1.379B,32.00M,-51.00M,-51.00M,5.549B,848.00M,5.269B,295.00M,1.299B,25.00M,-9.00M,57.00M,2.186B,174.00M,6.023B,16.08B,2.00M,3.541B,2.038B,9.975B,12.54B,7.937B,231.00M,1.071B,1.515B
EMN,2020-09,-243.00M,650.00M,1.621B,370.00M,1.19,1.18,6.245B,13.33B,501.00M,2020-09,1.338B,161.00M,-52.00M,-52.00M,5.489B,928.00M,5.495B,280.00M,1.03B,190.00M,25.00M,56.00M,2.122B,165.00M,6.075B,16.01B,2.00M,3.534B,1.789B,9.853B,12.48B,8.064B,221.00M,842.00M,1.454B
EMN,2020-06,-209.00M,704.00M,1.553B,702.00M,0.2,0.2,6.242B,13.18B,371.00M,2020-06,1.419B,27.00M,-55.00M,-55.00M,5.478B,932.00M,5.431B,164.00M,849.00M,-1.00M,-31.00M,52.00M,1.924B,155.00M,6.021B,15.97B,2.00M,3.526B,1.878B,9.875B,12.45B,7.997B,207.00M,708.00M,1.326B
EMN,2020-03,-197.00M,680.00M,1.664B,895.00M,1.9,1.89,6.379B,13.08B,577.00M,2020-03,1.659B,258.00M,-52.00M,-52.00M,5.498B,924.00M,5.399B,356.00M,1.066B,316.00M,56.00M,61.00M,2.241B,160.00M,6.117B,16.46B,2.00M,3.851B,2.315B,10.27B,12.61B,7.958B,221.00M,939.00M,1.436B
EMN,2019-12,-214.00M,204.00M,1.708B,171.00M,0.19,0.19,6.442B,13.08B,497.00M,2019-12,1.662B,26.00M,-53.00M,-53.00M,5.571B,915.00M,5.611B,261.00M,1.245B,9.00M,-18.00M,60.00M,2.205B,176.00M,5.958B,16.01B,2.00M,3.321B,1.789B,9.976B,12.69B,8.187B,236.00M,1.069B,1.375B
EMN,2019-09,-203.00M,207.00M,1.751B,642.00M,1.95,1.93,6.498B,13.10B,574.00M,2019-09,1.695B,266.00M,-54.00M,-54.00M,5.739B,887.00M,5.567B,352.00M,973.00M,313.00M,46.00M,59.00M,2.325B,163.00M,6.02B,16.14B,2.00M,3.44B,2.08B,10.04B,12.70B,7.96B,222.00M,810.00M,1.47B
EMN,2019-06,-235.00M,186.00M,1.774B,731.00M,1.87,1.85,6.574B,13.06B,589.00M,2019-06,1.73B,258.00M,-55.00M,-55.00M,5.761B,888.00M,5.624B,367.00M,1.019B,316.00M,57.00M,57.00M,2.363B,165.00M,5.869B,16.26B,2.00M,3.516B,2.226B,10.31B,12.74B,8.084B,222.00M,903.00M,1.518B
EMN,2019-03,-194.00M,195.00M,1.806B,862.00M,1.5,1.49,6.607B,13.02B,574.00M,2019-03,1.704B,209.00M,-56.00M,-56.00M,5.795B,892.00M,5.602B,329.00M,1.039B,264.00M,55.00M,58.00M,2.38B,187.00M,5.843B,16.36B,2.00M,3.551B,2.352B,10.44B,12.81B,8.09B,245.00M,924.00M,1.582B
EMN,2018-12,-245.00M,226.00M,1.91B,243.00M,0.25,0.24,6.652B,12.73B,466.00M,2018-12,1.583B,34.00M,-57.00M,-57.00M,5.60B,884.00M,5.925B,240.00M,1.292B,71.00M,36.00M,59.00M,2.376B,167.00M,5.803B,16.00B,2.00M,3.365B,1.851B,10.12B,12.63B,8.266B,226.00M,1.095B,1.483B
EMN,2018-09,-194.00M,193.00M,1.819B,728.00M,2.93,2.89,6.74B,12.60B,728.00M,2018-09,1.625B,412.00M,-58.00M,-58.00M,5.57B,944.00M,5.898B,493.00M,1.096B,459.00M,46.00M,60.00M,2.547B,175.00M,5.92B,16.36B,2.00M,3.647B,2.153B,10.37B,12.72B,8.214B,235.00M,905.00M,1.772B
EMN,2018-06,-193.00M,193.00M,1.917B,662.00M,2.42,2.39,6.792B,12.51B,704.00M,2018-06,1.532B,344.00M,-61.00M,-61.00M,5.57B,933.00M,6.033B,455.00M,1.025B,430.00M,84.00M,60.00M,2.621B,189.00M,5.697B,16.26B,2.00M,3.498B,2.068B,10.49B,12.76B,8.418B,249.00M,890.00M,1.707B
EMN,2018-03,-212.00M,194.00M,2.026B,589.00M,2.03,2,6.889B,12.52B,581.00M,2018-03,1.476B,290.00M,-59.00M,-59.00M,5.632B,914.00M,6.311B,335.00M,1.025B,350.00M,60.00M,56.00M,2.607B,190.00M,5.545B,16.37B,2.00M,3.483B,2.029B,10.75B,12.88B,8.717B,246.00M,905.00M,1.749B
EMN,2017-12,-209.00M,191.00M,1.905B,393.00M,4.05,4.01,6.90B,12.37B,457.00M,2017-12,1.509B,491.00M,-59.00M,-59.00M,5.607B,893.00M,6.147B,215.00M,1.152B,186.00M,-305.00M,53.00M,2.362B,189.00M,5.403B,16.00B,2.00M,3.143B,1.982B,10.52B,12.86B,8.537B,242.00M,953.00M,1.386B
EMN,2017-09,-238.00M,195.00M,1.794B,369.00M,2.24,2.22,6.924B,12.14B,671.00M,2017-09,1.576B,323.00M,-61.00M,-61.00M,5.485B,1.349B,6.325B,432.00M,978.00M,403.00M,79.00M,59.00M,2.465B,180.00M,5.023B,16.02B,2.00M,3.245B,1.771B,10.92B,12.78B,9.154B,239.00M,795.00M,1.425B
EMN,2017-06,-286.00M,222.00M,1.789B,212.00M,2.01,2,6.94B,11.97B,630.00M,2017-06,1.54B,292.00M,-61.00M,-61.00M,5.403B,1.286B,6.669B,391.00M,890.00M,359.00M,65.00M,58.00M,2.419B,181.00M,4.812B,15.96B,2.00M,3.262B,1.596B,11.07B,12.70B,9.478B,239.00M,765.00M,1.437B
EMN,2017-03,-306.00M,197.00M,1.698B,305.00M,1.9,1.89,6.918B,11.78B,605.00M,2017-03,1.495B,278.00M,-60.00M,-60.00M,5.321B,1.269B,6.578B,369.00M,854.00M,341.00M,62.00M,57.00M,2.303B,179.00M,4.651B,15.76B,2.00M,3.165B,1.637B,11.03B,12.59B,9.391B,236.00M,744.00M,1.405B
EMN,2016-12,-281.00M,181.00M,1.691B,283.00M,0.88,0.87,6.94B,11.70B,497.00M,2016-12,1.404B,116.00M,-64.00M,-64.00M,5.276B,1.206B,6.311B,268.00M,1.006B,113.00M,-5.00M,60.00M,2.188B,169.00M,4.532B,15.46B,2.00M,2.866B,1.795B,10.85B,12.59B,9.054B,229.00M,810.00M,1.211B
EMN,2016-09,-348.00M,207.00M,1.666B,675.00M,1.57,1.56,7.017B,11.56B,621.00M,2016-09,1.471B,232.00M,-64.00M,-64.00M,5.197B,1.022B,5.933B,386.00M,925.00M,289.00M,56.00M,54.00M,2.287B,181.00M,4.441B,15.49B,2.00M,2.90B,2.206B,10.97B,12.59B,8.767B,235.00M,728.00M,1.163B
