Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EMR,2020-12,-1.33B,2.197B,2.438B,1.869B,699.00M,0.74,0.74,11.03B,9.73B,1.723B,2020-12,2.013B,445.00M,-40.00M,-40.00M,4.227B,411.00M,6.29B,647.00M,3.211B,563.00M,111.00M,4.161B,998.00M,8.895B,23.68B,477.00M,7.681B,6.376B,14.74B,16.00B,8.363B,1.076B,1.694B,2.652B
EMR,2020-09,-1.577B,3.315B,2.676B,1.16B,0,1.209,1.2,9.202B,9.055B,1.882B,2020-09,1.928B,723.00M,-40.00M,-40.00M,3.688B,261.00M,6.699B,869.00M,4.625B,765.00M,35.00M,4.558B,946.00M,8.405B,22.88B,477.00M,8.806B,5.785B,14.44B,14.08B,8.65B,1.013B,1.715B,2.802B
EMR,2020-06,-1.699B,2.45B,2.296B,1.725B,0,0.67,0.67,9.112B,8.835B,1.618B,2020-06,2.102B,399.00M,-45.00M,-45.00M,3.565B,327.00M,5.50B,591.00M,4.26B,458.00M,51.00M,3.914B,934.00M,7.831B,21.73B,477.00M,7.879B,5.985B,13.85B,13.85B,7.867B,1.027B,1.426B,2.512B
EMR,2020-03,-1.903B,2.583B,2.412B,3.741B,0,0.85,0.84,9.018B,8.734B,1.75B,2020-03,2.058B,517.00M,-36.00M,-36.00M,3.553B,483.00M,3.96B,708.00M,4.199B,689.00M,165.00M,4.162B,983.00M,7.517B,21.71B,477.00M,8.032B,7.94B,14.15B,13.68B,6.208B,1.042B,1.521B,2.641B
EMR,2019-12,-1.576B,1.635B,2.392B,1.984B,0,0.53,0.53,9.145B,8.845B,1.759B,2019-12,2.064B,326.00M,-35.00M,-35.00M,3.633B,482.00M,4.018B,564.00M,4.356B,423.00M,94.00M,4.151B,1.136B,8.421B,21.10B,477.00M,7.196B,6.34B,12.64B,13.90B,6.302B,1.195B,1.649B,2.726B
EMR,2019-09,-1.722B,1.494B,2.843B,1.444B,0,1.173,1.16,9.151B,8.671B,2.128B,2019-09,1.88B,717.00M,-40.00M,-40.00M,3.642B,484.00M,4.277B,913.00M,4.532B,826.00M,102.00M,4.971B,1.109B,8.233B,20.50B,477.00M,7.139B,5.976B,12.22B,13.36B,6.248B,1.215B,1.874B,2.985B
EMR,2019-06,-1.016B,1.603B,2.683B,1.877B,0,0.98,0.97,9.235B,8.687B,2.001B,2019-06,2.061B,604.00M,-43.00M,-43.00M,3.614B,0,4.336B,830.00M,4.341B,767.00M,155.00M,4.684B,1.126B,8.755B,21.32B,477.00M,7.35B,6.218B,12.51B,13.97B,6.295B,1.171B,1.888B,2.901B
EMR,2019-03,-928.00M,1.384B,2.645B,2.551B,0,0.85,0.84,9.21B,8.634B,1.925B,2019-03,2.073B,520.00M,-48.00M,-48.00M,3.615B,0,3.786B,720.00M,4.163B,675.00M,150.00M,4.57B,1.145B,8.526B,21.07B,477.00M,7.152B,6.714B,12.50B,13.92B,5.785B,1.205B,1.814B,2.911B
EMR,2018-12,-1.052B,1.248B,2.386B,3.32B,0,0.74,0.74,9.182B,8.451B,1.761B,2018-12,1.98B,465.00M,-43.00M,-43.00M,3.551B,0,2.641B,627.00M,4.22B,591.00M,124.00M,4.147B,1.077B,8.236B,20.43B,477.00M,6.658B,7.54B,12.15B,13.77B,4.613B,1.134B,1.932B,2.733B
EMR,2018-09,-1.015B,1.093B,2.829B,1.623B,0,0.98,0.97,9.206B,8.37B,2.059B,2018-09,1.813B,617.00M,-46.00M,-46.00M,3.562B,0,3.137B,821.00M,4.541B,738.00M,116.00M,4.888B,1.181B,8.947B,20.39B,477.00M,6.619B,6.164B,11.40B,13.77B,5.236B,1.238B,1.943B,3.023B
