Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ENPH,2020-12,0.434M,679.38M,142.90M,330.51M,47.66M,0.57,0.5,53.59M,122.37M,121.94M,2020-12,41.76M,72.99M,-5.228M,-5.228M,60.67M,125.47M,4.898M,79.11M,144.61M,71.35M,-1.639M,15.80M,264.84M,27.02M,483.99M,1.200B,0.001M,933.06M,534.04M,716.11M,267.04M,182.07M,42.82M,72.61M,182.16M
ENPH,2020-09,-0.356M,661.79M,83.52M,107.92M,41.74M,0.31,0.28,51.62M,49.67M,94.98M,2020-09,37.54M,39.36M,-5.883M,-5.883M,49.67M,115.76M,256.45M,51.76M,96.11M,44.84M,5.483M,15.05M,178.50M,28.17M,416.21M,1.092B,0.001M,850.23M,256.52M,676.13M,242.11M,419.62M,43.22M,48.15M,122.39M
ENPH,2020-06,-1.153M,607.25M,77.15M,105.84M,40.26M,-0.38,-0.38,52.87M,44.43M,48.39M,2020-06,31.19M,-47.29M,-5.67M,-5.67M,44.43M,110.98M,253.17M,10.85M,67.26M,-53.86M,-6.561M,13.19M,125.54M,24.34M,370.18M,997.93M,0.001M,757.20M,223.52M,627.75M,240.73M,404.23M,37.53M,24.14M,89.50M
ENPH,2020-03,-1.091M,549.14M,124.87M,104.08M,39.02M,0.56,0.5,54.12M,42.49M,80.68M,2020-03,34.62M,68.94M,-2.064M,-2.064M,42.49M,106.20M,295.22M,44.71M,80.84M,57.07M,-11.87M,11.88M,205.54M,24.09M,316.21M,1.031B,0.001M,751.70M,233.62M,714.58M,279.09M,480.96M,35.96M,34.54M,95.48M
ENPH,2019-12,-0.923M,251.41M,132.15M,6.054M,81.78M,0.95,0.88,55.36M,91.15M,77.88M,2019-12,32.06M,116.67M,-1.488M,-1.488M,39.05M,100.20M,102.66M,45.57M,101.40M,44.42M,-72.24M,11.17M,210.03M,21.14M,272.21M,713.22M,0.001M,499.66M,199.31M,441.01M,213.57M,241.70M,32.31M,57.47M,145.41M
ENPH,2019-09,0.569M,203.05M,115.35M,6.151M,34.30M,0.25,0.23,56.54M,34.94M,64.71M,2019-09,30.23M,31.10M,-1.392M,-1.392M,34.94M,85.75M,100.98M,34.18M,97.62M,31.37M,0.272M,11.08M,180.06M,19.45M,152.29M,523.67M,0.001M,391.52M,146.82M,371.38M,132.15M,224.56M,30.53M,60.69M,133.69M
ENPH,2019-06,0.414M,205.96M,88.78M,3.043M,33.58M,0.09,0.08,57.73M,33.84M,45.32M,2019-06,20.09M,10.62M,-0.758M,-0.758M,33.84M,82.29M,99.89M,18.08M,99.52M,11.21M,0.591M,9.604M,134.09M,17.64M,117.27M,481.52M,0.001M,349.85M,143.61M,364.25M,131.67M,220.63M,27.24M,65.99M,97.54M
ENPH,2019-03,0.663M,78.09M,66.81M,2.985M,32.92M,0.03,0.02,58.91M,28.14M,33.34M,2019-03,12.97M,2.765M,-3.54M,-3.54M,28.14M,78.39M,65.41M,7.502M,84.92M,3.113M,0.348M,8.524M,100.15M,17.31M,14.12M,319.25M,0.001M,195.44M,128.75M,305.13M,123.81M,176.38M,25.84M,52.49M,81.72M
ENPH,2018-12,0.742M,106.24M,64.12M,28.16M,33.12M,0.01,0.01,60.09M,72.90M,28.16M,2018-12,16.27M,0.709M,-2.604M,-2.604M,21.00M,76.91M,81.63M,6.544M,77.80M,1.286M,0.577M,7.34M,92.29M,14.28M,7.776M,339.94M,0.001M,222.30M,147.16M,332.16M,117.64M,185.00M,21.62M,48.79M,78.94M
ENPH,2018-09,-0.007M,116.16M,52.74M,24.12M,32.02M,-0.03,-0.03,60.86M,0,25.26M,2018-09,17.89M,-3.47M,-2.469M,-2.469M,20.33M,74.06M,87.91M,2.214M,69.66M,-3.222M,0.248M,8.165M,78.00M,14.88M,4.156M,326.51M,0.001M,209.80M,134.92M,322.35M,116.71M,187.43M,23.05M,28.10M,54.12M
ENPH,2018-06,-0.353M,58.47M,53.20M,18.43M,34.95M,-0.04,-0.04,4.027M,70.92M,22.70M,2018-06,17.47M,-3.738M,-2.269M,-2.269M,23.10M,75.11M,33.56M,-0.558M,52.99M,-3.399M,0.339M,9.462M,75.90M,13.80M,-30.12M,218.54M,0.001M,155.38M,114.65M,248.65M,63.16M,134.00M,23.26M,21.90M,58.70M
ENPH,2018-03,-0.368M,53.26M,51.66M,14.27M,37.41M,-0.06,-0.06,4.103M,71.11M,18.32M,2018-03,18.54M,-5.128M,-2.292M,-2.292M,24.93M,78.26M,36.46M,-2.475M,44.31M,-4.893M,0.235M,7.62M,69.97M,13.17M,-31.15M,212.12M,0.001M,147.85M,103.68M,243.27M,64.26M,139.58M,20.79M,14.09M,55.62M
ENPH,2017-12,-0.656M,29.14M,60.68M,17.43M,15.69M,-0.03,-0.03,4.179M,0,18.99M,2017-12,26.00M,-2.94M,-1.957M,-1.957M,26.48M,29.94M,32.32M,-0.142M,51.19M,-3.887M,-0.947M,8.208M,79.67M,10.92M,-9.126M,169.15M,0.001M,130.45M,91.74M,178.27M,38.70M,86.53M,19.13M,28.75M,65.35M
