Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EOG,2020-12,-12.33M,3.329B,1.251B,1.076B,0,0.58,0.58,69.27B,1.633B,2020-12,629.40M,337.47M,-53.12M,-53.12M,28.60B,4.859B,5.035B,566.40M,2.104B,427.76M,90.29M,2.884B,736.18M,20.30B,35.80B,205.84M,5.862B,3.460B,15.50B,29.94B,12.04B,1.067B,2.104B,1.545B
EOG,2020-09,-7.93M,3.066B,1.165B,1.026B,0,-0.07,-0.07,68.42B,1.137B,2020-09,668.54M,-42.47M,-53.24M,-53.24M,28.63B,4.805B,4.950B,151.23M,1.730B,-52.56M,-10.09M,2.302B,645.81M,20.15B,35.07B,205.84M,5.095B,3.020B,14.93B,29.98B,11.91B,985.60M,1.730B,1.138B
EOG,2020-06,-6.13M,2.417B,1.049B,273.76M,0,-1.57,-1.57,69.07B,164.23M,2020-06,676.58M,-909.38M,-54.21M,-54.21M,29.23B,4.838B,5.703B,-668.00M,1.692B,-1.145B,-235.88M,1.213B,576.30M,20.39B,35.22B,205.82M,4.597B,2.154B,14.83B,30.62B,12.68B,832.23M,1.692B,1.140B
EOG,2020-03,-3.305M,2.907B,1.458B,841.38M,0,0.02,0.02,68.70B,2.016B,2020-03,662.40M,9.813M,-44.69M,-44.69M,29.69B,5.091B,4.703B,408.29M,3.309B,31.00M,21.19M,3.474B,1.223B,21.47B,37.63B,205.82M,6.491B,4.305B,16.16B,31.14B,11.86B,1.608B,3.309B,1.759B
EOG,2019-12,-4.652M,2.028B,1.421B,1.384B,0,1.1,1.1,67.30B,2.806B,2019-12,767.30M,636.52M,-40.70M,-40.70M,30.36B,5.046B,4.161B,1.034B,2.850B,831.21M,194.69M,4.228B,1.362B,21.64B,37.12B,205.82M,5.273B,4.487B,15.48B,31.85B,11.00B,1.772B,2.850B,2.153B
EOG,2019-09,-3.689M,1.583B,1.430B,1.399B,0,1.06,1.06,66.01B,2.758B,2019-09,778.12M,615.12M,-39.62M,-39.62M,30.20B,4.923B,4.163B,847.86M,2.864B,797.46M,182.34M,4.188B,1.479B,21.12B,36.54B,205.82M,4.820B,4.474B,15.42B,31.72B,10.94B,1.910B,2.864B,2.064B
EOG,2019-06,-4.528M,1.160B,1.417B,1.410B,0,1.47,1.46,64.54B,3.069B,2019-06,853.13M,847.84M,-49.91M,-49.91M,29.72B,4.738B,4.165B,1.058B,2.822B,1.089B,241.52M,4.487B,1.623B,20.63B,35.75B,205.81M,4.496B,4.414B,15.12B,31.26B,10.71B,2.012B,2.822B,2.123B
EOG,2019-03,-2.869M,1.136B,1.327B,1.311B,0,1.1,1.1,62.97B,2.712B,2019-03,860.76M,635.43M,-54.91M,-54.91M,29.13B,4.520B,5.166B,973.30M,2.819B,827.24M,191.81M,4.040B,1.377B,19.90B,35.66B,205.81M,4.908B,4.301B,15.76B,30.76B,11.46B,1.739B,2.819B,2.644B
EOG,2018-12,-1.358M,1.556B,1.379B,913.09M,0,1.55,1.54,61.55B,2.991B,2018-12,859.36M,892.77M,-56.02M,-56.02M,28.08B,4.413B,5.170B,1.097B,2.582B,1.088B,195.57M,4.370B,1.466B,19.36B,33.93B,205.80M,5.057B,3.728B,14.57B,28.88B,10.84B,1.894B,2.582B,2.343B
EOG,2018-09,-19.46M,1.274B,1.354B,1.263B,0,2.06,2.05,60.99B,3.328B,2018-09,766.96M,1.191B,-63.63M,-63.63M,27.95B,4.200B,5.172B,1.487B,2.812B,1.446B,255.41M,4.682B,1.438B,18.54B,33.64B,205.80M,4.817B,4.425B,15.10B,28.82B,10.67B,1.840B,2.812B,2.472B
EOG,2018-06,-17.51M,1.008B,1.272B,1.263B,0,1.21,1.2,59.46B,3.129B,2018-06,670.99M,696.73M,-63.44M,-63.44M,27.15B,3.866B,5.172B,1.209B,2.657B,892.94M,196.20M,4.401B,1.525B,17.45B,32.09B,205.80M,4.232B,4.297B,14.64B,27.86B,10.34B,1.920B,2.657B,2.272B
EOG,2018-03,-14.29M,816.09M,1.15B,363.16M,0,1.11,1.1,57.94B,2.574B,2018-03,584.73M,638.59M,-61.96M,-61.96M,26.38B,3.690B,6.072B,1.014B,2.202B,813.36M,174.77M,3.724B,1.201B,16.84B,30.74B,205.79M,3.585B,2.837B,13.90B,27.16B,11.06B,1.560B,2.202B,1.965B
EOG,2017-12,-19.30M,834.23M,1.207B,356.24M,0,4.22,4.2,56.52B,2.227B,2017-12,483.86M,2.430B,-63.36M,-63.36M,25.67B,3.518B,6.031B,739.61M,2.092B,413.35M,-2.017B,3.434B,1.127B,16.28B,29.83B,205.79M,3.279B,2.726B,13.55B,26.55B,10.82B,1.487B,2.092B,1.711B
EOG,2017-09,-17.16M,846.14M,1.131B,6.579M,0,0.17,0.17,55.65B,1.505B,2017-09,344.02M,100.54M,-69.08M,-69.08M,25.72B,5.107B,6.380B,283.32M,1.912B,145.98M,45.44M,2.636B,905.25M,13.92B,28.81B,205.79M,2.764B,2.180B,14.88B,26.04B,12.70B,1.222B,1.912B,1.370B
EOG,2017-06,-17.49M,1.649B,1.155B,606.45M,0,0.04,0.04,54.86B,1.440B,2017-06,336.20M,23.05M,-70.41M,-70.41M,25.58B,5.060B,6.380B,206.31M,1.867B,62.47M,39.41M,2.595B,899.11M,13.90B,29.26B,205.78M,3.383B,2.722B,15.36B,25.88B,12.64B,1.234B,1.867B,1.206B
EOG,2017-03,-18.66M,1.547B,1.110B,6.579M,0,0.05,0.05,54.17B,1.431B,2017-03,314.19M,28.52M,-71.52M,-71.52M,25.61B,5.024B,6.980B,255.67M,1.797B,39.38M,10.86M,2.541B,833.77M,13.93B,29.21B,205.78M,3.394B,2.032B,15.28B,25.82B,13.25B,1.175B,1.797B,1.268B
EOG,2016-12,-19.01M,1.600B,1.137B,6.579M,0,-0.25,-0.25,53.60B,1.197B,2016-12,350.02M,-142.35M,-71.32M,-71.32M,25.71B,5.028B,6.980B,154.21M,1.726B,-194.01M,-51.66M,2.334B,736.43M,13.98B,29.30B,205.77M,3.385B,2.027B,15.32B,25.91B,13.29B,1.043B,1.726B,1.229B
EOG,2016-09,-25.10M,1.049B,1.158B,6.579M,0,-0.35,-0.35,54.48B,829.41M,2016-09,429.67M,-190.00M,-70.86M,-70.86M,22.64B,4.068B,6.980B,-128.81M,1.531B,-272.25M,-82.25M,1.988B,646.88M,11.80B,25.55B,205.51M,2.738B,1.733B,13.76B,22.82B,12.02B,958.22M,1.531B,920.37M
EOG,2016-06,-25.26M,779.72M,1.110B,6.579M,0,-0.53,-0.53,55.36B,702.46M,2016-06,495.83M,-292.56M,-71.11M,-71.11M,23.21B,4.104B,6.979B,-155.54M,1.536B,-380.28M,-87.72M,1.813B,577.75M,12.06B,25.83B,205.51M,2.450B,1.712B,13.77B,23.38B,12.06B,858.00M,1.536B,940.47M
EOG,2016-03,-31.13M,668.48M,1.198B,6.579M,0,-0.86,-0.86,55.16B,130.21M,2016-03,538.93M,-471.78M,-68.39M,-68.39M,23.80B,4.420B,6.979B,-581.11M,1.367B,-710.97M,-239.19M,1.328B,441.38M,12.41B,26.34B,205.51M,2.366B,1.548B,13.93B,23.97B,12.38B,711.31M,1.367B,819.67M
EOG,2015-12,-33.34M,718.51M,1.057B,6.579M,0,-0.52,-0.52,54.60B,729.64M,2015-12,598.94M,-284.30M,-62.99M,-62.99M,24.21B,4.588B,6.649B,-162.90M,1.657B,-398.83M,-114.53M,1.787B,570.86M,12.94B,26.97B,205.50M,2.592B,1.819B,14.03B,24.38B,12.21B,892.53M,1.657B,971.31M
EOG,2015-09,-34.98M,742.69M,1.041B,36.28M,0,-7.47,-7.47,53.92B,1.089B,2015-09,660.25M,-4.076B,-60.57M,-60.57M,24.28B,4.582B,6.394B,56.41M,1.828B,-6.275B,-2.199B,2.130B,706.26M,13.28B,27.28B,205.50M,2.825B,2.047B,13.99B,24.45B,11.95B,1.033B,1.828B,1.177B
EOG,2015-06,-28.00M,1.367B,1.234B,6.579M,62.21M,0.01,0.01,52.78B,1.275B,2015-06,661.16M,5.268M,-60.48M,-60.48M,29.98B,6.799B,6.394B,162.20M,2.120B,-11.48M,-16.75M,2.509B,752.49M,17.43B,33.88B,205.50M,3.738B,2.278B,16.46B,30.15B,14.18B,1.113B,2.120B,1.353B
EOG,2015-03,-36.43M,2.127B,1.310B,506.58M,110.74M,-0.31,-0.31,51.58B,920.01M,2015-03,764.21M,-169.75M,-53.34M,-53.34M,29.72B,6.774B,6.394B,-181.37M,2.395B,-236.33M,-66.58M,2.230B,722.96M,17.47B,34.69B,205.49M,4.793B,3.095B,17.22B,29.90B,14.13B,1.101B,2.395B,1.328B
EOG,2014-12,-23.06M,2.087B,1.432B,6.579M,2.444M,0.82,0.81,50.25B,2.017B,2014-12,706.60M,444.59M,-49.74M,-49.74M,29.17B,6.823B,5.903B,580.24M,3.092B,1.149B,704.00M,3.449B,993.87M,17.71B,34.76B,205.49M,5.416B,3.384B,17.05B,29.35B,13.67B,1.437B,3.092B,1.851B
EOG,2014-09,387.72M,1.481B,1.450B,6.579M,0,2.03,2.01,51.48B,3.120B,2014-09,672.90M,1.104B,-49.70M,-49.70M,29.22B,6.415B,5.903B,1.312B,3.124B,1.715B,611.50M,4.570B,1.311B,17.72B,34.50B,205.49M,4.885B,3.379B,16.78B,29.62B,13.40B,1.808B,3.124B,2.027B
EOG,2014-06,426.59M,1.230B,1.376B,6.579M,0,1.3,1.29,49.65B,3.028B,2014-06,667.11M,706.35M,-51.87M,-51.87M,28.20B,6.162B,5.903B,1.409B,2.958B,1.101B,394.46M,4.404B,1.134B,16.71B,33.30B,205.48M,4.725B,3.537B,16.59B,28.58B,13.06B,1.619B,2.958B,1.927B
EOG,2014-03,402.80M,1.667B,1.301B,6.579M,0,1.22,1.21,47.45B,2.914B,2014-03,635.42M,660.93M,-50.15M,-50.15M,27.00B,5.887B,5.903B,1.342B,2.986B,1.031B,369.86M,4.215B,1.089B,16.03B,32.14B,205.47M,4.822B,3.396B,16.11B,27.32B,12.71B,1.572B,2.986B,1.802B
EOG,2013-12,415.83M,1.318B,1.231B,6.579M,0,1.07,1.06,45.79B,2.455B,2013-12,563.27M,580.19M,-52.51M,-52.51M,26.15B,5.522B,5.907B,1.037B,2.465B,919.08M,338.89M,3.686B,993.01M,15.42B,30.57B,202.73M,4.072B,2.862B,15.16B,26.50B,12.29B,1.418B,2.465B,1.664B
EOG,2013-09,425.28M,1.319B,1.259B,406.58M,0,0.85,0.85,44.84B,2.556B,2013-09,566.00M,462.50M,-59.38M,-59.38M,25.60B,5.185B,5.906B,1.141B,2.499B,721.56M,259.06M,3.815B,975.42M,14.86B,30.15B,202.73M,4.192B,3.347B,15.29B,25.96B,11.94B,1.415B,2.499B,1.892B
EOG,2013-06,408.26M,1.228B,1.205B,406.58M,4.31M,1.22,1.21,43.11B,2.408B,2013-06,657.40M,659.69M,-61.65M,-61.65M,24.58B,4.971B,5.906B,925.37M,2.414B,1.035B,375.54M,3.613B,1.046B,14.38B,29.08B,202.73M,4.241B,3.020B,14.69B,24.84B,11.67B,1.483B,2.414B,1.832B
EOG,2013-03,427.83M,1.108B,1.120B,406.58M,2.164M,0.92,0.91,41.84B,2.165B,2013-03,697.48M,494.72M,-61.92M,-61.92M,23.94B,4.632B,5.906B,827.34M,2.464B,761.02M,266.29M,3.285B,982.63M,13.76B,28.23B,202.72M,4.081B,3.075B,14.48B,24.15B,11.40B,1.338B,2.464B,1.916B
EOG,2012-12,439.90M,876.44M,1.046B,406.58M,22.84M,-0.94,-0.94,40.87B,1.945B,2012-12,683.19M,-505.00M,-59.35M,-59.35M,23.34B,4.327B,5.906B,631.49M,2.287B,-445.82M,59.18M,2.991B,967.13M,13.28B,27.34B,202.72M,3.590B,2.924B,14.05B,23.75B,11.13B,1.313B,2.287B,1.686B
