Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EQR,2020-12,-43.67M,42.59M,223.50M,414.83M,0.68,0.68,0,499.29M,389.94M,2020-12,0,252.86M,-117.48M,-117.48M,499.29M,7.959B,177.02M,405.52M,263.33M,0.35M,613.44M,11.09M,10.53B,20.29B,41.00M,99.73M,820.35M,9.523B,20.19B,8.703B,212.92M,339.63M,0
EQR,2020-09,-61.48M,178.33M,228.53M,612.65M,0.24,0.24,0,502.18M,393.90M,2020-09,0,91.29M,-82.44M,-82.44M,502.18M,8.726B,182.44M,456.52M,95.63M,0.262M,622.43M,10.86M,10.52B,20.62B,41.00M,235.21M,456.52M,9.870B,20.39B,9.413B,211.46M,390.85M,0
EQR,2020-06,-67.36M,187.42M,223.10M,1.018B,0.7,0.7,0,505.08M,430.43M,2020-06,0,260.89M,-82.48M,-82.48M,505.08M,8.752B,212.62M,409.57M,271.67M,0.187M,653.53M,11.84M,10.60B,20.71B,41.00M,245.53M,409.57M,9.877B,20.47B,9.468B,217.81M,341.98M,0
EQR,2020-03,-72.90M,82.34M,241.26M,354.38M,0.83,0.83,0,507.96M,441.07M,2020-03,0,308.61M,-85.70M,-85.70M,507.96M,8.351B,214.13M,463.81M,332.72M,0.053M,682.33M,14.52M,10.53B,20.92B,41.00M,140.77M,1.076B,10.15B,20.78B,9.072B,226.94M,397.88M,0
EQR,2019-12,-77.56M,45.75M,226.69M,0,0.78,0.77,0,512.77M,457.20M,2019-12,0,289.76M,-102.69M,-102.69M,512.77M,8.350B,230.69M,379.53M,298.28M,-3.03M,683.90M,11.63M,10.32B,21.17B,41.00M,117.00M,1.397B,10.63B,21.06B,9.231B,226.51M,312.68M,0
EQR,2019-09,-84.09M,28.78M,224.45M,344.84M,0.72,0.71,0,481.04M,460.67M,2019-09,0,267.11M,-88.16M,-88.16M,481.04M,8.971B,237.77M,443.56M,278.11M,0.265M,685.12M,11.42M,10.18B,21.05B,40.99M,84.60M,797.94M,10.65B,20.97B,9.849B,222.90M,369.82M,0
EQR,2019-06,-89.85M,251.27M,224.28M,499.18M,0.83,0.83,0,431.75M,445.10M,2019-06,0,308.97M,-111.40M,-111.40M,431.75M,9.412B,230.26M,391.43M,321.54M,0.246M,669.37M,14.33M,10.15B,20.99B,40.99M,309.47M,391.43M,10.61B,20.68B,10.22B,214.84M,327.27M,0
EQR,2019-03,-75.01M,29.39M,232.91M,499.37M,0.28,0.28,0,434.68M,429.59M,2019-03,0,104.54M,-96.49M,-96.49M,434.68M,8.890B,209.99M,445.33M,109.50M,0.238M,662.49M,15.38M,10.05B,20.77B,40.98M,93.51M,790.17M,10.50B,20.68B,9.712B,219.60M,371.30M,0
EQR,2018-12,-64.99M,47.44M,219.19M,0,0.32,0.31,0,0,432.80M,2018-12,0,117.19M,-92.95M,-92.95M,0,8.319B,218.55M,371.69M,122.50M,0.111M,651.99M,12.39M,10.17B,20.39B,40.97M,116.31M,870.88M,9.995B,20.28B,9.124B,214.25M,309.07M,0
EQR,2018-09,-50.69M,33.00M,220.18M,0,0.58,0.58,0,0,432.69M,2018-09,0,214.94M,-106.63M,-106.63M,0,8.324B,225.43M,458.48M,224.13M,0.28M,652.87M,12.64M,10.24B,20.54B,40.96M,88.75M,957.84M,10.08B,20.45B,9.117B,207.26M,389.34M,0
