Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EVRG,2020-12,-49.40M,144.90M,629.40M,1.130B,0.22,0.22,2.337B,31.34B,465.00M,2020-12,504.50M,51.00M,-93.40M,-93.40M,20.11B,1.665B,9.191B,153.00M,921.20M,60.20M,8.40M,1.094B,0,8.733B,27.11B,7.08B,1.624B,2.356B,18.40B,25.49B,16.04B,312.00M,797.80M,336.80M
EVRG,2020-09,-48.40M,361.60M,686.90M,967.30M,1.6,1.6,2.337B,30.63B,830.70M,2020-09,512.10M,364.50M,-94.80M,-94.80M,19.78B,1.683B,9.276B,521.70M,783.30M,415.60M,50.00M,1.518B,0,8.802B,26.88B,7.077B,1.915B,2.098B,18.10B,24.97B,16.00B,309.00M,664.70M,372.40M
EVRG,2020-06,-49.80M,176.20M,600.50M,1.134B,0.59,0.59,2.337B,30.03B,584.20M,2020-06,520.30M,133.40M,-99.50M,-99.50M,19.35B,1.602B,9.281B,271.70M,625.80M,168.00M,33.70M,1.185B,0,8.548B,26.25B,7.074B,1.790B,2.086B,17.72B,24.46B,15.64B,312.50M,533.00M,508.70M
EVRG,2020-03,-48.70M,304.40M,608.40M,1.397B,0.31,0.31,2.337B,29.84B,508.30M,2020-03,498.90M,69.40M,-96.20M,-96.20M,19.38B,1.797B,8.994B,197.50M,661.70M,80.10M,10.10M,1.117B,0,8.529B,26.18B,7.072B,1.733B,2.398B,17.68B,24.45B,15.28B,310.80M,524.40M,299.70M
EVRG,2019-12,-50.00M,23.20M,660.10M,1.184B,0.31,0.3,2.337B,29.87B,471.50M,2019-12,481.60M,63.90M,-96.70M,-96.70M,19.35B,1.744B,8.766B,165.80M,796.20M,62.60M,-2.20M,1.132B,0,8.572B,25.98B,7.070B,1.468B,2.336B,17.43B,24.51B,15.09B,305.70M,673.90M,314.00M
EVRG,2019-09,-50.70M,50.10M,731.30M,1.039B,1.56,1.56,2.337B,29.28B,846.30M,2019-09,454.40M,366.80M,-90.80M,-90.80M,19.14B,1.730B,8.768B,538.70M,709.90M,432.80M,65.50M,1.578B,0,8.619B,25.91B,7.067B,1.512B,2.075B,17.32B,24.40B,15.24B,307.60M,599.20M,334.10M
EVRG,2019-06,-29.00M,107.00M,643.00M,2.584B,0.57,0.57,2.337B,29.08B,578.70M,2019-06,488.70M,139.70M,-95.40M,-95.40M,19.09B,1.631B,7.141B,271.70M,554.60M,166.90M,24.40M,1.222B,0,8.883B,25.72B,7.563B,1.539B,3.483B,16.86B,24.18B,13.38B,307.00M,473.90M,308.80M
EVRG,2019-03,-13.20M,133.60M,700.40M,2.403B,0.39,0.39,2.339B,28.87B,516.50M,2019-03,466.50M,99.50M,-91.10M,-91.10M,19.01B,1.604B,7.145B,209.60M,666.40M,110.50M,9.30M,1.217B,0,9.423B,26.06B,8.110B,1.928B,3.335B,16.67B,24.13B,13.33B,306.90M,516.20M,221.50M
EVRG,2018-12,-3.00M,160.30M,756.90M,1.839B,-0.11,-0.11,2.339B,28.87B,442.90M,2018-12,511.00M,18.50M,-88.30M,-88.30M,18.95B,1.599B,6.687B,150.10M,696.00M,51.10M,30.70M,1.200B,0,10.03B,25.60B,8.685B,1.681B,2.867B,15.61B,23.92B,12.74B,292.80M,585.10M,261.70M
EVRG,2018-09,0,679.70M,772.50M,1.611B,1.32,1.32,2.334B,29.18B,810.00M,2018-09,520.90M,355.00M,-89.10M,-89.10M,19.01B,1.536B,6.691B,533.10M,705.40M,419.70M,64.10M,1.582B,0,10.69B,26.08B,9.236B,2.319B,2.659B,15.43B,23.76B,12.77B,276.90M,585.80M,517.30M
