Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
EXC,2020-12,-3.40B,663.00M,5.736B,3.85B,100.00M,0.37,0.37,6.677B,109.31B,2.378B,2020-12,1.722B,359.00M,-394.00M,-394.00M,82.58B,13.27B,35.48B,261.00M,4.576B,668.00M,232.00M,8.114B,32.58B,129.32B,19.37B,12.56B,12.77B,94.45B,116.76B,81.68B,2.117B,4.094B,4.667B
EXC,2020-09,-3.104B,1.858B,6.346B,3.258B,107.00M,0.51,0.51,6.677B,108.14B,2.507B,2020-09,1.716B,501.00M,-404.00M,-404.00M,82.56B,13.32B,35.90B,766.00M,5.066B,786.00M,216.00M,8.853B,32.88B,127.77B,19.36B,12.31B,11.26B,92.66B,115.46B,81.40B,1.741B,3.187B,4.334B
EXC,2020-06,-3.132B,2.129B,5.357B,3.633B,113.00M,0.53,0.53,6.677B,106.55B,1.965B,2020-06,1.781B,521.00M,-427.00M,-427.00M,81.75B,13.01B,36.50B,553.00M,4.668B,794.00M,219.00M,7.322B,32.70B,126.31B,19.34B,12.53B,11.06B,91.44B,113.78B,80.38B,1.412B,3.052B,4.345B
EXC,2020-03,-3.173B,1.457B,6.071B,4.827B,121.00M,0.6,0.6,6.677B,105.47B,2.676B,2020-03,1.687B,582.00M,-410.00M,-410.00M,81.02B,12.56B,35.20B,1.218B,4.423B,85.00M,-294.00M,8.747B,32.48B,124.68B,19.30B,12.48B,11.77B,90.06B,112.20B,78.29B,1.458B,2.888B,5.428B
EXC,2019-12,-3.194B,587.00M,5.962B,6.08B,132.00M,0.79,0.79,6.677B,104.21B,2.38B,2019-12,1.768B,772.00M,-395.00M,-395.00M,80.23B,12.69B,31.72B,949.00M,4.494B,957.00M,148.00M,8.342B,32.22B,124.98B,19.27B,12.04B,14.18B,90.40B,112.94B,76.22B,1.431B,3.979B,6.222B
EXC,2019-09,-2.963B,1.992B,6.024B,5.267B,138.00M,0.79,0.79,6.677B,102.18B,2.905B,2019-09,1.783B,772.00M,-409.00M,-409.00M,78.59B,12.50B,32.45B,1.37B,5.23B,1.102B,172.00M,8.929B,32.02B,122.74B,19.24B,12.21B,13.08B,88.39B,110.53B,75.30B,1.535B,3.353B,5.322B
EXC,2019-06,-2.99B,987.00M,5.384B,4.835B,145.00M,0.5,0.5,6.677B,102.30B,2.305B,2019-06,1.67B,484.00M,-409.00M,-409.00M,78.03B,12.22B,32.30B,808.00M,4.959B,644.00M,144.00M,7.689B,31.55B,121.60B,19.21B,11.66B,12.93B,87.69B,109.94B,74.76B,1.497B,3.253B,5.18B
EXC,2019-03,-3.012B,1.103B,6.742B,3.762B,151.00M,0.93,0.93,6.677B,101.16B,2.735B,2019-03,1.559B,907.00M,-403.00M,-403.00M,77.46B,12.07B,33.35B,1.215B,5.057B,1.282B,310.00M,9.477B,31.36B,121.59B,19.17B,12.48B,12.23B,87.89B,109.12B,75.66B,1.52B,3.332B,5.675B
EXC,2018-12,-2.995B,1.349B,6.597B,2.063B,149.00M,0.16,0.16,6.795B,99.61B,2.211B,2018-12,1.685B,147.00M,-416.00M,-416.00M,76.71B,11.78B,34.46B,701.00M,4.726B,-38.00M,-144.00M,8.808B,30.74B,119.63B,19.12B,13.33B,11.40B,86.59B,106.31B,75.18B,1.51B,4.217B,5.911B
EXC,2018-09,-2.869B,1.918B,6.678B,1.605B,158.00M,0.76,0.76,6.677B,0,2.725B,2018-09,1.665B,733.00M,-393.00M,-393.00M,75.84B,12.20B,34.91B,1.151B,5.317B,947.00M,137.00M,9.403B,31.02B,119.48B,19.06B,13.47B,10.14B,86.10B,106.01B,75.96B,1.574B,3.353B,5.527B
EXC,2018-06,-2.921B,694.00M,5.622B,2.41B,171.00M,0.56,0.56,6.677B,95.27B,2.454B,2018-06,1.59B,539.00M,-373.00M,-373.00M,75.28B,12.02B,33.57B,938.00M,4.783B,613.00M,66.00M,8.076B,30.52B,117.25B,19.01B,11.49B,9.626B,84.41B,105.76B,74.78B,1.516B,3.118B,5.547B
EXC,2018-03,-2.965B,787.00M,7.111B,2.857B,202.00M,0.61,0.6,6.677B,90.72B,2.582B,2018-03,1.471B,585.00M,-371.00M,-371.00M,74.71B,11.92B,33.29B,1.045B,4.781B,702.00M,59.00M,9.693B,30.23B,117.02B,18.97B,11.53B,10.15B,84.45B,105.48B,74.30B,1.537B,3.212B,5.348B
EXC,2017-12,-3.026B,1.105B,5.875B,3.017B,231.00M,1.94,1.94,6.65B,0,2.503B,2017-12,1.651B,1.872B,-366.00M,-366.00M,74.20B,11.84B,32.56B,1.071B,4.396B,1.221B,-727.00M,8.378B,29.90B,116.77B,18.96B,11.90B,10.80B,84.58B,104.87B,73.78B,1.432B,3.91B,5.637B
EXC,2017-09,-2.589B,1.203B,5.817B,3.874B,283.00M,0.86,0.85,6.677B,0,2.951B,2017-09,1.668B,823.00M,-386.00M,-386.00M,73.07B,19.91B,32.09B,1.493B,6.217B,1.323B,451.00M,8.768B,28.10B,118.47B,18.86B,12.72B,12.40B,88.16B,105.75B,75.76B,1.458B,3.137B,4.885B
EXC,2017-06,-2.633B,536.00M,6.031B,5.376B,340.00M,0.1,0.1,6.677B,0,1.634B,2017-06,1.601B,95.00M,-436.00M,-436.00M,72.75B,19.23B,30.96B,299.00M,6.02B,41.00M,-62.00M,7.665B,27.55B,117.10B,18.86B,12.23B,13.96B,87.81B,104.87B,73.85B,1.335B,3.142B,4.867B
EXC,2017-03,-2.67B,609.00M,6.337B,5.693B,388.00M,1.07,1.06,6.677B,0,2.41B,2017-03,1.561B,990.00M,-373.00M,-373.00M,72.63B,19.30B,31.68B,1.078B,6.026B,1.192B,211.00M,8.747B,26.53B,117.07B,18.81B,12.19B,14.44B,88.78B,104.87B,74.34B,1.332B,3.019B,5.122B
EXC,2016-12,-2.66B,635.00M,5.455B,3.697B,407.00M,0.22,0.22,6.677B,0,2.425B,2016-12,1.638B,191.00M,-357.00M,-357.00M,71.56B,18.97B,32.22B,902.00M,5.71B,376.00M,128.00M,7.88B,25.84B,114.90B,18.79B,12.41B,13.46B,87.29B,102.49B,73.84B,1.523B,4.172B,5.447B
EXC,2016-09,-2.523B,1.897B,6.092B,3.079B,452.00M,0.53,0.53,6.672B,0,2.91B,2016-09,1.562B,490.00M,-516.00M,-516.00M,71.21B,19.04B,32.97B,1.266B,6.288B,871.00M,340.00M,9.002B,26.03B,114.54B,18.76B,12.21B,12.16B,87.08B,102.33B,74.92B,1.644B,3.052B,5.20B
EXC,2016-06,-2.565B,1.647B,4.959B,3.644B,508.00M,0.29,0.29,6.696B,0,1.951B,2016-06,1.50B,267.00M,-376.00M,-376.00M,70.69B,18.67B,32.18B,616.00M,5.591B,415.00M,102.00M,6.91B,25.76B,112.78B,18.72B,11.50B,11.89B,85.48B,101.28B,73.59B,1.335B,2.834B,4.728B
EXC,2016-03,-2.596B,960.00M,6.089B,5.698B,582.00M,0.19,0.19,6.688B,0,1.484B,2016-03,1.514B,173.00M,-287.00M,-287.00M,69.41B,18.62B,29.96B,474.00M,5.142B,310.00M,184.00M,7.573B,25.72B,111.74B,18.69B,11.36B,13.77B,84.56B,100.38B,70.79B,1.01B,2.882B,4.817B
