Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
F,2020-12,-8.294B,49.96B,33.08B,51.67B,2.161B,-0.7,-0.7,442.00M,69.93B,2.877B,2020-12,10.81B,-2.788B,-383.00M,-383.00M,37.08B,5.097B,111.33B,-2.442B,23.42B,-3.81B,-1.019B,35.95B,3.53B,30.69B,267.26B,41.00M,116.74B,97.19B,236.45B,150.52B,139.26B,5.319B,22.20B,52.39B
F,2020-09,-8.613B,44.83B,31.22B,133.60B,2.137B,0.6,0.6,0,67.49B,6.278B,2020-09,10.58B,2.385B,-412.00M,-412.00M,36.12B,4.891B,24.96B,2.351B,22.65B,2.756B,366.00M,37.50B,2.266B,33.12B,259.94B,41.00M,111.76B,175.43B,226.78B,148.18B,51.35B,3.927B,21.47B,51.96B
F,2020-06,-8.471B,57.13B,17.93B,55.68B,2.021B,0.28,0.28,0,66.42B,1.439B,2020-06,10.22B,1.117B,-316.00M,-316.00M,35.28B,4.711B,120.80B,-2.759B,17.48B,1.084B,-34.00M,19.37B,1.965B,30.82B,269.37B,41.00M,124.11B,92.78B,238.51B,145.26B,145.73B,4.198B,16.36B,51.83B
F,2020-03,-8.461B,46.37B,30.52B,53.27B,2.111B,-0.5,-0.5,0,0,3.798B,2020-03,11.31B,-1.993B,-88.00M,-88.00M,35.29B,4.579B,115.42B,-1.558B,19.26B,-1.146B,847.00M,34.32B,2.432B,29.65B,264.15B,41.00M,124.28B,94.49B,234.45B,139.87B,139.96B,5.356B,18.44B,61.51B
F,2019-12,-7.728B,34.65B,34.81B,54.31B,2.091B,-0.42,-0.42,0,0,4.903B,2019-12,10.79B,-1.672B,-61.00M,-61.00M,36.47B,4.681B,102.41B,-457.00M,21.80B,-2.436B,-764.00M,39.72B,2.992B,33.18B,258.54B,41.00M,114.05B,98.13B,225.31B,144.49B,127.18B,5.36B,20.67B,62.89B
F,2019-09,-7.842B,37.33B,32.28B,54.91B,2.57B,0.11,0.11,0,0,4.708B,2019-09,12.45B,425.00M,-79.00M,-79.00M,35.40B,4.615B,100.46B,-261.00M,23.09B,-19.00M,-442.00M,36.99B,2.601B,35.35B,258.16B,41.00M,115.75B,99.09B,222.77B,142.40B,123.68B,4.969B,22.23B,61.80B
F,2019-06,-7.436B,38.05B,33.66B,53.18B,2.732B,0.04,0.04,0,0,5.196B,2019-06,12.44B,148.00M,-38.00M,-38.00M,36.58B,4.653B,104.23B,90.00M,24.03B,205.00M,55.00M,38.85B,2.725B,36.10B,262.18B,41.00M,118.35B,98.33B,226.05B,143.83B,127.71B,5.106B,22.98B,64.70B
F,2019-03,-7.501B,37.73B,33.94B,54.88B,2.019B,0.29,0.29,0,0,6.40B,2019-03,12.33B,1.146B,-62.00M,-62.00M,36.14B,4.751B,103.64B,1.202B,24.16B,1.61B,427.00M,40.34B,2.843B,36.40B,263.28B,41.00M,121.20B,99.24B,226.85B,142.09B,127.61B,5.198B,23.32B,67.46B
F,2018-12,-7.366B,33.95B,35.75B,53.49B,2.095B,-0.02,-0.03,0,0,6.039B,2018-12,11.22B,-116.00M,-105.00M,-105.00M,36.18B,4.582B,100.72B,632.00M,22.51B,-17.00M,95.00M,41.79B,2.996B,35.93B,256.54B,41.00M,114.65B,95.57B,220.57B,141.89B,125.00B,5.407B,21.52B,65.55B
F,2018-09,-7.429B,36.34B,31.57B,59.80B,2.833B,0.25,0.25,0,0,6.098B,2018-09,12.81B,991.00M,-179.00M,-179.00M,35.76B,4.559B,93.64B,864.00M,24.07B,1.094B,101.00M,37.67B,2.882B,36.59B,258.97B,41.00M,114.84B,103.78B,222.35B,144.12B,118.56B,5.234B,23.27B,62.06B
