Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FAST,2021-03,-25.60M,333.90M,773.60M,133.10M,0,0.37,0.37,0,1.272B,643.40M,2021-03,1.305B,210.60M,-2.40M,-2.40M,1.272B,102.60M,523.90M,280.30M,528.10M,277.90M,67.30M,1.417B,363.10M,2.787B,4.074B,2.90M,2.614B,661.20M,1.288B,1.460B,626.50M,363.10M,262.30M,851.00M
FAST,2020-12,-21.20M,245.70M,739.20M,133.60M,0,0.34,0.34,0,2.328B,618.80M,2020-12,1.338B,196.10M,-2.20M,-2.20M,1.274B,102.30M,516.50M,264.10M,462.90M,262.20M,66.10M,1.358B,354.70M,2.733B,3.965B,2.90M,2.500B,612.70M,1.232B,1.465B,618.80M,354.70M,261.30M,769.40M
FAST,2020-09,-41.80M,331.80M,772.70M,134.40M,0,0.39,0.38,0,1.268B,640.60M,2020-09,1.343B,221.50M,-2.50M,-2.50M,1.268B,102.90M,517.10M,289.10M,468.60M,287.60M,66.10M,1.413B,351.50M,2.886B,4.109B,2.90M,2.647B,603.00M,1.223B,1.462B,620.00M,351.50M,210.40M,834.50M
FAST,2020-06,-52.90M,201.50M,837.40M,96.70M,0,0.42,0.42,0,1.282B,671.60M,2020-06,1.402B,238.90M,-2.30M,-2.30M,1.282B,100.30M,563.00M,316.30M,534.60M,313.70M,74.80M,1.509B,355.30M,2.783B,4.085B,2.90M,2.606B,631.30M,1.302B,1.479B,670.90M,355.30M,296.40M,881.50M
FAST,2020-03,-63.40M,160.70M,730.20M,101.30M,0,0.35,0.35,0,1.270B,636.80M,2020-03,1.346B,202.60M,-2.10M,-2.10M,1.270B,99.90M,597.80M,271.30M,479.10M,269.20M,66.60M,1.367B,365.50M,2.657B,3.935B,2.90M,2.464B,580.40M,1.278B,1.470B,697.70M,365.50M,251.60M,833.90M
FAST,2019-12,-38.40M,174.90M,678.50M,100.40M,0,0.31,0.31,0,2.210B,598.40M,2019-12,1.366B,178.70M,-2.50M,-2.50M,1.266B,99.40M,490.20M,238.50M,430.50M,236.40M,57.70M,1.277B,359.90M,2.666B,3.800B,2.90M,2.457B,544.70M,1.134B,1.343B,589.60M,359.90M,260.20M,741.80M
FAST,2019-09,-49.00M,191.20M,728.00M,98.60M,0,0.37,0.37,0,1.236B,651.10M,2019-09,1.355B,213.50M,-3.50M,-3.50M,1.236B,86.60M,586.80M,281.90M,456.50M,278.40M,64.90M,1.379B,369.20M,2.586B,3.814B,2.90M,2.501B,555.10M,1.228B,1.313B,673.40M,369.20M,215.20M,817.30M
FAST,2019-06,-39.40M,175.00M,727.20M,98.10M,0,0.36,0.36,0,1.210B,641.20M,2019-06,1.346B,204.60M,-3.60M,-3.60M,1.210B,86.70M,638.10M,274.50M,429.80M,271.40M,66.80M,1.368B,366.70M,2.504B,3.756B,2.90M,2.468B,527.90M,1.253B,1.288B,724.80M,366.70M,203.80M,819.80M
FAST,2019-03,-41.10M,185.40M,684.60M,96.20M,0,0.34,0.34,0,1.164B,624.70M,2019-03,1.294B,194.10M,-3.90M,-3.90M,1.164B,85.00M,615.00M,261.10M,458.40M,257.50M,63.40M,1.309B,363.60M,2.397B,3.652B,2.90M,2.389B,554.60M,1.255B,1.263B,700.00M,363.60M,225.60M,793.00M
FAST,2018-12,-44.80M,167.20M,643.80M,3.00M,0,0.295,0.295,0,1.746B,587.80M,2018-12,1.279B,168.80M,-3.60M,-3.60M,924.80M,84.40M,497.00M,233.40M,421.40M,229.80M,61.00M,1.232B,354.40M,2.303B,3.322B,2.90M,2.316B,437.40M,1.019B,1.005B,581.40M,354.40M,257.20M,714.30M
