Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FCX,2021-03,-580.00M,4.58B,3.206B,656.00M,65.00M,0.4918,0.48,401.00M,74.88B,1.644B,2021-03,4.145B,718.00M,-145.00M,-145.00M,29.78B,4.446B,9.153B,1.532B,3.624B,1.398B,443.00M,0,4.85B,100.00M,10.92B,43.64B,160.00M,10.86B,4.611B,24.07B,32.79B,19.46B,112.00M,3.624B,1.77B
FCX,2020-12,-583.00M,3.657B,3.066B,72.00M,12.00M,0.4856,0.48,402.00M,73.36B,1.429B,2020-12,3.893B,708.00M,-236.00M,-236.00M,29.82B,4.669B,9.867B,1.223B,2.838B,1.469B,611.00M,0,4.495B,97.00M,10.17B,42.14B,159.00M,9.303B,3.417B,23.48B,32.84B,20.06B,206.00M,2.001B,1.412B
FCX,2020-09,-728.00M,2.403B,2.868B,47.00M,0,0.22,0.22,398.00M,71.10B,983.00M,2020-09,3.892B,329.00M,-120.00M,-120.00M,29.91B,4.325B,9.983B,882.00M,2.652B,723.00M,297.00M,0,3.851B,72.00M,9.236B,41.10B,158.00M,8.071B,3.096B,23.54B,33.03B,20.44B,101.00M,2.652B,1.357B
FCX,2020-06,-652.00M,1.465B,2.613B,90.00M,0,0.03,0.03,0,0,441.00M,2020-06,3.81B,53.00M,-115.00M,-115.00M,29.94B,4.18B,9.824B,321.00M,2.518B,217.00M,96.00M,0,3.054B,91.00M,8.954B,40.23B,158.00M,7.155B,2.906B,23.08B,33.08B,20.17B,120.00M,2.518B,1.363B
FCX,2020-03,-668.00M,1.602B,3.108B,245.00M,0,-0.34,-0.34,0,0,-310.00M,2020-03,3.854B,-491.00M,-127.00M,-127.00M,29.90B,4.087B,9.829B,-462.00M,2.593B,-612.00M,-60.00M,0,2.798B,110.00M,8.855B,40.22B,158.00M,7.357B,3.143B,23.26B,32.86B,20.11B,152.00M,2.593B,1.106B
FCX,2019-12,-676.00M,2.02B,3.405B,49.00M,0,0.0062,0.0062,0,0,506.00M,2019-12,4.073B,9.00M,-219.00M,-219.00M,29.58B,4.465B,10.02B,371.00M,2.643B,366.00M,329.00M,0,3.911B,94.00M,9.298B,40.81B,158.00M,7.915B,3.209B,23.36B,32.89B,20.15B,135.00M,2.013B,1.167B
FCX,2019-09,-570.00M,2.247B,3.033B,4.00M,0,-0.15,-0.15,0,0,120.00M,2019-09,4.434B,-207.00M,-123.00M,-123.00M,29.33B,4.245B,9.915B,-26.00M,2.889B,-149.00M,91.00M,0,3.153B,101.00M,9.444B,40.94B,158.00M,8.347B,3.381B,23.40B,32.60B,20.02B,146.00M,2.889B,994.00M
FCX,2019-06,-582.00M,2.623B,3.359B,4.00M,0,-0.05,-0.05,0,0,187.00M,2019-06,4.377B,-72.00M,-132.00M,-132.00M,28.84B,4.055B,9.912B,41.00M,2.857B,-94.00M,-15.00M,0,3.546B,92.00M,9.709B,41.09B,158.00M,8.73B,3.286B,23.27B,32.36B,19.98B,146.00M,2.857B,970.00M
FCX,2019-03,-594.00M,2.833B,3.323B,3.00M,0,0.02,0.02,0,0,469.00M,2019-03,4.461B,31.00M,-146.00M,-146.00M,28.50B,4.067B,9.902B,288.00M,2.822B,183.00M,105.00M,0,3.792B,112.00M,9.783B,41.06B,158.00M,9.045B,3.247B,23.22B,32.01B,19.97B,181.00M,2.822B,1.191B
FCX,2018-12,-605.00M,4.217B,3.323B,17.00M,0,0.0966,0.09,0,0,361.00M,2018-12,4.503B,485.00M,-509.00M,-509.00M,28.01B,4.262B,11.12B,234.00M,2.785B,-181.00M,-552.00M,0,3.684B,81.00M,9.798B,42.22B,158.00M,10.46B,3.329B,24.32B,31.75B,21.00B,127.00M,2.151B,1.322B
FCX,2018-09,-532.00M,4.556B,3.527B,4.00M,91.00M,0.38,0.38,307.00M,64.80B,1.381B,2018-09,4.047B,556.00M,-143.00M,-143.00M,23.01B,3.839B,11.12B,1.245B,3.114B,1.186B,522.00M,0,4.908B,101.00M,9.977B,37.75B,158.00M,10.92B,3.851B,24.30B,26.83B,20.44B,136.00M,3.114B,1.29B
FCX,2018-06,-464.00M,3.859B,3.357B,4.00M,82.00M,0.6,0.59,305.00M,22.93B,1.811B,2018-06,4.176B,869.00M,-142.00M,-142.00M,22.92B,3.702B,11.12B,1.619B,3.062B,1.551B,515.00M,0,5.168B,109.00M,9.474B,37.03B,158.00M,10.34B,3.799B,24.19B,26.68B,20.39B,192.00M,3.062B,1.302B
FCX,2018-03,-475.00M,3.702B,3.259B,483.00M,0,0.47,0.47,0,23.12B,1.609B,2018-03,3.885B,692.00M,-151.00M,-151.00M,22.79B,3.642B,11.12B,1.448B,3.03B,1.336B,506.00M,0,4.868B,131.00M,8.656B,36.64B,158.00M,10.11B,4.344B,24.71B,26.53B,20.37B,161.00M,3.03B,1.444B
FCX,2017-12,-487.00M,4.526B,3.261B,1.414B,0,0.71,0.71,0,23.17B,1.78B,2017-12,4.149B,1.041B,-168.00M,-168.00M,22.99B,3.954B,11.82B,1.464B,2.875B,1.325B,136.00M,0,5.041B,115.00M,7.977B,37.30B,158.00M,10.63B,4.914B,26.01B,26.68B,21.09B,316.00M,2.398B,1.665B
