Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FE,2021-03,-7.00M,1.281B,836.00M,1.989B,0.62,0.62,5.618B,45.78B,1.89B,2021-03,303.00M,335.00M,-272.00M,-272.00M,33.64B,3.203B,22.20B,450.00M,1.796B,422.00M,87.00M,2.726B,0,7.36B,44.12B,54.00M,3.188B,4.624B,36.76B,40.93B,32.13B,1.44B,1.507B,1.278B
FE,2020-12,-5.00M,1.734B,721.00M,2.346B,0.45,0.45,5.691B,45.23B,1.816B,2020-12,317.00M,242.00M,-253.00M,-253.00M,33.29B,3.125B,22.13B,340.00M,1.749B,216.00M,4.00M,2.537B,54.00M,7.237B,44.46B,54.00M,3.714B,5.004B,37.23B,40.75B,32.22B,1.476B,1.467B,1.439B
FE,2020-09,-2.00M,260.00M,867.00M,377.00M,0.84,0.84,5.618B,44.83B,2.155B,2020-09,308.00M,454.00M,-245.00M,-245.00M,32.86B,3.067B,22.20B,721.00M,1.775B,576.00M,116.00M,3.022B,0,7.188B,42.94B,54.00M,2.162B,3.077B,35.75B,40.78B,32.67B,1.434B,1.492B,1.34B
FE,2020-06,0,116.00M,690.00M,196.00M,0.57,0.57,5.618B,44.23B,1.832B,2020-06,303.00M,309.00M,-245.00M,-245.00M,32.41B,2.907B,21.98B,515.00M,1.714B,373.00M,66.00M,2.522B,0,7.143B,42.40B,54.00M,1.986B,2.544B,35.26B,40.42B,32.72B,1.317B,1.445B,1.232B
FE,2020-03,2.00M,152.00M,792.00M,1.131B,0.14,0.14,5.618B,43.64B,1.917B,2020-03,285.00M,74.00M,-245.00M,-245.00M,32.00B,2.812B,20.82B,109.00M,1.742B,-36.00M,-60.00M,2.709B,423.00M,6.814B,42.09B,54.00M,2.003B,3.697B,35.28B,40.09B,31.58B,1.808B,1.464B,1.254B
FE,2019-12,20.00M,627.00M,852.00M,1.38B,-0.2,-0.21,5.618B,43.08B,1.821B,2019-12,281.00M,-111.00M,-242.00M,-242.00M,31.65B,2.898B,19.62B,-59.00M,1.799B,-249.00M,-68.00M,2.673B,674.00M,6.975B,42.30B,54.00M,2.444B,4.862B,35.33B,39.86B,30.46B,1.88B,1.55B,1.294B
FE,2019-09,27.00M,716.00M,920.00M,1.381B,0.73,0.72,5.618B,42.39B,2.043B,2019-09,258.00M,391.00M,-242.00M,-242.00M,31.15B,2.966B,19.42B,681.00M,1.476B,496.00M,107.00M,2.963B,0,7.272B,41.51B,54.00M,2.616B,4.239B,34.23B,38.89B,30.00B,1.362B,1.476B,1.336B
FE,2019-06,31.00M,422.00M,740.00M,1.631B,0.58,0.58,5.618B,41.82B,1.776B,2019-06,261.00M,312.00M,-243.00M,-243.00M,30.68B,2.839B,19.05B,585.00M,1.251B,422.00M,81.00M,2.516B,0,7.269B,40.88B,74.00M,2.386B,3.983B,33.62B,38.50B,29.63B,1.191B,1.251B,1.327B
FE,2019-03,36.00M,174.00M,912.00M,1.506B,0.59,0.59,5.618B,41.23B,1.971B,2019-03,268.00M,320.00M,-235.00M,-235.00M,30.27B,2.705B,18.81B,629.00M,1.484B,448.00M,93.00M,2.883B,0,6.932B,40.49B,74.00M,2.314B,4.324B,33.56B,38.18B,29.23B,1.342B,1.484B,1.501B
FE,2018-12,41.00M,367.00M,850.00M,1.753B,0.25,0.25,5.618B,40.70B,1.86B,2018-12,252.00M,138.00M,-240.00M,-240.00M,29.91B,2.591B,17.75B,368.00M,1.741B,169.00M,35.00M,2.71B,0,6.814B,40.06B,122.00M,2.392B,4.634B,33.25B,37.67B,28.62B,1.492B,1.498B,1.511B
FE,2018-09,61.00M,436.00M,1.013B,2.828B,-1.02,-1.02,5.618B,39.88B,2.051B,2018-09,240.00M,-458.00M,-239.00M,-239.00M,29.41B,2.526B,16.61B,710.00M,1.633B,520.00M,121.00M,3.064B,0,6.873B,39.44B,121.00M,2.596B,5.80B,32.57B,36.85B,26.77B,1.341B,1.633B,1.616B
FE,2018-06,73.00M,256.00M,825.00M,2.796B,0.28,0.28,5.618B,39.48B,1.80B,2018-06,281.00M,299.00M,-339.00M,-339.00M,29.02B,2.735B,16.46B,700.00M,1.417B,409.00M,101.00M,2.625B,0,7.699B,38.97B,210.00M,2.363B,5.068B,31.27B,36.61B,26.20B,1.10B,1.417B,1.495B
FE,2018-03,86.00M,248.00M,959.00M,2.357B,2.55,2.54,5.618B,38.84B,1.903B,2018-03,273.00M,1.369B,-233.00M,-233.00M,28.57B,2.629B,16.74B,580.00M,1.535B,414.00M,233.00M,2.862B,0,7.375B,38.80B,210.00M,2.31B,5.065B,31.42B,36.48B,26.36B,1.323B,1.535B,1.482B
FE,2017-12,142.00M,588.00M,812.00M,858.00M,-5.62,-5.62,5.618B,38.11B,1.869B,2017-12,236.00M,-2.499B,-241.00M,-241.00M,28.10B,3.301B,18.69B,390.00M,1.36B,171.00M,1.232B,2.681B,0,3.925B,42.26B,44.00M,3.11B,4.113B,38.33B,39.15B,34.22B,1.479B,1.36B,1.452B
FE,2017-09,151.00M,399.00M,900.00M,1.576B,0.89,0.89,5.618B,45.58B,2.01B,2017-09,543.00M,396.00M,-249.00M,-249.00M,29.50B,5.10B,21.09B,746.00M,1.444B,503.00M,202.00M,2.91B,0,6.406B,43.65B,44.00M,2.931B,4.255B,37.24B,40.72B,32.99B,1.264B,1.444B,1.542B
FE,2017-06,163.00M,114.00M,813.00M,2.24B,0.39,0.39,5.618B,45.18B,1.811B,2017-06,553.00M,174.00M,-234.00M,-234.00M,29.18B,4.884B,20.58B,574.00M,1.45B,351.00M,132.00M,2.624B,0,6.32B,43.33B,44.00M,2.755B,4.647B,37.01B,40.57B,32.36B,1.237B,1.45B,1.536B
FE,2017-03,175.00M,164.00M,995.00M,4.897B,0.46,0.46,5.618B,44.56B,1.86B,2017-03,531.00M,205.00M,-233.00M,-233.00M,28.80B,4.787B,17.76B,628.00M,1.532B,409.00M,152.00M,2.855B,0,6.139B,43.21B,44.00M,2.76B,7.657B,37.07B,40.45B,29.42B,1.232B,1.532B,1.551B
FE,2016-12,174.00M,199.00M,-380.00M,4.36B,-13.44,-13.44,5.618B,45.12B,-107.00M,2016-12,564.00M,-5.796B,-134.00M,-134.00M,29.39B,4.684B,18.19B,-114.00M,1.623B,1.125B,193.00M,-487.00M,0,6.241B,43.15B,44.00M,2.95B,7.126B,36.91B,40.20B,29.78B,7.00M,1.623B,1.615B
FE,2016-09,184.00M,551.00M,1.429B,4.191B,0.89,0.89,5.618B,53.28B,2.488B,2016-09,699.00M,380.00M,-258.00M,-258.00M,37.83B,8.075B,18.53B,861.00M,1.481B,631.00M,251.00M,3.917B,0,11.50B,51.96B,43.00M,3.48B,7.043B,40.46B,48.48B,33.42B,1.627B,1.481B,1.629B
FE,2016-06,191.00M,199.00M,1.327B,4.252B,-2.56,-2.56,5.618B,52.76B,2.074B,2016-06,759.00M,-1.089B,-263.00M,-263.00M,37.46B,7.843B,18.35B,472.00M,1.377B,-1.219B,-130.00M,3.401B,0,11.41B,51.40B,42.00M,3.076B,6.759B,39.99B,48.32B,33.24B,1.602B,1.377B,1.494B
FE,2016-03,179.00M,146.00M,1.505B,3.48B,0.78,0.77,6.418B,53.06B,2.364B,2016-03,781.00M,328.00M,-263.00M,-263.00M,37.64B,7.972B,18.88B,776.00M,1.513B,541.00M,213.00M,3.869B,0,12.46B,52.70B,42.00M,3.23B,6.389B,40.23B,49.46B,33.84B,1.588B,1.513B,1.594B
FE,2015-12,171.00M,131.00M,1.589B,2.874B,-0.53,-0.53,6.418B,52.37B,1.952B,2015-12,785.00M,-226.00M,-262.00M,-262.00M,37.21B,7.761B,19.10B,254.00M,1.594B,-396.00M,-170.00M,3.541B,0,12.42B,52.09B,42.00M,3.04B,5.602B,39.67B,49.05B,34.07B,1.698B,1.594B,1.595B
FE,2015-09,177.00M,86.00M,1.691B,3.081B,0.94,0.93,6.418B,51.53B,2.432B,2015-09,738.00M,395.00M,-259.00M,-259.00M,36.61B,8.585B,19.09B,916.00M,1.502B,621.00M,226.00M,4.123B,0,12.63B,52.66B,42.00M,3.833B,5.876B,40.04B,48.83B,34.16B,1.516B,1.502B,1.772B
FE,2015-06,202.00M,94.00M,1.372B,4.20B,0.44,0.44,6.418B,51.14B,2.093B,2015-06,792.00M,187.00M,-249.00M,-249.00M,36.42B,8.495B,18.57B,570.00M,1.501B,302.00M,115.00M,3.465B,0,12.53B,53.00B,42.00M,4.113B,6.789B,40.47B,48.89B,33.68B,1.523B,1.501B,1.771B
FE,2015-03,230.00M,90.00M,1.626B,3.346B,0.53,0.53,6.418B,50.62B,2.271B,2015-03,762.00M,222.00M,-245.00M,-245.00M,36.12B,8.24B,19.13B,594.00M,1.605B,366.00M,144.00M,3.897B,0,12.35B,52.52B,42.00M,4.011B,6.262B,40.17B,48.51B,33.91B,1.677B,1.605B,1.876B
FE,2014-12,246.00M,85.00M,1.559B,2.603B,-0.73,-0.73,6.418B,49.93B,1.924B,2014-12,817.00M,-306.00M,-250.00M,-250.00M,35.78B,7.58B,19.18B,-337.00M,1.769B,-574.00M,-268.00M,3.483B,0,12.42B,51.65B,42.00M,3.358B,5.561B,39.23B,48.29B,33.66B,2.261B,1.769B,1.779B
FE,2014-09,232.00M,109.00M,1.732B,3.007B,0.79,0.79,6.418B,48.96B,2.156B,2014-09,771.00M,333.00M,-247.00M,-247.00M,34.92B,8.243B,18.53B,716.00M,1.679B,485.00M,152.00M,3.888B,0,12.70B,51.22B,42.00M,3.785B,5.979B,38.52B,47.44B,32.54B,1.44B,1.679B,1.819B
FE,2014-06,264.00M,76.00M,1.633B,3.339B,0.16,0.15,6.418B,48.31B,1.863B,2014-06,802.00M,64.00M,-230.00M,-230.00M,34.52B,8.159B,18.42B,292.00M,1.738B,90.00M,26.00M,3.496B,0,12.68B,51.39B,42.00M,4.183B,6.173B,38.70B,47.20B,32.53B,1.571B,1.738B,1.962B
FE,2014-03,271.00M,109.00M,2.072B,4.501B,0.5,0.49,6.418B,47.44B,2.11B,2014-03,740.00M,208.00M,-236.00M,-236.00M,33.89B,8.133B,16.80B,391.00M,1.982B,170.00M,48.00M,4.182B,0,12.60B,51.23B,42.00M,4.577B,7.737B,38.62B,46.65B,30.89B,1.719B,1.982B,2.087B
FE,2013-12,284.00M,218.00M,1.612B,4.819B,0.34,0.34,6.418B,46.53B,2.021B,2013-12,752.00M,142.00M,-204.00M,-204.00M,33.25B,8.116B,15.83B,709.00M,1.735B,208.00M,66.00M,3.633B,0,12.69B,50.42B,42.00M,4.013B,7.637B,37.73B,46.41B,30.09B,1.312B,1.735B,1.918B
