Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FFIV,2020-12,-17.86M,1.373B,114.98M,66.04M,936.64M,1.43,1.41,2.087B,501.69M,509.64M,2020-12,26.46M,87.68M,501.69M,424.15M,692.70M,117.75M,316.57M,117.06M,29.39M,114.19M,624.62M,277.70M,2.402B,4.899B,386.24M,2.030B,1.319B,2.498B,2.870B,1.178B,391.89M,97.30M,510.22M
FFIV,2020-09,-18.72M,1.210B,111.97M,65.28M,883.13M,1.27,1.26,2.085B,770.10M,502.85M,2020-09,27.90M,77.66M,529.92M,390.10M,707.76M,98.61M,339.86M,97.52M,19.86M,120.30M,614.82M,283.94M,2.232B,4.678B,305.45M,1.793B,1.288B,2.446B,2.884B,1.157B,404.24M,97.52M,434.28M
FFIV,2020-06,-18.50M,1.094B,106.04M,65.76M,888.61M,1.15,1.14,2.095B,545.05M,477.21M,2020-06,28.83M,69.87M,545.05M,386.88M,719.44M,87.62M,308.94M,87.76M,17.89M,115.99M,583.25M,273.60M,2.154B,4.573B,304.53M,1.665B,1.263B,2.419B,2.908B,1.156B,389.59M,90.24M,304.87M
FFIV,2020-03,-22.90M,821.14M,101.24M,66.12M,889.63M,1.01,1,2.111B,559.44M,482.21M,2020-03,30.94M,61.38M,559.44M,391.70M,736.33M,83.70M,296.26M,83.56M,22.18M,109.03M,583.45M,289.48M,1.998B,4.441B,223.10M,1.409B,1.252B,2.443B,3.032B,1.191B,398.51M,88.21M,439.70M
FFIV,2019-12,-18.38M,1.162B,88.64M,42.52M,847.75M,1.62,1.62,1.170B,533.24M,480.66M,2019-12,32.38M,98.53M,533.24M,390.48M,342.30M,130.14M,260.24M,127.56M,29.03M,96.00M,569.30M,254.52M,1.929B,3.875B,211.22M,1.737B,1.151B,1.946B,2.138B,795.40M,350.53M,91.91M,439.79M
FFIV,2019-09,-19.19M,972.28M,90.92M,0,807.03M,1.57,1.57,1.174B,418.18M,499.47M,2019-09,34.40M,94.84M,223.43M,457.50M,0,114.71M,298.50M,118.11M,23.27M,102.81M,590.39M,281.94M,1.761B,3.390B,142.60M,1.512B,1.106B,1.629B,1.879B,523.25M,384.76M,94.43M,401.44M
FFIV,2019-06,-18.19M,986.49M,90.77M,0,803.24M,1.43,1.43,1.065B,334.09M,472.63M,2019-06,36.01M,85.90M,226.00M,363.62M,0,102.74M,268.82M,107.46M,21.56M,116.89M,563.39M,252.99M,1.624B,3.177B,98.72M,1.505B,1.072B,1.553B,1.672B,481.43M,369.89M,55.63M,320.46M
FFIV,2019-03,-19.34M,1.314B,88.18M,0,809.34M,1.94,1.93,555.96M,0,456.72M,2019-03,33.46M,116.09M,208.22M,352.51M,0,142.79M,265.45M,150.23M,34.14M,96.31M,544.90M,217.61M,1.467B,2.990B,29.40M,1.807B,1.075B,1.523B,1.183B,448.04M,313.92M,68.16M,321.48M
FFIV,2018-12,-21.99M,1.133B,86.71M,0,796.38M,2.17,2.16,555.96M,0,457.06M,2018-12,31.56M,130.90M,179.22M,353.54M,0,158.22M,251.30M,165.31M,34.41M,92.04M,543.77M,206.80M,1.409B,2.892B,13.28M,1.620B,1.048B,1.483B,1.272B,435.02M,298.84M,66.86M,325.69M
FFIV,2018-09,-22.18M,1.039B,93.44M,0,715.70M,2.2,2.18,587.22M,0,469.27M,2018-09,30.57M,132.88M,145.04M,330.81M,0,172.02M,238.74M,159.26M,26.38M,95.08M,562.71M,202.17M,1.285B,2.605B,20.43M,1.418B,954.43M,1.320B,1.188B,365.55M,297.25M,85.41M,295.35M
FFIV,2018-06,-21.98M,1.084B,91.01M,0,736.03M,2.01,1.99,555.96M,298.43M,451.19M,2018-06,31.32M,122.74M,126.11M,291.70M,0,151.95M,207.89M,154.21M,31.47M,94.06M,542.20M,205.18M,1.266B,2.561B,20.01M,1.469B,943.92M,1.295B,1.092B,351.17M,299.24M,44.65M,297.38M
FFIV,2018-03,-20.98M,1.025B,89.64M,0,735.98M,1.79,1.77,555.96M,270.40M,443.66M,2018-03,29.51M,109.64M,117.39M,274.59M,0,143.36M,226.20M,146.15M,36.51M,91.06M,533.30M,209.25M,1.227B,2.517B,21.12M,1.407B,962.17M,1.291B,1.110B,328.36M,300.30M,40.27M,290.92M
FFIV,2017-12,-19.48M,1.005B,87.39M,0,721.99M,1.42,1.41,555.96M,0,435.80M,2017-12,29.11M,88.43M,117.31M,269.32M,0,142.00M,223.28M,144.14M,55.71M,85.89M,523.19M,207.92M,1.227B,2.494B,20.03M,1.381B,945.28M,1.267B,1.113B,321.28M,293.81M,46.75M,291.09M
FFIV,2017-09,-18.00M,1.017B,90.54M,0,696.40M,2.15,2.14,598.52M,0,447.46M,2017-09,29.83M,135.74M,122.42M,267.96M,0,162.08M,238.14M,153.86M,18.12M,85.48M,538.00M,199.90M,1.229B,2.476B,17.63M,1.406B,934.54M,1.247B,1.070B,312.55M,285.38M,79.71M,291.92M
FFIV,2017-06,-15.46M,1.014B,89.77M,0,686.08M,1.53,1.52,555.96M,0,428.07M,2017-06,31.04M,97.66M,125.14M,263.33M,0,139.14M,223.26M,141.73M,44.07M,88.60M,517.84M,200.32M,1.205B,2.419B,17.53M,1.446B,909.34M,1.214B,972.67M,304.62M,288.92M,44.54M,295.08M
FFIV,2017-03,-15.47M,1.015B,87.91M,0,684.50M,1.44,1.43,555.96M,0,430.34M,2017-03,32.55M,93.14M,126.70M,250.24M,0,138.39M,231.52M,139.82M,46.69M,89.23M,518.25M,202.71M,1.185B,2.388B,19.40M,1.445B,916.02M,1.203B,943.07M,287.29M,291.95M,47.29M,293.87M
FFIV,2016-12,-16.05M,973.84M,85.26M,0,669.93M,1.45,1.44,555.96M,0,430.70M,2016-12,33.68M,94.22M,128.67M,247.58M,0,137.45M,248.76M,140.10M,45.88M,87.05M,515.96M,206.19M,1.195B,2.397B,17.28M,1.427B,918.68M,1.202B,969.60M,283.42M,293.24M,49.92M,313.21M
FFIV,2016-09,-13.19M,882.40M,84.95M,0,631.77M,1.66,1.64,606.47M,0,440.40M,2016-09,34.05M,108.94M,123.25M,242.68M,0,163.26M,212.47M,162.90M,53.97M,83.75M,525.35M,193.39M,1.185B,2.306B,13.19M,1.289B,844.24M,1.121B,1.018B,276.82M,277.14M,66.11M,268.18M
FFIV,2016-06,-13.32M,810.71M,84.34M,0,626.84M,1.37,1.37,555.96M,0,412.18M,2016-06,33.80M,91.79M,115.14M,236.55M,0,138.34M,172.57M,139.84M,48.05M,83.04M,496.52M,190.80M,1.187B,2.254B,9.996M,1.208B,799.41M,1.067B,1.046B,267.31M,273.84M,37.45M,263.25M
FFIV,2016-03,-13.56M,775.00M,82.23M,0,619.68M,1.12,1.11,555.96M,0,401.45M,2016-03,35.18M,75.42M,107.54M,228.52M,0,123.88M,180.75M,115.07M,39.65M,86.29M,483.68M,191.27M,1.181B,2.242B,25.18M,1.194B,800.44M,1.061B,1.048B,260.71M,277.57M,37.24M,266.18M
FFIV,2015-12,-16.51M,791.50M,85.68M,0,619.58M,1.29,1.28,555.96M,225.70M,403.80M,2015-12,33.57M,89.72M,99.95M,219.87M,0,130.95M,183.00M,132.08M,42.37M,81.14M,489.49M,191.71M,1.263B,2.316B,16.06M,1.208B,802.58M,1.054B,1.108B,250.97M,272.85M,37.56M,279.16M
FFIV,2015-09,-15.29M,774.34M,84.66M,0,573.91M,1.37,1.36,614.76M,185.59M,416.64M,2015-09,33.72M,97.04M,95.91M,210.30M,0,147.60M,181.22M,149.46M,52.43M,77.66M,501.30M,191.38M,1.317B,2.312B,10.16M,1.188B,755.12M,995.56M,1.124B,240.44M,269.04M,74.10M,279.43M
