Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FIS,2020-12,57.00M,1.959B,2.11B,4.216B,881.00M,0.17,0.16,70.57B,2.826B,1.206B,2020-12,0,104.00M,-82.00M,-82.00M,1.421B,4.076B,16.40B,303.00M,7.109B,102.00M,2.00M,0,3.316B,903.00M,49.30B,83.84B,6.00M,9.898B,12.36B,34.53B,73.94B,22.17B,903.00M,7.007B,4.433B
FIS,2020-09,-212.00M,1.826B,2.104B,4.976B,775.00M,0.03,0.03,70.09B,2.366B,1.093B,2020-09,0,20.00M,-84.00M,-84.00M,914.00M,4.218B,15.21B,231.00M,7.024B,143.00M,121.00M,0,3.197B,862.00M,49.03B,83.20B,6.00M,9.934B,12.78B,34.15B,73.26B,21.38B,862.00M,7.024B,4.445B
FIS,2020-06,-358.00M,1.183B,2.046B,4.994B,846.00M,0.03,0.03,69.82B,2.24B,916.00M,2020-06,0,19.00M,-88.00M,-88.00M,887.00M,4.131B,14.87B,46.00M,6.277B,32.00M,4.00M,0,2.962B,870.00M,49.04B,82.64B,6.00M,8.60B,12.12B,33.58B,74.04B,21.47B,870.00M,6.277B,4.387B
FIS,2020-03,-248.00M,1.373B,2.089B,1.395B,898.00M,0.02,0.02,70.21B,2.179B,989.00M,2020-03,0,15.00M,-80.00M,-80.00M,870.00M,4.178B,18.98B,108.00M,5.633B,-11.00M,-30.00M,0,3.078B,881.00M,49.17B,82.47B,6.00M,8.346B,7.926B,33.29B,74.13B,25.37B,881.00M,5.633B,4.302B
FIS,2019-12,-33.00M,1.152B,1.987B,3.092B,817.00M,-0.26,-0.26,71.24B,2.741B,1.355B,2019-12,0,-158.00M,-95.00M,-95.00M,1.464B,4.333B,17.70B,123.00M,6.357B,-183.00M,-19.00M,0,3.342B,1.232B,49.44B,83.81B,6.00M,8.692B,10.38B,34.35B,75.11B,23.97B,1.232B,6.248B,4.35B
FIS,2019-09,-391.00M,1.305B,1.838B,3.248B,719.00M,0.3,0.29,71.00B,2.026B,984.00M,2019-09,0,154.00M,-95.00M,-95.00M,811.00M,4.249B,16.94B,227.00M,6.934B,209.00M,48.00M,0,2.822B,757.00M,49.20B,83.72B,6.00M,9.325B,10.90B,34.51B,74.39B,23.60B,757.00M,6.934B,4.242B
FIS,2019-06,-438.00M,9.756B,1.404B,1.56B,788.00M,0.48,0.47,18.20B,1.784B,708.00M,2019-06,0,154.00M,-72.00M,-72.00M,541.00M,1.351B,16.68B,391.00M,1.822B,199.00M,40.00M,0,2.112B,317.00M,9.985B,32.86B,4.00M,12.50B,4.17B,22.87B,20.35B,18.70B,317.00M,1.822B,1.914B
FIS,2019-03,-427.00M,576.00M,1.381B,653.00M,854.00M,0.46,0.45,18.34B,1.65B,676.00M,2019-03,0,148.00M,-75.00M,-75.00M,556.00M,1.406B,8.562B,315.00M,2.014B,188.00M,32.00M,0,2.057B,361.00M,9.896B,24.07B,4.00M,3.611B,3.521B,14.17B,20.46B,10.65B,361.00M,2.014B,2.07B
FIS,2018-12,-430.00M,703.00M,1.377B,315.00M,739.00M,0.92,0.91,18.47B,1.645B,790.00M,2018-12,0,298.00M,-72.00M,-72.00M,587.00M,1.427B,8.67B,469.00M,2.005B,400.00M,86.00M,0,2.167B,321.00M,10.22B,23.77B,4.00M,3.733B,3.125B,13.55B,20.04B,10.42B,321.00M,1.934B,2.042B
FIS,2018-09,-433.00M,632.00M,1.364B,40.00M,692.00M,0.47,0.47,18.60B,1.686B,720.00M,2018-09,0,154.00M,-80.00M,-80.00M,546.00M,1.463B,8.998B,437.00M,1.932B,204.00M,37.00M,0,2.084B,283.00M,10.08B,23.69B,4.00M,3.597B,2.692B,13.53B,20.10B,10.84B,283.00M,1.932B,2.097B
