Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,,,,,,2012-06,2012-03,2011-12,2011-09,2011-06
FITB,2021-03,1.792B,74.90B,1.106B,0.94,0.93,5.17B,2.79B,2021-03,694.00M,108.87B,2.79B,14.74B,1.879B,883.00M,189.00M,1.86B,822.00M,22.60B,206.90B,4.167B,78.16B,3.287B,184.30B,200.52B,177.14B,822.00M,0,3.255B,,,,,,,454.00M,468.00M,470.00M,542.00M,396.00M
FITB,2020-12,2.601B,73.54B,39.00M,0.79,0.78,5.053B,6.65B,2020-12,604.00M,108.16B,3.288B,14.97B,2.614B,746.00M,142.00M,1.751B,876.00M,23.11B,204.68B,4.167B,82.59B,3.632B,181.57B,189.92B,174.53B,883.00M,0,6.009B,,,,,,,4.357B,3.863B,18.96B,4.376B,3.75B
FITB,2020-09,2.831B,71.18B,50.00M,0.78,0.78,5.078B,5.92B,2020-09,581.00M,107.46B,2.908B,15.12B,2.50B,746.00M,165.00M,1.836B,830.00M,22.95B,202.00B,4.167B,74.20B,3.46B,179.04B,195.45B,172.29B,831.00M,0,3.021B,,,,,,,4.613B,2.877B,3.239B,4.894B,2.702B
FITB,2020-06,2.951B,69.52B,81.00M,0.23,0.23,5.108B,5.825B,2020-06,195.00M,110.21B,2.862B,16.33B,2.582B,244.00M,49.00M,1.794B,801.00M,22.34B,202.91B,3.821B,72.58B,3.604B,180.57B,196.08B,173.80B,801.00M,0,3.061B,,,,,,,0.41,0.46,0.33,0.41,0.36
FITB,2020-03,2.477B,47.63B,3.50B,0.04,0.04,5.13B,5.734B,2020-03,46.00M,114.20B,2.828B,16.28B,2.432B,60.00M,14.00M,1.851B,853.00M,21.87B,185.39B,3.821B,50.75B,8.152B,163.52B,178.37B,151.79B,863.00M,0,3.123B,,,,,,,0.4,0.45,0.32,0.4,0.35
FITB,2019-12,1.192B,40.70B,0,0.97,0.96,5.446B,6.442B,2019-12,734.00M,106.39B,3.316B,14.97B,2.441B,941.00M,207.00M,1.826B,804.00M,21.20B,169.37B,3.821B,48.92B,3.17B,148.17B,155.30B,142.57B,819.00M,0,6.442B,,,,,,,3.186B,3.22B,3.138B,3.124B,3.313B
FITB,2019-09,1.635B,43.10B,2.85B,0.72,0.71,5.401B,5.756B,2019-09,549.00M,105.99B,2.922B,14.47B,2.507B,689.00M,140.00M,1.891B,808.00M,21.40B,171.08B,3.821B,46.59B,6.827B,149.68B,163.75B,140.42B,819.00M,0,3.495B,,,,,,,3.017B,2.98B,4.806B,2.872B,2.887B
FITB,2019-06,1.178B,41.33B,376.00M,0.57,0.57,5.538B,5.83B,2019-06,453.00M,105.70B,2.968B,15.78B,2.397B,577.00M,124.00M,1.816B,899.00M,20.47B,168.80B,3.382B,45.00B,3.187B,148.13B,161.82B,141.52B,912.00M,0,3.677B,,,,,,,2012-06,2012-03,2011-12,2011-09,2011-06
FITB,2019-03,409.00M,40.77B,0,1.14,1.12,5.68B,5.809B,2019-03,775.00M,105.51B,3.00B,15.48B,2.242B,996.00M,221.00M,1.585B,805.00M,19.65B,167.85B,3.382B,44.68B,5.919B,148.01B,160.61B,139.43B,1.35B,0,3.909B,,,,,,,385.00M,430.00M,314.00M,381.00M,337.00M
FITB,2018-12,-112.00M,36.78B,0,0.65,0.64,3.456B,5.164B,2018-12,456.00M,91.17B,2.379B,14.43B,1.562B,586.00M,130.00M,1.527B,639.00M,16.25B,146.07B,3.382B,44.05B,3.789B,129.82B,133.76B,123.53B,634.00M,0,6.057B,,,,,,,82.21B,81.57B,78.19B,78.62B,76.54B
