Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FLIR,2020-12,-157.99M,297.80M,277.81M,13.47M,36.80M,0.57,0.57,1.604B,668.17M,246.53M,2020-12,472.24M,75.24M,-5.967M,-5.967M,267.68M,43.71M,724.92M,104.06M,343.81M,99.99M,24.75M,52.46M,524.34M,90.02M,1.883B,3.252B,31.77M,1.228B,438.14M,1.369B,2.024B,930.84M,142.48M,186.53M,353.56M
FLIR,2020-09,-176.23M,320.00M,237.50M,77.74M,39.43M,0.46,0.46,1.562B,657.46M,228.91M,2020-09,474.84M,60.66M,-7.218M,-7.218M,255.46M,38.15M,715.22M,86.87M,325.03M,79.92M,19.26M,47.85M,466.41M,94.20M,1.809B,3.213B,20.99M,1.229B,487.24M,1.404B,1.984B,916.81M,142.04M,184.73M,310.99M
FLIR,2020-06,-185.81M,332.96M,229.82M,203.46M,44.46M,0.47,0.47,1.563B,644.87M,252.20M,2020-06,433.91M,61.26M,-6.835M,-6.835M,255.77M,40.40M,643.26M,107.51M,300.52M,81.89M,20.64M,56.01M,482.02M,88.68M,1.751B,3.157B,10.78M,1.186B,583.17M,1.407B,1.971B,823.43M,144.69M,171.76M,304.98M
FLIR,2020-03,-183.48M,308.62M,231.56M,202.92M,51.33M,0.12,0.11,1.561B,625.62M,219.37M,2020-03,397.53M,15.42M,-6.612M,-6.612M,251.42M,39.96M,636.27M,49.28M,295.75M,23.20M,7.774M,53.85M,450.92M,116.24M,1.705B,3.122B,1.304M,1.131B,589.33M,1.418B,1.992B,828.32M,170.09M,165.42M,302.00M
FLIR,2019-12,-165.94M,284.59M,256.67M,28.44M,56.59M,0.01,0.01,1.612B,626.02M,232.37M,2019-12,388.76M,1.684M,-6.797M,-6.797M,255.90M,53.54M,648.42M,58.38M,300.67M,41.91M,40.23M,53.17M,489.04M,120.82M,1.871B,3.138B,16.69M,1.109B,413.06M,1.266B,2.029B,853.05M,173.99M,172.77M,318.65M
FLIR,2019-09,-173.54M,295.39M,241.50M,99.60M,71.88M,0.46,0.46,1.617B,608.74M,229.75M,2019-09,397.55M,62.05M,-6.97M,-6.97M,253.34M,50.70M,644.88M,76.55M,275.08M,67.13M,5.079M,49.80M,471.25M,103.39M,1.870B,3.198B,1.341M,1.117B,470.39M,1.328B,2.081B,857.84M,153.19M,144.28M,329.55M
FLIR,2019-06,-153.45M,268.88M,248.59M,112.49M,59.97M,0.34,0.34,1.625B,600.88M,233.41M,2019-06,394.74M,46.12M,-6.834M,-6.834M,251.68M,46.94M,654.86M,66.74M,256.35M,58.12M,12.00M,52.96M,482.00M,113.71M,1.912B,3.245B,1.356M,1.131B,457.97M,1.333B,2.114B,874.83M,166.67M,132.29M,356.99M
FLIR,2019-03,-157.34M,284.36M,210.88M,112.45M,55.29M,0.46,0.45,1.044B,594.68M,233.86M,2019-03,385.32M,61.75M,-4.459M,-4.459M,253.68M,19.81M,656.89M,81.69M,269.63M,74.76M,13.01M,47.68M,444.74M,104.49M,1.903B,3.206B,1.354M,1.127B,459.65M,1.304B,2.079B,843.97M,152.17M,136.94M,356.69M
FLIR,2018-12,-149.09M,512.14M,219.78M,0,52.39M,0.72,0.71,1.051B,580.81M,228.68M,2018-12,352.11M,98.52M,-2.751M,-2.751M,247.41M,22.93M,421.95M,94.28M,247.43M,84.12M,-14.40M,41.98M,448.46M,92.43M,1.877B,2.781B,1.355M,1.293B,316.01M,904.46M,1.489B,588.44M,134.40M,109.35M,323.75M
FLIR,2018-09,-139.66M,593.34M,212.82M,0,53.33M,0.53,0.52,1.063B,579.65M,222.07M,2018-09,376.54M,73.15M,-3.063M,-3.063M,250.05M,14.70M,421.63M,88.55M,253.51M,85.42M,12.27M,42.00M,434.90M,91.52M,1.941B,2.857B,25.74M,1.355B,321.94M,915.66M,1.502B,593.72M,133.52M,126.01M,291.09M
FLIR,2018-06,-144.96M,507.94M,220.16M,15.00M,48.21M,0.52,0.51,1.059B,571.68M,232.55M,2018-06,384.24M,71.56M,-3.336M,-3.336M,252.48M,15.29M,421.32M,88.67M,257.28M,82.95M,11.39M,46.43M,452.71M,97.46M,1.795B,2.705B,10.39M,1.286B,316.09M,909.91M,1.419B,593.82M,143.88M,138.79M,304.26M
FLIR,2018-03,-99.42M,452.14M,221.70M,15.00M,46.90M,0.28,0.28,1.082B,575.70M,217.91M,2018-03,385.91M,39.20M,-3.096M,-3.096M,260.20M,15.73M,421.00M,65.67M,262.42M,54.62M,15.42M,44.56M,439.62M,107.68M,1.786B,2.704B,5.364M,1.269B,324.71M,917.78M,1.435B,593.07M,152.24M,149.52M,329.79M
FLIR,2017-12,-113.36M,519.09M,256.95M,15.00M,46.29M,-0.36,-0.36,1.078B,570.16M,237.83M,2017-12,372.18M,-50.29M,-3.41M,-3.41M,264.00M,12.50M,420.68M,101.37M,293.95M,75.43M,125.72M,42.83M,494.78M,93.63M,1.835B,2.810B,91.16M,1.387B,394.93M,975.47M,1.423B,580.54M,136.46M,170.52M,346.69M
FLIR,2017-09,-110.47M,436.96M,241.82M,15.00M,48.28M,0.46,0.46,1.115B,583.62M,222.89M,2017-09,413.00M,63.53M,-3.331M,-3.331M,270.02M,14.57M,420.37M,87.09M,305.08M,84.53M,21.00M,42.87M,464.71M,92.93M,1.890B,2.766B,72.12M,1.282B,367.94M,876.76M,1.484B,508.82M,135.80M,173.60M,345.54M
FLIR,2017-06,-129.97M,403.59M,227.39M,264.92M,62.20M,0.38,0.37,1.110B,572.69M,206.73M,2017-06,405.33M,51.41M,-4.117M,-4.117M,272.39M,14.02M,491.30M,66.63M,260.97M,63.54M,12.13M,43.05M,434.12M,97.06M,1.781B,2.704B,25.49M,1.224B,349.62M,922.87M,1.479B,573.25M,140.10M,150.53M,332.01M
FLIR,2017-03,-152.56M,397.44M,215.49M,264.81M,60.82M,0.31,0.31,1.090B,557.76M,191.32M,2017-03,386.06M,42.57M,-4.182M,-4.182M,272.86M,2.479M,494.74M,59.09M,255.18M,55.56M,12.99M,41.98M,406.81M,90.25M,1.720B,2.630B,17.88M,1.176B,341.18M,910.83M,1.454B,569.65M,132.24M,158.51M,308.74M
FLIR,2016-12,-165.95M,361.35M,260.00M,0,60.44M,0.46,0.44,969.87M,546.85M,214.73M,2016-12,371.37M,61.50M,-4.05M,-4.05M,271.78M,2.331M,501.92M,93.71M,269.61M,85.28M,23.78M,38.21M,474.74M,82.81M,1.678B,2.620B,12.14M,1.165B,361.71M,941.38M,1.455B,579.67M,121.02M,165.24M,352.02M
FLIR,2016-09,-134.95M,677.69M,213.85M,0,65.23M,0.43,0.43,762.12M,540.35M,191.38M,2016-09,380.22M,58.63M,-5.40M,-5.40M,267.15M,3.711M,501.61M,80.85M,222.28M,75.21M,16.58M,33.84M,405.23M,76.69M,1.653B,2.588B,1.361M,1.456B,310.65M,934.49M,1.132B,623.84M,110.53M,115.80M,309.60M
FLIR,2016-06,-127.52M,903.18M,219.41M,0,51.93M,0.33,0.33,726.31M,541.53M,183.32M,2016-06,387.39M,45.37M,-4.032M,-4.032M,271.73M,3.893M,505.04M,65.21M,201.06M,59.85M,14.48M,38.21M,402.73M,79.90M,1.648B,2.795B,1.373M,1.658B,522.36M,1.147B,1.137B,625.05M,118.11M,104.18M,279.32M
FLIR,2016-03,-102.43M,510.61M,201.78M,0,52.63M,0.01,0.01,739.89M,539.85M,177.69M,2016-03,398.87M,1.125M,-3.187M,-3.187M,275.15M,3.787M,90.00M,57.38M,211.67M,55.62M,54.50M,37.28M,379.47M,83.03M,1.668B,2.413B,12.58M,1.290B,535.15M,745.18M,1.123B,210.03M,120.31M,109.62M,298.53M
FLIR,2015-12,-125.13M,472.78M,230.34M,264.69M,65.78M,0.5,0.5,737.62M,526.01M,207.31M,2015-12,393.09M,70.20M,-3.091M,-3.091M,272.63M,3.623M,93.75M,94.86M,248.88M,104.78M,34.58M,31.79M,437.65M,80.66M,1.650B,2.406B,1.374M,1.288B,585.34M,756.88M,1.119B,171.54M,112.45M,139.74M,326.10M
FLIR,2015-09,-116.56M,525.38M,201.19M,15.00M,60.66M,0.52,0.52,660.39M,526.32M,180.74M,2015-09,387.11M,73.07M,-3.351M,-3.351M,269.72M,1.012M,347.08M,75.98M,233.18M,71.18M,-1.896M,31.20M,381.93M,73.56M,1.625B,2.355B,1.381M,1.346B,313.88M,729.94M,1.009B,416.06M,104.76M,125.74M,304.27M
FLIR,2015-06,-99.28M,560.19M,203.36M,15.00M,61.21M,0.36,0.36,666.84M,515.26M,189.62M,2015-06,360.57M,50.50M,-3.063M,-3.063M,260.76M,13.36M,350.72M,70.53M,227.92M,66.45M,15.95M,35.13M,392.98M,83.96M,1.638B,2.380B,1.402M,1.373B,310.31M,741.24M,1.007B,430.93M,119.08M,125.60M,327.65M
FLIR,2015-03,-129.98M,547.78M,168.62M,15.00M,58.18M,0.34,0.34,662.60M,489.60M,175.90M,2015-03,340.30M,47.91M,-3.414M,-3.414M,249.00M,13.49M,354.35M,65.75M,218.14M,63.04M,15.13M,34.77M,344.52M,75.37M,1.586B,2.312B,11.48M,1.321B,294.54M,726.54M,990.93M,432.00M,110.14M,108.42M,311.79M
FLIR,2014-12,-63.41M,531.37M,219.63M,15.00M,56.15M,0.52,0.51,686.55M,495.24M,214.74M,2014-12,320.60M,72.75M,-3.122M,-3.122M,247.09M,9.193M,357.99M,88.38M,230.17M,82.78M,10.03M,36.10M,434.37M,90.26M,1.610B,2.349B,1.396M,1.300B,309.56M,739.54M,1.049B,429.98M,126.35M,102.76M,354.66M
FLIR,2014-09,-32.00M,565.37M,190.98M,15.00M,60.78M,0.37,0.37,699.48M,484.34M,184.39M,2014-09,343.30M,52.86M,-3.265M,-3.265M,237.84M,14.00M,361.62M,74.07M,207.77M,70.46M,17.61M,34.02M,375.37M,76.30M,1.622B,2.354B,24.21M,1.335B,287.83M,732.56M,1.019B,444.73M,110.32M,93.03M,298.56M
FLIR,2014-06,16.47M,602.07M,186.66M,15.00M,58.99M,0.32,0.31,723.46M,487.02M,182.72M,2014-06,350.09M,44.76M,-3.357M,-3.357M,240.02M,14.10M,365.26M,62.91M,220.06M,57.08M,12.32M,36.31M,369.38M,83.50M,1.652B,2.402B,44.44M,1.363B,299.77M,750.42M,1.040B,450.66M,119.81M,100.91M,270.09M
FLIR,2014-03,23.86M,584.10M,183.01M,15.00M,48.81M,0.21,0.21,729.41M,477.30M,168.53M,2014-03,338.89M,29.89M,-3.444M,-3.444M,232.90M,14.08M,368.89M,50.26M,202.38M,39.20M,9.311M,36.33M,351.54M,81.94M,1.644B,2.369B,59.93M,1.330B,271.16M,724.86M,1.039B,453.70M,118.27M,92.10M,270.16M
FLIR,2013-12,26.00M,542.48M,210.23M,15.00M,54.26M,0.2,0.2,729.90M,469.30M,190.09M,2013-12,344.72M,28.74M,-3.393M,-3.393M,234.04M,12.26M,372.53M,63.63M,202.44M,35.15M,6.413M,38.42M,400.32M,88.03M,1.613B,2.343B,42.96M,1.310B,276.52M,729.98M,1.034B,453.46M,126.46M,86.39M,286.57M
