Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FLT,2020-12,-1.363B,934.90M,121.51M,1.206B,1.175B,2.51,2.44,6.835B,468.69M,495.82M,2020-12,209.85M,-30.33M,-30.33M,202.51M,498.15M,3.127B,293.94M,1.337B,263.19M,53.34M,617.33M,138.70M,3.355B,11.19B,0.126M,3.956B,3.968B,7.839B,7.238B,3.871B,201.88M,1.133B,1.367B
FLT,2020-09,-1.583B,788.85M,119.86M,1.334B,1.124B,2.26,2.19,6.729B,413.80M,465.43M,2020-09,188.82M,-31.38M,-31.38M,189.95M,506.10M,3.159B,264.53M,1.597B,235.41M,46.59M,585.28M,137.63M,2.938B,11.09B,0.126M,3.971B,4.196B,8.156B,7.123B,3.960B,200.90M,1.297B,1.553B
FLT,2020-06,-1.582B,765.79M,121.29M,1.245B,887.60M,1.89,1.83,6.704B,351.68M,403.86M,2020-06,158.49M,-32.41M,-32.41M,185.60M,501.23M,3.202B,212.81M,1.340B,211.63M,53.14M,525.15M,129.11M,2.966B,10.63B,0.126M,3.464B,3.627B,7.660B,7.163B,4.033B,191.04M,1.096B,1.279B
FLT,2020-03,-1.592B,1.071B,233.70M,1.913B,906.06M,1.73,1.67,6.754B,0,427.39M,2020-03,147.06M,-35.68M,-35.68M,183.23M,486.55M,3.246B,200.98M,1.309B,172.30M,25.24M,661.09M,161.97M,2.796B,11.31B,0.125M,4.129B,4.460B,8.514B,7.181B,4.054B,226.41M,1.059B,1.338B
FLT,2019-12,-972.46M,1.271B,146.08M,1.747B,1.008B,2.72,2.6,7.175B,0,552.80M,2019-12,235.51M,-34.96M,-34.96M,199.82M,519.98M,3.290B,320.80M,1.525B,298.56M,63.05M,698.88M,161.49M,3.712B,12.25B,0.124M,4.619B,4.463B,8.537B,7.630B,4.074B,232.00M,1.320B,1.569B
FLT,2019-09,-1.115B,1.059B,135.02M,1.165B,957.67M,2.61,2.49,7.023B,0,546.03M,2019-09,225.80M,-36.50M,-36.50M,185.52M,457.17M,3.307B,329.14M,1.667B,292.76M,66.95M,681.05M,149.84M,3.900B,11.91B,0.123M,4.440B,3.979B,8.014B,7.474B,4.035B,216.89M,1.376B,1.704B
FLT,2019-06,-928.20M,1.170B,120.46M,1.932B,870.22M,3.03,2.9,7.138B,0,526.64M,2019-06,261.65M,-39.53M,-39.53M,190.22M,452.11M,2.676B,297.32M,1.794B,257.26M,-4.391M,647.09M,158.64M,3.843B,11.98B,0.123M,4.386B,4.749B,8.132B,7.589B,3.383B,229.32M,1.524B,1.727B
FLT,2019-03,-934.19M,1.057B,129.11M,1.807B,768.34M,2,1.93,6.905B,0,492.71M,2019-03,172.11M,-39.06M,-39.06M,186.25M,494.02M,2.708B,284.18M,1.830B,229.24M,57.13M,621.82M,142.04M,3.531B,11.51B,0.123M,4.172B,4.562B,7.984B,7.343B,3.422B,208.54M,1.519B,1.655B
FLT,2018-12,-913.86M,1.031B,131.61M,2.071B,926.68M,3.45,3.33,6.950B,0,511.81M,2018-12,302.00M,-38.21M,-38.21M,186.20M,491.95M,2.748B,284.74M,1.379B,397.06M,95.06M,643.42M,150.98M,3.340B,11.20B,0.123M,3.876B,4.495B,7.862B,7.326B,3.367B,227.08M,1.203B,1.426B
FLT,2018-09,-944.75M,924.44M,128.40M,1.700B,825.37M,1.78,1.71,6.956B,0,491.19M,2018-09,157.69M,-36.07M,-36.07M,184.98M,506.31M,2.773B,281.09M,1.869B,237.57M,79.87M,619.59M,142.86M,3.562B,11.45B,0.123M,4.133B,4.484B,7.889B,7.318B,3.404B,210.10M,1.617B,1.811B
