Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FMC,2020-12,-282.20M,568.90M,650.80M,363.90M,452.90M,0.38,0.38,4.252B,1.339B,501.40M,2020-12,1.096B,49.50M,-34.20M,-34.20M,919.00M,474.60M,3.081B,224.00M,1.700B,107.50M,68.60M,84.60M,1.152B,181.60M,2.962B,10.19B,18.60M,4.376B,2.829B,7.202B,5.811B,4.373B,277.40M,1.091B,2.528B
FMC,2020-09,-357.90M,297.10M,618.20M,194.10M,5.50M,0.86,0.85,4.075B,1.158B,466.40M,2020-09,1.156B,111.40M,-35.50M,-35.50M,739.20M,345.40M,3.028B,203.00M,2.067B,148.90M,18.40M,71.70M,1.085B,187.70M,2.944B,9.772B,18.60M,4.015B,2.368B,6.804B,5.757B,4.436B,263.40M,853.10M,2.138B
FMC,2020-06,-415.20M,342.70M,632.60M,505.90M,7.00M,1.42,1.41,4.065B,1.123B,522.70M,2020-06,1.138B,184.40M,-40.70M,-40.70M,733.80M,337.20M,3.028B,287.40M,2.057B,225.00M,29.20M,64.30M,1.155B,171.00M,2.822B,9.994B,18.60M,4.288B,2.683B,7.143B,5.706B,4.460B,235.30M,935.40M,2.342B
FMC,2020-03,-426.80M,436.20M,688.50M,250.20M,213.50M,1.59,1.58,4.071B,1.095B,561.50M,2020-03,1.063B,206.20M,-40.80M,-40.80M,735.70M,333.90M,3.532B,298.40M,1.924B,248.40M,34.70M,67.30M,1.25B,189.40M,2.675B,10.19B,18.60M,4.472B,2.456B,7.486B,5.717B,5.03B,263.10M,904.90M,2.460B
FMC,2019-12,-412.00M,339.10M,641.30M,259.20M,601.90M,-0.02,-0.02,4.214B,1.274B,556.00M,2019-12,1.017B,-3.20M,-42.90M,-42.90M,922.70M,568.90M,3.194B,159.40M,1.618B,66.60M,35.90M,76.40M,1.197B,223.80M,2.532B,9.873B,18.60M,4.075B,2.724B,7.311B,5.798B,4.587B,396.60M,1.019B,2.460B
FMC,2019-09,-426.80M,419.70M,581.90M,553.60M,19.00M,0.69,0.69,4.099B,1.050B,432.40M,2019-09,1.167B,90.40M,-41.60M,-41.60M,728.40M,335.20M,3.032B,162.60M,1.870B,119.50M,8.70M,77.40M,1.014B,188.30M,2.649B,9.804B,18.60M,4.078B,2.522B,7.124B,5.726B,4.603B,269.80M,745.30M,2.001B
FMC,2019-06,-353.50M,83.40M,655.60M,1.094B,68.90M,1.32,1.32,4.143B,1.038B,550.50M,2019-06,1.153B,174.50M,-39.50M,-39.50M,730.30M,340.60M,2.144B,280.50M,1.989B,225.00M,30.60M,73.10M,1.206B,196.90M,2.764B,9.824B,18.60M,4.097B,3.230B,7.030B,5.728B,3.800B,270.00M,864.90M,2.384B
FMC,2019-03,-324.40M,109.50M,647.40M,993.80M,283.30M,1.63,1.62,4.151B,1.028B,544.70M,2019-03,1.137B,215.70M,-34.50M,-34.50M,733.80M,329.60M,2.145B,287.00M,1.976B,243.90M,36.30M,71.20M,1.192B,183.90M,2.761B,9.946B,18.60M,4.204B,3.338B,7.154B,5.742B,3.817B,257.70M,978.00M,2.530B
FMC,2018-12,-308.90M,134.40M,607.70M,547.70M,561.50M,0.24,0.24,4.233B,1.045B,491.70M,2018-12,1.026B,32.40M,-31.40M,-31.40M,756.90M,682.70M,2.162B,190.60M,1.642B,146.10M,-10.60M,76.80M,1.099B,202.60M,3.121B,9.974B,18.60M,4.030B,2.993B,6.764B,5.944B,3.770B,301.10M,933.80M,2.359B
FMC,2018-09,-299.50M,176.50M,528.40M,149.40M,30.10M,0.54,0.54,4.206B,1.469B,395.20M,2018-09,995.40M,72.80M,-33.40M,-33.40M,1.003B,330.60M,2.593B,130.50M,2.049B,72.90M,22.00M,70.10M,923.60M,194.60M,3.046B,9.407B,18.60M,3.491B,2.272B,6.329B,5.916B,4.057B,264.70M,914.40M,1.902B
FMC,2018-06,-293.20M,326.40M,664.00M,174.50M,56.50M,0.96,0.96,3.974B,1.487B,490.40M,2018-06,958.70M,129.70M,-34.40M,-34.40M,1.014B,165.90M,2.893B,214.20M,2.166B,98.70M,-1.10M,75.90M,1.154B,200.30M,2.996B,9.718B,18.60M,3.993B,2.448B,6.692B,5.725B,4.244B,276.20M,1.057B,2.194B
