Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
FRC,2020-12,23.38M,7.001B,0,1.62,1.6,253.51M,1.944B,2020-12,295.56M,111.95B,1.355B,13.53B,0,379.26M,83.70M,1.063B,493.66M,11.75B,142.50B,1.547B,7.432B,0,130.75B,134.10B,128.46B,495.33M,0,430.59M
FRC,2020-09,24.16M,5.402B,5.00M,1.62,1.61,257.56M,1.319B,2020-09,293.14M,104.19B,1.319B,16.25B,0,364.52M,71.38M,987.84M,405.41M,11.34B,133.23B,1.647B,5.866B,5.00M,121.88B,126.70B,120.68B,407.20M,0,430.07M
FRC,2020-06,27.19M,4.676B,5.00M,1.41,1.4,230.98M,1.650B,2020-06,256.77M,99.74B,388.26M,17.18B,0,318.41M,61.64M,905.37M,375.76M,10.58B,128.30B,1.147B,4.676B,5.00M,117.73B,123.73B,115.71B,377.77M,0,381.56M
FRC,2020-03,17.31M,5.193B,0,1.2,1.2,232.98M,722.36M,2020-03,218.69M,95.10B,392.95M,18.02B,0,271.79M,53.10M,899.55M,399.54M,10.36B,123.91B,1.147B,5.193B,0,113.56B,118.50B,111.72B,401.82M,0,333.71M
FRC,2019-12,5.131M,2.982B,350.00M,1.4,1.39,276.99M,0,2019-12,246.33M,90.32B,1.174B,13.48B,0,309.04M,62.71M,861.75M,373.76M,9.851B,116.26B,1.147B,3.363B,800.00M,106.41B,111.99B,103.61B,376.32M,0,0
FRC,2019-09,9.83M,3.583B,300.00M,1.32,1.31,310.34M,0,2019-09,234.84M,85.85B,373.69M,12.18B,0,286.53M,51.69M,814.15M,351.97M,9.431B,111.03B,941.68M,6.007B,775.00M,101.60B,105.00B,97.90B,354.80M,0,0
FRC,2019-06,0.021M,3.658B,0,1.25,1.24,317.04M,0,2019-06,222.56M,81.78B,348.61M,11.07B,0,269.32M,46.76M,794.30M,342.21M,9.220B,105.70B,941.68M,6.049B,0,96.48B,99.68B,94.51B,345.31M,0,0
FRC,2019-03,-13.46M,5.318B,0,1.28,1.26,323.32M,0,2019-03,226.59M,76.82B,339.74M,9.674B,0,268.34M,41.75M,783.78M,356.93M,9.046B,101.85B,941.67M,7.455B,0,92.80B,94.61B,91.29B,360.31M,0,0
FRC,2018-12,-19.38M,4.590B,100.00M,1.31,1.29,328.44M,0,2018-12,231.42M,75.53B,332.48M,10.37B,0,287.08M,55.66M,786.21M,322.46M,8.678B,99.21B,941.65M,4.924B,100.00M,90.53B,94.07B,89.44B,326.11M,0,0
FRC,2018-09,-21.40M,5.014B,100.00M,1.2,1.19,335.31M,0,2018-09,213.55M,72.19B,324.05M,11.27B,0,266.20M,52.65M,750.41M,329.11M,8.667B,96.09B,1.142B,6.498B,100.00M,87.43B,90.24B,86.03B,333.04M,0,0
FRC,2018-06,-17.70M,6.157B,600.00M,1.22,1.2,343.65M,603.36M,2018-06,209.78M,68.80B,312.28M,11.32B,0,252.19M,42.41M,725.30M,320.81M,8.276B,93.85B,1.142B,7.691B,600.00M,85.58B,86.97B,84.09B,325.01M,0,290.21M
FRC,2018-03,-14.30M,6.096B,0,1.16,1.13,348.84M,441.40M,2018-03,199.08M,65.50B,299.59M,10.17B,0,246.28M,47.20M,705.54M,316.31M,7.837B,90.22B,841.62M,7.362B,0,82.39B,83.78B,81.43B,320.78M,0,232.40M
FRC,2017-12,-3.84M,4.715B,100.00M,1.12,1.1,356.36M,0,2017-12,194.28M,62.56B,296.20M,9.972B,0,236.57M,42.30M,683.07M,303.59M,7.818B,87.78B,991.62M,5.450B,100.00M,79.96B,82.90B,78.89B,308.33M,0,0
FRC,2017-09,0.55M,4.994B,0,1.18,1.14,358.16M,0,2017-09,200.01M,59.84B,277.81M,9.971B,0,241.81M,41.80M,654.90M,273.93M,7.428B,84.32B,991.58M,6.177B,450.00M,76.89B,79.13B,75.41B,278.95M,0,0
FRC,2017-06,2.182M,4.531B,150.00M,1.1,1.06,366.10M,0,2017-06,186.60M,57.62B,260.31M,9.243B,0,220.30M,33.70M,625.96M,260.79M,7.260B,80.98B,991.58M,5.678B,150.00M,73.72B,76.24B,72.54B,266.09M,0,0
FRC,2017-03,3.749M,4.794B,0,1.04,1.01,372.00M,0,2017-03,176.77M,53.80B,236.77M,7.100B,0,213.52M,36.74M,589.21M,256.51M,7.089B,76.50B,941.57M,5.749B,100.00M,69.42B,71.51B,68.31B,262.07M,0,0
FRC,2016-12,6.339M,4.115B,0,1.07,1.03,377.99M,0,2016-12,179.12M,52.11B,207.59M,6.711B,0,228.78M,49.67M,587.69M,235.63M,6.909B,73.28B,1.141B,4.644B,100.00M,66.37B,68.97B,65.31B,241.47M,0,0
FRC,2016-09,18.82M,3.098B,100.00M,1.03,1,350.29M,0,2016-09,171.82M,50.08B,190.21M,5.412B,0,202.14M,30.32M,545.49M,224.22M,6.444B,67.99B,1.141B,3.943B,200.00M,61.55B,64.49B,60.47B,230.34M,0,0
FRC,2016-06,13.71M,3.047B,850.00M,1,0.97,353.17M,0,2016-06,165.00M,47.77B,181.65M,5.475B,0,200.79M,35.80M,524.99M,212.47M,6.306B,64.73B,1.141B,4.018B,950.00M,58.42B,60.95B,56.64B,218.85M,0,0
FRC,2016-03,10.61M,3.756B,0,0.97,0.93,356.58M,0,2016-03,157.50M,45.17B,174.86M,4.226B,0,195.88M,38.38M,510.42M,212.67M,5.985B,62.10B,1.141B,4.553B,100.00M,56.12B,58.18B,55.16B,219.33M,0,0
FRC,2015-12,-5.22M,4.042B,0,0.87,0.84,362.55M,356.45M,2015-12,140.05M,43.87B,172.01M,4.427B,0,181.88M,41.84M,486.60M,195.94M,5.706B,58.98B,990.99M,4.525B,100.00M,53.28B,55.86B,52.32B,202.87M,0,178.53M
FRC,2015-09,12.91M,3.380B,0,0.84,0.82,255.31M,305.06M,2015-09,134.84M,42.35B,161.63M,4.778B,0,178.23M,43.39M,459.88M,175.05M,5.384B,55.38B,990.95M,4.082B,100.00M,49.99B,51.82B,49.12B,179.78M,0,144.22M
FRC,2015-06,2.128M,2.618B,0,0.82,0.8,259.14M,0,2015-06,131.34M,40.89B,163.76M,5.153B,0,175.18M,43.84M,447.33M,162.80M,5.265B,53.12B,990.95M,3.375B,100.00M,47.85B,49.96B,47.04B,167.74M,0,0
FRC,2015-03,8.554M,3.073B,0,0.73,0.71,261.64M,0,2015-03,115.91M,38.85B,162.05M,5.354B,0,155.38M,39.47M,415.18M,161.66M,5.075B,51.07B,890.95M,3.860B,0,45.99B,47.61B,45.29B,166.82M,0,0
FRC,2014-12,3.096M,2.211B,0,0.73,0.72,265.57M,0,2014-12,115.46M,37.87B,165.70M,5.707B,0,158.46M,43.00M,409.09M,151.84M,4.778B,48.35B,890.91M,2.543B,0,43.57B,45.77B,42.84B,157.21M,0,0
FRC,2014-09,-0.237M,3.021B,0,0.89,0.86,267.33M,0,2014-09,136.01M,36.67B,162.99M,5.713B,0,188.77M,52.76M,432.21M,144.48M,4.686B,46.68B,890.91M,3.770B,0,42.00B,43.55B,41.32B,150.06M,0,0
FRC,2014-06,16.27M,3.743B,0,0.78,0.76,263.58M,0,2014-06,120.83M,36.33B,162.74M,5.987B,0,165.52M,44.69M,401.95M,132.73M,4.590B,46.23B,890.90M,4.451B,0,41.64B,42.89B,41.02B,138.52M,0,0
FRC,2014-03,14.67M,3.402B,0,0.76,0.73,263.62M,0,2014-03,114.70M,34.94B,164.51M,5.692B,0,157.13M,42.42M,374.84M,133.44M,4.494B,44.35B,890.90M,4.120B,0,39.85B,41.09B,39.26B,139.44M,0,0
