Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GD,2020-12,-3.55B,2.824B,8.631B,3.265B,6.276B,3.5,3.49,22.17B,10.71B,1.85B,2020-12,5.745B,1.002B,-120.00M,-120.00M,5.10B,1.333B,11.14B,1.267B,3.959B,1.185B,183.00M,10.48B,583.00M,15.66B,51.31B,482.00M,21.54B,15.96B,35.65B,29.76B,19.68B,583.00M,2.952B,11.18B
GD,2020-09,-3.855B,1.469B,7.836B,3.662B,6.086B,2.91,2.9,22.05B,10.36B,1.595B,2020-09,6.402B,834.00M,-118.00M,-118.00M,4.863B,1.327B,11.13B,1.084B,3.677B,978.00M,144.00M,9.431B,511.00M,14.72B,50.26B,482.00M,20.86B,16.12B,35.54B,29.39B,19.42B,511.00M,2.613B,12.01B
GD,2020-06,-4.127B,2.30B,7.849B,4.388B,6.212B,2.18,2.18,21.92B,10.09B,1.415B,2020-06,6.666B,625.00M,-132.00M,-132.00M,4.721B,1.228B,11.58B,841.00M,3.312B,727.00M,102.00M,9.264B,574.00M,13.89B,50.22B,482.00M,21.14B,16.61B,36.33B,29.09B,19.73B,574.00M,2.383B,11.23B
GD,2020-03,-4.471B,5.33B,7.261B,5.306B,6.825B,2.45,2.43,21.91B,9.932B,1.488B,2020-03,6.852B,706.00M,-107.00M,-107.00M,4.537B,1.094B,14.11B,941.00M,3.602B,848.00M,142.00M,8.749B,547.00M,13.20B,53.71B,482.00M,24.74B,18.44B,40.51B,28.97B,22.07B,547.00M,2.788B,11.48B
GD,2019-12,-3.818B,902.00M,8.888B,3.172B,7.148B,3.53,3.51,21.99B,9.761B,1.885B,2019-12,6.306B,1.02B,-110.00M,-110.00M,4.475B,1.297B,10.26B,1.25B,4.103B,1.214B,194.00M,10.77B,635.00M,13.98B,49.35B,482.00M,20.29B,16.80B,35.37B,29.06B,18.57B,635.00M,3.162B,11.40B
GD,2019-09,-3.531B,974.00M,7.973B,4.902B,6.854B,3.17,3.14,21.99B,8.972B,1.788B,2019-09,6.573B,913.00M,-114.00M,-114.00M,4.217B,1.053B,10.22B,1.216B,3.967B,1.09B,177.00M,9.761B,572.00M,13.51B,48.79B,482.00M,20.15B,18.23B,35.28B,28.64B,17.05B,572.00M,2.999B,11.57B
GD,2019-06,-3.476B,702.00M,7.869B,5.20B,6.714B,2.8,2.77,22.12B,0,1.686B,2019-06,6.48B,806.00M,-119.00M,-119.00M,4.091B,1.20B,10.09B,1.09B,3.757B,983.00M,177.00M,9.555B,596.00M,12.88B,48.07B,482.00M,19.56B,18.01B,35.20B,28.52B,17.18B,596.00M,2.86B,11.23B
GD,2019-03,-3.683B,673.00M,7.633B,2.352B,6.695B,2.59,2.56,22.19B,0,1.628B,2019-03,6.185B,745.00M,-117.00M,-117.00M,4.054B,1.222B,12.58B,1.014B,3.819B,915.00M,170.00M,9.261B,614.00M,12.23B,47.47B,482.00M,18.87B,15.38B,35.23B,28.60B,19.85B,614.00M,3.008B,11.08B
GD,2018-12,-3.778B,963.00M,8.653B,973.00M,7.27B,3.1,3.07,22.18B,0,1.725B,2018-12,5.977B,909.00M,-112.00M,-112.00M,3.978B,1.303B,11.44B,1.163B,4.131B,1.132B,223.00M,10.38B,562.00M,11.73B,45.41B,482.00M,18.19B,14.74B,33.68B,27.22B,18.94B,562.00M,3.179B,10.34B
GD,2018-09,-3.361B,1.01B,7.407B,1.678B,7.327B,2.88,2.85,22.15B,0,1.687B,2018-09,6.247B,851.00M,-114.00M,-114.00M,4.244B,1.294B,11.40B,1.135B,3.976B,1.023B,159.00M,9.094B,552.00M,12.76B,46.96B,482.00M,19.96B,15.69B,34.21B,27.00B,18.52B,552.00M,3.033B,11.30B
GD,2018-06,-3.558B,1.862B,7.486B,2.881B,7.219B,2.65,2.62,22.48B,8.237B,1.70B,2018-06,5.89B,786.00M,-103.00M,-103.00M,4.179B,1.181B,11.40B,1.088B,3.924B,970.00M,184.00M,9.186B,612.00M,11.99B,47.15B,482.00M,19.83B,16.57B,35.16B,27.32B,18.58B,612.00M,3.032B,11.00B
GD,2018-03,-3.391B,4.332B,5.99B,2.498B,7.095B,2.7,2.65,12.66B,7.929B,1.545B,2018-03,5.543B,799.00M,-27.00M,-27.00M,3.533B,804.00M,3.981B,1.008B,3.516B,960.00M,161.00M,7.535B,537.00M,11.77B,37.22B,482.00M,20.46B,15.24B,25.44B,16.76B,10.20B,537.00M,2.851B,9.634B
GD,2017-12,-2.82B,2.983B,6.68B,2.00M,6.992B,2.14,2.1,12.62B,0,1.597B,2017-12,5.303B,636.00M,-27.00M,-27.00M,3.517B,1.058B,3.98B,1.06B,3.993B,1.008B,372.00M,8.277B,537.00M,11.44B,35.05B,482.00M,18.33B,13.10B,23.61B,16.72B,10.51B,537.00M,3.207B,8.857B
GD,2017-09,-2.651B,2.722B,6.014B,903.00M,6.61B,2.56,2.52,12.63B,0,1.566B,2017-09,5.781B,764.00M,-27.00M,-27.00M,3.461B,848.00M,3.979B,1.063B,3.513B,1.027B,263.00M,7.58B,503.00M,11.56B,34.91B,482.00M,18.08B,13.21B,23.35B,16.83B,10.14B,503.00M,2.718B,9.00B
GD,2017-06,-2.922B,1.856B,6.114B,989.00M,6.822B,2.5,2.45,12.36B,0,1.561B,2017-06,5.839B,749.00M,-24.00M,-24.00M,3.424B,897.00M,2.989B,1.067B,3.312B,1.032B,283.00M,7.675B,494.00M,10.95B,33.79B,482.00M,17.13B,13.50B,22.84B,16.67B,9.338B,494.00M,2.62B,8.735B
GD,2017-03,-3.262B,2.168B,5.923B,901.00M,6.686B,2.53,2.48,12.21B,0,1.518B,2017-03,5.822B,763.00M,-25.00M,-25.00M,3.412B,952.00M,2.988B,1.046B,3.105B,1.01B,247.00M,7.441B,472.00M,10.58B,33.21B,482.00M,16.61B,13.16B,22.63B,16.60B,9.463B,472.00M,2.466B,8.04B
GD,2016-12,-3.387B,2.334B,6.372B,900.00M,6.827B,2.63,2.58,12.12B,0,1.282B,2016-12,5.118B,570.00M,-23.00M,-23.00M,3.477B,902.00M,2.988B,778.00M,3.231B,745.00M,165.00M,7.654B,504.00M,10.30B,33.17B,482.00M,16.53B,13.45B,22.87B,16.64B,9.421B,504.00M,2.538B,7.611B
GD,2016-09,-2.891B,2.303B,6.171B,1.00M,6.297B,2.13,2.09,12.30B,0,1.486B,2016-09,8.87B,647.00M,-23.00M,-23.00M,3.445B,447.00M,3.885B,1.015B,3.017B,994.00M,263.00M,7.657B,471.00M,11.32B,32.67B,482.00M,15.30B,11.89B,21.35B,17.37B,9.458B,471.00M,2.276B,3.502B
GD,2016-06,-2.965B,1.899B,6.262B,537.00M,6.191B,2.35,2.3,12.30B,0,1.512B,2016-06,8.516B,714.00M,-23.00M,-23.00M,3.44B,480.00M,2.899B,1.027B,2.777B,1.005B,291.00M,7.774B,485.00M,11.00B,31.77B,482.00M,14.39B,12.14B,20.77B,17.38B,8.639B,485.00M,2.128B,3.539B
GD,2016-03,-2.941B,1.907B,6.091B,501.00M,6.379B,2.08,2.04,12.35B,0,1.385B,2016-03,8.209B,641.00M,-22.00M,-22.00M,3.477B,499.00M,2.899B,924.00M,2.757B,912.00M,258.00M,7.476B,461.00M,10.58B,31.70B,482.00M,14.19B,12.42B,21.12B,17.51B,8.697B,461.00M,2.15B,3.654B
GD,2015-12,-3.286B,2.785B,6.477B,501.00M,6.503B,2.44,2.4,12.21B,7.676B,1.644B,2015-12,7.723B,835.00M,-19.00M,-19.00M,3.466B,581.00M,2.898B,1.153B,2.612B,1.136B,301.00M,8.121B,491.00M,10.74B,32.00B,482.00M,14.57B,12.44B,21.26B,17.43B,8.814B,491.00M,1.964B,3.446B
GD,2015-09,-3.185B,3.372B,6.484B,501.00M,6.744B,2.31,2.28,12.33B,7.292B,1.51B,2015-09,7.454B,733.00M,-23.00M,-23.00M,3.37B,638.00M,2.912B,1.034B,3.119B,1.013B,280.00M,7.994B,476.00M,10.73B,32.98B,482.00M,15.29B,13.18B,22.25B,17.69B,9.068B,476.00M,2.387B,3.796B
GD,2015-06,-3.092B,4.032B,6.334B,2.00M,6.875B,2.31,2.27,12.48B,7.152B,1.548B,2015-06,7.632B,752.00M,-20.00M,-20.00M,3.329B,669.00M,3.411B,1.081B,2.92B,1.061B,309.00M,7.882B,467.00M,11.28B,33.65B,482.00M,15.77B,12.71B,22.38B,17.88B,9.67B,467.00M,2.275B,3.595B
GD,2015-03,-3.216B,4.412B,6.254B,1.00M,7.226B,2.18,2.14,12.59B,0,1.53B,2015-03,7.841B,716.00M,-21.00M,-21.00M,3.323B,679.00M,3.41B,1.027B,2.867B,1.009B,293.00M,7.784B,503.00M,11.52B,34.38B,482.00M,16.35B,13.11B,22.86B,18.03B,9.753B,503.00M,2.266B,3.661B
GD,2014-12,-2.932B,4.388B,6.766B,501.00M,8.064B,2.12,2.09,12.64B,0,1.596B,2014-12,7.812B,701.00M,-19.00M,-19.00M,3.329B,699.00M,3.392B,1.067B,2.775B,1.045B,308.00M,8.362B,529.00M,11.83B,35.34B,482.00M,17.41B,13.75B,23.51B,17.93B,9.757B,529.00M,2.057B,4.05B
GD,2014-09,-1.337B,5.105B,6.274B,501.00M,8.553B,2.1,2.06,12.68B,0,1.477B,2014-09,7.575B,696.00M,-21.00M,-21.00M,3.322B,594.00M,3.41B,999.00M,3.225B,979.00M,285.00M,7.751B,478.00M,13.01B,35.31B,482.00M,18.17B,14.67B,22.30B,17.14B,7.631B,478.00M,2.505B,4.181B
GD,2014-06,-1.104B,3.841B,6.039B,501.00M,7.015B,1.61,1.58,12.91B,0,1.435B,2014-06,8.092B,541.00M,-24.00M,-24.00M,3.327B,683.00M,3.409B,949.00M,3.357B,925.00M,279.00M,7.474B,486.00M,13.12B,34.33B,482.00M,17.18B,13.22B,21.21B,17.15B,7.991B,486.00M,2.659B,4.474B
