Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GE,2020-12,-9.749B,43.95B,14.37B,4.777B,0.28,0.27,35.30B,44.66B,7.562B,2020-12,15.89B,2.636B,3.522B,3.522B,44.66B,1.801B,70.29B,1.174B,34.69B,2.721B,163.00M,21.93B,3.823B,35.55B,253.45B,708.00M,96.60B,56.27B,216.38B,156.85B,160.11B,6.388B,16.48B,31.71B
GE,2020-09,-9.498B,86.04B,15.28B,5.977B,-0.14,-0.14,35.19B,79.50B,4.142B,2020-09,14.92B,-1.144B,-1.327B,-1.327B,44.83B,1.555B,73.49B,291.00M,33.46B,-1.66B,-501.00M,19.42B,3.851B,33.27B,254.32B,708.00M,132.27B,55.97B,219.52B,122.05B,163.55B,3.851B,13.94B,27.71B
GE,2020-06,-10.19B,88.55B,15.08B,9.059B,-0.26,-0.26,35.12B,78.82B,2.667B,2020-06,15.25B,-1.987B,958.00M,958.00M,45.50B,0,72.82B,-976.00M,33.40B,-2.339B,-199.00M,17.75B,3.643B,33.67B,256.49B,708.00M,134.13B,59.22B,221.23B,122.36B,162.01B,3.643B,13.47B,26.71B
GE,2020-03,-10.82B,89.58B,15.70B,18.12B,0.7,0.7,36.98B,78.43B,4.827B,2020-03,15.46B,6.199B,-794.00M,-794.00M,45.98B,0,67.03B,1.126B,35.03B,6.475B,63.00M,20.52B,3.701B,35.28B,262.02B,708.00M,136.63B,69.80B,225.16B,125.39B,155.36B,3.701B,15.21B,27.43B
GE,2019-12,-11.73B,45.70B,15.96B,23.64B,0.06,0.06,37.39B,45.88B,10.28B,2019-12,17.22B,728.00M,-1.086B,-1.086B,45.88B,0,67.24B,2.746B,35.75B,1.571B,727.00M,26.24B,4.411B,28.32B,265.18B,708.00M,111.71B,79.07B,235.32B,153.46B,156.25B,7.529B,17.36B,32.18B
GE,2019-09,-11.36B,76.04B,17.33B,17.04B,-1.08,-1.08,37.43B,78.17B,6.032B,2019-09,15.20B,-9.423B,-1.308B,-1.308B,45.86B,0,79.37B,1.276B,33.53B,-1.249B,41.00M,23.36B,4.756B,27.94B,263.01B,708.00M,134.97B,66.18B,233.86B,128.03B,167.67B,4.756B,14.49B,26.73B
GE,2019-06,-12.85B,71.35B,17.41B,15.62B,-0.01,-0.01,68.93B,89.82B,6.001B,2019-06,19.97B,127.00M,-906.00M,-906.00M,53.80B,0,94.23B,1.938B,37.94B,-296.00M,-181.00M,23.41B,4.063B,35.82B,312.11B,708.00M,134.91B,72.14B,255.98B,177.20B,183.84B,4.063B,17.04B,30.19B
GE,2019-03,-13.48B,72.67B,16.21B,15.95B,0.41,0.4,70.25B,90.05B,5.994B,2019-03,19.42B,3.588B,-1.065B,-1.065B,54.28B,0,95.75B,1.981B,37.38B,1.122B,140.00M,22.20B,4.013B,35.16B,315.08B,708.00M,140.39B,74.66B,259.44B,174.69B,184.78B,4.013B,17.15B,33.42B
GE,2018-12,-14.41B,64.63B,17.16B,12.77B,0.07,0.07,46.15B,75.80B,9.341B,2018-12,13.80B,761.00M,-1.181B,-1.181B,43.61B,0,90.82B,1.515B,32.81B,331.00M,-367.00M,26.50B,4.411B,30.98B,311.07B,708.00M,173.40B,80.44B,259.59B,137.67B,179.15B,7.826B,13.83B,29.49B
GE,2018-09,-13.23B,61.69B,17.85B,15.21B,-2.62,-2.62,79.21B,87.52B,5.545B,2018-09,20.64B,-22.77B,-1.155B,-1.155B,50.64B,0,99.76B,735.00M,37.38B,-22.96B,52.00M,23.39B,4.81B,31.45B,311.69B,708.00M,126.09B,73.88B,263.85B,185.60B,189.98B,4.81B,16.80B,34.45B
GE,2018-06,-13.43B,64.28B,21.75B,14.42B,0.07,0.07,102.19B,87.22B,7.413B,2018-06,20.47B,800.00M,-1.291B,-1.291B,50.87B,0,101.15B,2.398B,36.78B,1.236B,504.00M,29.16B,5.015B,55.07B,342.77B,708.00M,130.40B,69.51B,271.02B,212.37B,201.50B,5.015B,16.08B,35.69B
GE,2018-03,-12.86B,68.78B,20.91B,19.73B,-0.14,-0.14,106.13B,89.73B,6.877B,2018-03,20.57B,-1.147B,-1.282B,-1.282B,53.65B,0,106.11B,2.159B,38.07B,277.00M,-50.00M,27.79B,4.718B,55.96B,358.11B,708.00M,139.34B,77.02B,284.92B,218.77B,207.89B,4.718B,16.12B,39.50B
GE,2017-12,-14.40B,82.00B,10.07B,24.66B,-1.13,-1.13,104.24B,87.58B,2.571B,2017-12,19.42B,-10.82B,-752.00M,-752.00M,53.87B,0,109.93B,-10.67B,38.34B,-13.16B,-2.115B,12.64B,13.24B,56.03B,369.24B,708.00M,153.00B,81.87B,295.75B,216.24B,213.88B,13.24B,16.22B,40.85B
GE,2017-09,-14.52B,78.55B,23.67B,28.35B,0.15,0.15,108.50B,86.32B,6.992B,2017-09,25.85B,1.36B,-1.232B,-1.232B,54.10B,0,108.04B,2.251B,33.97B,746.00M,-551.00M,30.66B,4.741B,76.10B,378.04B,708.00M,156.92B,81.29B,283.99B,221.12B,202.70B,4.741B,17.00B,43.36B
GE,2017-06,-15.45B,84.02B,21.62B,30.57B,0.1,0.1,89.26B,89.86B,7.474B,2017-06,22.84B,1.057B,-1.174B,-1.174B,50.17B,0,103.83B,3.322B,32.54B,1.127B,-38.00M,29.10B,4.152B,74.15B,355.47B,708.00M,158.56B,81.97B,279.69B,196.92B,197.72B,4.152B,15.37B,39.75B
GE,2017-03,-16.77B,83.51B,20.23B,28.84B,-0.01,-0.01,86.83B,0,6.65B,2017-03,22.70B,-83.00M,-1.139B,-1.139B,49.02B,0,99.82B,2.363B,32.39B,-53.00M,-105.00M,26.88B,4.287B,74.53B,351.64B,708.00M,159.80B,81.22B,275.47B,191.84B,194.25B,4.287B,15.81B,39.72B
GE,2016-12,-18.60B,92.44B,23.94B,31.04B,0.4,0.39,86.88B,0,8.307B,2016-12,22.35B,2.336B,-738.00M,-738.00M,50.52B,0,105.18B,1.117B,33.30B,894.00M,-1.435B,32.25B,3.805B,75.83B,365.18B,708.00M,173.62B,86.72B,287.69B,191.56B,200.98B,7.19B,16.54B,42.26B
GE,2016-09,-14.42B,98.90B,20.97B,33.42B,0.22,0.22,86.77B,0,8.072B,2016-09,24.12B,2.027B,-961.00M,-961.00M,51.45B,0,116.02B,3.956B,30.89B,2.074B,18.00M,29.04B,4.343B,81.88B,387.69B,708.00M,197.91B,94.34B,304.15B,189.79B,209.80B,4.116B,15.13B,43.35B
GE,2016-06,-14.90B,91.84B,22.38B,33.12B,0.3,0.3,83.75B,0,7.961B,2016-06,24.72B,2.908B,-1.326B,-1.326B,50.44B,0,123.32B,6.228B,31.44B,3.824B,461.00M,30.34B,4.883B,84.99B,401.46B,708.00M,210.30B,99.42B,314.78B,191.16B,215.36B,1.733B,15.22B,43.81B
GE,2016-03,-15.70B,108.05B,20.36B,52.53B,-0.01,-0.01,83.10B,0,7.475B,2016-03,23.91B,228.00M,-1.736B,-1.736B,53.79B,0,133.52B,2.876B,31.64B,238.00M,-177.00M,27.84B,4.608B,91.09B,462.19B,708.00M,260.81B,143.69B,369.44B,201.38B,225.74B,4.599B,15.30B,44.23B
GE,2015-12,-16.53B,102.46B,23.58B,50.78B,0.64,0.64,83.32B,87.33B,9.173B,2015-12,22.52B,6.301B,-1.235B,-1.235B,54.10B,67.00M,146.82B,5.535B,31.62B,1.903B,-742.00M,32.76B,4.773B,98.27B,493.07B,708.00M,294.60B,153.35B,392.93B,198.48B,239.59B,3.638B,15.85B,45.86B
GE,2015-09,-16.98B,136.02B,19.86B,97.08B,0.25,0.25,75.28B,87.21B,8.004B,2015-09,19.28B,2.506B,-897.00M,-897.00M,50.70B,2.901B,194.30B,3.915B,25.33B,2.05B,135.00M,27.86B,4.258B,111.20B,581.31B,702.00M,386.53B,180.19B,461.32B,194.78B,281.12B,4.089B,14.09B,100.96B
GE,2015-06,-18.21B,131.10B,20.57B,116.52B,-0.13,-0.13,75.85B,102.64B,7.874B,2015-06,18.70B,-1.36B,-713.00M,-713.00M,51.04B,1.612B,199.44B,4.269B,25.78B,2.612B,799.00M,28.45B,4.385B,109.50B,610.93B,702.00M,411.95B,205.28B,492.65B,198.98B,287.37B,3.605B,14.34B,98.90B
GE,2015-03,-22.36B,129.05B,18.68B,138.28B,-1.35,-1.35,83.14B,112.58B,7.415B,2015-03,17.83B,-13.57B,-618.00M,-618.00M,61.22B,96.00M,213.08B,3.142B,28.20B,1.621B,6.294B,26.10B,4.415B,108.56B,617.63B,702.00M,330.09B,188.32B,500.33B,287.54B,312.02B,4.273B,16.71B,95.40B
GE,2014-12,-18.17B,105.53B,25.44B,71.20B,0.51,0.51,66.39B,116.38B,-2.833B,2014-12,17.69B,5.152B,1.252B,1.252B,48.07B,381.00M,190.23B,-17.00B,26.92B,1.288B,-261.00M,22.60B,0,128.16B,654.95B,702.00M,492.52B,241.62B,518.12B,162.44B,276.51B,14.17B,14.38B,42.94B
GE,2014-09,-8.11B,137.46B,19.74B,138.89B,0.35,0.35,92.22B,115.87B,12.11B,2014-09,19.43B,3.537B,-1.325B,-1.325B,65.46B,0,235.25B,11.51B,31.35B,3.204B,401.00M,31.85B,0,135.00B,650.02B,702.00M,421.10B,185.81B,506.51B,228.92B,320.70B,600.00M,18.97B,257.11B
GE,2014-06,-7.158B,133.32B,20.01B,140.19B,0.35,0.35,93.82B,115.87B,11.92B,2014-06,19.71B,3.545B,-1.299B,-1.299B,67.90B,0,238.53B,11.31B,32.38B,3.076B,192.00M,31.92B,0,134.01B,651.87B,702.00M,419.53B,186.59B,511.80B,232.34B,325.21B,610.00M,19.77B,261.72B
GE,2014-03,-7.849B,132.71B,18.52B,140.74B,0.3,0.3,93.92B,0,14.83B,2014-03,18.88B,2.999B,-2.141B,-2.141B,67.74B,0,239.84B,14.04B,32.22B,3.319B,619.00M,33.35B,0,131.84B,652.25B,702.00M,420.09B,187.85B,514.23B,232.16B,326.38B,788.00M,19.41B,266.99B
GE,2013-12,-9.12B,132.54B,24.58B,140.30B,0.42,0.41,91.96B,0,-18.02B,2013-12,17.32B,3.206B,4.778B,4.778B,68.83B,0,242.74B,-31.69B,31.82B,-2.392B,53.00M,6.556B,0,130.57B,656.56B,702.00M,424.69B,189.43B,519.78B,231.87B,330.34B,13.66B,18.69B,272.44B
GE,2013-09,-17.86B,130.40B,19.46B,138.36B,0.31,0.31,92.25B,0,15.84B,2013-09,17.94B,3.191B,-2.445B,-2.445B,68.74B,0,249.74B,15.42B,30.49B,3.62B,348.00M,35.30B,0,122.69B,661.44B,702.00M,423.63B,185.96B,532.39B,237.81B,346.43B,426.00M,18.37B,273.45B
GE,2013-06,-18.46B,132.46B,18.49B,132.86B,0.3,0.3,84.68B,115.16B,16.46B,2013-06,16.76B,3.133B,-2.60B,-2.60B,68.76B,-541.00M,254.46B,15.56B,30.61B,3.733B,310.00M,34.96B,10.15B,122.51B,660.54B,702.00M,427.87B,180.35B,531.73B,232.67B,351.38B,906.00M,18.18B,276.50B
GE,2013-03,-19.66B,138.11B,17.32B,141.64B,0.34,0.34,84.56B,114.50B,16.01B,2013-03,16.28B,3.527B,-2.603B,-2.603B,68.41B,456.00M,255.70B,16.17B,29.44B,4.139B,508.00M,33.33B,9.108B,123.71B,670.69B,702.00M,434.70B,189.45B,541.64B,235.99B,352.19B,-158.00M,18.10B,278.12B
GE,2012-12,-20.23B,125.78B,18.73B,155.30B,0.38,0.38,85.09B,111.04B,19.39B,2012-12,15.37B,4.011B,-2.886B,-2.886B,68.63B,281.00M,258.50B,19.12B,28.51B,5.236B,816.00M,38.13B,9.243B,123.03B,685.00B,702.00M,429.68B,201.60B,556.53B,255.32B,354.93B,278.00M,17.63B,285.00B
GE,2012-09,-20.32B,134.18B,18.51B,128.95B,0.33,0.33,84.87B,109.61B,16.96B,2012-09,16.02B,3.491B,-2.972B,-2.972B,67.39B,-131.00M,257.33B,16.62B,27.04B,4.024B,557.00M,35.47B,0,122.55B,698.88B,702.00M,439.76B,197.90B,570.86B,259.12B,372.97B,335.00M,17.64B,289.56B
GE,2012-06,-22.72B,122.23B,19.20B,135.05B,0.29,0.29,84.14B,108.97B,16.80B,2012-06,15.44B,3.105B,-3.202B,-3.202B,66.66B,1.98B,251.78B,16.46B,28.50B,4.187B,496.00M,36.00B,0,120.12B,694.12B,702.00M,429.50B,202.22B,570.22B,264.62B,368.01B,350.00M,18.52B,291.84B
GE,2012-03,-22.13B,131.48B,17.87B,148.16B,0.29,0.29,84.88B,109.76B,16.65B,2012-03,15.21B,3.034B,-3.347B,-3.347B,66.00B,-705.00M,253.53B,15.79B,29.50B,3.934B,665.00M,34.52B,0,119.87B,707.72B,702.00M,446.30B,217.20B,586.13B,261.42B,368.93B,863.00M,18.83B,299.60B
GE,2011-12,-23.97B,131.88B,17.39B,191.44B,0.35,0.35,84.69B,113.03B,14.78B,2011-12,13.79B,3.73B,-3.125B,-3.125B,65.74B,1.297B,262.00B,42.24B,29.55B,4.422B,474.00M,32.16B,0,116.44B,718.19B,702.00M,456.06B,237.76B,600.06B,262.13B,362.30B,-27.46B,18.20B,307.96B
GE,2011-09,-13.66B,137.83B,16.76B,139.00B,0.22,0.22,85.72B,111.55B,18.60B,2011-09,15.02B,3.224B,-3.731B,-3.731B,66.09B,0,285.62B,7.498B,27.26B,3.767B,437.00M,35.36B,0,124.46B,737.70B,702.00M,465.87B,213.02B,610.93B,271.83B,397.91B,11.11B,16.15B,313.02B
GE,2011-06,-12.46B,136.39B,17.42B,135.08B,0.35,0.35,82.33B,0,18.21B,2011-06,14.62B,3.764B,-3.77B,-3.77B,68.85B,0,295.34B,8.306B,26.84B,4.536B,892.00M,35.62B,0,128.07B,739.13B,702.00M,471.09B,206.32B,608.73B,268.04B,402.41B,9.90B,15.76B,320.08B
GE,2011-03,-15.00B,127.06B,16.72B,120.28B,0.32,0.31,79.21B,0,21.61B,2011-03,13.33B,3.433B,-3.796B,-3.796B,67.50B,0,307.01B,11.23B,26.24B,7.434B,3.942B,38.33B,0,123.54B,727.84B,702.00M,468.15B,190.47B,602.05B,259.69B,411.58B,10.38B,15.75B,327.76B
