Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GM,2020-12,-13.49B,29.04B,32.62B,36.91B,3.132B,1.95,1.93,5.23B,105.27B,4.897B,2020-12,10.24B,2.846B,-1.257B,-1.257B,77.45B,2.715B,73.95B,2.767B,39.86B,3.439B,642.00M,37.52B,2.13B,45.03B,235.19B,14.00M,80.92B,79.91B,185.52B,154.27B,105.61B,2.13B,19.93B,34.24B
GM,2020-09,-11.96B,36.90B,29.43B,35.77B,3.054B,2.8,2.78,5.245B,76.35B,6.052B,2020-09,10.93B,4.045B,172.00M,172.00M,76.35B,2.635B,82.74B,4.424B,41.78B,4.905B,887.00M,35.48B,1.628B,43.34B,239.67B,14.00M,89.18B,80.60B,191.66B,150.49B,111.06B,1.628B,20.91B,34.50B
GM,2020-06,-11.90B,37.48B,16.68B,40.02B,3.106B,-0.56,-0.56,5.282B,76.67B,96.00M,2020-06,10.28B,-758.00M,110.00M,110.00M,76.67B,2.696B,88.11B,-1.214B,34.78B,-892.00M,-112.00M,16.78B,1.31B,39.30B,237.54B,14.00M,87.50B,77.90B,194.04B,150.04B,116.14B,1.31B,15.15B,30.80B
GM,2020-03,-11.80B,46.13B,30.08B,45.06B,3.234B,0.17,0.17,5.225B,79.26B,2.627B,2020-03,10.80B,294.00M,118.00M,118.00M,79.26B,2.962B,81.44B,657.00M,46.23B,643.00M,357.00M,32.71B,1.97B,40.11B,246.62B,14.00M,97.70B,91.29B,202.31B,148.92B,111.02B,1.97B,20.03B,33.86B
GM,2019-12,-11.16B,23.24B,29.10B,37.40B,3.504B,-0.17,-0.17,5.337B,109.50B,1.728B,2019-12,10.40B,-194.00M,-1.109B,-1.109B,80.80B,2.959B,66.93B,-554.00M,44.27B,-355.00M,-163.00M,30.83B,2.282B,41.79B,228.04B,14.00M,74.99B,84.90B,182.08B,153.04B,97.18B,2.282B,21.02B,33.40B
GM,2019-09,-8.997B,26.78B,31.16B,34.77B,0,1.62,1.6,5.408B,80.50B,4.312B,2019-09,11.80B,2.351B,-37.00M,-37.00M,80.50B,0,69.69B,2.304B,49.48B,2.582B,271.00M,35.47B,2.008B,44.55B,231.53B,14.00M,80.56B,84.25B,182.76B,150.96B,98.51B,2.008B,21.41B,34.94B
GM,2019-06,-8.77B,24.12B,31.47B,33.15B,0,1.68,1.66,5.457B,81.13B,4.589B,2019-06,11.45B,2.418B,169.00M,169.00M,81.13B,0,73.41B,2.487B,51.14B,2.927B,524.00M,36.06B,2.102B,42.82B,233.74B,14.00M,81.31B,84.29B,186.65B,152.43B,102.35B,2.102B,22.72B,38.29B
GM,2019-03,-8.849B,23.20B,31.54B,33.27B,0,1.5,1.48,5.518B,81.39B,3.343B,2019-03,11.11B,2.157B,624.00M,624.00M,81.39B,0,73.81B,1.244B,52.03B,2.282B,137.00M,34.88B,2.099B,40.76B,233.13B,14.00M,80.09B,85.30B,188.49B,153.04B,103.19B,2.099B,24.56B,39.35B
GM,2018-12,-9.039B,26.81B,35.09B,31.89B,0,1.42,1.4,5.579B,109.04B,3.307B,2018-12,9.816B,2.044B,-1.98B,-1.98B,82.32B,0,73.06B,829.00M,46.84B,1.458B,-611.00M,38.40B,2.478B,38.86B,227.34B,14.00M,75.29B,82.24B,184.56B,152.05B,102.32B,2.478B,22.30B,33.40B
GM,2018-09,-8.321B,24.35B,31.60B,30.86B,0,1.77,1.75,5.651B,82.78B,4.194B,2018-09,11.33B,2.534B,490.00M,490.00M,82.78B,0,71.48B,1.61B,53.25B,2.63B,100.00M,35.79B,2.584B,38.06B,225.71B,14.00M,74.85B,84.12B,184.80B,150.86B,100.69B,2.584B,25.15B,33.81B
