Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GNRC,2020-12,-34.25M,655.13M,460.88M,43.43M,0,2.02,1.97,1.147B,617.63M,300.20M,2020-12,603.32M,126.04M,-7.91M,-7.91M,416.94M,115.77M,1.022B,171.05M,598.10M,163.99M,39.01M,21.49M,761.08M,98.72M,1.390B,3.235B,0.721M,1.670B,641.52M,1.845B,1.566B,1.204B,129.15M,330.25M,374.91M
GNRC,2020-09,-62.04M,513.94M,425.21M,48.22M,0,1.86,1.82,1.092B,587.18M,276.15M,2020-09,532.95M,115.78M,-8.096M,-8.096M,398.36M,105.52M,1.019B,155.64M,508.04M,147.28M,32.05M,20.66M,701.36M,91.96M,1.230B,2.974B,0.72M,1.480B,556.26M,1.744B,1.494B,1.188B,120.51M,272.74M,398.24M
GNRC,2020-06,-72.53M,396.73M,337.86M,55.38M,0,1.04,1.02,1.073B,572.17M,208.98M,2020-06,544.37M,64.58M,-7.932M,-7.932M,395.59M,96.54M,1.026B,89.55M,431.34M,82.06M,18.47M,19.46M,546.85M,92.31M,1.098B,2.768B,0.72M,1.297B,486.72M,1.670B,1.471B,1.184B,119.43M,230.23M,322.94M
GNRC,2020-03,-73.94M,307.46M,303.60M,54.14M,0,0.69,0.68,1.077B,531.44M,172.32M,2020-03,559.70M,42.94M,-9.053M,-9.053M,364.20M,93.43M,994.04M,62.86M,428.88M,52.86M,9.444M,18.65M,475.92M,83.03M,1.024B,2.654B,0.719M,1.209B,483.02M,1.630B,1.445B,1.147B,109.46M,266.92M,312.01M
GNRC,2019-12,-24.92M,322.88M,368.71M,61.10M,0,1.14,1.12,1.103B,525.07M,222.22M,2019-12,522.02M,70.68M,-10.12M,-10.12M,363.89M,96.33M,978.20M,104.51M,435.97M,83.36M,13.42M,19.49M,590.93M,89.58M,1.032B,2.666B,0.717M,1.196B,497.06M,1.633B,1.470B,1.136B,117.71M,261.98M,319.54M
GNRC,2019-09,-46.36M,216.04M,383.62M,69.54M,0,1.2,1.18,1.104B,502.08M,217.52M,2019-09,517.23M,74.09M,-10.70M,-10.70M,349.16M,92.52M,1.030B,105.56M,406.48M,94.96M,20.06M,17.60M,601.14M,86.95M,934.26M,2.594B,0.716M,1.137B,476.02M,1.655B,1.457B,1.179B,111.96M,241.29M,373.59M
GNRC,2019-06,-33.83M,110.37M,346.08M,59.49M,0,0.99,0.98,1.119B,495.04M,195.84M,2019-06,570.33M,61.20M,-10.45M,-10.45M,348.84M,85.19M,1.027B,90.93M,420.88M,80.53M,18.83M,17.69M,541.92M,79.97M,865.94M,2.523B,0.715M,1.052B,480.36M,1.652B,1.471B,1.172B,104.91M,259.70M,341.54M
GNRC,2019-03,-29.87M,161.27M,308.18M,47.44M,0,0.77,0.76,1.070B,486.52M,162.18M,2019-03,588.38M,47.29M,-10.27M,-10.27M,337.03M,78.88M,1.012B,71.17M,468.54M,60.75M,14.98M,13.61M,470.35M,72.05M,804.42M,2.474B,0.714M,1.063B,515.98M,1.664B,1.411B,1.148B,91.00M,290.87M,284.61M
GNRC,2018-12,-23.81M,224.48M,359.10M,47.56M,0,1.21,1.2,1.011B,424.45M,204.31M,2018-12,544.75M,74.49M,-10.02M,-10.02M,278.93M,71.30M,876.40M,108.85M,513.15M,96.68M,19.99M,11.90M,563.40M,78.24M,760.55M,2.426B,0.712M,1.121B,560.71M,1.665B,1.306B,1.104B,95.46M,328.09M,326.13M
GNRC,2018-09,-9.557M,174.00M,362.05M,87.64M,0,1.12,1.11,1.023B,384.31M,200.33M,2018-09,496.09M,68.86M,-9.824M,-9.824M,243.36M,68.38M,859.62M,106.52M,465.47M,96.59M,20.07M,13.65M,562.39M,74.48M,698.16M,2.333B,0.711M,1.040B,553.11M,1.634B,1.293B,1.081B,93.82M,287.72M,341.76M
GNRC,2018-06,-16.90M,111.71M,319.11M,25.37M,0,0.83,0.82,1.020B,369.25M,178.47M,2018-06,479.88M,50.96M,-11.00M,-11.00M,233.43M,57.51M,908.07M,85.47M,454.68M,72.61M,18.38M,12.62M,497.58M,74.91M,617.01M,2.209B,0.71M,930.44M,480.05M,1.592B,1.279B,1.112B,93.01M,274.23M,311.67M
GNRC,2018-03,-8.372M,146.16M,258.16M,33.01M,0,0.42,0.42,955.31M,362.98M,141.93M,2018-03,439.74M,25.98M,-10.11M,-10.11M,232.02M,49.14M,907.46M,56.35M,379.63M,45.19M,11.42M,11.85M,400.09M,68.10M,570.07M,2.077B,0.707M,866.84M,412.64M,1.507B,1.211B,1.095B,85.58M,228.07M,262.17M
GNRC,2017-12,-21.20M,138.47M,311.34M,22.17M,0,1.31,1.3,957.29M,356.55M,186.83M,2017-12,387.05M,80.91M,-10.31M,-10.31M,230.38M,41.85M,906.55M,95.37M,374.25M,84.26M,2.037M,11.18M,498.17M,72.97M,554.04M,2.026B,0.708M,824.56M,396.42M,1.472B,1.201B,1.075B,91.46M,233.64M,279.30M
GNRC,2017-09,-22.80M,128.78M,299.61M,130.91M,0,0.64,0.63,962.63M,339.27M,156.23M,2017-09,349.02M,39.44M,-10.67M,-10.67M,218.66M,49.53M,908.10M,72.55M,327.84M,60.18M,20.40M,10.85M,455.84M,65.59M,473.15M,2.001B,0.706M,810.15M,458.74M,1.528B,1.191B,1.069B,83.68M,190.21M,320.63M
GNRC,2017-06,-27.21M,67.07M,261.95M,29.86M,0,0.41,0.41,965.24M,332.06M,132.92M,2017-06,378.11M,25.59M,-10.89M,-10.89M,217.06M,37.58M,1.007B,51.82M,280.47M,39.25M,13.88M,10.55M,394.88M,63.42M,427.92M,1.888B,0.705M,697.78M,310.32M,1.460B,1.190B,1.149B,81.10M,163.36M,243.28M
GNRC,2017-03,-36.12M,57.49M,221.68M,42.59M,0,0.21,0.2,965.11M,325.39M,108.80M,2017-03,390.91M,12.79M,-10.79M,-10.79M,215.39M,27.38M,1.008B,30.89M,273.31M,20.00M,7.823M,10.29M,330.48M,60.44M,420.47M,1.867B,0.705M,680.69M,315.90M,1.447B,1.187B,1.131B,77.91M,159.45M,223.03M
GNRC,2016-12,-40.16M,67.27M,268.27M,46.16M,0,0.64,0.64,959.81M,319.16M,152.44M,2016-12,349.73M,38.97M,-10.85M,-10.85M,212.79M,17.28M,1.007B,75.37M,295.78M,63.38M,23.36M,9.651M,420.71M,60.00M,401.12M,1.862B,0.702M,683.51M,341.94M,1.461B,1.178B,1.119B,77.08M,181.52M,241.86M
GNRC,2016-09,-34.03M,54.16M,235.35M,74.23M,0,0.41,0.4,976.77M,308.81M,137.77M,2016-09,359.36M,26.18M,-14.26M,-14.26M,207.50M,8.806M,1.014B,56.34M,259.35M,41.53M,15.51M,9.426M,373.12M,62.50M,413.92M,1.869B,0.701M,671.43M,333.58M,1.455B,1.197B,1.121B,81.43M,145.89M,244.72M
GNRC,2016-06,-34.50M,75.64M,243.23M,46.55M,0,0.32,0.31,983.87M,302.96M,124.15M,2016-06,366.74M,20.89M,-11.38M,-11.38M,206.70M,8.745M,1.035B,44.08M,277.50M,32.86M,11.92M,9.889M,367.38M,61.96M,450.39M,1.917B,0.701M,698.60M,324.04M,1.466B,1.218B,1.142B,80.06M,166.69M,243.09M
GNRC,2016-03,-21.23M,69.37M,188.48M,45.03M,0,0.15,0.15,1.008B,288.13M,98.06M,2016-03,374.71M,10.21M,-11.04M,-11.04M,197.62M,13.24M,1.047B,26.96M,257.44M,15.93M,5.719M,8.197M,286.54M,55.10M,474.43M,1.933B,0.701M,686.26M,302.47M,1.459B,1.247B,1.157B,71.10M,148.36M,230.34M
GNRC,2015-12,-22.48M,115.86M,226.71M,9.251M,8.144M,0.14,0.14,926.63M,270.13M,131.12M,2015-12,325.38M,9.182M,-10.60M,-10.60M,184.21M,4.95M,1.037B,68.00M,203.97M,15.55M,6.372M,8.015M,357.83M,48.98M,465.87M,1.779B,0.696M,632.02M,213.22M,1.313B,1.147B,1.100B,63.12M,108.33M,182.18M
GNRC,2015-09,-24.39M,46.45M,228.96M,4.783M,3.144M,0.5,0.49,980.00M,259.65M,130.33M,2015-09,362.27M,34.04M,-12.59M,-12.59M,178.12M,15.01M,1.050B,67.87M,220.20M,53.25M,19.22M,8.332M,359.29M,47.84M,489.27M,1.838B,0.696M,654.37M,224.99M,1.348B,1.183B,1.123B,62.46M,123.19M,207.20M
GNRC,2015-06,-22.26M,155.58M,192.46M,3.40M,0,0.22,0.21,905.51M,252.13M,95.90M,2015-06,385.85M,14.84M,-10.76M,-10.76M,174.66M,14.81M,1.035B,39.47M,242.60M,23.47M,8.628M,8.412M,288.36M,42.04M,519.81M,1.871B,0.695M,746.93M,246.00M,1.352B,1.124B,1.106B,56.43M,149.44M,160.48M
GNRC,2015-03,-22.58M,150.08M,209.22M,3.609M,0,0.29,0.28,915.29M,245.20M,102.60M,2015-03,356.93M,19.68M,-11.27M,-11.27M,171.38M,15.13M,1.034B,44.91M,230.99M,30.70M,11.02M,8.163M,311.82M,44.33M,502.69M,1.842B,0.694M,704.53M,234.60M,1.340B,1.138B,1.105B,57.69M,135.10M,158.19M
GNRC,2014-12,-15.77M,189.76M,265.59M,5.916M,0,0.72,0.7,920.44M,238.22M,138.41M,2014-12,319.38M,49.39M,-11.80M,-11.80M,168.82M,13.45M,1.082B,79.12M,234.61M,66.85M,17.46M,7.914M,404.00M,46.08M,489.80M,1.883B,0.691M,730.48M,240.52M,1.393B,1.152B,1.152B,59.30M,132.25M,189.11M
GNRC,2014-09,-5.164M,173.16M,222.02M,5.818M,0,0.53,0.52,875.24M,225.30M,130.28M,2014-09,327.58M,36.50M,-12.29M,-12.29M,159.06M,0,1.106B,70.79M,223.66M,54.86M,18.36M,7.822M,352.30M,46.39M,447.92M,1.834B,0.69M,732.26M,229.48M,1.386B,1.102B,1.157B,59.49M,131.44M,199.88M
GNRC,2014-06,-4.139M,197.96M,234.60M,6.945M,0,0.79,0.77,878.95M,216.48M,128.01M,2014-06,287.23M,54.02M,4.586M,4.586M,153.06M,0,1.154B,73.28M,207.10M,82.42M,28.40M,8.012M,362.61M,41.62M,408.56M,1.829B,0.69M,717.16M,214.05M,1.421B,1.112B,1.207B,54.73M,116.15M,203.69M
GNRC,2014-03,-2.844M,173.74M,222.49M,19.55M,0,0.51,0.5,884.66M,211.41M,119.51M,2014-03,292.31M,34.70M,-11.69M,-11.69M,148.02M,0,1.172B,65.31M,205.70M,54.22M,19.52M,7.746M,342.01M,41.12M,353.04M,1.813B,0.69M,686.53M,233.39M,1.460B,1.126B,1.226B,54.21M,115.88M,182.17M
GNRC,2013-12,-2.415M,150.15M,230.55M,22.05M,0,0.71,0.69,891.11M,206.73M,145.68M,2013-12,300.25M,48.52M,-12.00M,-12.00M,146.39M,0,1.175B,91.22M,228.80M,78.46M,29.94M,8.379M,376.24M,39.80M,317.07M,1.798B,0.688M,654.18M,250.84M,1.481B,1.144B,1.230B,54.46M,109.24M,164.91M
GNRC,2013-09,-11.23M,116.52M,223.81M,30.19M,0,0.69,0.67,874.59M,178.29M,139.46M,2013-09,296.05M,47.09M,-12.49M,-12.49M,120.81M,0,1.178B,87.29M,207.56M,74.04M,26.95M,7.183M,363.27M,37.99M,257.34M,1.733B,0.687M,615.96M,240.90M,1.476B,1.117B,1.235B,52.17M,104.18M,164.70M
GNRC,2013-06,-12.47M,126.60M,215.74M,33.05M,1.492M,0.41,0.4,813.65M,162.68M,130.95M,2013-06,287.26M,28.25M,-14.26M,-14.26M,109.48M,0,1.177B,76.43M,209.99M,46.79M,18.54M,7.064M,346.69M,41.11M,205.94M,1.675B,0.686M,611.07M,244.53M,1.469B,1.064B,1.225B,54.52M,114.66M,162.71M
