Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GOOGL,2020-12,633.00M,136.69B,26.08B,1.694B,2.543B,22.54,22.3,22.62B,138.67B,30.82B,2020-12,728.00M,15.23B,333.00M,333.00M,96.96B,4.042B,25.08B,15.65B,31.10B,18.69B,3.462B,7.022B,56.90B,8.145B,222.54B,319.62B,58.51B,174.30B,56.83B,97.07B,145.32B,40.24B,15.17B,7.074B,31.38B
GOOGL,2020-09,46.00M,132.60B,21.12B,1.535B,2.302B,16.55,16.4,22.39B,132.23B,25.06B,2020-09,835.00M,11.25B,412.00M,412.00M,93.58B,2.427B,24.89B,11.21B,25.70B,13.36B,2.112B,6.856B,46.17B,6.987B,212.92B,299.24B,57.31B,164.37B,48.20B,86.32B,134.87B,38.12B,13.84B,5.49B,25.51B
GOOGL,2020-06,-296.00M,121.08B,18.55B,1.416B,2.061B,10.21,10.13,22.52B,125.86B,19.74B,2020-06,815.00M,6.959B,420.00M,420.00M,90.32B,2.194B,14.73B,6.383B,23.54B,8.277B,1.318B,6.875B,38.30B,6.486B,207.32B,278.49B,55.94B,149.07B,43.66B,71.17B,129.42B,27.51B,13.36B,5.039B,21.60B
GOOGL,2020-03,-1.097B,117.23B,18.98B,1.312B,1.938B,9.96,9.87,22.57B,120.90B,22.18B,2020-03,889.00M,6.836B,565.00M,565.00M,87.97B,2.429B,15.49B,7.977B,21.93B,7.757B,921.00M,6.82B,41.16B,7.38B,203.66B,273.40B,53.69B,147.02B,40.19B,69.74B,126.38B,29.56B,14.20B,5.012B,23.74B
GOOGL,2019-12,-1.232B,119.68B,21.02B,1.199B,1.908B,15.49,15.35,22.60B,115.15B,25.06B,2019-12,999.00M,10.67B,604.00M,604.00M,84.59B,2.059B,14.77B,9.266B,24.21B,10.70B,33.00M,7.222B,46.08B,8.567B,201.44B,275.91B,50.55B,152.58B,45.22B,74.47B,123.33B,29.25B,15.79B,5.835B,27.49B
GOOGL,2019-09,-1.196B,121.18B,17.57B,0,1.679B,10.2,10.12,19.82B,107.75B,22.93B,2019-09,1.401B,7.068B,608.00M,608.00M,79.59B,2.111B,13.75B,9.177B,20.96B,8.628B,1.56B,6.554B,40.50B,7.20B,194.97B,263.04B,49.04B,148.36B,39.22B,68.08B,114.69B,28.85B,13.75B,4.273B,21.08B
GOOGL,2019-06,-1.091B,121.06B,17.30B,0,1.717B,14.33,14.21,19.90B,101.14B,21.65B,2019-06,964.00M,9.947B,628.00M,628.00M,74.60B,2.279B,13.16B,9.18B,19.33B,12.15B,2.20B,6.213B,38.94B,6.255B,192.19B,257.10B,47.94B,147.44B,37.00B,64.91B,109.66B,27.91B,12.47B,4.461B,21.32B
GOOGL,2019-03,-1.78B,113.49B,16.01B,0,1.667B,9.58,9.5,20.01B,94.10B,20.33B,2019-03,1.053B,6.657B,487.00M,487.00M,69.36B,1.673B,12.27B,8.305B,18.78B,8.146B,1.489B,6.029B,36.34B,5.993B,183.47B,245.35B,46.53B,138.21B,34.91B,61.88B,107.14B,26.97B,12.02B,4.471B,19.26B
GOOGL,2018-12,-2.306B,109.14B,17.92B,0,1.784B,12.87,12.77,20.11B,82.51B,21.36B,2018-12,1.107B,8.948B,513.00M,513.00M,59.72B,1.66B,4.012B,8.221B,18.24B,10.07B,1.124B,6.034B,39.28B,7.103B,177.63B,232.79B,45.05B,135.68B,34.62B,55.16B,97.12B,20.54B,13.14B,4.447B,21.19B
GOOGL,2018-09,-1.676B,106.42B,14.28B,0,1.752B,13.21,13.06,20.34B,77.13B,19.46B,2018-09,1.212B,9.192B,453.00M,453.00M,55.30B,1.635B,3.986B,8.625B,15.61B,10.08B,891.00M,5.232B,33.74B,5.602B,169.84B,221.54B,43.11B,129.70B,31.30B,51.70B,91.84B,20.40B,10.83B,3.789B,18.07B
