Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GPC,2021-03,-1.024B,1.118B,2.924B,160.37M,1.51,1.5,3.341B,3.506B,1.541B,2021-03,3.601B,217.71M,-19.06M,-19.06M,2.209B,206.63M,3.247B,268.45M,4.597B,285.86M,68.15M,4.465B,1.195B,3.325B,13.94B,144.46M,7.678B,6.336B,10.61B,6.265B,4.271B,1.272B,4.597B,1.810B
GPC,2020-12,-1.037B,990.17M,2.803B,160.53M,1.19,1.18,3.416B,3.599B,1.448B,2020-12,3.506B,171.20M,-21.50M,-21.50M,2.201B,212.91M,3.306B,245.93M,4.242B,225.55M,53.91M,4.252B,1.132B,3.205B,13.44B,144.35M,7.114B,5.894B,10.22B,6.326B,4.328B,1.202B,4.242B,1.557B
GPC,2020-09,-1.167B,900.12M,2.842B,206.34M,1.58,1.57,3.279B,3.523B,1.528B,2020-09,3.419B,227.53M,-25.79M,-25.79M,2.166B,214.74M,3.480B,313.18M,4.144B,297.66M,64.75M,4.370B,1.140B,3.014B,13.48B,144.29M,7.375B,5.977B,10.44B,6.100B,4.464B,1.215B,4.144B,1.952B
GPC,2020-06,-1.212B,983.76M,2.533B,489.03M,-2.52,-2.52,3.195B,3.407B,1.290B,2020-06,3.352B,-564.37M,-25.46M,-25.46M,2.131B,210.00M,3.484B,240.86M,3.859B,-304.44M,59.06M,3.823B,971.59M,2.849B,13.26B,144.26M,7.291B,5.969B,10.39B,5.973B,4.424B,1.050B,3.859B,1.823B
GPC,2020-03,-1.333B,354.47M,2.704B,908.86M,0.94,0.94,3.676B,3.516B,1.388B,2020-03,3.699B,136.54M,-20.96M,-20.96M,2.230B,211.16M,3.530B,171.71M,4.182B,160.59M,38.25M,4.093B,1.143B,3.403B,14.45B,144.25M,7.993B,6.581B,11.03B,6.458B,4.447B,1.216B,4.182B,2.705B
GPC,2019-12,-1.141B,276.99M,2.801B,624.04M,0.06,0.06,3.786B,3.370B,1.479B,2019-12,3.444B,8.918M,-22.02M,-22.02M,2.169B,233.04M,3.559B,242.01M,4.059B,101.19M,22.17M,4.280B,1.163B,3.675B,14.65B,145.38M,7.939B,6.394B,10.95B,6.707B,4.556B,1.237B,4.059B,2.440B
GPC,2019-09,-1.269B,451.28M,3.020B,622.13M,1.56,1.56,3.802B,3.509B,1.505B,2019-09,3.718B,227.49M,-26.45M,-26.45M,2.167B,236.06M,3.593B,262.68M,4.307B,283.88M,71.62M,4.525B,1.176B,3.642B,14.51B,145.29M,8.059B,6.373B,10.85B,6.455B,4.476B,1.243B,4.307B,2.740B
GPC,2019-06,-1.195B,562.55M,2.975B,1.011B,1.43,1.43,3.847B,3.394B,1.483B,2019-06,3.751B,224.43M,-23.26M,-23.26M,2.052B,212.31M,3.596B,287.21M,4.176B,282.20M,72.68M,4.458B,1.127B,3.665B,14.64B,146.08M,8.185B,6.498B,10.95B,6.455B,4.453B,1.195B,4.176B,2.837B
GPC,2019-03,-1.190B,356.92M,3.229B,1.032B,1.1,1.09,3.642B,3.246B,1.508B,2019-03,3.685B,160.25M,-23.88M,-23.88M,1.998B,194.18M,3.106B,238.32M,4.170B,211.51M,51.26M,4.737B,1.204B,3.551B,14.07B,146.06M,7.886B,6.545B,10.50B,6.184B,3.952B,1.270B,4.170B,2.742B
GPC,2018-12,-1.115B,333.55M,1.622B,711.15M,1.28,1.27,3.540B,2.220B,1.078B,2018-12,3.609B,186.70M,-26.13M,-26.13M,1.027B,196.84M,2.432B,183.87M,4.101B,173.31M,47.55M,2.700B,839.95M,3.450B,12.68B,145.94M,7.576B,5.901B,9.211B,5.107B,3.310B,894.26M,4.101B,2.494B
GPC,2018-09,-962.28M,359.10M,3.239B,450.49M,1.5,1.49,3.518B,2.116B,1.484B,2018-09,3.537B,220.23M,-25.08M,-25.08M,937.74M,188.47M,2.463B,298.95M,4.166B,291.74M,71.51M,4.723B,1.119B,3.611B,12.66B,146.76M,7.550B,5.661B,8.994B,5.107B,3.333B,1.185B,4.166B,2.656B
GPC,2018-06,-943.35M,355.14M,3.300B,686.42M,1.55,1.54,3.499B,2.037B,1.522B,2018-06,3.485B,226.97M,-26.48M,-26.48M,918.58M,174.56M,2.491B,311.25M,3.955B,300.27M,73.30M,4.822B,1.148B,3.512B,12.57B,146.75M,7.523B,5.657B,9.004B,5.043B,3.347B,1.210B,3.955B,2.670B
GPC,2018-03,-819.26M,325.97M,3.150B,751.61M,1.2,1.2,3.618B,2.015B,1.436B,2018-03,3.773B,176.58M,-24.11M,-24.11M,931.29M,184.38M,2.564B,240.97M,3.907B,229.32M,52.74M,4.586B,1.134B,3.510B,12.76B,146.74M,7.582B,5.757B,9.198B,5.178B,3.441B,1.195B,3.907B,2.641B
GPC,2017-12,-852.59M,314.90M,2.923B,694.99M,0.74,0.73,3.554B,1.981B,1.284B,2017-12,3.771B,108.18M,-18.22M,-18.22M,936.70M,193.31M,2.550B,218.84M,3.734B,222.00M,113.82M,4.207B,1.010B,3.412B,12.41B,146.65M,7.313B,5.474B,8.948B,5.099B,3.474B,1.065B,3.734B,2.422B
GPC,2017-09,-876.93M,210.08M,2.869B,595.00M,1.08,1.08,1.714B,1.778B,1.227B,2017-09,3.354B,158.44M,-9.038M,-9.038M,760.21M,50.11M,550.00M,251.61M,3.401B,246.36M,87.91M,4.096B,931.50M,3.378B,9.494B,146.61M,6.317B,4.803B,6.104B,3.178B,1.301B,975.28M,3.401B,2.156B
GPC,2017-06,-921.39M,203.14M,2.860B,580.00M,1.29,1.29,1.678B,1.746B,1.240B,2017-06,3.330B,189.97M,-7.446M,-7.446M,740.78M,48.26M,550.00M,290.99M,3.430B,297.14M,107.16M,4.100B,906.94M,3.288B,9.412B,146.83M,6.301B,4.801B,6.111B,3.111B,1.310B,948.72M,3.430B,2.170B
GPC,2017-03,-950.27M,177.92M,2.750B,475.00M,1.08,1.08,1.608B,1.719B,1.156B,2017-03,3.287B,160.16M,-6.779M,-6.779M,737.21M,49.33M,550.00M,237.10M,3.396B,243.78M,83.62M,3.906B,877.36M,3.219B,9.167B,147.39M,6.194B,4.580B,5.934B,2.973B,1.355B,918.62M,3.396B,2.085B
GPC,2016-12,-1.013B,242.88M,2.649B,325.00M,1.03,1.02,1.575B,1.689B,1.131B,2016-12,3.210B,152.52M,0,0,728.12M,127.85M,589.22M,210.58M,3.179B,236.29M,83.77M,3.780B,869.75M,3.194B,8.859B,148.41M,5.948B,4.244B,5.652B,2.911B,1.408B,920.50M,3.179B,1.939B
GPC,2016-09,-865.51M,225.18M,2.743B,475.00M,1.24,1.24,1.550B,1.651B,1.199B,2016-09,3.146B,185.33M,0,0,688.85M,51.47M,300.00M,291.36M,3.230B,291.36M,106.03M,3.942B,869.56M,3.322B,8.749B,148.74M,5.908B,4.402B,5.414B,2.841B,1.013B,907.24M,3.230B,2.033B
GPC,2016-06,-882.16M,233.63M,2.734B,525.00M,1.28,1.28,1.478B,1.644B,1.165B,2016-06,3.063B,191.37M,0,0,685.38M,51.71M,250.00M,300.05M,3.202B,300.05M,108.68M,3.900B,829.49M,3.238B,8.634B,148.91M,5.866B,4.406B,5.384B,2.768B,977.71M,865.40M,3.202B,2.031B
GPC,2016-03,-862.52M,205.14M,2.614B,450.00M,1.06,1.05,1.413B,1.584B,1.104B,2016-03,3.075B,158.02M,0,0,648.20M,50.74M,250.00M,246.64M,3.106B,246.64M,88.62M,3.718B,823.17M,3.232B,8.451B,149.62M,5.770B,4.212B,5.207B,2.680B,994.89M,857.83M,3.106B,1.982B
GPC,2015-12,-930.62M,211.63M,2.586B,375.00M,1.07,1.07,1.362B,1.551B,1.095B,2015-12,3.000B,161.27M,0,0,648.22M,136.24M,287.64M,262.34M,2.914B,261.61M,100.34M,3.682B,784.85M,3.147B,8.145B,150.08M,5.555B,3.941B,4.986B,2.589B,1.045B,833.14M,2.914B,1.822B
GPC,2015-09,-914.59M,199.29M,2.753B,125.00M,1.24,1.24,1.328B,1.528B,1.169B,2015-09,2.968B,188.02M,0,0,628.46M,62.42M,500.00M,300.58M,2.951B,300.58M,112.56M,3.922B,834.37M,3.159B,8.203B,150.76M,5.623B,3.764B,5.032B,2.580B,1.268B,868.65M,2.951B,1.963B
GPC,2015-06,-809.50M,223.84M,2.762B,350.00M,1.28,1.28,1.383B,1.537B,1.178B,2015-06,3.025B,195.37M,0,0,640.53M,68.43M,500.00M,310.12M,2.838B,310.12M,114.74M,3.940B,832.61M,3.244B,8.414B,151.71M,5.764B,3.868B,5.158B,2.650B,1.291B,868.21M,2.838B,2.008B
GPC,2015-03,-827.68M,166.50M,2.623B,393.70M,1.05,1.05,1.346B,1.521B,1.113B,2015-03,3.007B,161.01M,0,0,646.12M,67.67M,500.00M,251.38M,2.729B,251.38M,90.37M,3.736B,825.55M,3.180B,8.238B,152.32M,5.635B,3.759B,5.047B,2.604B,1.288B,861.44M,2.729B,1.978B
GPC,2014-12,-720.21M,137.73M,2.676B,265.47M,1.08,1.07,1.387B,1.539B,1.147B,2014-12,3.044B,165.56M,0,0,670.10M,153.98M,540.04M,271.79M,2.643B,265.30M,99.74M,3.822B,827.87M,3.301B,8.246B,153.11M,5.593B,3.584B,4.934B,2.654B,1.350B,874.75M,2.643B,1.872B
