Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GPS,2021-01,9.00M,2.398B,2.756B,831.00M,231.00M,0.62,0.61,170.00M,12.67B,1.668B,2021-01,2.451B,234.00M,-57.00M,-57.00M,7.058B,47.00M,6.833B,134.00M,1.87B,77.00M,-157.00M,4.424B,0,2.614B,13.77B,19.00M,6.008B,3.884B,11.16B,7.761B,7.271B,1.534B,1.777B,363.00M
GPS,2020-10,24.00M,2.649B,2.374B,823.00M,226.00M,0.25,0.25,230.00M,13.20B,1.62B,2020-10,2.747B,95.00M,-54.00M,-54.00M,7.306B,50.00M,7.113B,175.00M,3.608B,121.00M,26.00M,3.994B,0,2.371B,14.37B,19.00M,6.362B,4.431B,12.00B,8.011B,7.571B,1.445B,2.325B,316.00M
GPS,2020-07,22.00M,2.213B,2.126B,856.00M,328.00M,-0.17,-0.17,201.00M,13.52B,1.149B,2020-07,2.242B,-62.00M,-56.00M,-56.00M,7.584B,736.00M,7.391B,73.00M,2.793B,-41.00M,21.00M,3.275B,0,2.253B,13.72B,19.00M,5.337B,3.649B,11.46B,8.379B,7.814B,1.076B,1.669B,321.00M
GPS,2020-04,46.00M,1.079B,1.839B,1.386B,0,-2.51,-2.51,0,13.68B,268.00M,2020-04,2.217B,-932.00M,-15.00M,-15.00M,7.796B,0,6.581B,-1.244B,2.045B,-1.259B,-327.00M,2.107B,0,2.317B,12.71B,19.00M,4.216B,3.431B,10.39B,8.494B,6.962B,1.512B,994.00M,0
GPS,2020-01,40.00M,1.654B,3.00B,920.00M,0,-0.49,-0.49,0,14.36B,1.674B,2020-01,2.156B,-184.00M,-9.00M,-9.00M,8.524B,0,6.757B,-245.00M,1.302B,-254.00M,-70.00M,4.674B,0,3.316B,13.68B,19.00M,4.516B,3.209B,10.36B,9.163B,7.154B,1.919B,1.222B,0
GPS,2019-10,42.00M,1.082B,2.439B,934.00M,0,0.37,0.37,0,15.02B,1.559B,2019-10,2.72B,140.00M,-12.00M,-12.00M,9.021B,0,6.899B,221.00M,2.258B,209.00M,69.00M,3.998B,0,3.634B,14.12B,19.00M,4.572B,3.192B,10.48B,9.546B,7.292B,1.338B,1.284B,0
GPS,2019-07,55.00M,1.471B,2.449B,946.00M,0,0.44,0.44,0,14.87B,1.556B,2019-07,2.326B,168.00M,-11.00M,-11.00M,8.948B,0,6.893B,282.00M,2.188B,271.00M,103.00M,4.005B,0,3.625B,14.04B,19.00M,4.567B,3.134B,10.42B,9.476B,7.284B,1.274B,1.28B,0
GPS,2019-04,57.00M,1.213B,2.362B,929.00M,0,0.6,0.6,0,14.73B,1.344B,2019-04,2.242B,227.00M,-14.00M,-14.00M,8.861B,0,6.846B,316.00M,1.902B,302.00M,75.00M,3.706B,0,3.571B,13.62B,19.00M,4.212B,2.831B,10.05B,9.408B,7.218B,1.028B,1.02B,0
GPS,2019-01,53.00M,1.369B,2.978B,0,0,0.72,0.72,0,8.667B,1.645B,2019-01,2.131B,276.00M,-7.00M,-7.00M,2.912B,0,1.249B,372.00M,1.191B,365.00M,89.00M,4.623B,0,3.553B,8.049B,19.00M,4.251B,2.174B,4.496B,3.798B,2.322B,1.273B,1.15B,0
GPS,2018-10,53.00M,1.254B,2.466B,0,0,0.69,0.69,0,8.999B,1.623B,2018-10,2.668B,266.00M,-13.00M,-13.00M,2.887B,0,1.249B,363.00M,2.393B,350.00M,84.00M,4.089B,0,3.44B,8.173B,19.00M,4.714B,2.393B,4.733B,3.459B,2.34B,1.26B,1.323B,0
GPS,2018-07,53.00M,1.608B,2.458B,67.00M,350.00M,0.77,0.76,204.00M,8.895B,1.627B,2018-07,2.202B,297.00M,-10.00M,-10.00M,2.832B,749.00M,1.249B,398.00M,2.341B,388.00M,91.00M,4.085B,0,3.34B,8.01B,19.00M,4.59B,2.341B,4.67B,3.42B,2.329B,1.229B,1.315B,282.00M
GPS,2018-04,51.00M,1.374B,2.356B,65.00M,355.00M,0.42,0.42,204.00M,8.816B,1.427B,2018-04,2.035B,164.00M,-10.00M,-10.00M,2.791B,748.00M,1.249B,229.00M,2.058B,219.00M,55.00M,3.783B,0,3.197B,7.585B,19.00M,4.187B,2.058B,4.388B,3.398B,2.33B,1.198B,1.083B,335.00M
GPS,2018-01,36.00M,1.783B,3.019B,424.00M,0,0.53,0.52,0,8.767B,1.759B,2018-01,1.997B,205.00M,-13.00M,-13.00M,2.805B,0,1.249B,396.00M,1.234B,383.00M,178.00M,4.778B,0,3.144B,7.989B,19.00M,4.568B,2.461B,4.845B,3.421B,2.384B,1.363B,1.191B,0
