Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
GRMN,2020-12,183.43M,1.846B,560.42M,0,86.86M,1.74,1.73,828.57M,1.682B,790.98M,2020-12,762.08M,333.55M,6.744M,6.744M,950.16M,166.78M,75.96M,371.27M,1.077B,391.47M,57.92M,199.67M,1.351B,220.04M,5.516B,7.031B,17.98M,3.669B,1.164B,1.515B,3.362B,351.04M,419.72M,743.05M,849.47M
GRMN,2020-09,118.98M,1.654B,441.21M,0,88.04M,1.64,1.63,818.78M,888.51M,667.98M,2020-09,821.38M,313.42M,7.777M,7.777M,888.51M,177.46M,58.42M,317.10M,1.035B,336.72M,23.30M,174.88M,1.109B,176.00M,5.104B,6.551B,17.98M,3.342B,1.123B,1.446B,3.209B,323.37M,350.88M,771.63M,658.00M
GRMN,2020-06,89.73M,1.736B,354.44M,0,87.73M,0.96,0.96,656.90M,867.39M,515.43M,2020-06,813.24M,184.18M,10.46M,10.46M,867.39M,158.44M,60.00M,188.39M,1.076B,197.59M,13.41M,165.74M,869.87M,161.30M,4.741B,6.220B,17.98M,3.258B,1.164B,1.479B,2.962B,315.25M,327.04M,837.98M,523.90M
GRMN,2020-03,31.81M,1.440B,349.17M,0,89.82M,0.84,0.84,658.78M,821.05M,506.94M,2020-03,790.18M,161.18M,12.03M,12.03M,821.05M,179.78M,52.83M,177.48M,692.06M,177.64M,16.46M,165.39M,856.11M,164.07M,4.934B,6.054B,17.98M,2.929B,781.87M,1.120B,3.125B,337.72M,329.46M,474.24M,500.24M
GRMN,2019-12,55.87M,1.404B,462.78M,0,94.56M,1.9,1.89,659.63M,1.470B,639.46M,2019-12,752.91M,360.79M,13.07M,13.07M,792.51M,182.08M,49.24M,276.52M,941.37M,287.41M,-73.38M,162.00M,1.102B,200.93M,4.793B,6.167B,17.98M,3.058B,1.036B,1.373B,3.109B,337.37M,362.93M,643.43M,706.76M
GRMN,2019-09,20.59M,1.277B,366.92M,0,95.57M,1.2,1.19,637.72M,765.99M,567.46M,2019-09,749.82M,227.87M,12.31M,12.31M,765.99M,182.82M,42.86M,261.46M,947.38M,257.77M,29.90M,148.56M,934.38M,157.44M,4.381B,5.755B,17.98M,2.758B,1.043B,1.374B,2.997B,331.26M,306.00M,730.67M,558.30M
GRMN,2019-06,34.68M,1.060B,379.48M,0,94.98M,1.18,1.17,653.01M,761.27M,575.36M,2019-06,648.14M,223.66M,13.74M,13.74M,761.27M,177.56M,46.28M,256.22M,932.72M,275.78M,52.12M,148.88M,954.84M,170.26M,4.151B,5.525B,17.98M,2.461B,1.028B,1.374B,3.064B,346.12M,319.14M,685.63M,583.91M
GRMN,2019-03,18.34M,1.313B,314.35M,0,93.65M,0.74,0.74,411.16M,727.28M,451.70M,2019-03,598.39M,140.17M,13.70M,13.70M,727.28M,171.49M,43.28M,151.38M,528.87M,166.26M,26.09M,145.92M,766.05M,154.40M,4.315B,5.280B,17.98M,2.512B,622.53M,964.86M,2.768B,342.33M,300.32M,322.28M,453.07M
GRMN,2018-12,8.43M,1.385B,382.94M,0,96.37M,1.01,1,417.08M,1.273B,549.17M,2018-12,561.84M,190.15M,14.84M,14.84M,663.53M,169.51M,0,222.67M,824.94M,231.87M,41.72M,145.16M,932.11M,181.34M,4.163B,5.383B,17.98M,2.665B,921.31M,1.220B,2.717B,298.57M,326.49M,570.20M,569.83M
GRMN,2018-09,4.624M,1.230B,329.26M,0,97.60M,0.98,0.97,424.78M,0,480.75M,2018-09,556.64M,184.21M,11.09M,11.09M,650.80M,160.48M,0,195.96M,756.42M,201.33M,17.11M,138.98M,810.01M,145.81M,3.953B,5.096B,17.98M,2.401B,854.03M,1.143B,2.695B,289.23M,284.79M,541.90M,467.78M
GRMN,2018-06,9.732M,1.120B,371.18M,0,98.53M,1.01,1,409.46M,1.162B,523.27M,2018-06,501.49M,190.34M,11.00M,11.00M,637.24M,158.25M,0,217.51M,830.62M,236.07M,45.73M,141.71M,894.45M,164.05M,3.759B,4.989B,17.98M,2.324B,929.15M,1.230B,2.665B,300.69M,305.76M,602.67M,533.08M
GRMN,2018-03,64.44M,1.067B,284.34M,0,98.66M,0.69,0.68,421.01M,979.86M,426.54M,2018-03,547.41M,129.37M,10.23M,10.23M,604.81M,157.94M,0,142.20M,459.18M,153.98M,24.61M,141.96M,710.87M,142.38M,3.997B,4.855B,17.98M,2.191B,557.84M,858.03M,2.664B,300.19M,284.33M,264.09M,409.70M
GRMN,2017-12,56.43M,1.053B,393.84M,0,103.14M,0.74,0.73,409.80M,0,503.48M,2017-12,517.64M,142.55M,9.994M,9.994M,595.68M,163.67M,0,183.34M,688.98M,184.46M,41.90M,132.55M,897.32M,187.59M,3.852B,4.948B,17.98M,2.346B,792.12M,1.096B,2.602B,303.76M,320.14M,402.06M,590.88M
GRMN,2017-09,46.49M,1.145B,313.72M,0,138.57M,0.81,0.8,313.27M,0,437.52M,2017-09,575.34M,151.07M,9.207M,9.207M,554.44M,224.02M,0,173.65M,707.48M,189.91M,38.84M,129.63M,751.24M,134.24M,3.640B,4.835B,17.98M,2.332B,846.04M,1.196B,2.503B,349.66M,263.88M,454.20M,457.39M
GRMN,2017-06,40.15M,1.108B,347.36M,0,145.60M,0.94,0.94,309.32M,0,484.13M,2017-06,525.17M,176.98M,9.281M,9.281M,517.29M,202.27M,0,209.62M,782.91M,234.33M,57.35M,127.25M,831.49M,147.26M,3.484B,4.749B,17.98M,2.305B,928.51M,1.264B,2.444B,335.82M,274.51M,546.18M,514.94M
GRMN,2017-03,32.46M,1.092B,268.70M,0,140.45M,1.27,1.26,303.41M,0,372.81M,2017-03,533.15M,238.40M,8.444M,8.444M,503.84M,201.26M,0,117.03M,431.01M,88.38M,-150.03M,122.20M,641.51M,133.58M,3.702B,4.601B,17.98M,2.157B,571.46M,898.62M,2.444B,327.16M,255.78M,227.08M,391.34M
GRMN,2016-12,-36.76M,1.114B,408.16M,0,146.56M,0.73,0.72,305.00M,0,479.74M,2016-12,484.82M,143.52M,9.297M,9.297M,482.88M,201.63M,0,168.77M,636.17M,177.51M,34.00M,128.95M,887.90M,182.01M,3.418B,4.525B,17.98M,2.263B,782.74M,1.107B,2.262B,324.40M,310.97M,373.55M,527.06M
GRMN,2016-09,25.77M,1.114B,316.27M,0,146.38M,0.66,0.66,301.98M,0,405.98M,2016-09,534.68M,125.05M,8.226M,8.226M,454.25M,190.70M,0,159.62M,773.61M,149.76M,24.71M,116.45M,722.25M,129.92M,3.362B,4.592B,17.98M,2.247B,920.00M,1.230B,2.344B,309.68M,246.36M,546.68M,461.36M
GRMN,2016-06,-1.403M,1.054B,348.65M,0,150.59M,0.85,0.85,303.35M,0,462.96M,2016-06,508.16M,161.06M,8.455M,8.455M,450.65M,184.98M,0,200.67M,859.84M,203.80M,42.74M,114.36M,811.61M,147.93M,3.219B,4.528B,1.797B,2.213B,1.010B,1.309B,2.315B,298.32M,262.28M,629.44M,510.31M
GRMN,2016-03,-14.86M,1.056B,284.19M,0,154.96M,0.46,0.46,306.30M,0,339.85M,2016-03,517.77M,88.09M,7.428M,7.428M,448.97M,187.65M,0,103.80M,525.76M,107.55M,19.46M,108.20M,624.04M,127.84M,3.437B,4.410B,1.797B,2.129B,680.72M,973.08M,2.281B,292.36M,236.05M,323.97M,408.28M
GRMN,2015-12,-30.43M,1.048B,368.21M,0,164.98M,0.7,0.7,245.55M,908.65M,413.14M,2015-12,500.55M,132.38M,7.358M,7.358M,446.09M,184.94M,0,145.76M,701.02M,152.54M,20.16M,106.01M,781.36M,161.37M,3.345B,4.499B,1.797B,2.211B,866.00M,1.154B,2.288B,288.27M,267.38M,464.17M,531.48M
GRMN,2015-09,-23.15M,1.127B,317.50M,0,182.52M,0.63,0.63,220.85M,859.60M,362.19M,2015-09,503.18M,119.30M,6.851M,6.851M,439.09M,161.26M,0,125.46M,712.13M,164.89M,45.59M,105.79M,679.69M,130.94M,3.235B,4.388B,1.797B,2.232B,894.66M,1.154B,2.157B,259.13M,236.73M,539.47M,431.94M
GRMN,2015-06,24.08M,1.137B,354.58M,0,178.21M,0.72,0.72,222.97M,796.28M,419.25M,2015-06,458.45M,137.75M,7.42M,7.42M,445.67M,166.25M,0,166.66M,783.47M,173.56M,35.80M,109.24M,773.83M,143.35M,3.209B,4.423B,1.797B,2.283B,961.68M,1.215B,2.140B,253.22M,252.59M,601.17M,502.03M
GRMN,2015-03,16.58M,1.442B,241.27M,0,199.27M,0.35,0.35,224.38M,0,344.12M,2015-03,470.44M,66.79M,8.024M,8.024M,436.10M,161.35M,0,111.70M,624.99M,76.20M,9.403M,106.00M,585.39M,126.42M,3.478B,4.543B,1.797B,2.500B,824.26M,1.066B,2.043B,241.39M,232.42M,472.08M,425.65M
GRMN,2014-12,2.571M,1.364B,372.46M,0,221.27M,1.1,1.09,218.08M,0,430.85M,2014-12,420.48M,210.24M,6.803M,6.803M,430.89M,174.63M,0,176.00M,811.99M,199.90M,-10.35M,101.55M,803.31M,153.29M,3.403B,4.693B,1.797B,2.511B,1.033B,1.290B,2.182B,256.68M,254.85M,579.44M,570.19M
GRMN,2014-09,47.17M,1.306B,308.04M,0,217.44M,-0.76,-0.76,221.57M,0,398.25M,2014-09,466.48M,-146.83M,9.344M,9.344M,431.75M,172.10M,0,175.50M,906.04M,172.66M,319.50M,99.00M,706.28M,123.74M,3.236B,4.669B,1.797B,2.421B,1.123B,1.433B,2.248B,309.47M,222.74M,687.60M,478.72M
GRMN,2014-06,73.29M,1.396B,333.36M,0,221.46M,0.94,0.93,213.24M,0,444.48M,2014-06,429.67M,181.98M,9.67M,9.67M,428.48M,142.86M,0,218.75M,747.79M,208.72M,26.74M,98.40M,777.85M,127.33M,3.481B,4.742B,1.797B,2.497B,969.25M,1.261B,2.245B,291.94M,225.73M,589.23M,496.98M
GRMN,2014-03,35.30M,1.300B,252.39M,0,240.26M,0.61,0.61,216.26M,0,330.83M,2014-03,442.02M,118.82M,9.768M,9.768M,417.16M,146.41M,0,120.37M,456.85M,142.47M,23.65M,96.16M,583.22M,114.30M,3.752B,4.739B,1.797B,2.387B,697.11M,986.54M,2.351B,289.44M,210.46M,306.13M,470.32M
GRMN,2013-12,38.04M,1.329B,365.06M,0,257.90M,0.84,0.83,219.49M,0,394.64M,2013-12,382.23M,163.58M,9.759M,9.759M,414.85M,172.77M,0,172.47M,647.41M,204.54M,40.95M,92.57M,759.70M,129.59M,3.660B,4.880B,1.797B,2.596B,905.30M,1.220B,2.284B,314.59M,222.17M,420.09M,701.96M
GRMN,2013-09,71.78M,1.203B,290.75M,0,255.89M,0.96,0.96,221.98M,0,352.89M,2013-09,416.72M,187.67M,8.435M,8.435M,413.68M,169.68M,0,151.75M,718.14M,160.80M,-26.87M,88.43M,643.64M,112.71M,3.558B,4.823B,1.797B,2.445B,974.03M,1.266B,2.379B,291.69M,201.14M,522.63M,475.71M
GRMN,2013-06,64.84M,1.226B,312.92M,0,251.23M,0.88,0.88,220.53M,759.74M,383.64M,2013-06,383.49M,172.49M,8.179M,8.179M,410.53M,168.49M,0,169.89M,638.50M,206.58M,34.09M,96.23M,696.56M,117.52M,3.366B,4.599B,1.797B,2.346B,889.74M,1.233B,2.253B,343.09M,213.75M,466.36M,484.25M
GRMN,2013-03,129.36M,1.239B,255.82M,0,250.43M,0.45,0.45,223.32M,711.37M,276.13M,2013-03,396.01M,88.67M,8.898M,8.898M,407.59M,174.08M,0,79.93M,354.67M,81.63M,-7.032M,87.69M,531.96M,108.52M,3.618B,4.570B,1.797B,2.314B,605.10M,952.10M,2.256B,346.99M,196.21M,195.57M,450.59M
GRMN,2012-12,138.55M,1.384B,394.69M,0,252.71M,0.66,0.66,232.60M,0,373.85M,2012-12,389.93M,129.29M,8.83M,8.83M,409.75M,195.51M,0,149.76M,656.32M,154.91M,25.62M,83.26M,768.55M,140.83M,3.532B,4.819B,1.797B,2.536B,909.03M,1.287B,2.283B,378.30M,224.10M,395.20M,603.67M
GRMN,2012-09,121.62M,1.370B,313.32M,0,239.10M,0.72,0.72,252.90M,0,359.06M,2012-09,443.42M,140.35M,7.987M,7.987M,407.85M,186.79M,0,160.06M,587.92M,162.63M,22.28M,82.49M,672.38M,116.50M,3.388B,4.631B,1.797B,2.473B,883.55M,1.243B,2.158B,359.44M,198.99M,373.27M,508.72M
GRMN,2012-06,95.18M,1.365B,296.34M,0,219.46M,0.95,0.95,246.34M,0,421.81M,2012-06,384.21M,185.90M,8.62M,8.62M,407.85M,183.39M,0,204.01M,642.01M,207.44M,21.53M,80.30M,718.15M,137.50M,3.211B,4.463B,1.797B,2.381B,901.95M,1.252B,2.082B,350.12M,217.81M,447.16M,486.40M
GRMN,2012-03,109.67M,1.375B,272.84M,0,205.98M,0.45,0.44,254.94M,0,283.76M,2012-03,407.48M,86.86M,9.671M,9.671M,412.59M,184.33M,0,90.33M,342.38M,99.56M,12.70M,79.72M,556.60M,113.71M,3.379B,4.325B,1.797B,2.349B,594.54M,945.39M,1.976B,350.85M,193.43M,175.39M,430.14M
GRMN,2011-12,87.19M,1.398B,475.86M,0,194.77M,0.85,0.85,246.65M,0,433.79M,2011-12,397.74M,165.56M,9.494M,9.494M,417.10M,193.08M,0,200.09M,663.51M,185.13M,19.57M,84.65M,909.64M,149.04M,3.257B,4.471B,1.797B,2.575B,858.28M,1.215B,1.897B,356.48M,233.70M,365.62M,607.45M
GRMN,2011-09,74.69M,1.462B,322.66M,0,144.17M,0.77,0.77,263.22M,0,344.33M,2011-09,461.30M,150.38M,8.464M,8.464M,423.04M,185.55M,0,147.33M,769.90M,175.04M,24.66M,72.94M,666.99M,124.06M,3.068B,4.335B,1.797B,2.554B,914.07M,1.267B,1.781B,352.62M,197.00M,482.29M,519.23M
GRMN,2011-06,129.68M,1.481B,352.00M,0,138.78M,0.56,0.56,189.31M,0,322.10M,2011-06,385.68M,109.48M,7.639M,7.639M,423.70M,160.15M,0,131.59M,777.31M,127.07M,17.60M,70.52M,674.10M,119.99M,2.963B,4.198B,1.797B,2.463B,916.09M,1.236B,1.736B,319.67M,190.51M,565.02M,493.06M
GRMN,2011-03,91.37M,1.252B,269.46M,0,109.25M,0.49,0.49,189.48M,0,238.37M,2011-03,411.02M,95.48M,7.214M,7.214M,427.11M,125.86M,0,74.75M,360.67M,96.93M,1.444M,70.48M,507.83M,93.14M,3.193B,3.938B,1.797B,2.193B,469.91M,744.28M,1.745B,274.37M,163.62M,183.62M,434.94M
